Date,Open,High,Low,Close,Volume,Adj Close
2006-02-09,99.74,99.75,99.7,99.74,20400,99.74
2006-02-10,99.79,99.8,99.76,99.79,2900,99.79
2006-02-13,99.79,99.8,99.74,99.79,18300,99.79
2006-02-14,99.76,99.8,99.74,99.76,429200,99.76
2006-02-15,99.79,99.92,99.79,99.79,284700,99.79
2006-02-16,99.82,100.09,99.75,99.82,1509500,99.82
2006-02-17,99.87,99.87,99.8,99.87,51200,99.87
2006-02-20,99.89,100.09,99.87,99.89,11700,99.89
2006-02-21,99.89,100.0,99.83,99.89,20800,99.89
2006-02-22,99.84,99.88,99.82,99.84,17900,99.84
2006-02-23,99.84,100.14,99.75,99.84,30900,99.84
2006-02-24,99.77,99.78,99.73,99.77,6200,99.77
2006-02-27,99.75,99.98,99.69,99.75,23100,99.75
2006-02-28,99.7,99.74,99.68,99.7,61400,99.7
2006-03-01,99.73,99.88,99.72,99.73,10300,99.73
2006-03-02,99.73,99.76,99.63,99.73,59100,99.73
2006-03-03,99.59,99.64,99.58,99.59,3600,99.59
2006-03-06,99.59,99.9,99.56,99.59,77900,99.59
2006-03-07,99.6,99.6,99.54,99.6,4000,99.6
2006-03-08,99.58,99.63,99.57,99.58,98900,99.58
2006-03-09,99.6,99.63,99.55,99.6,40300,99.6
2006-03-10,99.6,99.65,99.57,99.6,19400,99.6
2006-03-13,99.61,100.09,99.51,99.61,23600,99.61
2006-03-14,99.56,99.63,99.52,99.56,4200,99.56
2006-03-15,99.62,99.64,99.56,99.62,18300,99.62
2006-03-16,99.58,100.04,99.52,99.58,30000,99.58
2006-03-17,99.56,99.78,99.53,99.56,16000,99.56
2006-03-20,99.54,99.59,99.49,99.54,14500,99.54
2006-03-21,99.59,99.62,99.55,99.59,14900,99.59
2006-03-22,99.58,99.65,99.58,99.58,7200,99.58
2006-03-23,99.61,99.67,99.6,99.61,13600,99.61
2006-03-24,99.61,99.66,99.58,99.61,19500,99.61
2006-03-27,99.69,99.7,99.66,99.69,8500,99.69
2006-03-28,99.69,99.7,99.5,99.69,12500,99.69
2006-03-29,99.54,99.7,99.46,99.54,5700,99.54
2006-03-30,99.51,99.7,99.43,99.51,12900,99.51
2006-03-31,99.5,99.55,99.47,99.5,6700,99.5
2006-04-03,99.48,99.5,99.37,99.48,12600,99.48
2006-04-04,99.4,99.8,99.35,99.4,8200,99.4
2006-04-05,99.44,99.51,99.44,99.44,2200,99.44
2006-04-06,99.48,99.59,99.41,99.48,3800,99.48
2006-04-07,99.63,99.66,99.59,99.63,14200,99.63
2006-04-10,99.66,101.49,99.55,99.66,8300,99.66
