Date,Open,High,Low,Close,Volume,Adj Close
2014-08-12,26.06,26.06,26.06,25.975,100,25.975
2014-10-13,24.9,24.9,24.75,24.75,200,24.75
2014-10-16,24.1,24.1,24.1,24.085,100,24.085
2014-10-17,24.63,24.63,24.63,24.735,300,24.735
2014-10-22,25.355,25.42,25.355,25.515,0,25.515
2014-10-23,25.61,25.61,25.61,25.625,0,25.625
2014-10-24,25.53,25.53,25.53,25.595,0,25.595
2014-10-28,25.62,25.62,25.62,25.725,0,25.725
2014-10-29,25.705,25.705,25.705,25.635,1500,25.635
2014-11-11,26.515,26.515,26.515,26.495,0,26.495
2014-11-12,26.295,26.295,26.295,26.175,0,26.175
2014-12-04,27.83,27.83,27.83,27.545,500,27.545
2015-01-09,27.36,27.365,27.36,27.13,0,27.13
2015-01-14,27.475,27.475,27.475,27.455,700,27.455
2015-01-21,28.54,28.54,28.54,28.685,0,28.685
2015-01-23,29.66,29.66,29.65,29.59,1100,29.59
2015-01-26,29.755,29.755,29.755,29.965,500,29.965
2015-01-27,29.755,29.755,29.755,29.625,0,29.625
2015-02-03,29.84,29.975,29.84,29.99,100,29.99
2015-02-05,30.105,30.105,30.105,30.185,400,30.185
2015-02-09,29.785,29.785,29.785,29.835,200,29.835
2015-02-12,30.64,30.64,30.64,30.575,200,30.575
2015-02-16,30.745,30.745,30.745,30.655,0,30.655
2015-02-19,31.095,31.095,31.095,31.145,100,31.145
2015-02-23,31.425,31.425,31.425,31.42,0,31.42
2015-03-06,32.02,32.02,32.02,31.995,3900,31.995
2015-03-09,31.88,31.945,31.88,31.965,400,31.965
2015-03-10,32.0,32.0,31.85,31.795,800,31.795
2015-03-11,32.16,32.16,32.16,32.42,100,32.42
2015-03-12,32.5,32.5,32.44,32.48,400,32.48
2015-03-13,32.615,32.615,32.54,32.645,4100,32.645
2015-03-17,32.675,32.675,32.675,32.58,400,32.58
2015-03-24,32.985,32.985,32.965,33.1,100,33.1
2015-03-25,33.055,33.055,33.055,32.725,0,32.725
2015-03-26,32.115,32.115,32.015,32.435,300,32.435
2015-03-27,32.715,32.715,32.715,32.59,0,32.59
2015-04-10,34.15,34.15,34.15,34.185,100,34.185
2015-04-14,34.35,34.35,34.35,34.19,100,34.19
2015-04-16,33.995,33.995,33.995,33.885,200,33.885
2015-04-17,33.81,33.81,33.81,33.25,100,33.25
2015-04-21,33.89,33.89,33.89,33.83,100,33.83
2015-04-22,33.56,33.56,33.475,33.665,200,33.665
2015-04-30,32.715,32.715,32.235,32.605,600,32.605
2015-05-07,31.95,31.95,31.715,32.315,0,32.315
2015-05-15,33.1,33.1,33.1,33.1,0,33.1
2015-05-19,33.7,33.7,33.7,33.77,200,33.77
2015-05-20,33.77,33.77,33.77,33.795,800,33.795
2015-05-21,33.665,33.665,33.665,33.79,0,33.79
2015-05-22,33.82,33.82,33.82,33.74,0,33.74
2015-05-25,33.72,33.72,33.7,33.525,300,33.525
2015-05-27,33.475,33.475,33.475,33.785,100,33.785
2015-06-03,33.365,33.365,33.365,33.335,0,33.335
2015-06-05,32.72,32.72,32.72,32.64,0,32.64
2015-06-08,32.39,32.39,32.39,32.355,0,32.355
2015-06-15,32.345,32.35,32.34,32.045,1000,32.045
2015-06-16,32.03,32.03,32.03,32.25,0,32.25
2015-06-18,31.915,32.4,31.915,31.975,500,31.975
2015-06-30,32.2,32.2,32.2,32.24,100,32.24
2015-07-06,31.82,31.82,31.7,31.665,1100,31.665
2015-07-07,31.145,31.145,31.145,31.05,0,31.05
2015-07-08,31.145,31.145,31.145,31.2,100,31.2
2015-07-14,33.18,33.18,33.18,33.17,100,33.17
2015-07-28,32.7,32.7,32.69,32.81,1000,32.81
2015-08-12,32.5,32.5,32.5,32.27,200,32.27
2015-08-13,32.8,32.8,32.8,32.78,100,32.78
