Date,Open,High,Low,Close,Volume,Adj Close
2003-06-26,25.9,25.9,25.83,25.9,0,25.9
2003-06-27,26.69,26.69,26.48,26.69,0,26.69
2003-06-30,26.49,26.55,26.35,26.49,0,26.49
2003-07-01,25.48,25.97,25.4,25.48,0,25.48
2003-07-02,26.63,26.71,26.4,26.63,0,26.63
2003-07-03,26.84,27.15,26.5,26.84,0,26.84
2003-07-04,27.6,27.6,27.44,27.6,0,27.6
2003-07-07,28.2,28.2,27.1,28.2,0,28.2
2003-07-08,28.43,28.5,27.97,28.43,0,28.43
2003-07-10,28.02,28.35,27.93,28.02,0,28.02
2003-07-11,28.17,28.42,27.87,28.17,0,28.17
2003-07-14,28.92,29.25,28.43,28.92,0,28.92
2003-07-15,28.84,30.3,28.55,28.84,0,28.84
2003-07-16,28.45,29.3,28.4,28.45,0,28.45
2003-07-17,28.17,28.91,28.07,28.17,0,28.17
2003-07-18,27.75,28.11,27.62,27.75,0,27.75
2003-07-21,27.07,27.88,27.07,27.07,0,27.07
2003-07-22,27.32,27.51,27.14,27.32,0,27.32
2003-07-23,27.32,27.71,27.13,27.32,0,27.32
2003-07-24,27.9,28.0,27.35,27.9,0,27.9
2003-07-25,26.95,27.33,26.67,26.95,0,26.95
2003-07-28,27.86,28.02,27.52,27.86,0,27.86
2003-07-29,27.35,27.9,27.16,27.35,0,27.35
2003-07-30,27.66,28.0,27.59,27.66,0,27.66
2003-07-31,28.7,29.1,27.78,28.7,0,28.7
2003-08-01,28.07,28.7,27.85,28.07,0,28.07
2003-08-04,27.39,28.03,27.21,27.39,0,27.39
2003-08-05,27.73,27.85,27.0,27.73,0,27.73
2003-08-06,26.75,27.3,26.55,26.75,0,26.75
2003-08-07,26.58,27.09,26.45,26.58,0,26.58
2003-08-08,26.6,27.49,26.48,26.6,0,26.6
2003-08-11,27.0,27.06,26.58,27.0,0,27.0
2003-08-12,27.02,27.1,26.84,27.02,0,27.02
2003-08-13,27.2,27.61,27.1,27.2,0,27.2
2003-08-14,27.58,27.7,27.22,27.58,0,27.58
2003-08-18,28.3,28.3,27.7,28.3,0,28.3
2003-08-19,28.97,29.1,28.4,28.97,0,28.97
2003-08-20,28.95,29.1,28.79,28.95,0,28.95
2003-08-21,29.49,29.97,29.1,29.49,0,29.49
2003-08-22,30.37,30.8,29.8,30.37,0,30.37
2003-08-25,29.57,31.0,29.56,29.57,0,29.57
2003-08-26,29.33,30.42,29.31,29.33,0,29.33
2003-08-27,29.89,30.0,29.6,29.89,0,29.89
2003-08-28,30.0,30.45,29.85,30.0,0,30.0
2003-08-29,30.28,30.55,30.1,30.28,0,30.28
2003-09-01,30.55,30.55,30.3,30.55,0,30.55
2003-09-02,30.7,31.0,30.45,30.7,0,30.7
2003-09-03,31.47,31.7,31.34,31.47,0,31.47
2003-09-04,31.04,31.47,30.92,31.04,0,31.04
2003-09-05,31.0,31.65,30.65,31.0,0,31.0
2003-09-08,31.1,31.69,30.59,31.1,0,31.1
2003-09-09,30.52,31.49,30.32,30.52,0,30.52
2003-09-10,30.07,31.24,30.01,30.07,0,30.07
2003-09-11,29.55,29.93,29.3,29.55,0,29.55
2003-09-12,29.57,30.22,29.24,29.57,0,29.57
2003-09-15,29.66,30.13,29.66,29.66,0,29.66
2003-09-16,30.3,30.3,29.66,30.3,0,30.3
2003-09-17,30.62,30.86,30.4,30.62,0,30.62
2003-09-18,30.6,30.88,30.02,30.6,0,30.6
2003-09-19,30.34,30.88,30.32,30.34,0,30.34
2003-09-22,29.77,30.65,29.51,29.77,0,29.77
2003-09-23,29.68,30.25,29.46,29.68,0,29.68
2003-09-24,29.9,30.65,29.68,29.9,0,29.9
2003-09-25,29.05,29.7,28.75,29.05,0,29.05
2003-09-26,28.7,28.85,28.4,28.7,0,28.7
2003-09-29,28.14,29.09,28.05,28.14,0,28.14
2003-09-30,27.91,28.7,27.6,27.91,0,27.91
2003-10-01,27.97,28.19,27.6,27.97,0,27.97
2003-10-02,28.43,28.6,28.21,28.43,0,28.43
2003-10-03,29.38,29.4,28.38,29.38,0,29.38
2003-10-06,29.26,29.82,29.2,29.26,0,29.26
2003-10-07,29.29,29.35,28.86,29.29,0,29.29
2003-10-08,29.12,29.7,29.04,29.12,0,29.12
2003-10-09,30.0,30.04,29.08,30.0,0,30.0
2003-10-10,29.53,30.05,29.36,29.53,0,29.53
2003-10-13,30.14,30.25,29.81,30.14,0,30.14
2003-10-14,29.99,30.5,29.99,29.99,0,29.99
2003-10-15,30.46,30.8,30.2,30.46,0,30.46
2003-10-16,30.06,30.8,30.02,30.06,0,30.06
2003-10-17,29.96,30.68,29.88,29.96,0,29.96
2003-10-20,29.71,29.9,29.3,29.71,0,29.71
2003-10-21,30.14,30.34,29.93,30.14,0,30.14
2003-10-22,29.4,30.15,29.3,29.4,0,29.4
2003-10-23,29.0,29.49,28.72,29.0,0,29.0
2003-10-24,28.65,29.5,28.55,28.65,0,28.65
2003-10-27,29.0,29.5,28.99,29.0,0,29.0
2003-10-28,29.6,29.65,29.33,29.6,0,29.6
2003-10-29,30.06,30.5,29.7,30.06,0,30.06
2003-10-30,30.25,30.75,30.05,30.25,0,30.25
2003-10-31,30.26,30.5,30.15,30.26,0,30.26
2003-11-03,31.19,31.23,30.25,31.19,0,31.19
2003-11-04,31.14,31.22,30.97,31.14,0,31.14
2003-11-05,30.65,31.26,30.64,30.65,0,30.65
2003-11-06,30.95,31.46,30.95,30.95,0,30.95
2003-11-07,31.36,31.78,31.3,31.36,0,31.36
2003-11-10,30.84,31.8,30.84,30.84,0,30.84
2003-11-11,30.48,30.84,30.37,30.48,0,30.48
2003-11-12,30.4,30.54,30.35,30.4,0,30.4
2003-11-13,30.4,30.99,30.3,30.4,0,30.4
2003-11-14,30.14,30.62,30.04,30.14,0,30.14
2003-11-17,29.3,30.0,29.27,29.3,0,29.3
2003-11-18,29.33,29.7,29.08,29.33,0,29.33
2003-11-19,28.75,29.01,28.23,28.75,0,28.75
2003-11-20,28.86,29.17,28.38,28.86,0,28.86
2003-11-21,28.56,28.92,28.36,28.56,0,28.56
2003-11-24,29.6,29.7,28.84,29.6,0,29.6
2003-11-25,29.97,30.5,29.77,29.97,0,29.97
2003-11-26,29.35,30.09,29.25,29.35,0,29.35
2003-11-27,29.9,29.9,29.6,29.9,0,29.9
2003-11-28,29.57,29.89,29.27,29.57,0,29.57
2003-12-01,30.05,30.5,29.7,30.05,20000,30.05
2003-12-02,29.97,30.09,29.6,29.97,12500,29.97
2003-12-03,29.65,29.75,29.5,29.65,13800,29.65
2003-12-04,29.62,29.7,29.16,29.62,15100,29.62
2003-12-05,29.41,29.45,29.01,29.41,15100,29.41
2003-12-08,28.56,29.0,28.55,28.56,4900,28.56
2003-12-09,28.57,29.1,28.56,28.57,108000,28.57
2003-12-10,28.81,29.0,28.0,28.81,23100,28.81
2003-12-11,28.79,28.89,28.37,28.79,91500,28.79
2003-12-12,28.66,29.0,28.48,28.66,67800,28.66
2003-12-15,28.86,29.5,28.86,28.86,95200,28.86
2003-12-16,29.2,29.5,27.89,29.2,58600,29.2
2003-12-17,28.09,28.8,27.99,28.09,10800,28.09
2003-12-18,28.57,28.7,28.07,28.57,33400,28.57
2003-12-19,28.5,28.76,28.5,28.5,11100,28.5
2003-12-22,28.72,28.8,28.35,28.72,109600,28.72
2003-12-23,28.58,29.0,28.58,28.58,3000,28.58
2003-12-24,28.83,29.0,28.58,28.83,3000,28.83
2003-12-29,28.88,29.0,28.77,28.88,8300,28.88
2003-12-30,29.15,29.34,29.01,29.15,6100,29.15
2004-01-02,29.09,29.4,29.0,29.09,4000,29.09
2004-01-05,29.18,29.45,28.0,29.18,83300,29.18
2004-01-06,29.08,29.4,28.95,29.08,22800,29.08
2004-01-07,29.28,29.5,29.25,29.28,11800,29.28
2004-01-08,29.59,29.98,29.4,29.59,73100,29.59
2004-01-09,29.59,30.0,29.31,29.59,251600,29.59
2004-01-12,29.65,30.0,29.32,29.65,118100,29.65
2004-01-13,29.76,30.2,29.7,29.76,133900,29.76
2004-01-14,29.99,30.3,29.88,29.99,231000,29.99
2004-01-15,29.91,30.3,29.82,29.91,16200,29.91
2004-01-16,30.86,30.99,30.0,30.86,87100,30.86
2004-01-19,30.91,31.3,30.91,30.91,34500,30.91
2004-01-20,31.14,31.3,30.5,31.14,106300,31.14
2004-01-21,30.17,30.55,30.11,30.17,51300,30.17
2004-01-22,30.27,30.5,29.95,30.27,141400,30.27
2004-01-23,29.95,30.23,29.67,29.95,17100,29.95
2004-01-26,30.18,31.0,30.09,30.18,12500,30.18
2004-01-27,30.23,30.92,30.23,30.23,61500,30.23
2004-01-28,30.23,30.5,29.8,30.23,23900,30.23
2004-01-29,29.82,30.16,29.61,29.82,136900,29.82
2004-01-30,29.82,30.3,29.75,29.82,290500,29.82
2004-02-02,29.84,30.5,29.63,29.84,115600,29.84
2004-02-03,29.61,29.61,29.35,29.61,30800,29.61
2004-02-04,29.52,29.9,29.18,29.52,31600,29.52
2004-02-05,29.31,29.6,28.84,29.31,25000,29.31
2004-02-06,28.9,29.26,28.79,28.9,77200,28.9
2004-02-09,29.39,29.45,29.25,29.39,115400,29.39
2004-02-10,29.37,29.4,29.02,29.37,12100,29.37
2004-02-11,29.22,29.6,29.19,29.22,177600,29.22
2004-02-12,29.32,29.55,29.28,29.32,19500,29.32
2004-02-13,29.4,29.59,28.9,29.4,190300,29.4
2004-02-16,29.0,29.59,28.95,29.0,10600,29.0
2004-02-17,29.0,29.59,28.91,29.0,13400,29.0
2004-02-18,29.08,29.5,28.91,29.08,8300,29.08
2004-02-19,29.59,29.92,29.5,29.59,155900,29.59
2004-02-20,29.61,29.7,29.1,29.61,67300,29.61
2004-02-23,29.26,29.52,29.09,29.26,9300,29.26
2004-02-24,28.76,29.08,28.6,28.76,63100,28.76
2004-02-25,28.75,29.26,28.65,28.75,78300,28.75
2004-02-26,29.19,29.52,29.19,29.19,13900,29.19
2004-02-27,29.41,29.8,29.38,29.41,63300,29.41
2004-03-01,29.66,29.7,29.29,29.66,9700,29.66
2004-03-02,30.2,30.25,29.6,30.2,75800,30.2
2004-03-03,30.17,30.17,29.17,30.17,82300,30.17
2004-03-04,29.81,30.06,29.75,29.81,99200,29.81
2004-03-05,29.94,30.28,29.32,29.94,166300,29.94
2004-03-08,29.88,29.91,29.52,29.88,45400,29.88
2004-03-09,29.63,29.94,28.7,29.63,61700,29.63
2004-03-10,29.36,29.45,28.94,29.36,38300,29.36
2004-03-11,28.65,28.93,28.23,28.65,41100,28.65
2004-03-12,28.8,29.0,28.28,28.8,18000,28.8
2004-03-15,28.85,29.0,28.59,28.85,137500,28.85
2004-03-16,28.39,28.57,28.35,28.39,63100,28.39
2004-03-17,28.55,29.1,28.3,28.55,51600,28.55
2004-03-18,29.0,29.3,28.35,29.0,29600,29.0
2004-03-19,28.46,28.7,28.4,28.46,5900,28.46
2004-03-22,27.8,28.35,27.6,27.8,23400,27.8
2004-03-23,27.88,28.18,27.8,27.88,13200,27.88
2004-03-24,28.1,28.2,27.76,28.1,9200,28.1
2004-03-25,28.69,28.7,28.2,28.69,86300,28.69
2004-03-26,29.2,29.2,28.8,29.2,13100,29.2
2004-03-29,29.18,29.49,28.9,29.18,18000,29.18
2004-03-30,29.37,29.4,28.8,29.37,8500,29.37
2004-03-31,29.34,29.51,28.9,29.34,37200,29.34
2004-04-01,29.0,29.23,28.9,29.0,28700,29.0
2004-04-02,29.0,30.38,29.0,29.0,72700,29.0
2004-04-05,30.21,30.92,30.2,30.21,58200,30.21
2004-04-06,30.86,31.03,30.48,30.86,42300,30.86
2004-04-07,30.19,30.7,30.17,30.19,11900,30.19
2004-04-08,30.6,30.95,30.2,30.6,14300,30.6
2004-04-13,30.65,31.3,30.65,30.65,44300,30.65
2004-04-14,31.03,31.2,30.5,31.03,41900,31.03
2004-04-15,30.84,31.0,30.47,30.84,44900,30.84
2004-04-16,30.14,30.44,29.89,30.14,65100,30.14
2004-04-19,30.07,30.08,29.79,30.07,18100,30.07
2004-04-20,30.6,30.91,30.29,30.6,14600,30.6
2004-04-21,30.17,30.43,30.09,30.17,91700,30.17
2004-04-22,30.22,30.91,30.0,30.22,18400,30.22
2004-04-23,31.3,31.46,30.9,31.3,70600,31.3
2004-04-26,31.39,31.5,31.09,31.39,20400,31.39
2004-04-27,31.18,31.33,30.99,31.18,48700,31.18
2004-04-28,31.07,31.35,30.61,31.07,9600,31.07
2004-04-29,30.71,30.8,29.99,30.71,51400,30.71
2004-04-30,30.2,30.5,29.44,30.2,89600,30.2
2004-05-03,29.59,29.89,29.16,29.59,42500,29.59
2004-05-04,29.5,29.95,29.1,29.5,20900,29.5
2004-05-05,29.18,29.41,28.96,29.18,155300,29.18
2004-05-06,29.15,29.55,28.91,29.15,28700,29.15
2004-05-07,29.78,29.81,29.06,29.78,27800,29.78
2004-05-10,29.05,29.4,29.01,29.05,91800,29.05
2004-05-11,29.05,29.89,29.0,29.05,47000,29.05
2004-05-12,29.03,29.74,29.0,29.03,21200,29.03
2004-05-13,29.76,29.77,29.13,29.76,25100,29.76
2004-05-14,29.76,29.9,29.17,29.76,83600,29.76
2004-05-17,28.69,29.15,28.3,28.69,65800,28.69
2004-05-18,28.52,29.05,28.45,28.52,143500,28.52
2004-05-19,29.41,29.53,29.15,29.41,17600,29.41
2004-05-20,29.3,29.4,29.0,29.3,17700,29.3
2004-05-21,29.16,29.25,28.91,29.16,106300,29.16
2004-05-24,29.05,29.6,29.01,29.05,68400,29.05
2004-05-25,28.98,29.19,28.85,28.98,66800,28.98
2004-05-26,28.94,29.75,28.7,28.94,26500,28.94
2004-05-27,29.75,29.81,29.46,29.75,26200,29.75
2004-05-28,29.71,29.85,29.58,29.71,35300,29.71
2004-05-31,29.7,29.9,29.4,29.7,14100,29.7
2004-06-01,29.89,29.92,29.5,29.89,10400,29.89
2004-06-02,29.74,29.85,29.48,29.74,29400,29.74
2004-06-03,29.5,29.67,29.5,29.5,8000,29.5
2004-06-04,29.5,29.75,29.5,29.5,16300,29.5
2004-06-07,29.68,29.9,29.55,29.68,41000,29.68
2004-06-08,30.1,30.15,29.9,30.1,36600,30.1
2004-06-09,30.13,30.5,30.1,30.13,22100,30.13
2004-06-10,30.46,30.5,30.22,30.46,50100,30.46
