ticker,dateTime,open,high,low,close,volume
EWS,01/04/1996,12.88,12.88,12.63,12.63,9800
EWS,02/04/1996,12.56,12.56,12.44,12.56,62900
EWS,03/04/1996,12.63,12.63,12.63,12.63,1800
EWS,04/04/1996,12.69,12.69,12.63,12.63,3000
EWS,08/04/1996,12.5,12.5,12.38,12.38,1800
EWS,09/04/1996,12.56,12.56,12.38,12.38,1000
EWS,10/04/1996,12.63,12.63,12.5,12.5,8600
EWS,11/04/1996,12.56,12.56,12.56,12.56,300
EWS,12/04/1996,12.56,12.63,12.56,12.63,2000
EWS,15/04/1996,12.63,12.63,12.63,12.63,400
EWS,16/04/1996,12.81,12.81,12.81,12.81,25300
EWS,17/04/1996,12.88,12.88,12.75,12.75,12800
EWS,18/04/1996,12.69,12.75,12.69,12.75,11100
EWS,19/04/1996,12.75,12.75,12.75,12.75,4600
EWS,22/04/1996,12.75,12.75,12.63,12.63,12600
EWS,23/04/1996,12.63,12.63,12.5,12.5,29000
EWS,24/04/1996,12.5,12.5,12.38,12.44,5100
EWS,25/04/1996,12.31,12.44,12.31,12.38,10800
EWS,26/04/1996,12.44,12.63,12.44,12.56,32900
EWS,29/04/1996,12.69,12.69,12.56,12.63,5100
EWS,30/04/1996,12.63,12.75,12.63,12.69,33700
EWS,01/05/1996,12.69,12.69,12.63,12.63,12000
EWS,02/05/1996,12.63,12.69,12.56,12.56,32300
EWS,03/05/1996,12.63,12.63,12.56,12.63,18000
EWS,06/05/1996,12.56,12.63,12.5,12.56,14100
EWS,07/05/1996,12.56,12.63,12.44,12.5,31600
EWS,08/05/1996,12.44,12.5,12.31,12.44,17600
EWS,09/05/1996,12.63,12.63,12.44,12.56,28500
EWS,10/05/1996,12.56,12.63,12.5,12.5,15400
EWS,13/05/1996,12.5,12.63,12.5,12.56,16200
EWS,14/05/1996,12.5,12.56,12.31,12.5,66000
EWS,15/05/1996,12.31,12.31,12.13,12.19,6400
EWS,16/05/1996,12.06,12.31,12.06,12.25,8100
EWS,17/05/1996,12.25,12.25,12.06,12.13,5400
EWS,20/05/1996,12.13,12.13,11.94,12.06,19000
EWS,21/05/1996,12,12.06,11.81,12.06,28600
EWS,22/05/1996,12,12,11.81,11.94,6000
EWS,23/05/1996,12.06,12.06,12.06,12.06,100
EWS,24/05/1996,11.94,12.25,11.94,12.25,54700
EWS,28/05/1996,12.25,12.25,12,12.13,33200
EWS,29/05/1996,12,12.06,12,12,33500
EWS,30/05/1996,12,12,12,12,4200
EWS,31/05/1996,12.06,12.13,12.06,12.06,11800
EWS,03/06/1996,12,12,11.63,11.75,21800
EWS,04/06/1996,11.69,11.94,11.69,11.94,17400
EWS,05/06/1996,11.88,11.88,11.88,11.88,4200
EWS,06/06/1996,12.13,12.19,12.13,12.13,3200
EWS,07/06/1996,12,12.06,11.94,12,7800
EWS,10/06/1996,12.19,12.19,12.19,12.19,5000
EWS,11/06/1996,12.19,12.19,12.13,12.13,6600
EWS,12/06/1996,12.13,12.13,12,12.06,1400
EWS,13/06/1996,11.94,12,11.81,11.94,13100
EWS,14/06/1996,12.06,12.06,12.06,12.06,1400
EWS,17/06/1996,12.19,12.19,11.94,11.94,7300
EWS,18/06/1996,12.13,12.19,12.13,12.19,3700
EWS,19/06/1996,12.19,12.19,12.13,12.13,4200
EWS,20/06/1996,12.19,12.19,12.19,12.19,300
EWS,21/06/1996,12.13,12.19,12.13,12.19,2300
EWS,24/06/1996,12.19,12.19,12.19,12.19,6300
EWS,25/06/1996,12.19,12.19,12.19,12.19,3100
EWS,26/06/1996,12.19,12.19,12.19,12.19,700
EWS,27/06/1996,12.13,12.13,12,12.06,3800
EWS,28/06/1996,12.13,12.13,12.13,12.13,6800
EWS,01/07/1996,12,12.13,12,12.13,1100
EWS,02/07/1996,12.13,12.13,12,12,6900
EWS,03/07/1996,12,12,12,12,0
EWS,05/07/1996,11.75,11.75,11.75,11.75,100
EWS,08/07/1996,11.88,11.88,11.63,11.63,3900
EWS,09/07/1996,11.69,11.75,11.69,11.75,300
EWS,10/07/1996,11.75,11.75,11.75,11.75,2100
EWS,11/07/1996,11.81,11.81,11.44,11.63,2100
EWS,12/07/1996,11.5,11.5,11.25,11.5,2000
EWS,15/07/1996,11.19,11.19,11.19,11.19,200
EWS,16/07/1996,11.25,11.25,11,11,6100
EWS,17/07/1996,11.19,11.5,11.19,11.5,4200
EWS,18/07/1996,11.5,11.56,11.5,11.56,5500
EWS,19/07/1996,11.63,11.63,11.31,11.31,31700
EWS,22/07/1996,11.19,11.31,11.19,11.31,700
EWS,23/07/1996,11.38,11.38,11.25,11.31,16000
EWS,24/07/1996,11.19,11.31,11.06,11.25,80700
EWS,25/07/1996,11.25,11.25,11.25,11.25,800
EWS,26/07/1996,11.19,11.19,11.19,11.19,200
EWS,29/07/1996,11,11,10.88,10.88,800
EWS,30/07/1996,10.88,10.88,10.88,10.88,4300
EWS,31/07/1996,11,11.19,11,11.19,3800
EWS,01/08/1996,11.31,11.31,11.25,11.25,5700
EWS,02/08/1996,11.31,11.38,11.25,11.25,5600
EWS,05/08/1996,11.31,11.31,11.25,11.25,1600
EWS,06/08/1996,11.44,11.44,11.31,11.31,2100
EWS,07/08/1996,11.44,11.56,11.44,11.56,1200
EWS,08/08/1996,11.44,11.44,11.25,11.38,3700
EWS,09/08/1996,11.38,11.38,11.19,11.19,25300
EWS,12/08/1996,11.44,11.44,11.13,11.25,13800
EWS,13/08/1996,11,11,11,11,1100
EWS,14/08/1996,11.38,11.38,11.25,11.25,900
EWS,15/08/1996,11.13,11.13,10.94,11.13,1900
EWS,16/08/1996,11.13,11.13,11,11,1300
EWS,19/08/1996,11,11,10.94,10.94,12000
EWS,20/08/1996,11.13,11.25,11.13,11.25,1200
EWS,21/08/1996,11.25,11.5,11.25,11.44,29000
EWS,22/08/1996,11.5,11.5,11.44,11.44,2800
EWS,23/08/1996,11.56,11.56,11.5,11.5,800
EWS,26/08/1996,11.44,11.44,11.38,11.38,900
EWS,27/08/1996,11.44,11.5,11.25,11.5,1100
EWS,28/08/1996,11.5,11.5,11.5,11.5,4200
EWS,29/08/1996,11.44,11.44,11.31,11.38,30100
EWS,30/08/1996,11.38,11.5,11.38,11.5,5100
EWS,03/09/1996,11.19,11.19,11,11.19,22600
EWS,04/09/1996,11.19,11.19,11.19,11.19,200
EWS,05/09/1996,11.25,11.25,11.25,11.25,1900
EWS,06/09/1996,11.31,11.31,11.13,11.13,12800
EWS,09/09/1996,11.13,11.25,11.13,11.19,13800
EWS,10/09/1996,11.31,11.31,11.13,11.25,500
EWS,11/09/1996,11.13,11.13,11.13,11.13,1100
EWS,12/09/1996,11.13,11.25,11.13,11.25,1400
EWS,13/09/1996,11.38,11.38,11.38,11.38,800
EWS,16/09/1996,11.38,11.44,11.38,11.44,400
EWS,17/09/1996,11.44,11.5,11.44,11.5,20100
EWS,18/09/1996,11.5,11.5,11.38,11.38,67200
EWS,19/09/1996,11.5,11.5,11.5,11.5,25100
EWS,20/09/1996,11.38,11.56,11.38,11.56,1500
EWS,23/09/1996,11.25,11.44,11.25,11.44,1300
EWS,24/09/1996,11.19,11.38,11.19,11.38,3800
EWS,25/09/1996,11.25,11.25,11.25,11.25,300
EWS,26/09/1996,11.31,11.38,11.25,11.31,50100
EWS,27/09/1996,11.31,11.44,11.31,11.31,26600
EWS,30/09/1996,11.38,11.38,11.25,11.38,14900
EWS,01/10/1996,11.38,11.38,11.25,11.31,7000
EWS,02/10/1996,11.38,11.44,11.31,11.38,26400
EWS,03/10/1996,11.38,11.38,11.25,11.25,15000
EWS,04/10/1996,11.19,11.38,11.19,11.38,4300
EWS,07/10/1996,11.13,11.13,11,11,9200
EWS,08/10/1996,10.81,11,10.81,10.88,7000
EWS,09/10/1996,10.88,11.13,10.88,11,2800
EWS,10/10/1996,10.88,11.13,10.88,11.13,12500
EWS,11/10/1996,11,11.06,11,11,6500
EWS,14/10/1996,11,11,10.81,10.81,66100
EWS,15/10/1996,11.06,11.06,10.75,10.94,17300
EWS,16/10/1996,11,11.06,11,11.06,19900
EWS,17/10/1996,11,11.06,10.88,11.06,3700
EWS,18/10/1996,11.06,11.13,10.94,11,4700
EWS,21/10/1996,10.88,10.88,10.69,10.75,33400
EWS,22/10/1996,10.81,10.88,10.75,10.88,2100
EWS,23/10/1996,10.88,10.94,10.81,10.81,21700
EWS,24/10/1996,11.06,11.13,11.06,11.13,2900
EWS,25/10/1996,11.13,11.25,11.13,11.13,5900
EWS,28/10/1996,11.19,11.25,11.06,11.13,107500
EWS,29/10/1996,11,11.06,11,11.06,3200
EWS,30/10/1996,11.13,11.13,11,11,11700
EWS,31/10/1996,11,11.06,10.94,10.94,13700
EWS,01/11/1996,10.88,11,10.88,11,1200
EWS,04/11/1996,11,11,11,11,1300
EWS,05/11/1996,11,11,11,11,600
EWS,06/11/1996,10.94,11.13,10.94,11.13,5600
EWS,07/11/1996,11.19,11.25,11.13,11.25,9500
EWS,08/11/1996,11.38,11.38,11.38,11.38,2700
EWS,11/11/1996,11.25,11.38,11.25,11.38,2900
EWS,12/11/1996,11.44,11.44,11.44,11.44,400
EWS,13/11/1996,11.5,11.5,11.5,11.5,21600
EWS,14/11/1996,11.75,11.81,11.75,11.81,11700
EWS,15/11/1996,11.88,11.88,11.81,11.88,11700
EWS,18/11/1996,11.81,11.81,11.69,11.69,2300
EWS,19/11/1996,11.56,11.75,11.56,11.75,7800
EWS,20/11/1996,11.88,11.94,11.88,11.94,3800
EWS,21/11/1996,12,12,12,12,21900
EWS,22/11/1996,12,12.06,11.88,11.88,52200
EWS,25/11/1996,12,12.06,11.88,11.88,2800
EWS,26/11/1996,12.13,12.13,11.88,11.88,4600
EWS,27/11/1996,12.13,12.13,11.88,12,3600
EWS,29/11/1996,11.88,11.88,11.63,11.75,15700
EWS,02/12/1996,11.75,11.94,11.63,11.63,9800
EWS,03/12/1996,11.88,11.88,11.88,11.88,1500
EWS,04/12/1996,11.88,11.94,11.88,11.94,3800
EWS,05/12/1996,11.94,11.94,11.94,11.94,200
EWS,06/12/1996,11.5,11.75,11.5,11.75,1400
EWS,09/12/1996,11.94,11.94,11.69,11.81,11600
EWS,10/12/1996,11.94,11.94,11.88,11.94,3800
EWS,11/12/1996,11.94,11.94,11.75,11.81,6200
EWS,12/12/1996,11.63,11.81,11.56,11.81,26900
EWS,13/12/1996,11.5,11.63,11.5,11.63,4200
EWS,16/12/1996,11.75,11.75,11.75,11.75,200
EWS,17/12/1996,11.75,11.81,11.63,11.75,3300
EWS,18/12/1996,11.75,11.81,11.75,11.81,500
EWS,19/12/1996,11.81,11.94,11.69,11.88,10500
EWS,20/12/1996,11.94,11.94,11.75,11.81,21000
EWS,23/12/1996,11.56,11.75,11.56,11.75,7200
EWS,24/12/1996,11.88,11.88,11.88,11.88,30700
EWS,26/12/1996,11.81,11.81,11.75,11.75,6300
EWS,27/12/1996,11.81,11.88,11.69,11.69,62200
EWS,30/12/1996,11.94,11.94,11.75,11.94,5300
EWS,31/12/1996,12,12,11.94,12,4800
EWS,02/01/1997,11.94,11.94,11.94,11.94,7000
EWS,03/01/1997,11.94,12,11.94,12,3800
EWS,06/01/1997,12.13,12.13,12.13,12.13,7200
EWS,07/01/1997,11.94,12.13,11.94,12.13,9100
EWS,08/01/1997,12.13,12.13,12,12.13,2200
EWS,09/01/1997,12.06,12.25,12,12.13,13800
EWS,10/01/1997,12,12.13,11.88,12.13,9200
EWS,13/01/1997,11.88,12.06,11.88,12.06,4500
EWS,14/01/1997,11.88,12,11.88,12,12500
EWS,15/01/1997,12.06,12.06,11.81,11.81,1100
EWS,16/01/1997,12.06,12.06,11.81,12.06,31900
EWS,17/01/1997,12.13,12.38,12.13,12.38,600
EWS,20/01/1997,12.38,12.44,12.19,12.25,13800
EWS,21/01/1997,12.38,12.38,12.13,12.38,5000
EWS,22/01/1997,12.44,12.44,12.38,12.38,14100
EWS,23/01/1997,12.5,12.56,12.38,12.38,4400
EWS,24/01/1997,12.38,12.44,12.38,12.44,1900
EWS,27/01/1997,12.25,12.31,12.25,12.31,1800
EWS,28/01/1997,12.13,12.19,12.13,12.19,8700
EWS,29/01/1997,12.31,12.31,12,12.31,5600
EWS,30/01/1997,12.13,12.25,12.13,12.25,2000
EWS,31/01/1997,12.44,12.44,12.19,12.44,15100
EWS,03/02/1997,12.5,12.5,12.25,12.38,15500
EWS,04/02/1997,12.38,12.38,12.25,12.31,51500
EWS,05/02/1997,12.31,12.31,12.31,12.31,10400
EWS,06/02/1997,12.31,12.31,12.13,12.31,1800
EWS,07/02/1997,12.06,12.31,12.06,12.25,25200
EWS,10/02/1997,12.06,12.31,12.06,12.31,11000
EWS,11/02/1997,12.31,12.44,12.06,12.44,14500
EWS,12/02/1997,12.5,12.56,12.31,12.56,12100
EWS,13/02/1997,12.38,12.38,12.38,12.38,25200
EWS,14/02/1997,12.69,12.69,12.44,12.56,5900
EWS,18/02/1997,12.56,12.56,12.38,12.5,16100
EWS,19/02/1997,12.5,12.5,12.38,12.5,16100
EWS,20/02/1997,12.63,12.69,12.63,12.69,5500
EWS,21/02/1997,12.69,12.69,12.56,12.56,23100
EWS,24/02/1997,12.56,12.56,12,12,72000
EWS,25/02/1997,12.31,12.31,12.19,12.25,10200
EWS,26/02/1997,12.06,12.19,12,12,2600
EWS,27/02/1997,12.06,12.06,11.81,11.81,11200
EWS,28/02/1997,11.88,12,11.75,11.75,12400
EWS,03/03/1997,11.75,11.88,11.75,11.75,4800
EWS,04/03/1997,11.88,11.88,11.63,11.75,6500
EWS,05/03/1997,11.75,11.75,11.63,11.63,11000
EWS,06/03/1997,11.75,11.75,11.5,11.5,10700
EWS,07/03/1997,11.75,11.75,11.63,11.63,3800
EWS,10/03/1997,11.75,11.75,11.56,11.56,32600
EWS,11/03/1997,11.75,11.75,11.63,11.75,63500
EWS,12/03/1997,11.56,11.63,11.5,11.63,3100
EWS,13/03/1997,11.5,11.5,11.38,11.5,3300
EWS,14/03/1997,11.13,11.31,11.06,11.31,8000
EWS,17/03/1997,11.13,11.13,11.13,11.13,28900
EWS,18/03/1997,11.06,11.25,11,11.13,1900
EWS,19/03/1997,11.13,11.25,11,11.25,6600
EWS,20/03/1997,10.75,10.75,10.75,10.75,1700
EWS,21/03/1997,10.69,11,10.69,11,92800
EWS,24/03/1997,10.88,10.88,10.75,10.88,8400
EWS,25/03/1997,11,11.13,11,11,11500
EWS,26/03/1997,11.06,11.06,11,11,3900
EWS,27/03/1997,11.06,11.06,10.88,10.88,15300
EWS,31/03/1997,10.63,10.88,10.63,10.75,9000
EWS,01/04/1997,10.75,10.88,10.75,10.88,3100
EWS,02/04/1997,11,11,10.88,10.88,17800
EWS,03/04/1997,10.69,11,10.69,11,2800
EWS,04/04/1997,10.88,11.13,10.88,11.13,14100
EWS,07/04/1997,11.25,11.25,11,11.13,4600
EWS,08/04/1997,11.25,11.25,11.25,11.25,600
EWS,09/04/1997,11.25,11.25,11.19,11.19,9200
EWS,10/04/1997,11.25,11.25,11.13,11.13,9000
EWS,11/04/1997,10.81,10.94,10.81,10.94,12200
EWS,14/04/1997,10.81,10.88,10.75,10.75,17200
EWS,15/04/1997,10.75,10.88,10.69,10.69,3000
EWS,16/04/1997,10.88,10.88,10.81,10.81,2000
EWS,17/04/1997,11,11,10.94,11,29600
EWS,18/04/1997,10.94,10.94,10.88,10.88,5700
EWS,21/04/1997,10.88,10.88,10.88,10.88,600
EWS,22/04/1997,10.88,10.94,10.88,10.94,36000
EWS,23/04/1997,10.81,10.94,10.81,10.81,4300
EWS,24/04/1997,10.75,10.75,10.5,10.63,10700
EWS,25/04/1997,10.75,10.75,10.5,10.5,55500
EWS,28/04/1997,10.25,10.38,10.13,10.13,11900
EWS,29/04/1997,10.38,10.38,10.25,10.31,7300
EWS,30/04/1997,10.63,10.63,10.44,10.63,2800
EWS,01/05/1997,10.63,10.63,10.38,10.38,2800
EWS,02/05/1997,10.5,10.69,10.44,10.44,5200
EWS,05/05/1997,10.81,10.81,10.56,10.56,2000
EWS,06/05/1997,10.69,10.94,10.69,10.94,4400
EWS,07/05/1997,10.88,11.13,10.88,11.13,4000
EWS,08/05/1997,11,11,10.75,10.75,9600
EWS,09/05/1997,10.81,11.13,10.81,11.13,51700
EWS,12/05/1997,11.25,11.63,11.25,11.63,24200
EWS,13/05/1997,11.56,11.56,11.31,11.38,7700
EWS,14/05/1997,11.56,11.56,11.38,11.5,2400
EWS,15/05/1997,11.44,11.44,11.25,11.25,20300
EWS,16/05/1997,11.19,11.25,11.13,11.13,23500
EWS,19/05/1997,11.19,11.25,11,11,8200
EWS,20/05/1997,11.13,11.19,11,11.19,37200
EWS,21/05/1997,11.06,11.19,11.06,11.19,4800
EWS,22/05/1997,11.19,11.19,11.19,11.19,500
EWS,23/05/1997,11,11.19,11,11.19,1700
EWS,27/05/1997,11,11.25,11,11.13,7500
EWS,28/05/1997,11.19,11.31,11,11.31,5100
EWS,29/05/1997,11.25,11.25,11.13,11.13,1500
EWS,30/05/1997,11.13,11.13,11.13,11.13,100
EWS,02/06/1997,11.13,11.44,11.13,11.44,4800
EWS,03/06/1997,11.38,11.38,11.25,11.25,4600
EWS,04/06/1997,11.44,11.44,11.19,11.44,15400
EWS,05/06/1997,11.13,11.19,11.13,11.19,4600
EWS,06/06/1997,11.38,11.38,11.25,11.38,2500
EWS,09/06/1997,11.38,11.38,11.25,11.25,2600
EWS,10/06/1997,11.25,11.31,11.19,11.31,3400
EWS,11/06/1997,11.25,11.31,11.19,11.31,5300
EWS,12/06/1997,11.19,11.19,11.19,11.19,600
EWS,13/06/1997,10.88,11.13,10.88,11,6000
EWS,16/06/1997,10.88,11,10.88,11,4000
EWS,17/06/1997,11,11.19,11,11.06,3900
EWS,18/06/1997,11.13,11.13,11.13,11.13,1300
EWS,19/06/1997,11.06,11.19,11.06,11.19,2400
EWS,20/06/1997,11.06,11.06,10.94,11.06,23700
EWS,23/06/1997,11.25,11.25,11.06,11.19,14300
EWS,24/06/1997,11.19,11.25,11.19,11.25,19100
EWS,25/06/1997,11.25,11.25,11.25,11.25,8300
EWS,26/06/1997,11.13,11.38,11.13,11.38,6600
EWS,27/06/1997,11.13,11.13,11.13,11.13,13500
EWS,30/06/1997,11.06,11.06,11,11,52000
EWS,01/07/1997,11.06,11.25,11,11.06,107200
EWS,02/07/1997,11.25,11.25,11.25,11.25,2800
EWS,03/07/1997,11.25,11.31,11.25,11.31,3900
EWS,07/07/1997,11.38,11.5,11.25,11.44,17000
EWS,08/07/1997,11.63,11.63,11.44,11.63,3700
EWS,09/07/1997,11.56,11.56,11.25,11.25,36200
EWS,10/07/1997,11.19,11.25,11.06,11.13,59300
EWS,11/07/1997,11.31,11.31,11.06,11.25,2700
EWS,14/07/1997,11,11.25,10.94,10.94,4900
EWS,15/07/1997,11.13,11.13,10.88,10.88,4700
EWS,16/07/1997,10.94,11,10.88,10.88,15600
EWS,17/07/1997,10.88,11,10.88,11,10900
EWS,18/07/1997,11.06,11.06,11,11,5200
EWS,21/07/1997,11.25,11.25,11,11.19,14200
EWS,22/07/1997,11.25,11.25,11.06,11.25,3100
EWS,23/07/1997,11.06,11.31,11.06,11.25,23000
EWS,24/07/1997,11.25,11.25,11.19,11.19,2600
EWS,25/07/1997,11,11.25,11,11.25,15400
EWS,28/07/1997,11.38,11.38,11.19,11.19,54600
EWS,29/07/1997,11.13,11.38,11.13,11.19,7400
EWS,30/07/1997,11.31,11.31,11,11,3600
EWS,31/07/1997,11,11.25,11,11.19,3900
EWS,01/08/1997,11.13,11.13,10.69,10.88,19100
EWS,04/08/1997,10.81,11.06,10.81,11,5200
EWS,05/08/1997,10.88,10.88,10.56,10.63,12300
EWS,06/08/1997,10.75,10.81,10.75,10.81,8100
EWS,07/08/1997,10.63,10.63,10.38,10.63,7600
EWS,08/08/1997,10.38,10.38,10.19,10.25,5000
EWS,11/08/1997,10.19,10.19,9.88,10.06,6800
EWS,12/08/1997,10.13,10.13,9.75,9.75,8400
EWS,13/08/1997,10,10,9.81,10,3800
EWS,14/08/1997,9.69,9.69,9.63,9.69,10900
EWS,15/08/1997,9.69,9.69,9.56,9.56,7700
EWS,18/08/1997,9.5,9.56,9.31,9.5,7900
EWS,19/08/1997,9.44,9.69,9.44,9.69,14700
EWS,20/08/1997,10.06,10.06,9.88,10,2900
EWS,21/08/1997,10,10.06,9.75,10.06,46300
EWS,22/08/1997,10.06,10.06,9.75,10,24400
EWS,25/08/1997,9.63,9.81,9.56,9.75,3900
EWS,26/08/1997,9.88,9.94,9.75,9.88,5300
EWS,27/08/1997,9.75,9.81,9.56,9.69,38100
EWS,28/08/1997,9.13,9.13,8.81,8.88,71500
EWS,29/08/1997,8.56,8.75,8.5,8.75,55200
EWS,02/09/1997,8.56,8.75,8.5,8.63,89200
EWS,03/09/1997,8.75,8.94,8.63,8.88,669100
EWS,04/09/1997,8.88,9.06,8.88,9.06,320200
