ticker,dateTime,open,high,low,close,volume
EWT,23/06/2000,19.37,19.37,19.37,19.37,900
EWT,26/06/2000,19,19,19,19,500
EWT,27/06/2000,18.81,18.94,18.75,18.94,4400
EWT,28/06/2000,18.87,18.87,18.87,18.87,1000
EWT,29/06/2000,18.87,18.87,18.87,18.87,0
EWT,30/06/2000,18.75,18.75,18.75,18.75,24300
EWT,03/07/2000,18.75,18.75,18.75,18.75,0
EWT,05/07/2000,19.31,19.37,19.31,19.37,32300
EWT,06/07/2000,18.94,19.19,18.94,19.19,50600
EWT,07/07/2000,18.75,18.87,18.75,18.81,36100
EWT,10/07/2000,18.62,18.62,18.62,18.62,200
EWT,11/07/2000,18.69,18.69,18.44,18.44,700
EWT,12/07/2000,18.37,18.37,18.37,18.37,200
EWT,13/07/2000,18.37,18.69,18.37,18.69,1400
EWT,14/07/2000,19,19.06,19,19.06,3700
EWT,17/07/2000,19.37,19.44,19.37,19.44,9000
EWT,18/07/2000,18.62,18.62,18.62,18.62,1700
EWT,19/07/2000,18.62,18.62,18.31,18.31,1600
EWT,20/07/2000,18.12,18.37,18.12,18.37,11200
EWT,21/07/2000,17.87,17.87,17.87,17.87,400
EWT,24/07/2000,17.87,17.87,17.87,17.87,0
EWT,25/07/2000,17.87,17.87,17.87,17.87,0
EWT,26/07/2000,17.87,17.87,17.87,17.87,0
EWT,27/07/2000,17.87,17.87,17.87,17.87,0
EWT,28/07/2000,18.06,18.06,18.06,18.06,500
EWT,31/07/2000,18.06,18.06,18.06,18.06,0
EWT,01/08/2000,18.06,18.06,18.06,18.06,0
EWT,02/08/2000,18.06,18.06,18.06,18.06,0
EWT,03/08/2000,18.06,18.06,18.06,18.06,0
EWT,04/08/2000,18.06,18.06,17.94,18,27800
EWT,07/08/2000,17.87,17.87,17.87,17.87,279700
EWT,08/08/2000,17.87,17.94,17.87,17.94,1800
EWT,09/08/2000,18,18.37,18,18.31,50900
EWT,10/08/2000,18.44,18.44,18.37,18.44,1.9017e+006
EWT,11/08/2000,18.37,18.37,18.37,18.37,200
EWT,14/08/2000,17.81,17.81,17.56,17.81,1800
EWT,15/08/2000,17.87,17.87,17.87,17.87,500
EWT,16/08/2000,18.25,18.44,18.19,18.25,44900
EWT,17/08/2000,18.5,18.56,18.5,18.56,1100
EWT,18/08/2000,18.62,18.62,18.62,18.62,10000
EWT,21/08/2000,18.62,18.81,18.56,18.62,2400
EWT,22/08/2000,18.75,18.75,18.75,18.75,32800
EWT,23/08/2000,18.75,18.75,18.75,18.75,0
EWT,24/08/2000,17.25,17.69,17.25,17.69,18100
EWT,25/08/2000,17.5,17.5,17.5,17.5,1900
EWT,28/08/2000,16.62,17.12,16.62,16.87,30800
EWT,29/08/2000,17.19,17.19,16.94,17.12,500
EWT,30/08/2000,16.75,16.75,16.69,16.69,1000
EWT,31/08/2000,16.87,16.87,16.87,16.87,4900
EWT,01/09/2000,16.5,16.5,16.37,16.37,3800
EWT,05/09/2000,16.75,16.75,16.75,16.75,1500
EWT,06/09/2000,16.75,16.75,16.75,16.75,200
EWT,07/09/2000,16.5,16.5,16.06,16.12,168000
EWT,08/09/2000,16.12,16.12,16,16,500
EWT,11/09/2000,16.37,16.37,16.06,16.12,17100
EWT,12/09/2000,16.12,16.12,16.12,16.12,1600
EWT,13/09/2000,16,16,16,16,600
EWT,14/09/2000,15.56,15.63,15.56,15.63,400
EWT,15/09/2000,15.5,15.56,15.44,15.44,1.5005e+006
EWT,18/09/2000,14.94,15.13,14.94,15.13,500
EWT,19/09/2000,14.75,14.75,14.75,14.75,300
EWT,20/09/2000,14.94,14.94,14.75,14.75,24300
EWT,21/09/2000,14.75,14.75,14.75,14.75,0
EWT,22/09/2000,14.44,14.69,14.25,14.69,1700
