ticker,dateTime,open,high,low,close,volume
EWZ,14/07/2000,18.75,18.87,18.75,18.87,25000
EWZ,17/07/2000,19.94,20,19.94,20,10000
EWZ,18/07/2000,19.94,19.94,19.94,19.94,10000
EWZ,19/07/2000,19.44,19.44,19.44,19.44,10000
EWZ,20/07/2000,19.87,19.87,19.87,19.87,5000
EWZ,21/07/2000,20,20,20,20,200
EWZ,24/07/2000,20,20,20,20,0
EWZ,25/07/2000,20,20,20,20,0
EWZ,26/07/2000,20,20,20,20,0
EWZ,27/07/2000,19.75,19.75,19.75,19.75,100
EWZ,28/07/2000,20,20,19.37,19.37,21300
EWZ,31/07/2000,19.31,19.37,19.31,19.37,200
EWZ,01/08/2000,19,19.25,19,19.25,7400
EWZ,02/08/2000,19,19,19,19,100
EWZ,03/08/2000,18.87,18.87,18.87,18.87,10000
EWZ,04/08/2000,19.37,19.62,19.37,19.62,700
EWZ,07/08/2000,19.56,19.62,19.44,19.62,1100
EWZ,08/08/2000,19.62,19.62,19.62,19.62,0
EWZ,09/08/2000,19.62,19.62,19.62,19.62,0
EWZ,10/08/2000,19,19,19,19,200
EWZ,11/08/2000,19.44,19.44,19.44,19.44,600
EWZ,14/08/2000,19.44,19.44,19.44,19.44,0
EWZ,15/08/2000,20.25,20.25,20,20,5400
EWZ,16/08/2000,20,20,20,20,0
EWZ,17/08/2000,20.31,20.31,20.31,20.31,300
EWZ,18/08/2000,19.75,19.75,19.75,19.75,200
EWZ,21/08/2000,19.75,19.75,19.75,19.75,300
EWZ,22/08/2000,19.75,19.75,19.75,19.75,0
EWZ,23/08/2000,19.75,19.75,19.75,19.75,0
EWZ,24/08/2000,19.25,19.25,19.25,19.25,15000
EWZ,25/08/2000,19.5,19.62,19.5,19.62,2200
EWZ,28/08/2000,19.75,19.75,19.69,19.69,500
EWZ,29/08/2000,19,19.37,19,19.19,27300
EWZ,30/08/2000,19.19,19.19,19.19,19.19,0
EWZ,31/08/2000,19.81,19.87,19.75,19.75,2600
EWZ,01/09/2000,19.75,19.75,19.75,19.75,4900
EWZ,05/09/2000,19.62,19.62,19.62,19.62,300
EWZ,06/09/2000,20.19,20.25,20.12,20.25,2700
EWZ,07/09/2000,20.37,20.37,20.25,20.31,4400
EWZ,08/09/2000,20,20,19.5,19.5,1100
EWZ,11/09/2000,19.5,20.06,19.5,20,1400
EWZ,12/09/2000,19.69,19.69,19.69,19.69,500
EWZ,13/09/2000,19.37,19.44,19.25,19.25,2100
EWZ,14/09/2000,19,19,19,19,1100
EWZ,15/09/2000,18.44,18.62,18.44,18.62,10600
EWZ,18/09/2000,18.37,18.37,18.12,18.19,1000
EWZ,19/09/2000,18,18.06,18,18.06,10500
EWZ,20/09/2000,17.62,17.69,17.62,17.69,400
EWZ,21/09/2000,18,18,18,18,10000
EWZ,22/09/2000,18.06,18.06,18.06,18.06,1800
EWZ,25/09/2000,18.44,18.44,18.44,18.44,2000
EWZ,26/09/2000,17.75,18.25,17.75,18.25,10700
EWZ,27/09/2000,17.94,17.94,17.94,17.94,100
EWZ,28/09/2000,17.94,17.94,17.94,17.94,0
EWZ,29/09/2000,18.12,18.12,18.12,18.12,300
EWZ,02/10/2000,18.06,18.06,17.62,17.81,500
EWZ,03/10/2000,17.56,17.56,17.56,17.56,5100
