Date,Open,High,Low,Close,Volume,Adj Close
2008-05-08,8.14,8.14,8.14,8.14,0,8.14
2008-05-09,8.055,8.055,8.055,8.055,2300,8.055
2008-05-12,8.16,8.17,8.16,8.17,1600,8.17
2008-05-13,8.09,8.09,8.09,8.09,200,8.09
2008-05-14,7.845,7.845,7.82,7.82,0,7.82
2008-05-15,7.83,7.83,7.83,7.83,0,7.83
2008-05-16,7.9,8.005,7.9,7.965,300300,7.965
2008-05-19,7.92,7.92,7.92,7.92,100,7.92
2008-05-20,7.92,7.92,7.85,7.85,0,7.85
2008-05-21,7.795,7.795,7.755,7.755,200,7.755
2008-05-22,7.757,7.757,7.757,7.757,0,7.757
2008-05-23,7.755,7.755,7.745,7.75,10500,7.75
2008-05-26,7.751,7.751,7.751,7.751,0,7.751
2008-05-27,7.69,7.69,7.635,7.689,9600,7.689
2008-05-28,7.69,7.69,7.69,7.69,0,7.69
2008-05-29,7.725,7.725,7.725,7.725,100,7.725
2008-05-30,7.725,7.725,7.725,7.725,0,7.725
2008-06-02,7.725,7.725,7.725,7.725,0,7.725
2008-06-03,7.725,7.725,7.725,7.725,0,7.725
2008-06-04,7.665,7.665,7.55,7.55,100,7.55
2008-06-05,7.553,7.553,7.553,7.553,0,7.553
2008-06-06,7.62,7.62,7.62,7.62,0,7.62
2008-06-09,7.45,7.46,7.42,7.454,700,7.454
2008-06-10,7.425,7.425,7.425,7.425,0,7.425
2008-06-11,7.425,7.425,7.425,7.425,0,7.425
2008-06-12,7.325,7.35,7.325,7.35,200,7.35
2008-06-13,7.34,7.34,7.34,7.34,200,7.34
2008-06-16,7.435,7.435,7.37,7.37,1000,7.37
2008-06-17,7.48,7.48,7.48,7.48,30000,7.48
2008-06-18,7.3,7.3,7.3,7.3,0,7.3
2008-06-19,7.3,7.3,7.3,7.3,0,7.3
2008-06-20,7.15,7.15,7.15,7.15,0,7.15
2008-06-23,7.15,7.15,7.15,7.15,0,7.15
2008-06-24,7.245,7.245,7.115,7.15,200,7.15
2008-06-25,7.144,7.144,7.144,7.144,0,7.144
2008-06-26,7.144,7.144,7.144,7.144,0,7.144
2008-06-27,6.965,6.965,6.965,6.965,0,6.965
2008-06-30,6.965,6.965,6.965,6.965,0,6.965
2008-07-01,6.965,6.965,6.965,6.965,0,6.965
2008-07-02,6.965,6.965,6.965,6.965,0,6.965
2008-07-03,6.965,6.965,6.965,6.965,0,6.965
2008-07-04,6.965,6.965,6.965,6.965,0,6.965
2008-07-07,6.965,6.965,6.965,6.965,0,6.965
2008-07-08,6.895,6.895,6.895,6.895,4100,6.895
2008-07-09,6.985,6.99,6.985,6.99,4600,6.99
2008-07-10,6.989,6.989,6.989,6.989,0,6.989
2008-07-11,6.989,6.989,6.989,6.989,0,6.989
2008-07-14,6.71,6.71,6.71,6.71,0,6.71
2008-07-15,6.71,6.71,6.71,6.71,0,6.71
2008-07-16,6.465,6.465,6.465,6.465,1800,6.465
2008-07-17,6.66,6.66,6.66,6.66,1000,6.66
2008-07-18,6.66,6.66,6.66,6.66,0,6.66
2008-07-21,6.66,6.66,6.66,6.66,0,6.66
2008-07-22,6.66,6.66,6.66,6.66,0,6.66
2008-07-23,6.66,6.66,6.66,6.66,0,6.66
2008-07-24,6.66,6.66,6.66,6.66,0,6.66
2008-07-25,6.66,6.66,6.66,6.66,0,6.66
2008-07-28,6.805,6.805,6.805,6.805,100,6.805
2008-07-29,6.805,6.805,6.805,6.805,0,6.805
2008-07-30,6.805,6.805,6.805,6.805,0,6.805
2008-07-31,6.805,6.805,6.805,6.805,0,6.805
2008-08-01,6.89,6.89,6.89,6.89,100,6.89
2008-08-04,6.815,6.815,6.75,6.75,1000,6.75
2008-08-05,6.89,6.89,6.89,6.89,6400,6.89
2008-08-06,6.89,6.89,6.89,6.89,0,6.89
2008-08-07,7.0,7.575,7.0,7.0,0,7.0
2008-08-08,6.89,6.89,6.89,6.89,0,6.89
2008-08-11,7.1,7.14,7.1,7.11,300,7.11
2008-08-12,7.119,7.119,7.119,7.119,0,7.119
2008-08-13,7.119,7.119,7.119,7.119,0,7.119
2008-08-14,7.119,7.119,7.119,7.119,0,7.119
2008-08-18,7.0,7.0,7.0,7.0,0,7.0
2008-08-19,6.875,6.875,6.83,6.83,0,6.83
2008-08-20,6.853,6.853,6.853,6.853,0,6.853
2008-08-21,6.853,6.853,6.853,6.853,0,6.853
2008-08-22,6.853,6.853,6.853,6.853,0,6.853
2008-08-25,6.853,6.853,6.853,6.853,0,6.853
2008-08-26,6.905,6.905,6.905,6.905,1500,6.905
2008-08-27,7.015,7.015,7.015,7.015,10000,7.015
2008-08-28,7.015,7.015,7.015,7.015,0,7.015
2008-08-29,7.05,7.08,7.05,7.08,120000,7.08
2008-09-01,7.0,7.015,7.0,7.0,0,7.0
2008-09-02,6.995,6.995,6.995,6.995,0,6.995
2008-09-03,6.855,6.87,6.855,6.855,0,6.855
2008-09-04,6.7,6.715,6.7,6.7,0,6.7
2008-09-05,6.67,6.67,6.6,6.67,100000,6.67
2008-09-08,6.875,6.99,6.875,6.875,0,6.875
2008-09-09,6.825,6.85,6.825,6.825,0,6.825
2008-09-10,6.815,6.82,6.815,6.815,101200,6.815
2008-09-11,6.765,6.765,6.765,6.765,800,6.765
2008-09-12,6.92,6.945,6.92,6.92,0,6.92
2008-09-15,6.61,6.61,6.61,6.61,5900,6.61
2008-09-16,6.53,6.53,6.53,6.53,200,6.53
2008-09-17,6.295,6.375,6.295,6.295,0,6.295
2008-09-18,6.41,6.41,6.41,6.41,0,6.41
2008-09-19,6.825,6.92,6.825,6.825,0,6.825
2008-09-22,6.795,6.795,6.795,6.795,100000,6.795
2008-09-23,6.535,6.535,6.51,6.51,0,6.51
2008-09-24,6.3,7.05,6.3,6.3,0,6.3
2008-09-25,6.61,6.7,6.61,6.61,0,6.61
2008-09-26,6.465,6.465,6.465,6.465,4600,6.465
2008-09-29,6.2,6.2,6.2,6.2,0,6.2
2008-09-30,5.76,6.79,5.76,5.76,0,5.76
2008-10-01,6.275,6.275,6.275,6.275,25000,6.275
