ticker,dateTime,open,high,low,close,volume
FXI,12/10/2004,53.6,53.85,53.38,53.7,248200
FXI,13/10/2004,53,53.31,52.2,52.32,369100
FXI,14/10/2004,51.96,52.1,51.45,51.62,119800
FXI,15/10/2004,52.05,52.64,52.03,52.4,234500
FXI,18/10/2004,51.89,51.95,51.62,51.75,186800
FXI,19/10/2004,52.39,52.46,52.01,52.06,158400
FXI,20/10/2004,51.35,51.47,50.88,51.4,229000
FXI,21/10/2004,51.19,51.8,51.06,51.69,185500
FXI,22/10/2004,51.75,51.78,51.05,51.1,121100
FXI,25/10/2004,50.8,50.86,50.52,50.75,139300
FXI,26/10/2004,50.8,51.5,50.75,51.4,232200
FXI,27/10/2004,51.3,51.44,50.9,51.35,352800
FXI,28/10/2004,51.8,51.8,50.2,50.6,571800
FXI,29/10/2004,51.25,51.5,51.24,51.49,145300
FXI,01/11/2004,51.54,51.55,51.3,51.4,121200
FXI,02/11/2004,52.3,52.74,52.09,52.24,154700
FXI,03/11/2004,52.76,53.12,52.7,53.07,234400
FXI,04/11/2004,52.7,53.25,52.48,53.13,187400
FXI,05/11/2004,53.18,53.4,53.06,53.31,239700
FXI,08/11/2004,53.31,53.39,52.85,53,251900
FXI,09/11/2004,53.41,53.45,53.26,53.36,218400
FXI,10/11/2004,54.25,54.68,54.03,54.45,522200
FXI,11/11/2004,54.25,54.57,54.11,54.48,390700
FXI,12/11/2004,54.48,55.14,54.48,55.08,536700
FXI,15/11/2004,55.49,55.8,55.4,55.67,735400
FXI,16/11/2004,54.79,54.8,54.43,54.55,424400
FXI,17/11/2004,55.05,55.59,54.99,55.32,372700
FXI,18/11/2004,55.15,55.21,54.98,55.13,216500
FXI,19/11/2004,54.91,54.95,54.32,54.41,456900
FXI,22/11/2004,54.53,54.88,54.5,54.87,229300
FXI,23/11/2004,55.4,55.66,55.33,55.55,426000
FXI,24/11/2004,55.72,56.2,55.68,56.16,502900
FXI,26/11/2004,56.1,56.1,55.75,55.88,277500
FXI,29/11/2004,56.23,56.23,55.77,55.85,499200
FXI,30/11/2004,56.05,56.05,55.75,55.8,347700
FXI,01/12/2004,55.98,56.52,55.98,56.46,420600
FXI,02/12/2004,56.86,56.86,56.5,56.5,476600
FXI,03/12/2004,56.45,56.45,56.15,56.4,369600
FXI,06/12/2004,56.48,56.5,56.3,56.39,362700
FXI,07/12/2004,56.08,56.23,55.37,55.64,370500
