ticker,dateTime,open,high,low,close,volume
GBS.MI,20/04/2007,49.84,50.48,49.84,50.39,512
GBS.MI,23/04/2007,50.33,50.5,50.19,50.25,6171
GBS.MI,24/04/2007,50.28,50.4,49.95,49.98,4424
GBS.MI,25/04/2007,49.76,49.78,49.62,49.62,1342
GBS.MI,26/04/2007,49.77,49.86,48.94,49,3020
GBS.MI,27/04/2007,49.01,49.18,48.8,49.1,5782
GBS.MI,30/04/2007,49.41,49.41,49.19,49.21,3189
GBS.MI,02/05/2007,49.99,49.99,48.66,48.88,3228
GBS.MI,03/05/2007,49.99,49.99,49.01,49.22,3868
GBS.MI,04/05/2007,49.69,50.26,49.64,50.25,3000
GBS.MI,07/05/2007,50.23,50.24,49.97,50.04,10296
GBS.MI,08/05/2007,50.08,50.12,49.95,49.97,6741
GBS.MI,09/05/2007,50.16,50.17,49.8,49.88,8074
GBS.MI,10/05/2007,49.66,49.66,49.21,49.26,3172
GBS.MI,11/05/2007,49.08,49.2,48.9,49.05,3108
GBS.MI,14/05/2007,49.3,49.31,48.87,48.95,5239
GBS.MI,15/05/2007,48.83,48.95,48.6,48.78,25473
GBS.MI,16/05/2007,48.74,48.89,48.57,48.62,779
GBS.MI,17/05/2007,48.35,48.59,47.99,48.03,4761
GBS.MI,18/05/2007,48.12,48.48,48.12,48.41,1373
GBS.MI,21/05/2007,48.54,48.64,48.34,48.47,2989
GBS.MI,22/05/2007,48.8,48.85,48.67,48.74,1637
GBS.MI,23/05/2007,48.51,48.73,48.45,48.66,2520
GBS.MI,24/05/2007,48.75,48.75,48.35,48.39,803
GBS.MI,25/05/2007,48.21,48.31,48.13,48.16,3442
GBS.MI,28/05/2007,49.04,49.04,48.13,48.26,2496
GBS.MI,29/05/2007,48.24,48.45,48.17,48.31,1958
GBS.MI,30/05/2007,48.32,48.36,48.15,48.19,779
GBS.MI,31/05/2007,48.34,48.51,48.31,48.44,32771
GBS.MI,01/06/2007,48.78,49.29,48.78,49.23,1800
GBS.MI,04/06/2007,49.39,49.4,49.18,49.35,3609
GBS.MI,05/06/2007,49.4,49.4,49,49.17,1907
GBS.MI,06/06/2007,49.08,49.14,48.79,48.88,1776
GBS.MI,07/06/2007,49.24,49.24,49.01,49.11,1742
GBS.MI,08/06/2007,48.65,49,48,48.01,1288
GBS.MI,11/06/2007,48.32,48.36,48.24,48.25,1773
GBS.MI,12/06/2007,48.37,48.4,48,48,859
GBS.MI,13/06/2007,48.12,48.26,47.95,48.26,11142
GBS.MI,14/06/2007,48.38,48.5,48.14,48.31,721
GBS.MI,15/06/2007,48.37,48.58,48.09,48.36,1187
GBS.MI,18/06/2007,50.74,50.74,48.35,48.38,2021
GBS.MI,19/06/2007,50.33,50.33,48.27,48.36,999
GBS.MI,20/06/2007,48.53,48.6,48.37,48.42,715
GBS.MI,21/06/2007,48.44,48.44,48.04,48.04,738
GBS.MI,22/06/2007,48.06,48.2,47.97,48.04,1963
GBS.MI,25/06/2007,48,48,47.79,47.84,2821
GBS.MI,26/06/2007,47.79,47.79,47.3,47.3,2193
GBS.MI,27/06/2007,47.27,47.3,47.15,47.23,1735
GBS.MI,28/06/2007,47.46,47.46,47.37,47.42,517
GBS.MI,29/06/2007,47.68,47.68,47.57,47.57,540
GBS.MI,02/07/2007,47.5,47.76,47.35,47.69,2456
GBS.MI,03/07/2007,49,49,47.41,47.47,4071
GBS.MI,04/07/2007,47.31,47.52,47.31,47.52,570
GBS.MI,05/07/2007,47.5,47.6,47.1,47.13,30623
GBS.MI,06/07/2007,47.13,47.37,47.05,47.37,397
GBS.MI,09/07/2007,49,49,47.4,48.02,1603
GBS.MI,10/07/2007,47.97,47.97,47.81,47.84,1468
GBS.MI,11/07/2007,47.83,47.83,47.63,47.63,1353
GBS.MI,12/07/2007,47.6,47.95,47.53,47.95,31682
GBS.MI,13/07/2007,47.9,47.92,47.66,47.66,2325
GBS.MI,16/07/2007,47.92,47.92,47.66,47.66,2349
GBS.MI,17/07/2007,47.56,47.83,47.56,47.57,15511
GBS.MI,18/07/2007,47.88,48.12,47.82,48.08,2720
GBS.MI,19/07/2007,48.14,48.29,48.09,48.26,1342
GBS.MI,20/07/2007,48.36,48.9,48.36,48.76,3113
GBS.MI,23/07/2007,48.88,48.96,48.72,48.88,18782
GBS.MI,24/07/2007,48.9,49,48.79,48.9,488
GBS.MI,25/07/2007,48.42,48.77,48.42,48.42,389
GBS.MI,26/07/2007,48.4,49.36,48.22,48.4,23369
GBS.MI,27/07/2007,47.82,47.96,47.73,47.82,15580
GBS.MI,30/07/2007,47.85,47.93,47.81,47.85,958
GBS.MI,31/07/2007,48.06,48.16,47.89,48.06,15434
GBS.MI,01/08/2007,47.96,49.9,47.73,47.96,2303
GBS.MI,02/08/2007,48.13,48.17,47.98,48.13,4834
GBS.MI,03/08/2007,48.06,48.1,48,48,455
GBS.MI,06/08/2007,48.09,48.31,47.99,48.15,991
GBS.MI,07/08/2007,48,48.09,47.88,48.09,196
GBS.MI,08/08/2007,48.9,48.9,48.09,48.21,130
GBS.MI,09/08/2007,48.5,48.5,47.8,47.8,180
GBS.MI,10/08/2007,47.97,48.69,47.82,48.69,16610
GBS.MI,13/08/2007,48.43,48.51,48.35,48.49,1990
GBS.MI,14/08/2007,48.62,48.63,48.53,48.61,2268
GBS.MI,16/08/2007,48.87,48.98,48.11,48.52,31529
GBS.MI,17/08/2007,47.69,48.23,47.69,47.78,15419
GBS.MI,20/08/2007,48.1,48.21,48.09,48.16,1953
GBS.MI,21/08/2007,48.18,48.28,48.03,48.15,601
GBS.MI,22/08/2007,48.15,48.15,48.15,48.15,74
GBS.MI,23/08/2007,48.25,48.4,48,48,472
GBS.MI,24/08/2007,48.02,48.03,47.93,47.99,15081
GBS.MI,27/08/2007,48.27,48.3,48.17,48.3,250
GBS.MI,28/08/2007,48.15,48.2,48.15,48.2,140
GBS.MI,29/08/2007,48.2,48.29,48.17,48.26,2131
GBS.MI,30/08/2007,48.25,48.27,48.2,48.2,16391
GBS.MI,31/08/2007,48.21,48.52,48.21,48.52,921
GBS.MI,03/09/2007,48.76,48.78,48.76,48.78,847
GBS.MI,04/09/2007,48.54,49.4,48.54,49.4,1802
GBS.MI,05/09/2007,49.43,49.5,49.3,49.32,1777
GBS.MI,06/09/2007,49.59,49.79,49.58,49.68,2997
GBS.MI,07/09/2007,49.99,50.5,49.99,50.46,45972
GBS.MI,10/09/2007,50.5,50.55,50.14,50.42,371034
GBS.MI,11/09/2007,50.6,50.62,50.25,50.47,4398
GBS.MI,12/09/2007,51,51,50.28,50.6,121374
GBS.MI,13/09/2007,50.45,50.45,50.15,50.21,2473
GBS.MI,14/09/2007,50.08,51.03,50.08,50.95,3137
GBS.MI,17/09/2007,50.65,51.06,50.48,50.94,13118
GBS.MI,18/09/2007,51.1,51.32,50.7,50.96,21766
GBS.MI,19/09/2007,51.16,51.24,50.97,51.15,3383
GBS.MI,20/09/2007,51.15,51.79,51.11,51.66,5995
GBS.MI,21/09/2007,51.76,51.76,51.5,51.6,5689
GBS.MI,24/09/2007,51.37,51.48,50.98,51.12,6001
GBS.MI,25/09/2007,51.02,51.03,50.72,50.78,6432
GBS.MI,26/09/2007,51.14,51.4,50.92,51.26,3498
GBS.MI,27/09/2007,51.02,51.23,50.86,50.99,125718
GBS.MI,28/09/2007,50.9,51.7,50.9,51.65,7057
GBS.MI,01/10/2007,51.8,51.84,51.47,51.82,5049
GBS.MI,02/10/2007,51.23,51.25,50.66,50.66,4991
GBS.MI,03/10/2007,50.95,51.2,50.85,50.95,3360
GBS.MI,04/10/2007,50.74,51.18,50.6,50.78,2628
GBS.MI,05/10/2007,51.42,51.52,51.18,51.42,2013
GBS.MI,08/10/2007,51.67,51.67,51.37,51.49,74514
GBS.MI,09/10/2007,51.41,51.85,51.16,51.72,723
GBS.MI,10/10/2007,51.72,51.92,51.71,51.81,5817
GBS.MI,11/10/2007,51.95,52,51.8,51.97,2355
GBS.MI,12/10/2007,52.03,52.19,51.94,52.08,2057
GBS.MI,15/10/2007,52.7,52.72,52.35,52.41,69605
GBS.MI,16/10/2007,52.5,53.24,52.5,52.81,4438
GBS.MI,17/10/2007,54,54,52.65,53,2119
GBS.MI,18/10/2007,52.72,52.84,52.41,52.72,23626
GBS.MI,19/10/2007,53.2,53.2,52.71,52.96,4160
GBS.MI,22/10/2007,52.44,52.44,52,52.23,16119
GBS.MI,23/10/2007,52.53,52.65,52.5,52.56,2450
GBS.MI,24/10/2007,53.2,53.2,52.34,52.4,41537
GBS.MI,25/10/2007,52.92,53,52.78,52.87,204431
GBS.MI,26/10/2007,53.2,53.52,53.2,53.38,9615
GBS.MI,29/10/2007,54.17,54.38,53.84,54.02,7876
GBS.MI,30/10/2007,53.91,53.92,53.41,53.63,1313
GBS.MI,31/10/2007,53.43,54,53.36,53.85,6850
GBS.MI,01/11/2007,54.33,54.33,53.71,53.87,2301
GBS.MI,02/11/2007,55,55,53.76,54.19,23101
GBS.MI,05/11/2007,54.77,54.9,54.63,54.83,18234
GBS.MI,06/11/2007,55.45,55.87,55.3,55.85,12251
GBS.MI,07/11/2007,54.16,57.4,54.16,56.21,21859
GBS.MI,08/11/2007,56.35,56.75,55.65,56.27,19528
GBS.MI,09/11/2007,56.19,56.19,55.69,56,8019
GBS.MI,12/11/2007,55.93,55.93,54.42,54.59,21136
GBS.MI,13/11/2007,54.33,54.5,54,54.04,3774
GBS.MI,14/11/2007,53.9,54.73,53.9,54.63,2666
GBS.MI,15/11/2007,54.7,54.7,53.33,53.47,3977
GBS.MI,16/11/2007,53.25,53.37,53.15,53.18,2649
GBS.MI,19/11/2007,53.26,53.29,52.27,52.64,4613
GBS.MI,20/11/2007,54,54,52.47,52.74,6114
GBS.MI,21/11/2007,53.65,53.65,53,53.09,17500
GBS.MI,22/11/2007,53.46,53.46,53.35,53.39,2085
GBS.MI,23/11/2007,54.03,54.36,53.75,54.34,2668
GBS.MI,26/11/2007,55.06,55.56,54.69,54.81,4013
GBS.MI,27/11/2007,54.85,54.85,53.59,54.04,3672
GBS.MI,28/11/2007,53.53,53.93,53,53.7,22466
GBS.MI,29/11/2007,53.87,54,53.27,53.37,1884
GBS.MI,30/11/2007,52.41,53.22,52.27,52.41,2722
GBS.MI,03/12/2007,54.8,54.8,52.1,52.79,2333
GBS.MI,04/12/2007,53.14,53.44,53.11,53.34,1781
GBS.MI,05/12/2007,53.88,53.88,53.35,53.48,1607
GBS.MI,06/12/2007,53.44,54.08,53.25,53.69,5668
GBS.MI,07/12/2007,53.93,53.98,53.48,53.64,863
GBS.MI,10/12/2007,53.84,54.32,53.73,53.95,4487
GBS.MI,11/12/2007,56,56,54.14,54.26,3580
GBS.MI,12/12/2007,54.16,54.75,54,54.71,7040
GBS.MI,13/12/2007,54.43,54.43,53.7,53.82,2769
GBS.MI,14/12/2007,53.82,54.1,53.82,54.06,1118
GBS.MI,17/12/2007,54.3,54.52,54.01,54.37,3619
GBS.MI,18/12/2007,54.59,55.08,54.55,54.9,8804
GBS.MI,19/12/2007,55.04,55.1,54.71,55.01,2962
GBS.MI,20/12/2007,54.91,55.1,54.69,54.77,1367
GBS.MI,21/12/2007,55.02,55.62,55.02,55.53,6188
GBS.MI,27/12/2007,55.94,56.29,55.9,56.1,2372
GBS.MI,28/12/2007,55.81,56.05,55.6,56.05,7913
GBS.MI,02/01/2008,56.5,57.4,56.48,57.14,15177
GBS.MI,03/01/2008,57.37,58.03,57.33,57.53,20411
GBS.MI,04/01/2008,58.5,58.5,57.13,57.21,21231
GBS.MI,07/01/2008,57.56,57.92,57.45,57.52,2741
GBS.MI,08/01/2008,60,60,58.21,58.53,9411
GBS.MI,09/01/2008,59.46,59.58,58.72,59.18,17550
GBS.MI,10/01/2008,59.14,59.5,58.38,59.14,4921
GBS.MI,11/01/2008,59.38,59.88,59.35,59.72,3185
GBS.MI,14/01/2008,60,60.45,59.75,60.17,12794
GBS.MI,15/01/2008,60.2,60.47,59.97,60.38,3216
GBS.MI,16/01/2008,60.23,61.1,58.63,58.69,24728
GBS.MI,17/01/2008,59.5,59.62,59.37,59.5,3237
GBS.MI,18/01/2008,60,60,58.72,59.32,6319
GBS.MI,21/01/2008,59.42,59.53,58.94,59.17,20857
GBS.MI,22/01/2008,58.19,60.06,58.11,60.05,16958
GBS.MI,23/01/2008,60.14,60.45,59.73,60.14,6668
GBS.MI,24/01/2008,59.95,61,59.95,60.67,25368
GBS.MI,25/01/2008,61.1,61.86,61.1,61.38,10935
GBS.MI,28/01/2008,61.48,61.63,61.4,61.63,10328
GBS.MI,29/01/2008,61.83,62.16,61.47,61.89,12665
GBS.MI,30/01/2008,61.43,61.59,61.18,61.45,8330
GBS.MI,31/01/2008,61.24,61.52,61.12,61.24,5200
GBS.MI,01/02/2008,61.34,62,60.2,60.34,29962
GBS.MI,04/02/2008,60.35,60.55,59.28,59.81,11551
GBS.MI,05/02/2008,60,60,59.46,59.67,22185
GBS.MI,06/02/2008,60.5,61,59.8,60.77,25056
GBS.MI,07/02/2008,59.2,61.59,59.2,61.09,8832
GBS.MI,08/02/2008,62,62.46,61.75,62.34,15337
GBS.MI,11/02/2008,62.54,62.78,62.31,62.32,49916
GBS.MI,12/02/2008,62.5,62.6,61.65,61.96,5413
GBS.MI,13/02/2008,61.1,61.2,60.78,60.97,6832
GBS.MI,14/02/2008,61.33,61.58,61.23,61.29,4739
GBS.MI,15/02/2008,61.15,61.31,60.8,60.89,2136
GBS.MI,18/02/2008,62.8,62.8,60.48,60.79,8826
