Date,Open,High,Low,Close,Volume,Adj Close
2014-01-29,22.72,22.78,22.51,22.545,100,22.545
2014-01-30,22.73,22.73,22.685,22.715,300,22.715
2014-01-31,22.68,22.68,22.6,22.74,100,22.74
2014-02-03,22.83,22.83,22.64,22.535,1300,22.535
2014-02-04,22.54,22.555,22.45,22.5,4800,22.5
2014-02-05,22.52,22.52,22.35,22.355,3400,22.355
2014-02-06,22.505,22.505,22.505,22.555,300,22.555
2014-02-07,22.65,22.71,22.65,22.735,500,22.735
2014-02-10,22.75,22.75,22.725,22.68,400,22.68
2014-02-12,23.13,23.15,23.13,23.105,2200,23.105
2014-02-14,23.13,23.13,23.13,23.22,0,23.22
2014-02-17,23.32,23.32,23.32,23.315,100,23.315
2014-02-18,23.295,23.295,23.155,23.245,400,23.245
2014-02-20,23.15,23.205,23.15,23.24,400,23.24
2014-02-21,23.295,23.295,23.295,23.31,200,23.31
2014-02-24,23.32,23.5,23.32,23.47,1500,23.47
2014-02-25,23.4,23.49,23.4,23.445,200,23.445
2014-02-26,23.48,23.48,23.48,23.435,0,23.435
2014-02-27,23.35,23.375,23.21,23.37,200,23.37
2014-02-28,23.48,23.48,23.27,23.36,400,23.36
2014-03-03,23.26,23.265,23.1,23.125,200,23.125
2014-03-04,23.37,23.435,23.37,23.385,1700,23.385
2014-03-05,23.515,23.525,23.515,23.44,200,23.44
2014-03-06,23.625,23.625,23.49,23.475,500,23.475
2014-03-07,23.44,23.44,23.35,23.25,2400,23.25
2014-03-10,23.25,23.25,23.25,23.215,400,23.215
2014-03-11,23.375,23.375,23.375,23.25,600,23.25
2014-03-12,23.1,23.1,23.045,23.125,700,23.125
2014-03-13,23.06,23.2,23.06,23.125,5000,23.125
2014-03-14,23.1,23.11,23.0,23.04,4400,23.04
2014-03-17,23.5,23.5,23.22,23.21,700,23.21
2014-03-18,23.25,23.25,23.25,23.315,500,23.315
2014-03-19,23.14,23.14,23.14,23.24,0,23.24
2014-03-21,23.41,23.43,23.41,23.33,3600,23.33
2014-03-24,23.36,23.37,23.34,23.195,1000,23.195
2014-03-25,23.53,23.53,23.49,23.455,200,23.455
2014-03-27,23.66,23.66,23.66,23.615,100,23.615
2014-03-28,23.89,23.89,23.75,23.705,300,23.705
2014-03-31,23.89,23.89,23.63,23.775,900,23.775
2014-04-01,23.87,23.87,23.87,23.8,0,23.8
2014-04-02,23.98,23.98,23.91,23.91,400,23.91
2014-04-03,23.91,23.91,23.795,23.84,300,23.84
2014-04-04,24.105,24.105,24.0,24.065,1900,24.065
2014-04-07,23.95,23.98,23.95,23.94,200,23.94
2014-04-08,23.91,24.02,23.91,23.98,400,23.98
2014-04-09,24.2,24.2,24.12,24.045,1400,24.045
2014-04-11,23.91,23.91,23.83,23.82,600,23.82
2014-04-14,23.78,23.97,23.78,23.855,500,23.855
2014-04-15,23.91,23.99,23.91,23.785,0,23.785
2014-04-17,24.11,24.14,24.0,24.13,700,24.13
2014-04-22,24.45,24.45,24.25,24.3,7300,24.3
2014-04-23,24.385,24.385,24.2,24.16,800,24.16
2014-04-24,24.26,24.26,24.25,24.235,1300,24.235
2014-04-25,24.31,24.31,24.31,24.22,200,24.22
2014-04-28,24.1,24.21,24.1,24.155,4900,24.155
2014-04-29,24.36,24.36,24.32,24.255,300,24.255
2014-04-30,24.33,24.36,24.29,24.225,300,24.225
2014-05-02,24.225,24.46,24.225,24.37,0,24.37
2014-05-05,24.25,24.28,24.19,24.275,4700,24.275
2014-05-06,24.31,24.31,24.31,24.32,800,24.32
2014-05-07,24.33,24.33,24.33,24.285,800,24.285
2014-05-08,24.45,24.58,24.45,24.535,300,24.535
2014-05-09,24.475,24.65,24.475,24.585,300,24.585
2014-05-12,24.75,24.75,24.605,24.655,400,24.655
2014-05-13,24.8,24.8,24.8,24.745,400,24.745
2014-05-15,24.85,24.85,24.6,24.535,2000,24.535
2014-05-16,24.7,24.74,24.66,24.715,2800,24.715
2014-05-19,24.62,24.69,24.62,24.7,6400,24.7
2014-05-20,24.7,24.73,24.55,24.545,4700,24.545
2014-05-21,24.65,24.67,24.5,24.575,6300,24.575
2014-05-22,24.995,24.995,24.72,24.7,1000,24.7
2014-05-23,24.82,24.87,24.8,24.805,400,24.805
2014-05-26,24.975,24.975,24.75,24.865,1500,24.865
2014-05-27,25.015,25.015,24.94,24.915,13500,24.915
2014-05-28,24.98,24.98,24.93,24.93,800,24.93
2014-05-29,25.04,25.1,25.0,25.025,10100,25.025
2014-05-30,25.08,25.08,25.0,24.995,1200,24.995
2014-06-02,25.11,25.13,25.11,25.065,500,25.065
2014-06-03,25.0,25.075,24.9,24.945,6600,24.945
2014-06-05,25.065,25.205,25.065,25.105,6300,25.105
2014-06-06,25.285,25.325,25.235,25.29,2600,25.29
2014-06-09,25.29,25.435,25.29,25.35,15000,25.35
2014-06-10,25.43,25.43,25.295,25.38,15900,25.38
2014-06-11,25.35,25.435,25.25,25.215,12200,25.215
2014-06-12,25.355,25.415,25.27,25.225,8000,25.225
2014-06-13,25.305,25.34,25.21,25.25,6700,25.25
2014-06-16,25.3,25.33,25.02,25.245,8000,25.245
2014-06-17,25.41,25.41,25.23,25.225,15800,25.225
2014-06-18,25.18,25.27,25.145,25.17,10700,25.17
2014-06-19,25.495,25.495,25.42,25.37,2500,25.37
2014-06-20,25.5,25.5,25.275,25.42,7500,25.42
2014-06-23,25.4,25.5,25.265,25.39,9000,25.39
2014-06-24,25.42,25.42,25.19,25.33,4000,25.33
2014-06-25,25.0,25.375,25.0,25.175,2000,25.175
2014-06-26,25.335,25.345,25.125,25.22,2300,25.22
2014-06-27,25.39,25.43,25.32,25.385,2800,25.385
2014-06-30,25.37,25.415,25.315,25.34,2600,25.34
2014-07-02,25.55,25.56,25.46,25.415,1600,25.415
2014-07-03,25.4,25.44,25.36,25.41,5700,25.41
