ticker,dateTime,open,high,low,close,volume
GOLD3L.MI,14/03/2018,30.735,30.735,30.735,30.735,0
GOLD3L.MI,15/03/2018,30.325,30.325,30.325,30.325,0
GOLD3L.MI,16/03/2018,30.535,30.535,30.005,30.07,2054
GOLD3L.MI,19/03/2018,29.97,30.325,29.9,30,2536
GOLD3L.MI,20/03/2018,29.925,29.97,29.925,29.925,45
GOLD3L.MI,21/03/2018,30.24,30.9,30.24,30.9,1500
GOLD3L.MI,22/03/2018,30.96,30.96,30.96,30.96,0
GOLD3L.MI,23/03/2018,31.795,32.49,31.79,32.49,905
GOLD3L.MI,26/03/2018,32.49,32.64,32.49,32.57,562
GOLD3L.MI,27/03/2018,32.265,32.265,31.8,31.8,1117
GOLD3L.MI,28/03/2018,31.7,31.7,30.975,31.1,113
GOLD3L.MI,29/03/2018,30.6,30.6,30.545,30.6,10
GOLD3L.MI,03/04/2018,31.175,31.175,31.175,31.175,0
GOLD3L.MI,04/04/2018,31.865,32.26,31.42,31.435,778
GOLD3L.MI,05/04/2018,30.91,30.91,30.75,30.91,15
GOLD3L.MI,06/04/2018,30.805,31.25,30.68,31.25,1145
GOLD3L.MI,09/04/2018,31.155,31.155,31.155,31.155,0
GOLD3L.MI,10/04/2018,31.275,31.5,31.275,31.5,154
GOLD3L.MI,11/04/2018,32.35,33.12,32.35,33.005,1498
GOLD3L.MI,12/04/2018,33.1,33.1,31.41,31.42,2593
GOLD3L.MI,13/04/2018,31.8,31.935,31.8,31.8,300
GOLD3L.MI,16/04/2018,31.7,32.04,31.7,31.7,141
GOLD3L.MI,17/04/2018,31.56,31.78,31.56,31.56,40
GOLD3L.MI,18/04/2018,32.31,32.31,32.15,32.15,195
GOLD3L.MI,19/04/2018,32.32,32.32,31.725,32.3,222
GOLD3L.MI,20/04/2018,31.5,31.545,31.36,31.36,35
GOLD3L.MI,23/04/2018,31.05,31.05,30.59,30.59,534
GOLD3L.MI,24/04/2018,30.885,30.94,30.59,30.59,1457
GOLD3L.MI,25/04/2018,30.6,30.6,30.44,30.57,67
GOLD3L.MI,26/04/2018,30.515,30.53,30.33,30.4,498
GOLD3L.MI,27/04/2018,30.54,30.665,30.54,30.54,30
GOLD3L.MI,30/04/2018,30.2,31.175,30.015,30.075,662
GOLD3L.MI,02/05/2018,30.125,30.19,29.82,29.965,1368
GOLD3L.MI,03/05/2018,30.465,30.465,30.465,30.465,0
GOLD3L.MI,04/05/2018,30.475,30.475,30.21,30.21,117
GOLD3L.MI,07/05/2018,30.46,30.6,30.46,30.59,400
GOLD3L.MI,08/05/2018,30.495,30.495,30.265,30.265,322
GOLD3L.MI,09/05/2018,30.23,30.7,30.135,30.65,530
GOLD3L.MI,10/05/2018,30.715,30.905,30.715,30.715,200
GOLD3L.MI,11/05/2018,31.185,31.185,30.96,31.185,20
GOLD3L.MI,14/05/2018,30.735,30.735,30.735,30.735,0
GOLD3L.MI,15/05/2018,30.255,30.255,29.23,29.26,3485
GOLD3L.MI,16/05/2018,29.355,29.355,28.98,29,395
GOLD3L.MI,17/05/2018,28.945,29.04,28.925,29,423
GOLD3L.MI,18/05/2018,29,29.26,29,29.065,74
GOLD3L.MI,21/05/2018,29.075,29.075,29.075,29.075,0
GOLD3L.MI,22/05/2018,29.12,29.205,29.12,29.12,265
GOLD3L.MI,23/05/2018,29.66,29.69,29.5,29.69,65
GOLD3L.MI,24/05/2018,29.745,30.275,29.705,30.245,411
GOLD3L.MI,25/05/2018,30.5,30.5,30.325,30.5,60
GOLD3L.MI,28/05/2018,29.165,30.06,29.165,29.97,130
GOLD3L.MI,29/05/2018,30.4,30.475,30.24,30.24,1530
GOLD3L.MI,30/05/2018,30.005,30.255,30.005,30.005,280
GOLD3L.MI,31/05/2018,30.265,30.265,30.205,30.265,30
GOLD3L.MI,01/06/2018,29.495,29.8,29.495,29.495,1000
GOLD3L.MI,04/06/2018,29.56,29.56,29.505,29.56,80
GOLD3L.MI,05/06/2018,29.51,29.675,29.51,29.51,200
GOLD3L.MI,06/06/2018,29.715,29.715,29.715,29.715,0
GOLD3L.MI,07/06/2018,29.475,29.475,29.475,29.475,0
GOLD3L.MI,08/06/2018,29.815,29.815,29.6,29.6,210
GOLD3L.MI,11/06/2018,29.74,29.74,29.74,29.74,0
GOLD3L.MI,12/06/2018,29.585,29.585,29.585,29.585,0
GOLD3L.MI,13/06/2018,29.575,29.575,29.575,29.575,0
GOLD3L.MI,14/06/2018,30.23,30.425,30.23,30.3,250
GOLD3L.MI,15/06/2018,29.645,29.645,28.645,28.705,278
GOLD3L.MI,18/06/2018,28.6,28.65,28.56,28.65,1590
GOLD3L.MI,19/06/2018,28.19,28.365,28.19,28.365,350
GOLD3L.MI,20/06/2018,28.24,28.26,28.24,28.24,1000
GOLD3L.MI,21/06/2018,27.7,27.81,27.635,27.685,609
GOLD3L.MI,22/06/2018,27.735,27.805,27.635,27.635,250
GOLD3L.MI,25/06/2018,27.61,27.61,27.51,27.585,450
GOLD3L.MI,26/06/2018,27.3,27.3,27,27.035,503
GOLD3L.MI,27/06/2018,27.12,27.12,26.865,27.05,234
GOLD3L.MI,28/06/2018,26.69,26.69,26.69,26.69,0
GOLD3L.MI,29/06/2018,26.57,26.575,26.55,26.575,475
GOLD3L.MI,02/07/2018,26.45,26.48,26.255,26.48,200
GOLD3L.MI,03/07/2018,26.1,26.84,26.075,26.795,667
GOLD3L.MI,04/07/2018,27.07,27.07,26.905,26.92,2610
GOLD3L.MI,05/07/2018,26.645,26.895,26.645,26.785,242
GOLD3L.MI,06/07/2018,26.59,26.59,26.5,26.59,50
GOLD3L.MI,09/07/2018,28.28,28.28,26.85,27.02,1845
GOLD3L.MI,10/07/2018,26.2,26.56,26.185,26.185,76
GOLD3L.MI,11/07/2018,26.425,26.425,26.04,26.2,270
GOLD3L.MI,12/07/2018,26.04,26.175,26,26.09,644
GOLD3L.MI,13/07/2018,25.92,25.92,25.86,25.92,60
GOLD3L.MI,16/07/2018,25.895,25.895,25.555,25.595,170
GOLD3L.MI,17/07/2018,25.915,25.915,24.9,25.02,425
GOLD3L.MI,18/07/2018,24.845,24.88,24.75,24.87,215
GOLD3L.MI,19/07/2018,24.555,24.555,24.2,24.465,1795
GOLD3L.MI,20/07/2018,24.755,24.915,24.71,24.915,220
GOLD3L.MI,23/07/2018,24.84,24.915,24.53,24.91,120
GOLD3L.MI,24/07/2018,24.72,24.855,24.72,24.855,1820
GOLD3L.MI,25/07/2018,24.775,24.975,24.775,24.85,990
GOLD3L.MI,26/07/2018,24.87,24.87,24.75,24.75,305
GOLD3L.MI,27/07/2018,24.44,24.68,24.38,24.66,650
GOLD3L.MI,30/07/2018,24.435,24.44,24.435,24.44,140
GOLD3L.MI,31/07/2018,24.22,24.49,24,24,285
GOLD3L.MI,01/08/2018,24.505,24.505,24.23,24.315,210
GOLD3L.MI,02/08/2018,24.22,24.305,24.075,24.18,290
GOLD3L.MI,03/08/2018,23.755,24.425,23.755,24.4,515
GOLD3L.MI,06/08/2018,24.085,24.085,23.975,24.005,70
GOLD3L.MI,07/08/2018,23.99,23.99,23.95,23.95,72
GOLD3L.MI,08/08/2018,23.935,23.935,23.815,23.92,405
GOLD3L.MI,09/08/2018,24.005,24.215,24,24.155,870
GOLD3L.MI,10/08/2018,24.15,24.58,24.125,24.58,2206
GOLD3L.MI,13/08/2018,23.575,23.575,23.37,23.435,350
GOLD3L.MI,14/08/2018,24,24,23.31,23.435,115
GOLD3L.MI,16/08/2018,22.53,22.56,22.23,22.4,1035
GOLD3L.MI,17/08/2018,22.145,22.42,22.145,22.375,52
GOLD3L.MI,20/08/2018,22.79,22.79,22.715,22.79,200
GOLD3L.MI,21/08/2018,22.735,22.735,22.685,22.735,40
GOLD3L.MI,22/08/2018,23.055,23.225,22.895,23.22,1178
GOLD3L.MI,23/08/2018,22.535,22.68,22.535,22.68,150
GOLD3L.MI,24/08/2018,23.54,23.54,23.47,23.54,50
GOLD3L.MI,27/08/2018,23.27,25.04,23.27,23.345,525
GOLD3L.MI,28/08/2018,23.435,23.435,23.42,23.435,450
GOLD3L.MI,29/08/2018,23.435,23.435,23.095,23.215,828
GOLD3L.MI,30/08/2018,23.12,23.12,22.965,23,170
GOLD3L.MI,31/08/2018,23.32,23.395,23.15,23.28,309
GOLD3L.MI,03/09/2018,23.25,23.25,23.11,23.25,42
GOLD3L.MI,04/09/2018,22.955,22.955,22.66,22.71,270
GOLD3L.MI,05/09/2018,22.875,22.875,22.875,22.875,0
GOLD3L.MI,06/09/2018,23,23.015,23,23,2100
GOLD3L.MI,07/09/2018,23.015,23.015,22.97,23.015,90
GOLD3L.MI,10/09/2018,22.755,22.86,22.745,22.745,374
GOLD3L.MI,11/09/2018,22.8,22.8,22.7,22.705,100
GOLD3L.MI,12/09/2018,22.72,23.155,22.72,22.865,587
GOLD3L.MI,13/09/2018,23.27,23.27,23.085,23.27,400
GOLD3L.MI,14/09/2018,23.315,23.315,22.73,23,602
GOLD3L.MI,17/09/2018,22.835,23.03,22.835,23.03,307
GOLD3L.MI,18/09/2018,22.8,22.8,22.78,22.785,1030
GOLD3L.MI,19/09/2018,23.025,23.085,23.025,23.025,100
GOLD3L.MI,20/09/2018,23,23.05,22.94,23.05,60
GOLD3L.MI,21/09/2018,22.94,22.94,22.255,22.745,1018
GOLD3L.MI,24/09/2018,22.6,22.79,22.505,22.79,422
GOLD3L.MI,25/09/2018,24.11,24.11,22.675,22.715,222
GOLD3L.MI,26/09/2018,22.67,22.67,22.38,22.59,356
GOLD3L.MI,27/09/2018,22.58,22.58,21.845,21.86,1025
GOLD3L.MI,28/09/2018,21.86,22.46,21.86,22.44,1384
GOLD3L.MI,01/10/2018,22.19,22.325,22.14,22.14,400
GOLD3L.MI,02/10/2018,22.69,23.43,22.69,23.43,1580
GOLD3L.MI,03/10/2018,23.185,23.245,22.99,23.19,761
GOLD3L.MI,04/10/2018,23.08,23.375,23.08,23.375,265
GOLD3L.MI,05/10/2018,23.375,23.375,23.22,23.22,450
GOLD3L.MI,08/10/2018,22.775,22.865,22.245,22.4,850
GOLD3L.MI,09/10/2018,22.605,22.605,22.395,22.565,1201
GOLD3L.MI,10/10/2018,22.425,22.425,22.275,22.31,610
GOLD3L.MI,11/10/2018,22.695,23.99,22.695,23.915,1292
GOLD3L.MI,12/10/2018,23.94,24.19,23.94,24.025,330
GOLD3L.MI,15/10/2018,24.505,24.685,24.395,24.4,1320
GOLD3L.MI,16/10/2018,24.51,24.53,24.51,24.51,75
GOLD3L.MI,17/10/2018,24.21,24.55,24.21,24.52,1258
GOLD3L.MI,18/10/2018,24.31,24.61,24.18,24.18,250
GOLD3L.MI,19/10/2018,24.605,24.605,24.605,24.605,0
GOLD3L.MI,22/10/2018,24.41,24.41,24.285,24.335,500
GOLD3L.MI,23/10/2018,24.975,25.265,24.935,25,1330
GOLD3L.MI,24/10/2018,25.77,25.94,24.92,24.97,1613
GOLD3L.MI,25/10/2018,25.1,26.845,24.9,24.9,580
GOLD3L.MI,26/10/2018,26,26,25.23,25.33,1124
GOLD3L.MI,29/10/2018,24.94,24.945,24.9,24.9,152
GOLD3L.MI,30/10/2018,24.575,24.59,24.565,24.565,560
GOLD3L.MI,31/10/2018,24.27,24.28,24.18,24.18,1326
GOLD3L.MI,01/11/2018,25.06,25.06,25.06,25.06,0
GOLD3L.MI,02/11/2018,25.16,25.16,25,25,960
GOLD3L.MI,05/11/2018,24.82,24.975,24.82,24.975,60
GOLD3L.MI,06/11/2018,24.73,24.73,24.66,24.73,200
GOLD3L.MI,07/11/2018,24.6,24.6,24.575,24.6,100
GOLD3L.MI,08/11/2018,24.28,24.47,24.28,24.43,308
GOLD3L.MI,09/11/2018,24.3,24.405,23.09,23.72,2423
GOLD3L.MI,12/11/2018,23.65,23.65,23.5,23.5,315
GOLD3L.MI,13/11/2018,25.01,25.01,23.35,23.35,223
GOLD3L.MI,14/11/2018,23.315,23.335,23.25,23.25,185
GOLD3L.MI,15/11/2018,23.72,24.01,23.72,24.01,270
GOLD3L.MI,16/11/2018,24.04,24.435,24.04,24.435,954
GOLD3L.MI,19/11/2018,24.075,24.265,24.075,24.235,495
GOLD3L.MI,20/11/2018,24.6,24.6,24.405,24.53,400
GOLD3L.MI,21/11/2018,23.45,24.61,23.45,24.5,1330
GOLD3L.MI,22/11/2018,24.66,24.66,24.625,24.66,45
GOLD3L.MI,23/11/2018,24.31,24.505,24.31,24.4,170
GOLD3L.MI,26/11/2018,24.585,24.585,24.49,24.525,595
GOLD3L.MI,27/11/2018,24.41,24.625,24,24.45,653
GOLD3L.MI,28/11/2018,23.935,24.02,23.935,24.02,500
GOLD3L.MI,29/11/2018,24.58,24.595,24.47,24.595,1000
GOLD3L.MI,30/11/2018,24.31,24.34,24.25,24.34,309
GOLD3L.MI,03/12/2018,24.79,25.095,24.775,24.79,410
GOLD3L.MI,04/12/2018,25.3,25.345,25.285,25.285,200
GOLD3L.MI,05/12/2018,25.245,25.265,25.14,25.235,590
GOLD3L.MI,06/12/2018,25.24,25.53,25.24,25.53,1360
GOLD3L.MI,07/12/2018,25.62,25.7,25.62,25.7,365
GOLD3L.MI,10/12/2018,25.785,25.795,25.785,25.785,20
GOLD3L.MI,11/12/2018,25.78,25.78,25.67,25.78,65
GOLD3L.MI,12/12/2018,25.735,25.735,25.705,25.705,550
GOLD3L.MI,13/12/2018,25.395,25.495,25.395,25.47,315
GOLD3L.MI,14/12/2018,25.285,25.395,25.105,25.105,200
GOLD3L.MI,17/12/2018,25.36,25.515,25.36,25.4,254
GOLD3L.MI,18/12/2018,25.8,25.8,25.79,25.8,120
GOLD3L.MI,19/12/2018,25.835,26.155,25.835,26.045,840
GOLD3L.MI,20/12/2018,26,26.28,25.95,26.05,305
GOLD3L.MI,21/12/2018,26.17,26.305,26.17,26.305,354
GOLD3L.MI,27/12/2018,27.1,27.305,27.1,27.305,306
GOLD3L.MI,28/12/2018,27.575,27.575,27.225,27.385,1150
GOLD3L.MI,02/01/2019,27.77,28.12,27.77,28.075,1156
GOLD3L.MI,03/01/2019,28.14,28.24,28.115,28.115,350
GOLD3L.MI,04/01/2019,28.305,28.305,27.505,27.7,844
GOLD3L.MI,07/01/2019,27.85,28.235,27.835,27.835,619
GOLD3L.MI,08/01/2019,27.645,27.675,27.5,27.5,1290
GOLD3L.MI,09/01/2019,27.5,27.8,27.39,27.39,425
GOLD3L.MI,10/01/2019,27.72,27.72,27.72,27.72,0
GOLD3L.MI,11/01/2019,27.915,27.915,27.915,27.915,0
GOLD3L.MI,14/01/2019,28.125,28.125,27.95,28.105,200
GOLD3L.MI,15/01/2019,27.92,28.005,27.92,27.92,499
GOLD3L.MI,16/01/2019,28.005,28.345,28.005,28.005,500
GOLD3L.MI,17/01/2019,28.19,28.19,28.19,28.19,0
GOLD3L.MI,18/01/2019,27.715,27.715,27.6,27.6,500
GOLD3L.MI,21/01/2019,27.3,27.46,27.3,27.3,500
GOLD3L.MI,22/01/2019,27.625,27.625,27.545,27.625,200
GOLD3L.MI,23/01/2019,27.69,27.69,27.69,27.69,0
GOLD3L.MI,24/01/2019,27.58,27.665,27.58,27.58,145
