Date,Open,High,Low,Close,Volume,Adj Close
2006-12-14,18.7,18.7,18.58,18.7,7200,18.7
2006-12-15,18.98,18.99,18.85,18.98,7500,18.98
2006-12-18,19.08,19.1,19.02,19.08,14400,19.08
2006-12-19,18.72,19.0,18.72,18.72,10500,18.72
2006-12-20,18.97,18.97,18.92,18.97,5300,18.97
2006-12-21,18.941,19.01,18.93,18.941,8800,18.941
2006-12-22,19.03,19.03,19.01,19.03,1200,19.03
2006-12-27,19.56,19.63,19.5,19.56,15800,19.56
2006-12-28,19.8,19.81,19.69,19.8,26300,19.8
2006-12-29,19.69,19.74,19.65,19.69,16200,19.69
2007-01-02,19.86,20.65,19.84,19.86,28300,19.86
2007-01-03,20.1,20.1,19.95,20.1,24000,20.1
2007-01-04,19.88,20.0,19.7,19.88,13700,19.88
2007-01-05,20.15,20.18,19.97,20.15,13800,20.15
2007-01-08,20.15,20.15,19.91,20.15,15600,20.15
2007-01-09,20.03,20.1,19.85,20.03,16900,20.03
2007-01-10,19.65,19.95,19.48,19.65,33000,19.65
2007-01-11,19.53,19.6,19.5,19.53,4700,19.53
2007-01-12,19.86,19.93,19.79,19.86,3900,19.86
2007-01-15,20.29,20.31,20.1,20.29,9500,20.29
2007-01-16,20.25,20.26,20.15,20.25,5000,20.25
2007-01-17,20.23,20.31,20.15,20.23,4800,20.23
2007-01-18,20.47,20.52,20.28,20.47,5700,20.47
2007-01-19,20.46,20.54,20.4,20.46,8300,20.46
2007-01-22,20.99,21.01,20.69,20.99,12400,20.99
2007-01-23,20.98,21.0,20.76,20.98,10100,20.98
2007-01-24,21.02,21.2,20.92,21.02,10800,21.02
2007-01-25,21.0,21.2,20.81,21.0,18400,21.0
2007-01-26,20.88,21.2,20.53,20.88,8200,20.88
2007-01-29,20.45,20.52,20.38,20.45,6700,20.45
2007-01-30,20.5,20.65,20.45,20.5,3500,20.5
2007-01-31,20.64,21.0,20.1,20.64,9800,20.64
2007-02-01,20.45,20.57,20.45,20.45,3500,20.45
2007-02-02,20.54,20.67,20.51,20.54,3700,20.54
2007-02-05,20.51,20.7,20.42,20.51,4500,20.51
2007-02-06,20.66,20.87,20.62,20.66,4400,20.66
2007-02-07,20.8,20.81,20.65,20.8,18700,20.8
2007-02-08,20.76,20.82,20.44,20.76,26200,20.76
2007-02-09,20.57,20.7,20.43,20.57,3400,20.57
2007-02-12,20.69,20.7,20.45,20.69,2000,20.69
2007-02-13,20.17,20.44,20.1,20.17,26600,20.17
2007-02-14,20.01,20.12,20.0,20.01,6000,20.01
2007-02-15,20.16,20.34,20.11,20.16,2200,20.16
2007-02-16,20.14,20.29,20.14,20.14,7300,20.14
2007-02-19,20.15,20.3,20.1,20.15,5000,20.15
2007-02-20,20.12,20.28,20.1,20.12,13100,20.12
2007-02-21,20.1,20.37,20.0,20.1,7200,20.1
2007-02-22,20.56,20.59,20.36,20.56,3200,20.56
2007-02-23,20.24,20.54,20.24,20.24,3400,20.24
2007-02-26,20.24,20.24,20.07,20.24,17300,20.24
2007-02-27,19.56,19.9,19.41,19.56,15100,19.56
2007-02-28,19.26,19.3,19.03,19.26,8800,19.26
2007-03-01,18.79,18.99,18.72,18.79,13200,18.79
2007-03-02,18.89,19.14,18.89,18.89,27600,18.89
2007-03-05,18.32,18.45,18.18,18.32,5600,18.32
2007-03-06,18.81,18.85,18.75,18.81,1200,18.81
2007-03-07,18.65,18.7,18.51,18.65,1600,18.65
2007-03-08,18.94,18.96,18.89,18.94,3000,18.94
2007-03-09,18.953,19.2,18.78,18.953,52800,18.953
2007-03-12,19.2,19.23,19.0,19.2,16600,19.2
2007-03-13,19.01,19.06,19.01,19.01,1300,19.01
2007-03-14,18.45,18.51,18.3,18.45,58600,18.45
2007-03-15,18.44,18.53,18.39,18.44,1500,18.44
2007-03-16,18.23,18.31,18.23,18.23,13800,18.23
2007-03-19,18.82,18.85,18.6,18.82,400,18.82
2007-03-20,18.87,18.88,18.83,18.87,400,18.87
2007-03-21,18.87,19.07,18.82,18.87,1100,18.87
2007-03-22,19.1,19.1,19.1,19.1,1100,19.1
2007-03-23,19.1,19.25,19.05,19.1,1500,19.1
2007-03-26,19.203,19.36,19.0,19.203,2900,19.203
2007-03-27,19.26,19.27,19.01,19.26,800,19.26
2007-03-28,18.88,19.01,18.82,18.88,400,18.88
2007-03-29,19.19,19.35,19.13,19.19,3000,19.19
2007-03-30,19.349,19.37,19.18,19.349,1600,19.349
