ticker,dateTime,open,high,low,close,volume
HLTW.MI,24/09/2010,88.51,88.51,88.51,88.51,35
HLTW.MI,01/10/2010,86.98,86.98,86.67,86.67,82
HLTW.MI,04/10/2010,86.07,86.07,86.07,86.07,3
HLTW.MI,05/10/2010,86.04,86.04,86.04,86.04,30
HLTW.MI,06/10/2010,86.5,86.5,86.5,86.5,65
HLTW.MI,20/10/2010,87.68,87.68,87.68,87.68,280
HLTW.MI,25/10/2010,86.95,86.95,86.95,86.95,4
HLTW.MI,02/11/2010,87.03,87.03,87.03,87.03,600
HLTW.MI,04/11/2010,86.4,86.4,86.4,86.4,11
HLTW.MI,05/11/2010,87.18,87.18,87.18,87.18,92
HLTW.MI,10/11/2010,87.65,87.65,87.65,87.65,11
HLTW.MI,11/11/2010,88.32,88.32,88.32,88.32,35
HLTW.MI,15/11/2010,88.15,88.15,88.15,88.15,400
HLTW.MI,01/12/2010,90.52,90.52,90.46,90.46,3403
HLTW.MI,02/12/2010,90.15,90.37,90.15,90.37,39
HLTW.MI,06/12/2010,89.77,89.77,89.77,89.77,40
HLTW.MI,07/12/2010,89.94,89.94,89.94,89.94,6
HLTW.MI,10/12/2010,90.97,90.97,90.97,90.97,6
HLTW.MI,13/12/2010,91.21,91.21,91.21,91.21,81
HLTW.MI,15/12/2010,91.99,91.99,91.99,91.99,110
HLTW.MI,17/12/2010,92.12,92.47,92.12,92.47,53
HLTW.MI,22/12/2010,93.32,93.32,93.32,93.32,65
HLTW.MI,23/12/2010,93.01,93.01,93.01,93.01,110
HLTW.MI,27/12/2010,93.8,93.8,93.13,93.13,290
HLTW.MI,03/01/2011,92.24,92.28,91.91,91.98,6110
HLTW.MI,04/01/2011,92.2,92.22,92.2,92.22,375
HLTW.MI,06/01/2011,94.24,94.24,94.24,94.24,5
HLTW.MI,07/01/2011,94.36,94.36,94.36,94.36,75
HLTW.MI,10/01/2011,95.35,95.35,94.49,94.82,121
HLTW.MI,11/01/2011,94.96,94.96,94.96,94.96,5
HLTW.MI,12/01/2011,95.06,95.06,95.06,95.06,208
HLTW.MI,13/01/2011,93.81,93.81,93.81,93.81,10
HLTW.MI,17/01/2011,93.3,93.3,93.26,93.26,205
HLTW.MI,18/01/2011,93,93.22,93,93,390
HLTW.MI,20/01/2011,91.73,91.73,91.73,91.73,100
HLTW.MI,21/01/2011,91.04,91.04,91.04,91.04,265
HLTW.MI,01/02/2011,89.99,90.02,89.99,90.02,2671
HLTW.MI,02/02/2011,90.58,90.58,90.58,90.58,24
HLTW.MI,03/02/2011,90.59,90.74,90.59,90.74,77
HLTW.MI,04/02/2011,91.92,91.92,91.84,91.84,820
HLTW.MI,07/02/2011,92.64,92.64,92.64,92.64,76
HLTW.MI,08/02/2011,92.1,92.1,91.5,91.5,182
HLTW.MI,09/02/2011,91.71,91.71,91.51,91.53,85
HLTW.MI,10/02/2011,91.68,91.68,91.68,91.68,65
HLTW.MI,11/02/2011,91.82,92.26,91.82,92.26,47
HLTW.MI,15/02/2011,92.95,92.95,92.95,92.95,10
HLTW.MI,16/02/2011,93.14,93.19,93.14,93.19,65
HLTW.MI,17/02/2011,92.59,93.06,92.59,93.06,8
HLTW.MI,18/02/2011,92.89,93.01,92.89,93.01,26
HLTW.MI,21/02/2011,92.45,92.45,92.45,92.45,0
HLTW.MI,22/02/2011,92.09,92.09,92.09,92.09,0
HLTW.MI,23/02/2011,90.9,90.9,90.9,90.9,0
HLTW.MI,24/02/2011,90.41,90.41,90.41,90.41,0
HLTW.MI,25/02/2011,91.43,91.43,91.06,91.06,175
HLTW.MI,28/02/2011,91.87,91.87,91.87,91.87,0
HLTW.MI,01/03/2011,92.32,92.35,91.73,92,2741
HLTW.MI,02/03/2011,90.85,91.24,90.85,91.24,55
HLTW.MI,03/03/2011,91.09,91.82,91.09,91.82,10
HLTW.MI,04/03/2011,91.09,92.45,91.09,91.69,728
HLTW.MI,07/03/2011,91.37,91.37,91.2,91.2,35
HLTW.MI,08/03/2011,91.59,91.59,91.59,91.59,0
HLTW.MI,09/03/2011,91.42,91.59,91.42,91.59,4
HLTW.MI,10/03/2011,90.81,92.19,90.81,91.61,45
HLTW.MI,11/03/2011,91.11,91.11,90.94,90.94,6
HLTW.MI,14/03/2011,90.3,90.3,89.56,89.56,22
HLTW.MI,15/03/2011,89.01,89.01,87.94,87.94,100
HLTW.MI,16/03/2011,87.37,87.37,87.37,87.37,0
HLTW.MI,17/03/2011,87.94,88,87.75,87.75,11354
HLTW.MI,18/03/2011,87.76,87.76,87.32,87.32,2354
HLTW.MI,21/03/2011,87.75,87.75,87.75,87.75,0
HLTW.MI,22/03/2011,88,88,88,88,0
HLTW.MI,23/03/2011,87.97,87.97,87.97,87.97,0
HLTW.MI,24/03/2011,88.54,88.54,88.54,88.54,0
HLTW.MI,25/03/2011,89.62,89.62,89.62,89.62,0
HLTW.MI,28/03/2011,89.43,89.43,89.43,89.43,0
HLTW.MI,29/03/2011,89.59,89.64,89.59,89.64,11
HLTW.MI,30/03/2011,90.65,90.65,90.65,90.65,0
HLTW.MI,31/03/2011,90.13,90.13,90.13,90.13,0
HLTW.MI,01/04/2011,90.53,90.55,90.44,90.55,20
HLTW.MI,04/04/2011,90.92,90.92,90.92,90.92,275
HLTW.MI,05/04/2011,90.67,90.67,90.67,90.67,0
HLTW.MI,06/04/2011,90.18,90.18,90.18,90.18,0
HLTW.MI,07/04/2011,90.2,90.26,90.2,90.26,22
HLTW.MI,08/04/2011,90.37,90.37,89.63,89.92,68
HLTW.MI,11/04/2011,90.51,90.51,90.21,90.21,50
HLTW.MI,12/04/2011,90.02,90.02,89.96,89.96,2261
HLTW.MI,13/04/2011,90.01,90.01,90.01,90.01,0
HLTW.MI,14/04/2011,89.95,90.2,89.95,90.2,10
HLTW.MI,15/04/2011,91.18,91.18,91.18,91.18,0
HLTW.MI,18/04/2011,91.19,91.19,91.19,91.19,0
HLTW.MI,19/04/2011,91.04,91.04,91.04,91.04,0
HLTW.MI,20/04/2011,91.68,91.68,91.68,91.68,0
HLTW.MI,21/04/2011,91.72,91.72,91.72,91.72,0
HLTW.MI,26/04/2011,91.94,91.94,91.94,91.94,0
HLTW.MI,27/04/2011,91.54,92.17,91.54,92.17,2175
HLTW.MI,28/04/2011,92.13,92.13,92.13,92.13,0
HLTW.MI,29/04/2011,92.64,92.64,92.47,92.47,540
HLTW.MI,02/05/2011,92.99,92.99,92.91,92.91,1
HLTW.MI,03/05/2011,93.43,93.43,92.79,92.79,15
HLTW.MI,04/05/2011,93.3,93.3,92.54,92.54,2143
HLTW.MI,05/05/2011,93.93,93.93,93.93,93.93,0
HLTW.MI,06/05/2011,94.2,95.24,94.2,95.24,100
HLTW.MI,09/05/2011,95.4,96.16,95.4,96.16,62
HLTW.MI,10/05/2011,96.29,96.89,96.14,96.14,100
HLTW.MI,11/05/2011,96.81,97.23,96.7,97.23,62
HLTW.MI,12/05/2011,97.35,97.35,97.35,97.35,0
HLTW.MI,13/05/2011,97.95,98.67,97.95,98.27,110
HLTW.MI,16/05/2011,98.73,98.73,97.74,98.26,166
HLTW.MI,17/05/2011,97.72,97.72,97.72,97.72,0
HLTW.MI,18/05/2011,97.7,97.7,97.7,97.7,0
HLTW.MI,19/05/2011,98.58,98.58,97.79,97.79,101
HLTW.MI,20/05/2011,97.93,97.93,97.93,97.93,0
HLTW.MI,23/05/2011,97.46,97.46,97.46,97.46,0
HLTW.MI,24/05/2011,97.23,97.26,97.23,97.26,100
HLTW.MI,25/05/2011,97.19,97.6,97.19,97.6,100
HLTW.MI,26/05/2011,97.18,97.18,97.18,97.18,0
HLTW.MI,27/05/2011,96.95,96.97,96.76,96.97,30
HLTW.MI,30/05/2011,96.88,97.11,96.88,97.11,171
HLTW.MI,31/05/2011,97.18,97.18,97.18,97.18,0
HLTW.MI,01/06/2011,96.67,96.67,96.67,96.67,0
HLTW.MI,02/06/2011,95.89,95.89,95.89,95.89,0
HLTW.MI,03/06/2011,95,95,94.56,94.56,300
HLTW.MI,06/06/2011,94,94,94,94,0
HLTW.MI,07/06/2011,93.83,93.83,93.83,93.83,0
HLTW.MI,08/06/2011,93.68,93.68,93.68,93.68,0
HLTW.MI,09/06/2011,94.66,94.66,94.66,94.66,0
HLTW.MI,10/06/2011,94.23,94.23,94.23,94.23,0
HLTW.MI,13/06/2011,93.8,94.31,93.8,94.31,50
HLTW.MI,14/06/2011,94.2,94.47,94.2,94.47,57
HLTW.MI,15/06/2011,95.09,95.09,95.09,95.09,0
HLTW.MI,16/06/2011,95.08,95.08,95.01,95.01,100
HLTW.MI,17/06/2011,94.59,94.59,94.59,94.59,0
HLTW.MI,20/06/2011,94.26,94.4,94.2,94.4,350
HLTW.MI,21/06/2011,94.62,94.62,94.62,94.62,0
HLTW.MI,22/06/2011,94.55,94.55,94.55,94.55,0
HLTW.MI,23/06/2011,94.39,94.39,94.39,94.39,0
HLTW.MI,24/06/2011,94.57,94.57,94.57,94.57,0
HLTW.MI,27/06/2011,93.91,93.91,93.91,93.91,0
HLTW.MI,28/06/2011,94.52,94.52,94.52,94.52,0
HLTW.MI,29/06/2011,94.83,94.83,94.83,94.83,0
HLTW.MI,30/06/2011,94.85,94.85,94.85,94.85,0
HLTW.MI,01/07/2011,95.15,95.15,95.15,95.15,0
HLTW.MI,04/07/2011,95.3,95.74,95.3,95.74,102
HLTW.MI,05/07/2011,95.9,95.9,95.9,95.9,0
HLTW.MI,06/07/2011,96.96,96.96,96.96,96.96,0
HLTW.MI,07/07/2011,96.78,96.78,96.78,96.78,0
HLTW.MI,08/07/2011,97.17,97.17,97.17,97.17,0
HLTW.MI,11/07/2011,98.06,98.06,97.29,97.67,30
HLTW.MI,12/07/2011,97.94,97.94,97.94,97.94,0
HLTW.MI,13/07/2011,97.85,97.85,97.72,97.72,31
HLTW.MI,14/07/2011,97.3,97.44,97.01,97.12,1910
HLTW.MI,15/07/2011,97.33,97.94,97.05,97.05,1970
HLTW.MI,18/07/2011,97.49,97.49,96.71,96.71,131
HLTW.MI,19/07/2011,97.04,97.04,96.5,96.5,180
HLTW.MI,20/07/2011,96.7,96.7,96.7,96.7,0
HLTW.MI,21/07/2011,96.73,96.96,96.13,96.79,198
HLTW.MI,22/07/2011,96.82,96.82,96.82,96.82,0
HLTW.MI,25/07/2011,96.87,96.87,96.87,96.87,0
HLTW.MI,26/07/2011,95.58,95.58,95.58,95.58,0
HLTW.MI,27/07/2011,95.82,95.82,95,95.31,110
HLTW.MI,28/07/2011,94.87,95.43,94.87,95.43,70
HLTW.MI,29/07/2011,94.51,94.51,94.51,94.51,0
HLTW.MI,01/08/2011,94.5,94.5,93.5,93.7,152
HLTW.MI,02/08/2011,92.51,92.51,92.51,92.51,0
HLTW.MI,03/08/2011,90.64,90.64,90.64,90.64,0
HLTW.MI,04/08/2011,89.91,89.91,89.91,89.91,0
HLTW.MI,05/08/2011,89.19,89.19,87.21,87.21,40
HLTW.MI,08/08/2011,85.72,85.72,85.72,85.72,0
HLTW.MI,09/08/2011,85.16,85.16,85.16,85.16,0
HLTW.MI,10/08/2011,84.02,84.02,84.02,84.02,0
HLTW.MI,11/08/2011,84.62,84.62,84.62,84.62,0
HLTW.MI,12/08/2011,87.05,87.05,87.05,87.05,0
HLTW.MI,16/08/2011,87.21,87.21,87.21,87.21,0
HLTW.MI,17/08/2011,87.85,87.85,87.85,87.85,0
HLTW.MI,18/08/2011,85.35,85.35,85.35,85.35,0
HLTW.MI,19/08/2011,84.03,85.68,84.03,85.06,90
HLTW.MI,22/08/2011,85.46,85.46,85.46,85.46,0
HLTW.MI,23/08/2011,85.61,86.08,85.61,86.08,26
HLTW.MI,24/08/2011,87.43,87.43,87.43,87.43,0
HLTW.MI,25/08/2011,87,87,87,87,0
