Date,Open,High,Low,Close,Volume,Adj Close
2006-03-08,157.79,158.0,157.79,157.79,0,157.79
2006-03-09,157.55,157.55,157.35,157.55,0,157.55
2006-03-10,157.42,157.45,157.21,157.42,2300,157.42
2006-03-13,156.84,156.85,156.84,156.84,0,156.84
2006-03-14,156.84,157.08,156.83,156.84,0,156.84
2006-03-15,157.12,157.38,157.12,157.12,1200,157.12
2006-03-16,156.99,156.99,156.83,156.99,100,156.99
2006-03-17,157.62,157.83,157.62,157.62,200,157.62
2006-03-20,156.9,156.9,156.5,156.9,0,156.9
2006-03-21,156.5,156.5,156.5,156.5,0,156.5
2006-03-22,157.3,157.3,157.15,157.3,6700,157.3
2006-03-23,157.3,157.8,157.22,157.3,8400,157.3
2006-03-24,157.38,157.38,157.38,157.38,0,157.38
2006-03-27,157.38,158.06,157.31,157.38,3000,157.38
2006-03-28,157.04,157.25,157.04,157.04,1000,157.04
2006-03-29,155.73,155.94,155.73,155.73,1000,155.73
2006-03-30,155.92,156.1,155.55,155.92,0,155.92
2006-03-31,156.06,156.06,156.06,156.06,0,156.06
2006-04-03,154.56,156.03,154.56,154.56,100,154.56
2006-04-04,154.23,154.61,154.23,154.23,0,154.23
2006-04-05,154.13,154.2,154.13,154.13,0,154.13
2006-04-06,154.11,154.11,153.51,154.11,1000,154.11
2006-04-07,153.48,153.53,153.4,153.48,0,153.48
2006-04-10,153.49,153.56,153.49,153.49,100,153.49
2006-04-11,154.09,154.09,153.89,154.09,6400,154.09
2006-04-12,154.38,154.38,154.38,154.38,0,154.38
2006-04-13,153.74,154.23,153.31,153.74,74000,153.74
2006-04-18,153.74,154.03,153.16,153.74,3200,153.74
2006-04-19,153.82,154.5,153.82,153.82,23000,153.82
2006-04-20,152.95,153.65,152.95,152.95,0,152.95
2006-04-21,153.82,153.93,153.8,153.82,400,153.82
2006-04-24,153.5,153.85,153.5,153.5,0,153.5
2006-04-25,153.39,153.39,153.39,153.39,500,153.39
2006-04-26,152.86,152.86,152.86,152.86,0,152.86
2006-04-27,153.88,153.88,153.58,153.88,0,153.88
2006-04-28,153.88,154.11,153.88,153.88,1200,153.88
2006-05-02,154.45,154.53,154.18,154.45,100,154.45
2006-05-03,154.4,154.6,154.3,154.4,1000,154.4
2006-05-04,153.76,154.08,153.76,153.76,0,153.76
2006-05-05,154.02,154.02,154.0,154.02,600,154.02
2006-05-08,154.56,154.61,154.54,154.56,15200,154.56
2006-05-09,154.1,154.1,154.05,154.1,0,154.1
2006-05-10,154.04,154.49,154.04,154.04,0,154.04
2006-05-11,154.0,154.09,153.64,154.0,100,154.0
2006-05-12,154.3,154.3,154.3,154.3,1000,154.3
2006-05-15,153.83,154.11,153.83,153.83,34300,153.83
2006-05-16,154.63,154.63,153.94,154.63,5700,154.63
2006-05-17,154.63,154.71,154.05,154.63,0,154.63
2006-05-18,154.05,154.35,153.31,154.05,100,154.05
2006-05-19,153.77,153.77,153.77,153.77,0,153.77
2006-05-22,154.85,155.0,154.85,154.85,100,154.85
2006-05-23,154.85,155.34,154.36,154.85,700,154.85
2006-05-24,155.62,155.62,155.15,155.62,0,155.62
2006-05-25,154.65,154.91,154.65,154.65,8500,154.65
2006-05-26,154.35,154.35,154.35,154.35,0,154.35
2006-05-29,154.65,154.65,154.61,154.65,0,154.65
2006-05-30,154.62,154.65,154.62,154.62,0,154.62
2006-05-31,154.0,154.17,154.0,154.0,0,154.0
