ticker,dateTime,open,high,low,close,volume
IE00B3VSSL01,05/09/2014,71.6,71.6,71.6,71.6,0
IE00B3VSSL01,08/09/2014,72.08,72.08,72.08,72.08,0
IE00B3VSSL01,09/09/2014,72.03,72.03,72.03,72.03,0
IE00B3VSSL01,10/09/2014,71.78,71.78,71.78,71.78,0
IE00B3VSSL01,11/09/2014,71.89,71.89,71.89,71.89,0
IE00B3VSSL01,12/09/2014,71.89,71.89,71.89,71.89,0
IE00B3VSSL01,15/09/2014,72.13,72.13,71.37,72.13,6
IE00B3VSSL01,16/09/2014,71.37,71.82,71.37,71.82,50
IE00B3VSSL01,17/09/2014,71.9,71.9,71.9,71.9,0
IE00B3VSSL01,18/09/2014,72.68,72.68,72.68,72.68,0
IE00B3VSSL01,19/09/2014,73.58,73.58,73.01,73.58,140
IE00B3VSSL01,22/09/2014,72.52,72.52,72.52,72.52,0
IE00B3VSSL01,23/09/2014,72.35,72.35,72.35,72.35,0
IE00B3VSSL01,24/09/2014,72.8,72.8,72.8,72.8,0
IE00B3VSSL01,25/09/2014,72.04,72.04,72.04,72.04,0
IE00B3VSSL01,26/09/2014,72.35,72.35,72.35,72.35,0
IE00B3VSSL01,29/09/2014,72.64,72.64,72.64,72.64,0
IE00B3VSSL01,30/09/2014,73.67,73.67,73.67,73.67,0
IE00B3VSSL01,01/10/2014,72.99,72.99,72.99,72.99,0
IE00B3VSSL01,02/10/2014,71.68,71.68,71.68,71.68,0
IE00B3VSSL01,03/10/2014,73.18,73.18,73.18,73.18,0
IE00B3VSSL01,06/10/2014,73.14,73.14,73.14,73.14,0
IE00B3VSSL01,07/10/2014,72.13,72.13,72.13,72.13,0
IE00B3VSSL01,08/10/2014,71.37,71.37,71.3,71.37,700
IE00B3VSSL01,09/10/2014,72.47,72.47,72.47,72.47,0
IE00B3VSSL01,10/10/2014,70.81,70.81,70.81,70.81,0
IE00B3VSSL01,13/10/2014,69.43,69.43,69.43,69.43,0
IE00B3VSSL01,14/10/2014,69.47,69.47,69.47,69.47,0
IE00B3VSSL01,15/10/2014,67.66,67.66,67.66,67.66,0
IE00B3VSSL01,16/10/2014,67.68,67.68,67.68,67.68,0
IE00B3VSSL01,17/10/2014,68.44,68.62,68.44,68.44,700
IE00B3VSSL01,20/10/2014,68.45,68.45,68.45,68.45,0
IE00B3VSSL01,21/10/2014,69.94,69.94,69.94,69.94,0
IE00B3VSSL01,22/10/2014,71.22,71.22,71.22,71.22,0
IE00B3VSSL01,23/10/2014,71.12,71.35,71.12,71.12,750
IE00B3VSSL01,24/10/2014,71.42,71.6,71.42,71.42,750
IE00B3VSSL01,27/10/2014,71.54,71.54,71.54,71.54,0
IE00B3VSSL01,28/10/2014,71.99,71.99,71.99,71.99,0
IE00B3VSSL01,29/10/2014,72.24,72.24,72.24,72.24,0
IE00B3VSSL01,30/10/2014,72.98,72.98,72.98,72.98,0
IE00B3VSSL01,31/10/2014,74.77,74.77,74.73,74.77,750
IE00B3VSSL01,03/11/2014,75.63,75.65,75.63,75.63,750
IE00B3VSSL01,04/11/2014,74.83,74.83,74.83,74.83,0
IE00B3VSSL01,05/11/2014,75.76,75.76,75.76,75.76,0
IE00B3VSSL01,06/11/2014,75.96,75.96,75.96,75.96,0
IE00B3VSSL01,07/11/2014,76.08,76.08,76.08,76.08,0
IE00B3VSSL01,10/11/2014,76.29,76.29,76.29,76.29,0
IE00B3VSSL01,11/11/2014,76.49,76.55,76.2,76.39,245
IE00B3VSSL01,12/11/2014,76.12,76.12,76.12,76.12,0
IE00B3VSSL01,13/11/2014,76.76,76.76,76.76,76.76,0
IE00B3VSSL01,14/11/2014,77.15,77.15,77.15,77.15,0
IE00B3VSSL01,17/11/2014,76.75,76.97,76.75,76.75,100
IE00B3VSSL01,18/11/2014,76.91,76.91,76.91,76.91,0
IE00B3VSSL01,19/11/2014,76.28,76.28,76.28,76.28,0
IE00B3VSSL01,20/11/2014,76.74,76.74,76.74,76.74,0
IE00B3VSSL01,21/11/2014,78.04,78.04,78.04,78.04,0
IE00B3VSSL01,24/11/2014,77.89,77.89,77.89,77.89,0
IE00B3VSSL01,25/11/2014,77.98,77.98,77.98,77.98,0
IE00B3VSSL01,26/11/2014,78.1,78.1,78.1,78.1,0
IE00B3VSSL01,27/11/2014,78.63,78.63,78.62,78.63,40
IE00B3VSSL01,28/11/2014,79.25,79.25,79.25,79.25,0
IE00B3VSSL01,01/12/2014,77.79,78.09,77.79,77.79,750
IE00B3VSSL01,02/12/2014,78.5,78.5,78.5,78.5,0
IE00B3VSSL01,03/12/2014,79.21,79.21,79.21,79.21,0
IE00B3VSSL01,04/12/2014,78.41,78.41,78.41,78.41,0
IE00B3VSSL01,05/12/2014,79.49,79.49,79.49,79.49,0
IE00B3VSSL01,08/12/2014,81.18,81.18,79.18,81.18,30
IE00B3VSSL01,09/12/2014,77.06,77.06,77.06,77.06,0
IE00B3VSSL01,10/12/2014,77.4,77.4,77.4,77.4,0
IE00B3VSSL01,11/12/2014,77.85,77.85,77.85,77.85,0
IE00B3VSSL01,12/12/2014,76,76,76,76,0
IE00B3VSSL01,15/12/2014,75.25,75.25,75.25,75.25,0
IE00B3VSSL01,16/12/2014,75.09,75.09,75.09,75.09,0
IE00B3VSSL01,17/12/2014,74.83,74.83,74.83,74.83,0
IE00B3VSSL01,18/12/2014,78.08,78.08,78.08,78.08,0
IE00B3VSSL01,19/12/2014,79.28,79.28,79.28,79.28,0
IE00B3VSSL01,22/12/2014,79.7,79.7,79.7,79.7,0
IE00B3VSSL01,23/12/2014,80.89,80.89,80.89,80.89,0
IE00B3VSSL01,29/12/2014,80.81,80.81,80.81,80.81,0
IE00B3VSSL01,30/12/2014,80.23,80.23,80.23,80.23,0
IE00B3VSSL01,02/01/2015,80.25,80.25,79.58,80.25,185
IE00B3VSSL01,05/01/2015,80.25,80.25,79.55,79.58,3171
IE00B3VSSL01,06/01/2015,78.78,78.78,78.78,78.78,0
IE00B3VSSL01,07/01/2015,79.76,79.76,79.35,79.76,20
IE00B3VSSL01,08/01/2015,80.5,81.48,80.5,80.5,100
IE00B3VSSL01,09/01/2015,81.88,81.88,80.69,81.88,65
IE00B3VSSL01,12/01/2015,80.68,80.68,80.68,80.68,0
IE00B3VSSL01,13/01/2015,81.83,82.24,81.83,82.24,730
IE00B3VSSL01,14/01/2015,80.2,80.2,79.71,79.76,6438
IE00B3VSSL01,15/01/2015,80.58,81.1,80.58,81.1,46
IE00B3VSSL01,16/01/2015,80.8,81.16,80.44,80.44,21
IE00B3VSSL01,19/01/2015,80.7,80.7,80.7,80.7,0
IE00B3VSSL01,20/01/2015,81.43,81.43,81.27,81.43,160
IE00B3VSSL01,21/01/2015,81.27,82.03,81.27,81.27,185
