ticker,dateTime,open,high,low,close,volume
IE00B7LW6Y90,19/11/2012,133.65,133.65,133.65,133.65,0
IE00B7LW6Y90,20/11/2012,133.54,133.88,133.54,133.88,32
IE00B7LW6Y90,21/11/2012,131.13,131.13,131.13,131.13,0
IE00B7LW6Y90,22/11/2012,131.3,131.54,131.3,131.46,70
IE00B7LW6Y90,23/11/2012,131.73,131.73,131.73,131.73,0
IE00B7LW6Y90,26/11/2012,131.65,131.72,131.65,131.72,100
IE00B7LW6Y90,27/11/2012,131.91,131.99,131.91,131.99,250
IE00B7LW6Y90,28/11/2012,133.08,133.08,133.08,133.08,0
IE00B7LW6Y90,29/11/2012,133.12,133.12,133.12,133.12,0
IE00B7LW6Y90,30/11/2012,133.47,133.47,133.47,133.47,0
IE00B7LW6Y90,03/12/2012,133.9,133.9,133.9,133.9,0
IE00B7LW6Y90,04/12/2012,134.21,134.21,134.01,134.11,252
IE00B7LW6Y90,05/12/2012,134.06,134.06,133.86,133.86,786
IE00B7LW6Y90,06/12/2012,133.9,133.9,132.72,132.91,271
IE00B7LW6Y90,07/12/2012,133.11,133.11,133.11,133.11,0
IE00B7LW6Y90,10/12/2012,131.09,131.09,130.18,130.94,486
IE00B7LW6Y90,11/12/2012,131.2,131.81,131.2,131.81,3829
IE00B7LW6Y90,12/12/2012,132.7,132.7,132.7,132.7,0
IE00B7LW6Y90,13/12/2012,132.95,132.95,132.95,132.95,0
IE00B7LW6Y90,14/12/2012,133.38,133.38,133.38,133.38,0
IE00B7LW6Y90,17/12/2012,133.59,133.59,133.59,133.59,0
IE00B7LW6Y90,18/12/2012,134.32,134.59,134.32,134.46,387
IE00B7LW6Y90,19/12/2012,134.73,135.03,134.73,135.03,2
IE00B7LW6Y90,20/12/2012,135.14,135.18,134.98,134.98,405
IE00B7LW6Y90,21/12/2012,134.61,134.61,134.5,134.5,37
IE00B7LW6Y90,27/12/2012,134.31,134.31,134.2,134.2,10
IE00B7LW6Y90,28/12/2012,134.3,134.3,134.21,134.21,35
IE00B7LW6Y90,02/01/2013,135.74,135.74,135.74,135.74,119
IE00B7LW6Y90,03/01/2013,135.68,135.92,135.68,135.92,25
IE00B7LW6Y90,04/01/2013,135.82,135.82,135.82,135.82,0
IE00B7LW6Y90,07/01/2013,135.31,135.31,135.31,135.31,0
IE00B7LW6Y90,08/01/2013,135.7,135.79,135.7,135.72,89
IE00B7LW6Y90,09/01/2013,135.58,136.02,135.57,136.02,150
IE00B7LW6Y90,10/01/2013,136.91,136.91,136.91,136.91,0
IE00B7LW6Y90,11/01/2013,137.19,137.19,137.19,137.19,0
IE00B7LW6Y90,14/01/2013,137.03,137.03,136.69,136.69,125
IE00B7LW6Y90,15/01/2013,136.94,136.94,136.61,136.61,41
IE00B7LW6Y90,16/01/2013,136.86,136.86,136.86,136.86,0
IE00B7LW6Y90,17/01/2013,136.81,136.81,136.81,136.81,0
IE00B7LW6Y90,18/01/2013,136.98,137.16,136.95,137,207
IE00B7LW6Y90,21/01/2013,136.56,136.56,136.56,136.56,0
IE00B7LW6Y90,22/01/2013,136.58,136.67,136.58,136.67,76
IE00B7LW6Y90,23/01/2013,136.71,136.71,136.71,136.71,0
IE00B7LW6Y90,24/01/2013,136.83,136.94,136.83,136.94,1450
IE00B7LW6Y90,25/01/2013,137.15,137.15,137.15,137.15,0
IE00B7LW6Y90,28/01/2013,136.74,136.74,136.74,136.74,0
IE00B7LW6Y90,29/01/2013,137.05,137.05,136.99,136.99,173
IE00B7LW6Y90,30/01/2013,136.28,136.28,136.28,136.28,0
IE00B7LW6Y90,31/01/2013,136.22,136.22,136.22,136.22,0
IE00B7LW6Y90,01/02/2013,136.22,136.22,136.22,136.22,0
IE00B7LW6Y90,04/02/2013,135.7,135.7,135.14,135.14,331
IE00B7LW6Y90,05/02/2013,135.14,135.69,135.02,135.49,778
IE00B7LW6Y90,06/02/2013,135.66,135.66,134.82,134.82,263
IE00B7LW6Y90,07/02/2013,134.91,134.99,134.78,134.78,274
IE00B7LW6Y90,08/02/2013,134.97,134.97,134.87,134.87,4
IE00B7LW6Y90,11/02/2013,134.71,134.71,134.26,134.26,593
IE00B7LW6Y90,12/02/2013,135,135,135,135,0
IE00B7LW6Y90,13/02/2013,135.23,135.84,135.23,135.84,2333
IE00B7LW6Y90,14/02/2013,135.95,135.95,135.88,135.88,220
IE00B7LW6Y90,15/02/2013,136.02,136.02,136.02,136.02,0
IE00B7LW6Y90,18/02/2013,136.09,136.09,135.76,135.81,2245
IE00B7LW6Y90,19/02/2013,135.7,136.04,135.7,135.79,3433
