ticker,dateTime,open,high,low,close,volume
IE00B7ZQC614,12/12/2013,86.61,86.61,86.61,86.61,0
IE00B7ZQC614,13/12/2013,84,84,83.37,83.37,126
IE00B7ZQC614,16/12/2013,86.11,86.11,86.11,86.11,126
IE00B7ZQC614,17/12/2013,85.88,85.88,85.88,85.88,126
IE00B7ZQC614,18/12/2013,86.71,86.71,86.71,86.71,126
IE00B7ZQC614,19/12/2013,89.36,89.36,89.36,89.36,126
IE00B7ZQC614,20/12/2013,89.21,89.7,89.21,89.7,1
IE00B7ZQC614,23/12/2013,90.31,90.31,89.64,89.64,55
IE00B7ZQC614,27/12/2013,93.44,93.44,93.44,93.44,0
IE00B7ZQC614,30/12/2013,90.69,90.69,90.69,90.69,0
IE00B7ZQC614,02/01/2014,86.7,86.7,83,83.21,54
IE00B7ZQC614,03/01/2014,78.7,82.2,78.06,78.06,4
IE00B7ZQC614,06/01/2014,78.06,78.3,76.4,76.4,441
IE00B7ZQC614,07/01/2014,76.25,76.6,76.25,76.31,161
IE00B7ZQC614,08/01/2014,74.8,74.8,73,74.8,37
IE00B7ZQC614,09/01/2014,73.89,75.71,72.69,75.71,301
IE00B7ZQC614,10/01/2014,73.86,74.1,72.2,72.2,383
IE00B7ZQC614,13/01/2014,72.16,72.7,71.5,72.7,183
IE00B7ZQC614,14/01/2014,70.7,73.44,69,71.82,176
IE00B7ZQC614,15/01/2014,74,77.61,73.66,77.61,328
IE00B7ZQC614,16/01/2014,77,77,75.54,76.49,143
IE00B7ZQC614,17/01/2014,77.75,78.74,77.75,77.76,101
IE00B7ZQC614,20/01/2014,76.13,76.13,75.26,75.26,550
IE00B7ZQC614,21/01/2014,77.66,80,77.49,77.49,78
IE00B7ZQC614,22/01/2014,80.33,82.49,80,82.49,495
IE00B7ZQC614,23/01/2014,82.9,84.47,82.9,84.47,300
IE00B7ZQC614,24/01/2014,83.2,83.2,82.22,82.22,145
IE00B7ZQC614,27/01/2014,82.35,82.35,80.49,81.14,530
IE00B7ZQC614,28/01/2014,84.21,84.21,84.21,84.21,0
IE00B7ZQC614,29/01/2014,82.25,83.24,82.23,83.24,125
IE00B7ZQC614,30/01/2014,87,87.52,87,87.52,137
IE00B7ZQC614,31/01/2014,86.47,86.47,86.47,86.47,0
IE00B7ZQC614,03/02/2014,84,84,82.28,82.28,2
IE00B7ZQC614,04/02/2014,85.06,85.06,85.06,85.06,0
IE00B7ZQC614,05/02/2014,85.8,86,83.5,83.5,700
IE00B7ZQC614,06/02/2014,87.45,87.5,86.83,86.83,225
IE00B7ZQC614,07/02/2014,84.55,87.11,84.55,87.11,100
IE00B7ZQC614,10/02/2014,88,91.57,88,91.57,299
IE00B7ZQC614,11/02/2014,91.45,91.45,90.9,91.25,384
IE00B7ZQC614,12/02/2014,92.7,94.59,92.7,93.64,261
IE00B7ZQC614,13/02/2014,90.33,91.96,90.32,91.96,155
IE00B7ZQC614,14/02/2014,90.88,92.11,90.88,92.11,305
IE00B7ZQC614,17/02/2014,94.6,94.6,93.51,93.51,135
IE00B7ZQC614,18/02/2014,93.05,95.13,93.05,95.13,205
IE00B7ZQC614,19/02/2014,97,98.75,97,98.75,233
IE00B7ZQC614,20/02/2014,100,100.06,100,100.06,2
IE00B7ZQC614,21/02/2014,97.88,97.88,97.88,97.88,0
IE00B7ZQC614,24/02/2014,99.83,100.36,99.83,100.36,27
IE00B7ZQC614,25/02/2014,97.85,97.85,95.2,95.97,270
IE00B7ZQC614,26/02/2014,97.75,100.3,97.75,99.83,87
IE00B7ZQC614,27/02/2014,98.8,98.8,97.45,98.16,300
IE00B7ZQC614,28/02/2014,97.77,98.16,96.7,98.16,108
IE00B7ZQC614,03/03/2014,103,106.6,102.34,105.19,302
IE00B7ZQC614,04/03/2014,101.9,101.9,101.1,101.35,163
IE00B7ZQC614,05/03/2014,100.4,100.4,97.94,97.94,223
IE00B7ZQC614,06/03/2014,95.25,95.33,94.37,94.37,78
IE00B7ZQC614,07/03/2014,95.35,97.54,95.35,97.54,80
IE00B7ZQC614,10/03/2014,94.3,94.3,94.11,94.11,10
IE00B7ZQC614,11/03/2014,93.81,93.81,91.97,91.97,10
IE00B7ZQC614,12/03/2014,88.6,88.6,84.86,85.02,132
IE00B7ZQC614,13/03/2014,85.57,86.14,84.75,85.43,287
IE00B7ZQC614,14/03/2014,86.6,87.7,86.38,86.38,237
IE00B7ZQC614,17/03/2014,83.55,83.68,83.55,83.68,200
IE00B7ZQC614,18/03/2014,87.5,87.55,87.33,87.33,43
IE00B7ZQC614,19/03/2014,87.5,87.85,87.5,87.85,60
IE00B7ZQC614,20/03/2014,88.9,88.9,87.96,87.96,40
IE00B7ZQC614,21/03/2014,90,92.5,90,91.57,65
IE00B7ZQC614,24/03/2014,91.28,91.47,91.28,91.47,33
IE00B7ZQC614,25/03/2014,91.05,92.23,89,92.14,503
IE00B7ZQC614,26/03/2014,90.2,91.3,90.2,91.3,35
IE00B7ZQC614,27/03/2014,92.5,96.69,92.5,96.69,96
IE00B7ZQC614,28/03/2014,97.5,98,97.35,97.35,63
IE00B7ZQC614,31/03/2014,95.4,95.4,95.13,95.13,57
IE00B7ZQC614,01/04/2014,95,95,93.61,93.61,30
IE00B7ZQC614,02/04/2014,91.15,91.15,89.24,89.24,62
IE00B7ZQC614,03/04/2014,89.65,91.27,89.65,91.27,33
IE00B7ZQC614,04/04/2014,94.97,96.6,94.97,96.2,217
IE00B7ZQC614,07/04/2014,94.1,94.5,93.65,93.65,95
IE00B7ZQC614,08/04/2014,95.6,95.6,94.5,95.48,140
IE00B7ZQC614,09/04/2014,97.6,99,97.6,98.84,130
IE00B7ZQC614,10/04/2014,100.6,101,99.61,99.61,348
IE00B7ZQC614,11/04/2014,101,101.35,101,101.35,200
IE00B7ZQC614,14/04/2014,103,103,101.87,101.87,15
IE00B7ZQC614,15/04/2014,100.9,102.31,100.33,102.31,170
IE00B7ZQC614,16/04/2014,104.9,104.9,101.87,101.87,546
IE00B7ZQC614,17/04/2014,101.5,103.88,101.5,103.88,20
IE00B7ZQC614,22/04/2014,102.9,102.9,98.8,98.8,158
IE00B7ZQC614,23/04/2014,97.85,98.34,96.7,98.34,406
IE00B7ZQC614,24/04/2014,98.17,99.2,97.5,99.2,50
IE00B7ZQC614,25/04/2014,95.54,95.54,95.11,95.11,70
IE00B7ZQC614,28/04/2014,96.5,96.5,94.41,94.5,306
IE00B7ZQC614,29/04/2014,97.45,98.46,97.45,98.46,98
IE00B7ZQC614,30/04/2014,94.52,94.52,91.3,91.5,302
IE00B7ZQC614,02/05/2014,91.62,92.23,91.2,92.23,42
IE00B7ZQC614,05/05/2014,91.65,91.65,90.9,91.06,191
IE00B7ZQC614,06/05/2014,90.78,92.86,90.78,92.86,6
IE00B7ZQC614,07/05/2014,92.95,93.98,92.45,93.76,204
IE00B7ZQC614,08/05/2014,99.32,99.32,92.96,92.96,68
IE00B7ZQC614,09/05/2014,95.95,96.15,95,95.77,384
IE00B7ZQC614,12/05/2014,95.1,95.86,95.1,95.41,39
IE00B7ZQC614,13/05/2014,97.55,97.95,97,97.37,26
IE00B7ZQC614,14/05/2014,99.75,101.06,99.65,101.06,124
IE00B7ZQC614,15/05/2014,100,100.7,99.18,99.18,204
IE00B7ZQC614,16/05/2014,98.65,100.13,98.65,100.13,68
IE00B7ZQC614,19/05/2014,102,102.2,101.95,101.95,57
IE00B7ZQC614,20/05/2014,102.3,102.7,101.96,101.96,117
IE00B7ZQC614,21/05/2014,104.84,106.99,104.84,106.99,670
IE00B7ZQC614,22/05/2014,108.5,108.5,107.57,107.57,544
IE00B7ZQC614,23/05/2014,108.4,109.15,108.36,109.15,140
IE00B7ZQC614,26/05/2014,108.51,108.51,108.51,108.51,0
IE00B7ZQC614,27/05/2014,108.51,108.52,107.7,108.52,600
IE00B7ZQC614,28/05/2014,108.8,108.8,105.87,106.98,149
IE00B7ZQC614,29/05/2014,106,106,104.1,105.96,84
IE00B7ZQC614,30/05/2014,103.91,103.91,103.91,103.91,0
IE00B7ZQC614,02/06/2014,104.8,104.8,103.3,103.35,80
IE00B7ZQC614,03/06/2014,103.3,103.95,103.3,103.95,1107
IE00B7ZQC614,04/06/2014,106.6,106.6,106.01,106.01,30
IE00B7ZQC614,05/06/2014,103.99,103.99,103.99,103.99,0
IE00B7ZQC614,06/06/2014,102.9,104.44,102.9,103.85,68
IE00B7ZQC614,09/06/2014,108.2,108.56,108.2,108.56,127
IE00B7ZQC614,10/06/2014,110,110,109.51,109.51,78
IE00B7ZQC614,11/06/2014,109.64,110.35,109.64,110.35,20
IE00B7ZQC614,12/06/2014,110.7,115.39,110.7,114.78,320
IE00B7ZQC614,13/06/2014,121.97,121.97,116.88,117.1,586
IE00B7ZQC614,16/06/2014,119.6,119.6,117.38,117.68,232
IE00B7ZQC614,17/06/2014,118.8,119.02,116,119.02,345
IE00B7ZQC614,18/06/2014,118.4,118.4,115.06,115.06,37
IE00B7ZQC614,19/06/2014,116.6,117.04,114.4,117.04,159
IE00B7ZQC614,20/06/2014,116.9,118.49,116.9,118.33,59
IE00B7ZQC614,23/06/2014,120.6,120.7,117.49,117.49,519
IE00B7ZQC614,24/06/2014,117.64,117.64,117.64,117.64,0
IE00B7ZQC614,25/06/2014,116.8,118,116.6,116.68,147
IE00B7ZQC614,26/06/2014,117.9,117.9,114.09,114.09,125
IE00B7ZQC614,27/06/2014,116.4,116.4,114.59,114.59,100
IE00B7ZQC614,30/06/2014,115,115,113.38,113.38,23
IE00B7ZQC614,01/07/2014,114.9,114.9,113.38,113.38,247
IE00B7ZQC614,02/07/2014,114.1,114.1,113.72,113.72,20
IE00B7ZQC614,03/07/2014,109.96,110.3,108.9,109.04,380
IE00B7ZQC614,04/07/2014,107.8,109.54,107.71,109.2,225
IE00B7ZQC614,07/07/2014,108.8,108.8,107.84,107.84,200
IE00B7ZQC614,08/07/2014,107.8,108.01,107.8,108.01,8
IE00B7ZQC614,09/07/2014,107.5,107.6,104.26,104.62,436
IE00B7ZQC614,10/07/2014,104.6,104.6,102.1,103.84,440
IE00B7ZQC614,11/07/2014,105.3,105.3,101.86,101.86,620
IE00B7ZQC614,14/07/2014,101.3,101.3,98.5,99.35,285
IE00B7ZQC614,15/07/2014,98.15,98.15,95.7,96.32,678
IE00B7ZQC614,16/07/2014,99,101.65,99,101.65,463
IE00B7ZQC614,17/07/2014,101.6,105.2,101.6,104.43,149
IE00B7ZQC614,18/07/2014,108.2,108.2,105.9,106.11,545
IE00B7ZQC614,21/07/2014,105.65,105.65,105.65,105.65,0
IE00B7ZQC614,22/07/2014,107.9,109.6,106.1,107.9,273
IE00B7ZQC614,23/07/2014,106.11,109.7,106.11,109.7,319
IE00B7ZQC614,24/07/2014,108.15,108.15,107.61,107.61,5
IE00B7ZQC614,25/07/2014,105.3,106.95,103.5,106.95,438
IE00B7ZQC614,28/07/2014,103.3,103.92,102.8,103.92,110
IE00B7ZQC614,29/07/2014,104.3,104.3,101.5,103.1,285
IE00B7ZQC614,30/07/2014,104.4,104.8,103.26,103.26,391
IE00B7ZQC614,31/07/2014,99.5,99.5,97.79,98.78,1565
IE00B7ZQC614,01/08/2014,92.6,96.15,91.5,92.13,1813
IE00B7ZQC614,04/08/2014,95,95.5,93,94.29,959
