ticker,dateTime,open,high,low,close,volume
IE00B95FFX04,02/09/2014,85.16,85.16,85.16,85.16,0
IE00B95FFX04,03/09/2014,85.24,85.24,84.78,84.78,2895
IE00B95FFX04,04/09/2014,85.02,86.08,85.02,86.08,2338
IE00B95FFX04,05/09/2014,86.73,86.73,86.2,86.25,2968
IE00B95FFX04,08/09/2014,86.55,86.9,85.9,85.97,3692
IE00B95FFX04,09/09/2014,86.4,86.4,85.95,85.95,1453
IE00B95FFX04,10/09/2014,85.77,85.77,84.99,85.12,2616
IE00B95FFX04,11/09/2014,85.32,85.32,85.1,85.21,1587
IE00B95FFX04,12/09/2014,85.14,85.14,84.64,84.64,1729
IE00B95FFX04,15/09/2014,84.4,84.68,84.25,84.57,2957
IE00B95FFX04,16/09/2014,84.79,84.79,84.66,84.66,1085
IE00B95FFX04,17/09/2014,84.94,84.94,84.79,84.79,2136
IE00B95FFX04,18/09/2014,84.88,85.24,84.69,85.2,4752
IE00B95FFX04,19/09/2014,84.76,85.09,84.66,85.02,1416
IE00B95FFX04,22/09/2014,84.88,85.14,84.67,85.14,5292
IE00B95FFX04,23/09/2014,84.98,84.99,84.52,84.57,1925
IE00B95FFX04,24/09/2014,84.5,85.15,84.5,85.15,3098
IE00B95FFX04,25/09/2014,85.53,85.97,85.15,85.28,1225
IE00B95FFX04,26/09/2014,85.46,85.88,85,85.68,3458
IE00B95FFX04,29/09/2014,85.79,86.4,85.6,85.76,3069
IE00B95FFX04,30/09/2014,85.78,86.54,85.52,86.16,951
IE00B95FFX04,01/10/2014,86,86.47,86,86.42,13675
IE00B95FFX04,02/10/2014,86.05,86.05,84.92,85.08,12646
IE00B95FFX04,03/10/2014,85.32,86.06,85.31,85.8,3173
IE00B95FFX04,06/10/2014,86.3,86.34,85.85,86,5646
IE00B95FFX04,07/10/2014,85.96,85.96,85.5,85.62,2076
IE00B95FFX04,08/10/2014,85.42,85.42,84.84,85.04,527
IE00B95FFX04,09/10/2014,85.15,85.39,85.1,85.25,1210
IE00B95FFX04,10/10/2014,84.99,85.29,84.39,85.1,1095
IE00B95FFX04,13/10/2014,84.95,84.95,84.82,84.92,751
IE00B95FFX04,14/10/2014,84.8,85.49,84.8,85.19,2009
IE00B95FFX04,15/10/2014,85.48,85.73,84.8,85.09,1015
IE00B95FFX04,16/10/2014,85.3,85.79,84.5,84.62,1124
IE00B95FFX04,17/10/2014,84.81,84.81,84.35,84.67,991
IE00B95FFX04,20/10/2014,84.97,84.97,84.6,84.65,1257
IE00B95FFX04,21/10/2014,84.63,85.02,84.5,84.93,496
IE00B95FFX04,22/10/2014,84.93,85.38,84.92,85.23,1519
IE00B95FFX04,23/10/2014,85.33,85.51,85.26,85.27,2670
IE00B95FFX04,24/10/2014,85.34,85.39,85.07,85.1,1321
IE00B95FFX04,27/10/2014,85.01,85.03,84.83,84.87,1036
IE00B95FFX04,28/10/2014,84.93,85.07,84.52,84.64,2225
IE00B95FFX04,29/10/2014,84.7,84.82,84.43,84.44,1000
IE00B95FFX04,30/10/2014,85.4,85.4,84.78,85.01,469
IE00B95FFX04,31/10/2014,85.4,86.15,85.4,85.9,1045
IE00B95FFX04,03/11/2014,86.58,86.58,86.01,86.26,934
IE00B95FFX04,04/11/2014,86.1,86.17,85.43,85.48,1412
IE00B95FFX04,05/11/2014,85.53,86.14,85.51,85.86,1404
IE00B95FFX04,06/11/2014,86,86.4,85.84,86.4,2212
IE00B95FFX04,07/11/2014,86.3,86.8,86.3,86.58,1397
IE00B95FFX04,10/11/2014,86.67,86.79,86.33,86.59,1685
IE00B95FFX04,11/11/2014,86.59,86.6,86.44,86.46,1474
IE00B95FFX04,12/11/2014,86.4,86.68,86,86.37,1454
