ticker,dateTime,open,high,low,close,volume
IE00B9MRJJ36,21/07/2014,16.08,16.08,16.08,16.08,0
IE00B9MRJJ36,22/07/2014,16.265,16.265,16.265,16.265,0
IE00B9MRJJ36,23/07/2014,16.345,16.345,16.295,16.295,260
IE00B9MRJJ36,24/07/2014,16.05,16.13,16.05,16.13,350
IE00B9MRJJ36,25/07/2014,15.935,15.935,15.935,15.935,0
IE00B9MRJJ36,28/07/2014,15.8,15.8,15.8,15.8,0
IE00B9MRJJ36,29/07/2014,15.88,15.88,15.88,15.88,0
IE00B9MRJJ36,30/07/2014,15.74,15.74,15.74,15.74,0
IE00B9MRJJ36,31/07/2014,15.515,15.515,15.365,15.365,200
IE00B9MRJJ36,01/08/2014,15.14,15.14,15.14,15.14,0
IE00B9MRJJ36,04/08/2014,15.035,15.035,15.035,15.035,0
IE00B9MRJJ36,05/08/2014,15.08,15.08,15.045,15.045,200
IE00B9MRJJ36,06/08/2014,14.9,14.9,14.9,14.9,0
IE00B9MRJJ36,07/08/2014,14.835,14.835,14.835,14.835,0
IE00B9MRJJ36,08/08/2014,14.765,14.765,14.765,14.765,0
IE00B9MRJJ36,11/08/2014,15.08,15.125,15.08,15.125,200
IE00B9MRJJ36,12/08/2014,14.99,14.99,14.99,14.99,0
IE00B9MRJJ36,13/08/2014,15.075,15.075,15.075,15.075,0
IE00B9MRJJ36,14/08/2014,15.22,15.22,15.22,15.22,0
IE00B9MRJJ36,18/08/2014,15.28,15.28,15.28,15.28,0
IE00B9MRJJ36,19/08/2014,15.445,15.445,15.445,15.445,0
IE00B9MRJJ36,20/08/2014,15.385,15.385,15.385,15.385,0
IE00B9MRJJ36,21/08/2014,15.465,15.465,15.465,15.465,0
IE00B9MRJJ36,22/08/2014,15.47,15.47,15.47,15.47,0
IE00B9MRJJ36,25/08/2014,15.56,15.62,15.56,15.62,160
IE00B9MRJJ36,26/08/2014,15.7,15.7,15.7,15.7,0
IE00B9MRJJ36,27/08/2014,15.735,15.735,15.735,15.735,0
IE00B9MRJJ36,28/08/2014,15.51,15.51,15.51,15.51,0
IE00B9MRJJ36,29/08/2014,15.475,15.475,15.475,15.475,0
IE00B9MRJJ36,01/09/2014,15.51,15.51,15.51,15.51,0
IE00B9MRJJ36,02/09/2014,15.565,15.565,15.565,15.565,0
IE00B9MRJJ36,03/09/2014,15.685,15.685,15.685,15.685,0
IE00B9MRJJ36,04/09/2014,15.735,15.735,15.735,15.735,0
IE00B9MRJJ36,05/09/2014,15.715,15.715,15.715,15.715,0
IE00B9MRJJ36,08/09/2014,15.705,15.705,15.705,15.705,0
IE00B9MRJJ36,09/09/2014,15.625,15.625,15.625,15.625,0
IE00B9MRJJ36,10/09/2014,15.52,15.52,15.52,15.52,0
IE00B9MRJJ36,11/09/2014,15.545,15.545,15.5,15.5,640
IE00B9MRJJ36,12/09/2014,15.495,15.495,15.495,15.495,0
IE00B9MRJJ36,15/09/2014,15.46,15.46,15.46,15.46,0
IE00B9MRJJ36,16/09/2014,15.285,15.285,15.285,15.285,0
IE00B9MRJJ36,17/09/2014,15.43,15.43,15.43,15.43,0
IE00B9MRJJ36,18/09/2014,15.5,15.5,15.5,15.5,0
IE00B9MRJJ36,19/09/2014,15.57,15.57,15.57,15.57,0
IE00B9MRJJ36,22/09/2014,15.48,15.48,15.48,15.48,0
IE00B9MRJJ36,23/09/2014,15.22,15.22,15.22,15.22,0
IE00B9MRJJ36,24/09/2014,15.235,15.235,15.235,15.235,0
IE00B9MRJJ36,25/09/2014,15.165,15.165,15.165,15.165,0
IE00B9MRJJ36,26/09/2014,15.18,15.18,15.18,15.18,0
IE00B9MRJJ36,29/09/2014,15.15,15.15,15.15,15.15,0
IE00B9MRJJ36,30/09/2014,15.235,15.235,15.235,15.235,0
IE00B9MRJJ36,01/10/2014,15.075,15.075,15.075,15.075,0
IE00B9MRJJ36,02/10/2014,14.82,14.82,14.82,14.82,0
IE00B9MRJJ36,03/10/2014,14.95,14.95,14.95,14.95,0
IE00B9MRJJ36,06/10/2014,14.89,14.89,14.89,14.89,0
IE00B9MRJJ36,07/10/2014,14.67,14.67,14.67,14.67,0
IE00B9MRJJ36,08/10/2014,14.49,14.49,14.49,14.49,0
IE00B9MRJJ36,09/10/2014,14.39,14.39,14.39,14.39,0
IE00B9MRJJ36,10/10/2014,14.115,14.115,14.115,14.115,0
IE00B9MRJJ36,13/10/2014,14.02,14.02,14.02,14.02,0
IE00B9MRJJ36,14/10/2014,13.995,14.17,13.995,14.17,300
IE00B9MRJJ36,15/10/2014,13.85,13.85,13.85,13.85,0
IE00B9MRJJ36,16/10/2014,13.82,13.82,13.82,13.82,0
IE00B9MRJJ36,17/10/2014,14.235,14.235,14.235,14.235,0
IE00B9MRJJ36,20/10/2014,14.11,14.11,14.11,14.11,0
IE00B9MRJJ36,21/10/2014,14.41,14.41,14.41,14.41,0
IE00B9MRJJ36,22/10/2014,14.605,14.605,14.605,14.605,0
IE00B9MRJJ36,23/10/2014,14.69,14.69,14.69,14.69,0
IE00B9MRJJ36,24/10/2014,14.65,14.65,14.605,14.605,150
IE00B9MRJJ36,27/10/2014,14.445,14.445,14.445,14.445,0
IE00B9MRJJ36,28/10/2014,14.605,14.605,14.605,14.605,0
IE00B9MRJJ36,29/10/2014,14.735,14.735,14.735,14.735,0
IE00B9MRJJ36,30/10/2014,14.805,14.805,14.805,14.805,0
IE00B9MRJJ36,31/10/2014,15.03,15.03,15.03,15.03,0
IE00B9MRJJ36,03/11/2014,15.075,15.075,15.075,15.075,0
IE00B9MRJJ36,04/11/2014,14.9,14.9,14.9,14.9,0
IE00B9MRJJ36,05/11/2014,15.04,15.04,15.04,15.04,0
IE00B9MRJJ36,06/11/2014,15.095,15.095,15.095,15.095,0
IE00B9MRJJ36,07/11/2014,15.05,15.05,15.05,15.05,0
IE00B9MRJJ36,10/11/2014,15.19,15.19,15.19,15.19,0
IE00B9MRJJ36,11/11/2014,15.235,15.235,15.235,15.235,0
IE00B9MRJJ36,12/11/2014,15.085,15.085,15.085,15.085,0
IE00B9MRJJ36,13/11/2014,15.145,15.145,15.145,15.145,0
IE00B9MRJJ36,14/11/2014,15.19,15.19,15.19,15.19,0
IE00B9MRJJ36,17/11/2014,15.3,15.3,15.3,15.3,0
IE00B9MRJJ36,18/11/2014,15.505,15.505,15.505,15.505,0
IE00B9MRJJ36,19/11/2014,15.575,15.575,15.575,15.575,0
IE00B9MRJJ36,20/11/2014,15.625,15.625,15.625,15.625,0
IE00B9MRJJ36,21/11/2014,15.88,15.88,15.88,15.88,0
IE00B9MRJJ36,24/11/2014,16,16,16,16,0
IE00B9MRJJ36,25/11/2014,15.975,15.975,15.975,15.975,0
IE00B9MRJJ36,26/11/2014,15.995,15.995,15.995,15.995,0
IE00B9MRJJ36,27/11/2014,16.01,16.01,16.01,16.01,0
IE00B9MRJJ36,28/11/2014,15.965,15.965,15.965,15.965,0
IE00B9MRJJ36,01/12/2014,15.905,15.905,15.905,15.905,0
IE00B9MRJJ36,02/12/2014,15.9,15.9,15.9,15.9,0
IE00B9MRJJ36,03/12/2014,16.055,16.055,16.055,16.055,0
IE00B9MRJJ36,04/12/2014,15.95,15.95,15.95,15.95,0
IE00B9MRJJ36,05/12/2014,16.17,16.17,16.17,16.17,0
IE00B9MRJJ36,08/12/2014,16.105,16.105,16.105,16.105,0
IE00B9MRJJ36,09/12/2014,15.81,15.81,15.81,15.81,0
IE00B9MRJJ36,10/12/2014,15.79,15.79,15.79,15.79,0
IE00B9MRJJ36,11/12/2014,15.815,15.815,15.815,15.815,0
IE00B9MRJJ36,12/12/2014,15.56,15.56,15.56,15.56,0
IE00B9MRJJ36,15/12/2014,15.315,15.315,15.315,15.315,0
IE00B9MRJJ36,16/12/2014,15.46,15.46,15.46,15.46,0
IE00B9MRJJ36,17/12/2014,15.47,15.55,15.47,15.55,7
IE00B9MRJJ36,18/12/2014,15.91,15.91,15.91,15.91,0
IE00B9MRJJ36,19/12/2014,15.97,15.97,15.905,15.905,7
IE00B9MRJJ36,22/12/2014,16.025,16.025,16.025,16.025,0
IE00B9MRJJ36,23/12/2014,16.12,16.12,16.12,16.12,0
IE00B9MRJJ36,29/12/2014,16.12,16.12,16.12,16.12,0
IE00B9MRJJ36,30/12/2014,15.975,15.975,15.975,15.975,0
IE00B9MRJJ36,02/01/2015,16.04,16.04,16.04,16.04,0
IE00B9MRJJ36,05/01/2015,16.135,16.135,15.775,15.775,650
IE00B9MRJJ36,06/01/2015,15.78,15.78,15.78,15.78,0
IE00B9MRJJ36,07/01/2015,15.83,15.83,15.83,15.83,0
IE00B9MRJJ36,08/01/2015,16.225,16.225,16.225,16.225,0
IE00B9MRJJ36,09/01/2015,16.09,16.09,16.09,16.09,0
IE00B9MRJJ36,12/01/2015,16.265,16.265,16.265,16.265,0
IE00B9MRJJ36,13/01/2015,16.415,16.415,16.415,16.415,0
IE00B9MRJJ36,14/01/2015,16.29,16.29,16.29,16.29,0
IE00B9MRJJ36,15/01/2015,16.475,16.475,16.475,16.475,0
