ticker,dateTime,open,high,low,close,volume
IE00BKS8QN04,01/08/2014,99.28,99.28,99.28,99.28,0
IE00BKS8QN04,04/08/2014,99.12,99.12,99.12,99.12,0
IE00BKS8QN04,05/08/2014,99.77,100.41,99.73,100.41,13385
IE00BKS8QN04,06/08/2014,98.63,98.63,98.63,98.63,0
IE00BKS8QN04,07/08/2014,98.14,98.14,97.83,97.83,500
IE00BKS8QN04,08/08/2014,96.9,97.5,96.9,97.44,5940
IE00BKS8QN04,11/08/2014,97.4,97.67,97.4,97.63,172
IE00BKS8QN04,12/08/2014,97.49,97.49,97.49,97.49,0
IE00BKS8QN04,13/08/2014,97.75,97.75,96.75,96.75,250
IE00BKS8QN04,14/08/2014,96.78,96.78,96.25,96.46,39
IE00BKS8QN04,18/08/2014,96.35,96.35,96.35,96.35,0
IE00BKS8QN04,19/08/2014,96.02,96.02,96.02,96.02,0
IE00BKS8QN04,20/08/2014,95.66,95.75,95.58,95.58,3065
IE00BKS8QN04,21/08/2014,95.7,95.84,95.7,95.84,1000
IE00BKS8QN04,22/08/2014,95.58,95.58,95.58,95.58,0
IE00BKS8QN04,25/08/2014,94.81,94.81,94.81,94.81,0
IE00BKS8QN04,26/08/2014,94.77,94.77,94.62,94.62,120
IE00BKS8QN04,27/08/2014,93.94,93.94,93.68,93.68,10
IE00BKS8QN04,28/08/2014,93.53,93.82,93.09,93.26,1819
IE00BKS8QN04,29/08/2014,93.3,93.3,93.3,93.3,0
IE00BKS8QN04,01/09/2014,93.34,93.34,93.23,93.23,50
IE00BKS8QN04,02/09/2014,94.18,94.18,94.15,94.15,1000
IE00BKS8QN04,03/09/2014,94.62,94.62,94.62,94.62,0
IE00BKS8QN04,04/09/2014,93.5,94.93,93.5,94.93,1453
IE00BKS8QN04,05/09/2014,94,94,94,94,0
IE00BKS8QN04,08/09/2014,93.85,94.26,93.85,94.26,302
IE00BKS8QN04,09/09/2014,95.49,95.89,95.48,95.54,1415
IE00BKS8QN04,10/09/2014,96,96,95.59,95.59,150
IE00BKS8QN04,11/09/2014,95,95.69,95,95.54,1581
IE00BKS8QN04,12/09/2014,96.43,96.43,96.43,96.43,0
IE00BKS8QN04,15/09/2014,95.94,95.94,95.94,95.94,0
IE00BKS8QN04,16/09/2014,95.92,95.92,95.92,95.92,0
IE00BKS8QN04,17/09/2014,95.51,95.51,95.51,95.51,0
IE00BKS8QN04,18/09/2014,96.39,96.39,96.39,96.39,0
IE00BKS8QN04,19/09/2014,95.29,95.29,95.29,95.29,0
IE00BKS8QN04,22/09/2014,94.63,94.63,94.63,94.63,0
IE00BKS8QN04,23/09/2014,94.45,94.45,94.45,94.45,0
IE00BKS8QN04,24/09/2014,94.46,94.46,94.34,94.34,80
IE00BKS8QN04,25/09/2014,93.62,93.62,93.62,93.62,0
IE00BKS8QN04,26/09/2014,93.81,93.84,93.41,93.41,3381
IE00BKS8QN04,29/09/2014,93.33,93.33,93.33,93.33,0
IE00BKS8QN04,30/09/2014,92.91,92.91,92.91,92.91,0
IE00BKS8QN04,01/10/2014,91.99,91.99,91.99,91.99,0
IE00BKS8QN04,02/10/2014,92.25,92.25,92.11,92.11,2485
IE00BKS8QN04,03/10/2014,92.81,92.81,92.71,92.71,50
IE00BKS8QN04,06/10/2014,92.36,92.36,92.25,92.25,22
IE00BKS8QN04,07/10/2014,92.2,92.41,92.08,92.08,2509
IE00BKS8QN04,08/10/2014,91.89,91.96,91.89,91.96,75
IE00BKS8QN04,09/10/2014,91.7,91.92,91.7,91.92,297
IE00BKS8QN04,10/10/2014,91.47,91.6,91.47,91.6,1000
IE00BKS8QN04,13/10/2014,91.65,91.65,91.65,91.65,0
IE00BKS8QN04,14/10/2014,90.65,90.8,90.51,90.51,1012
IE00BKS8QN04,15/10/2014,89.66,89.66,87.98,88.86,30
IE00BKS8QN04,16/10/2014,88.18,90.37,88.18,90.37,3497
IE00BKS8QN04,17/10/2014,90.97,91.16,90.97,91.16,1000
IE00BKS8QN04,20/10/2014,90.4,91.02,90.4,91.02,25
IE00BKS8QN04,21/10/2014,90.58,91.38,90.5,91.14,4546
IE00BKS8QN04,22/10/2014,91.06,91.06,91.06,91.06,0
IE00BKS8QN04,23/10/2014,91.66,91.66,91.66,91.66,0
IE00BKS8QN04,24/10/2014,91.52,91.52,91.52,91.52,0
IE00BKS8QN04,27/10/2014,91.44,91.47,90.97,90.97,700
IE00BKS8QN04,28/10/2014,90.91,91.18,90.91,91.18,300
IE00BKS8QN04,29/10/2014,91.59,91.6,91.54,91.54,570
IE00BKS8QN04,30/10/2014,90.5,90.5,90.3,90.49,2036
IE00BKS8QN04,31/10/2014,90.5,90.5,90.34,90.34,45
IE00BKS8QN04,03/11/2014,90.69,90.69,90.69,90.69,0
IE00BKS8QN04,04/11/2014,89.62,89.62,89.62,89.62,0
IE00BKS8QN04,05/11/2014,90.02,90.02,90.02,90.02,0
IE00BKS8QN04,06/11/2014,90.01,90.01,90.01,90.01,0
IE00BKS8QN04,07/11/2014,90.11,90.11,89.8,89.8,13
IE00BKS8QN04,10/11/2014,89.35,89.78,89.35,89.78,1200
IE00BKS8QN04,11/11/2014,89.85,89.85,89.85,89.85,0
IE00BKS8QN04,12/11/2014,89.38,89.38,89.38,89.38,0
IE00BKS8QN04,13/11/2014,89.05,89.13,89.05,89.12,670
IE00BKS8QN04,14/11/2014,88.93,89.03,88.93,88.99,155
IE00BKS8QN04,17/11/2014,89.14,89.14,89.14,89.14,0
IE00BKS8QN04,18/11/2014,89.18,89.18,89.18,89.18,0
IE00BKS8QN04,19/11/2014,89.5,90.08,89.5,90.08,10
IE00BKS8QN04,20/11/2014,89.03,89.03,89.03,89.03,0
IE00BKS8QN04,21/11/2014,88.82,88.82,88.5,88.54,1120
IE00BKS8QN04,24/11/2014,88.63,88.63,88.63,88.63,0
IE00BKS8QN04,25/11/2014,88.22,88.5,87.91,87.91,290
IE00BKS8QN04,26/11/2014,87.66,87.85,87.5,87.5,66
IE00BKS8QN04,27/11/2014,87.88,87.88,86.84,86.84,110
IE00BKS8QN04,28/11/2014,86.9,86.9,86.83,86.88,3195
IE00BKS8QN04,01/12/2014,87.55,87.55,87.55,87.55,0
IE00BKS8QN04,02/12/2014,87.66,87.99,87.66,87.99,200
IE00BKS8QN04,03/12/2014,88.21,88.21,87.99,87.99,80
IE00BKS8QN04,04/12/2014,88.39,88.39,88.39,88.39,0
IE00BKS8QN04,05/12/2014,88.72,88.72,88.72,88.72,0
IE00BKS8QN04,08/12/2014,87.28,87.28,87.28,87.28,0
IE00BKS8QN04,09/12/2014,87.29,87.29,86.6,86.6,255
IE00BKS8QN04,10/12/2014,86.46,86.55,86.35,86.35,2555
IE00BKS8QN04,11/12/2014,86.21,86.29,86,86.29,4521
IE00BKS8QN04,12/12/2014,85.61,85.61,82.25,85.19,9669
IE00BKS8QN04,15/12/2014,85.5,85.5,85.4,85.4,675
IE00BKS8QN04,16/12/2014,85.14,85.14,84.27,84.86,365
IE00BKS8QN04,17/12/2014,84.67,84.67,84.62,84.62,20
IE00BKS8QN04,18/12/2014,85,85,85,85,0
IE00BKS8QN04,19/12/2014,85.35,85.35,84.56,84.56,50
IE00BKS8QN04,22/12/2014,84.45,84.68,84.45,84.68,1100
IE00BKS8QN04,23/12/2014,84.54,84.56,84.51,84.51,1109
IE00BKS8QN04,29/12/2014,83.98,83.98,83.43,83.43,1100
IE00BKS8QN04,30/12/2014,83.4,83.47,83.16,83.32,2658
IE00BKS8QN04,02/01/2015,82.31,82.31,82.31,82.31,0
IE00BKS8QN04,05/01/2015,82.6,82.6,82.6,82.6,0
IE00BKS8QN04,06/01/2015,81.49,81.49,81.49,81.49,0
IE00BKS8QN04,07/01/2015,81.75,82,81.75,81.96,2200
IE00BKS8QN04,08/01/2015,82.22,82.45,82.22,82.45,500
IE00BKS8QN04,09/01/2015,81.99,81.99,81.99,81.99,0
IE00BKS8QN04,12/01/2015,82.28,82.28,81.98,81.98,56
IE00BKS8QN04,13/01/2015,81.61,81.87,81.43,81.87,196
IE00BKS8QN04,14/01/2015,81.02,81.02,81.02,81.02,12
IE00BKS8QN04,15/01/2015,81.04,81.04,80.78,80.78,380
IE00BKS8QN04,16/01/2015,80.61,80.61,80.61,80.61,0
IE00BKS8QN04,19/01/2015,80.38,80.38,80.19,80.29,53
IE00BKS8QN04,20/01/2015,80.47,80.47,80.41,80.41,15
IE00BKS8QN04,21/01/2015,81.69,81.8,81.55,81.8,790
IE00BKS8QN04,22/01/2015,82.14,82.24,80.2,80.39,1228
IE00BKS8QN04,23/01/2015,79.58,79.58,78.6,78.92,2811
IE00BKS8QN04,26/01/2015,78.9,79.8,78.89,79.62,439
IE00BKS8QN04,27/01/2015,79.5,79.5,79.28,79.28,50
IE00BKS8QN04,28/01/2015,79.37,79.37,78.77,78.77,63
IE00BKS8QN04,29/01/2015,78.37,78.99,78.37,78.99,415
IE00BKS8QN04,30/01/2015,78.43,78.43,77.85,77.85,1130
IE00BKS8QN04,02/02/2015,77.74,77.89,77.74,77.89,560
IE00BKS8QN04,03/02/2015,78.35,78.6,78.35,78.6,370
IE00BKS8QN04,04/02/2015,78.6,78.95,78.58,78.74,370
IE00BKS8QN04,05/02/2015,78.44,79.16,78.44,79.03,310
IE00BKS8QN04,06/02/2015,78.78,79.32,78.68,79.32,560
IE00BKS8QN04,09/02/2015,78.2,78.64,78.15,78.64,805
IE00BKS8QN04,10/02/2015,78.68,79.24,78.68,79.24,305
IE00BKS8QN04,11/02/2015,78.86,78.86,78.78,78.86,5
IE00BKS8QN04,12/02/2015,78.24,78.27,78.15,78.27,136
IE00BKS8QN04,13/02/2015,78.57,78.57,78.35,78.52,370
IE00BKS8QN04,16/02/2015,78.4,78.4,78.4,78.4,0
IE00BKS8QN04,17/02/2015,78.84,78.84,78.84,78.84,0
IE00BKS8QN04,18/02/2015,78.96,78.96,78.96,78.96,0
IE00BKS8QN04,19/02/2015,79.02,79.02,78.86,79.02,64
IE00BKS8QN04,20/02/2015,78.67,78.67,78.67,78.67,0
IE00BKS8QN04,23/02/2015,78.9,79.11,78.47,78.95,2680
IE00BKS8QN04,24/02/2015,78.62,78.62,78.52,78.62,100
IE00BKS8QN04,25/02/2015,78.02,78.02,77.7,77.77,207
IE00BKS8QN04,26/02/2015,77.17,77.17,76.89,76.89,788
IE00BKS8QN04,27/02/2015,77.7,77.7,77.48,77.6,350
IE00BKS8QN04,02/03/2015,77.6,78.15,77.6,77.6,214
IE00BKS8QN04,03/03/2015,78.28,78.38,78.28,78.28,649
IE00BKS8QN04,04/03/2015,78.6,78.68,78.6,78.6,390
IE00BKS8QN04,05/03/2015,78.64,79.08,78.06,78.22,25876
IE00BKS8QN04,06/03/2015,78.65,79.15,78.61,78.73,500
IE00BKS8QN04,09/03/2015,77.78,77.78,77.48,77.55,10539
IE00BKS8QN04,10/03/2015,76.87,76.87,75.98,75.98,5741
IE00BKS8QN04,11/03/2015,75.54,76.02,75.53,75.65,3994
IE00BKS8QN04,12/03/2015,75.64,76.44,75.34,75.72,2568
IE00BKS8QN04,13/03/2015,76.9,76.9,76.49,76.65,1070
IE00BKS8QN04,16/03/2015,76.7,76.84,76.63,76.63,230
IE00BKS8QN04,17/03/2015,76.93,76.98,76.93,76.98,2532
IE00BKS8QN04,18/03/2015,75.29,75.29,75.29,75.29,0
IE00BKS8QN04,19/03/2015,75.24,75.45,75.18,75.18,5527
IE00BKS8QN04,20/03/2015,75.22,75.26,75.22,75.22,1062
IE00BKS8QN04,23/03/2015,75.82,75.82,75.82,75.82,0
IE00BKS8QN04,24/03/2015,75.55,76.06,75.55,75.55,2
IE00BKS8QN04,25/03/2015,75.71,76.01,75.71,76.01,1761
IE00BKS8QN04,26/03/2015,75.77,75.77,75.77,75.77,0
IE00BKS8QN04,27/03/2015,75.7,76.18,75.61,75.65,10922
IE00BKS8QN04,30/03/2015,75.18,75.63,75.17,75.17,398
IE00BKS8QN04,31/03/2015,75.55,75.55,75.16,75.55,35
IE00BKS8QN04,01/04/2015,75.16,75.16,74.66,75.05,1621
IE00BKS8QN04,02/04/2015,75.02,75.21,74.95,74.95,1300
IE00BKS8QN04,07/04/2015,75.17,75.21,75.17,75.21,75
IE00BKS8QN04,08/04/2015,74.77,74.87,74.65,74.65,3270
IE00BKS8QN04,09/04/2015,74.56,74.71,74.55,74.71,550
IE00BKS8QN04,10/04/2015,74.55,74.55,74.55,74.55,0
IE00BKS8QN04,13/04/2015,74.36,74.7,74.36,74.7,480
IE00BKS8QN04,14/04/2015,74.27,74.27,73.95,73.95,405
IE00BKS8QN04,15/04/2015,74.04,74.04,73.48,73.52,4261
IE00BKS8QN04,16/04/2015,73.4,73.4,73.14,73.19,523
IE00BKS8QN04,17/04/2015,72.94,73.1,72.68,73.1,708
IE00BKS8QN04,20/04/2015,72.81,73.03,72.81,73.03,376
IE00BKS8QN04,21/04/2015,73.19,73.42,72.93,73.06,174
IE00BKS8QN04,22/04/2015,73.4,74.51,73.21,74.26,1096
IE00BKS8QN04,23/04/2015,74.35,74.55,73.99,74.55,1188
IE00BKS8QN04,24/04/2015,74.8,74.84,74.41,74.41,2575
IE00BKS8QN04,27/04/2015,74.25,74.65,74.12,74.65,910
