ticker,dateTime,open,high,low,close,volume
IE00BKWQ0P07,10/12/2014,93.92,93.92,93.92,93.92,0
IE00BKWQ0P07,11/12/2014,93.22,93.22,93.22,93.22,0
IE00BKWQ0P07,12/12/2014,91.39,91.39,91.39,91.39,0
IE00BKWQ0P07,15/12/2014,88.47,88.47,88.47,88.47,0
IE00BKWQ0P07,16/12/2014,90.43,90.43,90.43,90.43,0
IE00BKWQ0P07,17/12/2014,90.7,90.7,90.7,90.7,0
IE00BKWQ0P07,18/12/2014,93.06,93.06,93.06,93.06,0
IE00BKWQ0P07,19/12/2014,93.13,93.13,93.13,93.13,0
IE00BKWQ0P07,22/12/2014,93.17,93.17,93.17,93.17,0
IE00BKWQ0P07,23/12/2014,93.73,94.01,93.42,94.01,220
IE00BKWQ0P07,29/12/2014,94.14,94.14,94.14,94.14,0
IE00BKWQ0P07,30/12/2014,92.98,92.98,92.98,92.98,0
IE00BKWQ0P07,02/01/2015,92.51,92.51,92.51,92.51,0
IE00BKWQ0P07,05/01/2015,90.02,90.02,90.02,90.02,0
IE00BKWQ0P07,06/01/2015,89.46,89.46,89.46,89.46,0
IE00BKWQ0P07,07/01/2015,89.46,89.46,89.46,89.46,0
IE00BKWQ0P07,08/01/2015,91.75,91.75,91.75,91.75,0
IE00BKWQ0P07,09/01/2015,89.76,89.76,89.76,89.76,0
IE00BKWQ0P07,12/01/2015,90.17,90.17,89.49,89.49,25
IE00BKWQ0P07,13/01/2015,90.66,90.66,90.66,90.66,0
IE00BKWQ0P07,14/01/2015,89.31,89.31,88.97,88.97,260
IE00BKWQ0P07,15/01/2015,90.61,90.61,90.61,90.61,0
IE00BKWQ0P07,16/01/2015,92.04,92.04,92.04,92.04,0
IE00BKWQ0P07,19/01/2015,92.11,92.11,92.11,92.11,0
IE00BKWQ0P07,20/01/2015,93.03,93.03,93.03,93.03,0
IE00BKWQ0P07,21/01/2015,93.31,93.31,93.31,93.31,0
IE00BKWQ0P07,22/01/2015,95.54,95.54,95.54,95.54,0
IE00BKWQ0P07,23/01/2015,96.55,96.55,96.55,96.55,0
IE00BKWQ0P07,26/01/2015,97.26,97.26,97.26,97.26,0
IE00BKWQ0P07,27/01/2015,97.31,97.31,97.31,97.31,0
IE00BKWQ0P07,28/01/2015,98.2,98.2,98.2,98.2,0
IE00BKWQ0P07,29/01/2015,99.01,99.01,99.01,99.01,0
IE00BKWQ0P07,30/01/2015,97.87,97.87,97.87,97.87,0
IE00BKWQ0P07,02/02/2015,97.39,97.39,97.39,97.39,0
IE00BKWQ0P07,03/02/2015,97.49,97.49,97.49,97.49,0
IE00BKWQ0P07,04/02/2015,97.19,97.19,97.19,97.19,0
IE00BKWQ0P07,05/02/2015,96.45,96.45,96.45,96.45,0
IE00BKWQ0P07,06/02/2015,96.31,96.31,96.31,96.31,0
IE00BKWQ0P07,09/02/2015,94.37,94.37,94.37,94.37,0
IE00BKWQ0P07,10/02/2015,95.13,95.13,95.13,95.13,0
IE00BKWQ0P07,11/02/2015,95.24,95.24,95.24,95.24,0
IE00BKWQ0P07,12/02/2015,95.45,95.45,95.45,95.45,0
IE00BKWQ0P07,13/02/2015,95.29,95.29,95.29,95.29,0
IE00BKWQ0P07,16/02/2015,94.51,94.51,94.51,94.51,0
IE00BKWQ0P07,17/02/2015,94.75,94.75,94.75,94.75,0
IE00BKWQ0P07,18/02/2015,94.76,94.76,94.76,94.76,0
IE00BKWQ0P07,19/02/2015,94.69,94.69,94.69,94.69,0
IE00BKWQ0P07,20/02/2015,94.38,94.61,94.38,94.38,160
IE00BKWQ0P07,23/02/2015,95.38,95.38,95.38,95.38,0
IE00BKWQ0P07,24/02/2015,97.57,97.57,97.57,97.57,0
IE00BKWQ0P07,25/02/2015,97.47,97.47,97.47,97.47,0
IE00BKWQ0P07,26/02/2015,97.18,97.18,97.18,97.18,0
IE00BKWQ0P07,27/02/2015,98.23,98.23,98.23,98.23,0
IE00BKWQ0P07,02/03/2015,97.56,97.56,97.56,97.56,0
IE00BKWQ0P07,03/03/2015,96.54,96.54,96.54,96.54,0
IE00BKWQ0P07,04/03/2015,96.29,96.29,96.29,96.29,0
IE00BKWQ0P07,05/03/2015,97.32,97.32,97.32,97.32,0
IE00BKWQ0P07,06/03/2015,96.9,96.9,95.86,96.9,700
IE00BKWQ0P07,09/03/2015,96.05,96.05,96.05,96.05,0
IE00BKWQ0P07,10/03/2015,95.02,95.02,95.02,95.02,0
IE00BKWQ0P07,11/03/2015,96.2,96.2,96.2,96.2,0
IE00BKWQ0P07,12/03/2015,95.61,95.61,95.61,95.61,96
IE00BKWQ0P07,13/03/2015,94.86,94.86,94.86,94.86,0
IE00BKWQ0P07,16/03/2015,95.39,95.39,95.39,95.39,0
IE00BKWQ0P07,17/03/2015,95.75,95.75,95.75,95.75,0
IE00BKWQ0P07,18/03/2015,96.6,96.6,96.6,96.6,0
IE00BKWQ0P07,19/03/2015,97.37,97.37,97.37,97.37,0
IE00BKWQ0P07,20/03/2015,98.69,98.69,98.69,98.69,0
IE00BKWQ0P07,23/03/2015,97.82,97.82,97.82,97.82,0
IE00BKWQ0P07,24/03/2015,97.91,97.91,97.91,97.91,0
IE00BKWQ0P07,25/03/2015,97.79,97.79,97.79,97.79,0
IE00BKWQ0P07,26/03/2015,96.62,96.62,96.62,96.62,0
IE00BKWQ0P07,27/03/2015,97.03,97.03,97.03,97.03,0
IE00BKWQ0P07,30/03/2015,97.04,97.04,97.04,97.04,0
IE00BKWQ0P07,31/03/2015,96.34,96.34,96.34,96.34,0
IE00BKWQ0P07,01/04/2015,96.98,96.98,96.98,96.98,0
IE00BKWQ0P07,02/04/2015,96.35,96.35,96.35,96.35,0
IE00BKWQ0P07,07/04/2015,98.74,98.74,98.74,98.74,0
IE00BKWQ0P07,08/04/2015,98.57,98.57,98.57,98.57,0
IE00BKWQ0P07,09/04/2015,99.57,99.57,99.57,99.57,0
IE00BKWQ0P07,10/04/2015,99.9,99.9,99.9,99.9,0
IE00BKWQ0P07,13/04/2015,100.64,100.64,100.64,100.64,0
IE00BKWQ0P07,14/04/2015,100.15,100.15,100.15,100.15,0
