ticker,dateTime,open,high,low,close,volume
IE00BLNMQT00,09/12/2014,105.22,105.22,105.22,105.22,0
IE00BLNMQT00,10/12/2014,105.36,105.36,105.36,105.36,0
IE00BLNMQT00,11/12/2014,103.91,103.91,103.91,103.91,0
IE00BLNMQT00,12/12/2014,107.16,107.16,107.16,107.16,0
IE00BLNMQT00,15/12/2014,105.81,105.81,105.81,105.81,0
IE00BLNMQT00,16/12/2014,108.54,108.54,108.54,108.54,0
IE00BLNMQT00,17/12/2014,104.74,104.74,104.74,104.74,0
IE00BLNMQT00,18/12/2014,99.06,99.06,99.06,99.06,0
IE00BLNMQT00,19/12/2014,99,99,97.58,97.58,16
IE00BLNMQT00,22/12/2014,98.23,98.23,98.23,98.23,0
IE00BLNMQT00,23/12/2014,94.79,94.79,94.79,94.79,0
IE00BLNMQT00,29/12/2014,94.84,94.84,94.84,94.84,0
IE00BLNMQT00,30/12/2014,94.41,94.41,94.41,94.41,0
IE00BLNMQT00,02/01/2015,88.86,88.86,88.86,88.86,0
IE00BLNMQT00,05/01/2015,85.36,85.36,85.36,85.36,0
IE00BLNMQT00,06/01/2015,84.97,84.97,84.97,84.97,0
IE00BLNMQT00,07/01/2015,80.99,80.99,80.99,80.99,0
IE00BLNMQT00,08/01/2015,80.39,80.39,80.39,80.39,0
IE00BLNMQT00,09/01/2015,81.18,81.73,81.18,81.73,10
IE00BLNMQT00,12/01/2015,81.04,81.04,81.04,81.04,0
IE00BLNMQT00,13/01/2015,81.52,81.52,79.7,80.1,23
IE00BLNMQT00,14/01/2015,80.41,80.41,80.41,80.41,0
IE00BLNMQT00,15/01/2015,73.06,73.06,73.06,73.06,0
IE00BLNMQT00,16/01/2015,73.35,73.35,69.72,70.52,42
IE00BLNMQT00,19/01/2015,72.69,74.31,72.69,74.31,8
IE00BLNMQT00,20/01/2015,72.08,72.08,72.08,72.08,0
IE00BLNMQT00,21/01/2015,72.16,74.35,72.16,73.11,35
IE00BLNMQT00,22/01/2015,73.75,73.75,67.19,67.19,16
IE00BLNMQT00,23/01/2015,63.28,63.28,58.6,62.94,1565
IE00BLNMQT00,26/01/2015,62.85,63.3,62.85,63.3,166
IE00BLNMQT00,27/01/2015,65.25,66.43,65.25,65.97,1060
IE00BLNMQT00,28/01/2015,66.05,66.05,64.72,64.72,258
IE00BLNMQT00,29/01/2015,64.35,64.35,63.91,63.91,31
IE00BLNMQT00,30/01/2015,65.31,65.31,63.36,63.36,49
IE00BLNMQT00,02/02/2015,64.44,64.44,64.44,64.44,0
IE00BLNMQT00,03/02/2015,64,68.52,64,67.58,49
IE00BLNMQT00,04/02/2015,67.91,67.91,66.77,67.84,16
IE00BLNMQT00,05/02/2015,69,69,67,67.35,101
IE00BLNMQT00,06/02/2015,67.93,68.26,64.45,68.26,525
IE00BLNMQT00,09/02/2015,64.34,64.34,64.34,64.34,0
IE00BLNMQT00,10/02/2015,64.5,64.5,62.6,63.8,226
IE00BLNMQT00,11/02/2015,63.53,63.53,63.53,63.53,0
IE00BLNMQT00,12/02/2015,65.79,65.79,65.79,65.79,0
IE00BLNMQT00,13/02/2015,66.56,66.56,66.56,66.56,0
IE00BLNMQT00,16/02/2015,66.23,66.23,66.13,66.23,4
IE00BLNMQT00,17/02/2015,66.03,66.03,66.03,66.03,0
IE00BLNMQT00,18/02/2015,66,66,65.02,66,15
IE00BLNMQT00,19/02/2015,65.26,65.81,65.26,65.32,441
IE00BLNMQT00,20/02/2015,63.73,64.98,62.89,62.89,293
IE00BLNMQT00,23/02/2015,63.32,64.67,63.32,63.32,60
IE00BLNMQT00,24/02/2015,63.47,64.14,63.47,64.14,26
IE00BLNMQT00,25/02/2015,64.73,64.73,64.73,64.73,0
