ticker,dateTime,open,high,low,close,volume
IE00BVFZGG42,09/04/2015,106.53,106.53,106.53,106.53,0
IE00BVFZGG42,10/04/2015,109.67,109.67,109.67,109.67,0
IE00BVFZGG42,13/04/2015,112.56,112.56,112.56,112.56,0
IE00BVFZGG42,14/04/2015,115.51,115.51,115.51,115.51,0
IE00BVFZGG42,15/04/2015,123.95,123.95,123.95,123.95,0
IE00BVFZGG42,16/04/2015,125,125,123.86,125,5
IE00BVFZGG42,17/04/2015,126.66,126.66,126.66,126.66,0
IE00BVFZGG42,20/04/2015,129.45,129.45,129.45,129.45,0
IE00BVFZGG42,21/04/2015,126.11,126.11,126.11,126.11,0
IE00BVFZGG42,22/04/2015,123.5,123.5,123.5,123.5,0
IE00BVFZGG42,23/04/2015,126.5,127.01,126.5,126.5,5
IE00BVFZGG42,24/04/2015,121.57,121.57,121.57,121.57,0
IE00BVFZGG42,27/04/2015,122.51,122.51,122.51,122.51,0
IE00BVFZGG42,28/04/2015,121.64,121.64,121.64,121.64,0
IE00BVFZGG42,29/04/2015,125.39,125.39,125.39,125.39,0
IE00BVFZGG42,30/04/2015,128.01,128.01,127.05,128.01,30
IE00BVFZGG42,04/05/2015,127.33,127.33,127.33,127.33,0
IE00BVFZGG42,05/05/2015,134.03,134.03,134.03,134.03,0
IE00BVFZGG42,06/05/2015,136.83,136.83,135.72,136.24,30
IE00BVFZGG42,07/05/2015,128.54,128.54,128.54,128.54,0
IE00BVFZGG42,08/05/2015,126.54,126.54,126.54,126.54,0
IE00BVFZGG42,11/05/2015,126.32,126.32,126.32,126.32,0
IE00BVFZGG42,12/05/2015,131.6,131.6,131.6,131.6,0
IE00BVFZGG42,13/05/2015,132.62,132.62,132.62,132.62,0
IE00BVFZGG42,14/05/2015,128.72,128.72,128.72,128.72,0
IE00BVFZGG42,15/05/2015,124.49,124.49,124.49,124.49,0
IE00BVFZGG42,18/05/2015,127.61,127.61,125.75,127.61,15
IE00BVFZGG42,19/05/2015,121.29,121.29,121.29,121.29,0
IE00BVFZGG42,20/05/2015,122.41,122.41,122.41,122.41,0
IE00BVFZGG42,21/05/2015,129.73,129.73,129.73,129.73,0
IE00BVFZGG42,22/05/2015,126.31,126.31,126.31,126.31,0
IE00BVFZGG42,25/05/2015,127.77,127.77,127.77,127.77,0
IE00BVFZGG42,26/05/2015,122.01,122.01,122.01,122.01,0
IE00BVFZGG42,27/05/2015,120.81,120.81,120.81,120.81,0
IE00BVFZGG42,28/05/2015,116.84,116.84,116.84,116.84,0
IE00BVFZGG42,29/05/2015,126.08,126.08,126.08,126.08,0
IE00BVFZGG42,01/06/2015,126.82,126.82,126.82,126.82,0
IE00BVFZGG42,02/06/2015,130.09,130.09,130.09,130.09,0
IE00BVFZGG42,03/06/2015,126.64,126.64,126.64,126.64,0
IE00BVFZGG42,04/06/2015,117.53,117.53,117.53,117.53,0
IE00BVFZGG42,05/06/2015,118.58,118.58,118.58,118.58,0
IE00BVFZGG42,08/06/2015,120.04,120.04,120.04,120.04,0
IE00BVFZGG42,09/06/2015,124.68,124.68,124.68,124.68,0
IE00BVFZGG42,10/06/2015,128.14,128.14,128.14,128.14,0
IE00BVFZGG42,11/06/2015,126.32,126.32,126.32,126.32,0
