ticker,dateTime,open,high,low,close,volume
IE00BYNXPH56,15/07/2015,96.41,96.41,96.41,96.41,0
IE00BYNXPH56,16/07/2015,97.01,97.01,97.01,97.01,0
IE00BYNXPH56,17/07/2015,94.87,94.87,94.87,94.87,0
IE00BYNXPH56,20/07/2015,94.18,94.18,94.18,94.18,0
IE00BYNXPH56,21/07/2015,93.82,95.48,93.82,95.01,10216
IE00BYNXPH56,22/07/2015,93.38,93.38,93.38,93.38,0
IE00BYNXPH56,23/07/2015,93.46,93.46,93.46,93.46,0
IE00BYNXPH56,24/07/2015,91.46,91.46,91.46,91.46,0
IE00BYNXPH56,27/07/2015,90.87,91.33,90.87,90.87,150
IE00BYNXPH56,28/07/2015,91.2,91.2,91.2,91.2,0
IE00BYNXPH56,29/07/2015,92.15,92.15,92.15,92.15,0
IE00BYNXPH56,30/07/2015,89.8,89.8,89.8,89.8,0
IE00BYNXPH56,31/07/2015,89.71,90.3,89.71,90.3,190
IE00BYNXPH56,03/08/2015,90.2,90.2,89.18,89.26,50
IE00BYNXPH56,04/08/2015,88.09,89.17,88.09,88.09,400
IE00BYNXPH56,05/08/2015,92.5,93.45,92.34,92.34,220
IE00BYNXPH56,06/08/2015,91.28,91.28,91.28,91.28,0
IE00BYNXPH56,07/08/2015,90,90,89.35,89.9,50
IE00BYNXPH56,10/08/2015,89.99,90.85,89.96,90.04,400
IE00BYNXPH56,11/08/2015,88.78,88.81,88.07,88.62,700
IE00BYNXPH56,12/08/2015,87.5,87.67,87.09,87.67,45
IE00BYNXPH56,13/08/2015,87.85,87.85,87.85,87.85,0
IE00BYNXPH56,14/08/2015,88.95,88.95,88.95,88.95,0
IE00BYNXPH56,17/08/2015,87.85,87.85,87.85,87.85,0
IE00BYNXPH56,18/08/2015,88.1,88.1,88.1,88.1,0
IE00BYNXPH56,19/08/2015,88.07,88.07,87.82,88.07,70
IE00BYNXPH56,20/08/2015,86,86.03,85.95,85.95,110
IE00BYNXPH56,21/08/2015,85.01,85.72,85.01,85.01,60
IE00BYNXPH56,24/08/2015,85.47,85.47,85.47,85.47,0
IE00BYNXPH56,25/08/2015,87.74,92,87.74,89.44,1370
IE00BYNXPH56,26/08/2015,90.09,90.09,90.09,90.09,0
IE00BYNXPH56,27/08/2015,90.9,91.17,90.52,90.69,587
IE00BYNXPH56,28/08/2015,89.45,90.66,89.45,89.45,15
IE00BYNXPH56,31/08/2015,90.4,93.04,90.4,90.4,100
IE00BYNXPH56,01/09/2015,92.07,93.45,92.07,92.07,1100
IE00BYNXPH56,02/09/2015,92.83,92.83,92.83,92.83,0
IE00BYNXPH56,03/09/2015,90.45,90.45,90.45,90.45,0
IE00BYNXPH56,04/09/2015,88.68,88.68,87.67,88,855
IE00BYNXPH56,07/09/2015,88,88,87.65,87.65,790
IE00BYNXPH56,08/09/2015,87.86,88.44,87.86,88.44,45
IE00BYNXPH56,09/09/2015,89.28,89.28,88.77,89.28,100
IE00BYNXPH56,10/09/2015,88.14,88.14,88.14,88.14,0
IE00BYNXPH56,11/09/2015,87.3,87.3,86.7,86.7,150
IE00BYNXPH56,14/09/2015,86.32,86.81,86,86,155
IE00BYNXPH56,15/09/2015,89.69,89.69,89.69,89.69,0
IE00BYNXPH56,16/09/2015,90.4,90.8,90.4,90.4,15
IE00BYNXPH56,17/09/2015,91.09,91.09,91.09,91.09,0
IE00BYNXPH56,18/09/2015,86.86,86.86,86.6,86.6,65
IE00BYNXPH56,21/09/2015,87.61,87.61,87.35,87.35,250
IE00BYNXPH56,22/09/2015,85.23,85.32,84.09,84.09,310
IE00BYNXPH56,23/09/2015,84.49,84.49,84.33,84.49,50
IE00BYNXPH56,24/09/2015,83.86,83.86,83.86,83.86,0
IE00BYNXPH56,25/09/2015,86.5,86.5,85.8,86.5,15
IE00BYNXPH56,28/09/2015,84.6,84.6,84.13,84.6,120
IE00BYNXPH56,29/09/2015,84.17,84.17,83.58,84.17,100
IE00BYNXPH56,30/09/2015,84.49,84.49,83.58,83.58,60
IE00BYNXPH56,01/10/2015,82.3,82.3,82.12,82.27,110
IE00BYNXPH56,02/10/2015,81.5,81.5,80.79,81,215
IE00BYNXPH56,05/10/2015,82.84,82.84,82.7,82.84,50
IE00BYNXPH56,06/10/2015,82.85,83.85,82.85,83.85,152
IE00BYNXPH56,07/10/2015,83.77,83.77,83.5,83.77,2
IE00BYNXPH56,08/10/2015,82.23,83.19,82.23,82.23,100
IE00BYNXPH56,09/10/2015,84.42,84.42,84.42,84.42,0
IE00BYNXPH56,12/10/2015,82.94,82.94,82.94,82.94,0
IE00BYNXPH56,13/10/2015,83.53,83.53,83.53,83.53,0
IE00BYNXPH56,14/10/2015,81.69,81.69,81.69,81.69,0
IE00BYNXPH56,15/10/2015,81.99,81.99,81.99,81.99,0
IE00BYNXPH56,16/10/2015,81.78,81.78,81.6,81.6,550
IE00BYNXPH56,19/10/2015,82.63,82.63,82.38,82.63,60
IE00BYNXPH56,20/10/2015,84.39,84.39,84.39,84.39,0
IE00BYNXPH56,21/10/2015,82.49,82.49,82.49,82.49,0
IE00BYNXPH56,22/10/2015,81.81,81.81,79.97,80.18,1225
IE00BYNXPH56,23/10/2015,80.22,80.22,80.06,80.22,30
IE00BYNXPH56,26/10/2015,79.9,79.9,79.12,79.12,200
IE00BYNXPH56,27/10/2015,79.52,79.52,77.83,78.11,1105
IE00BYNXPH56,28/10/2015,78.2,78.2,77.4,77.4,625
IE00BYNXPH56,29/10/2015,78.4,80.82,78.4,80.2,1795
IE00BYNXPH56,30/10/2015,80.5,80.5,80.5,80.5,0
IE00BYNXPH56,02/11/2015,81.75,82.1,81.75,82.1,220
IE00BYNXPH56,03/11/2015,82.09,82.09,82.09,82.09,0
IE00BYNXPH56,04/11/2015,82.84,82.84,82.84,82.84,0
IE00BYNXPH56,05/11/2015,83.21,83.21,83.21,83.21,0
IE00BYNXPH56,06/11/2015,84.24,86.12,84.24,85.89,55
IE00BYNXPH56,09/11/2015,85.68,85.68,84.95,85.57,1215
IE00BYNXPH56,10/11/2015,83.85,83.9,83.32,83.9,1250
IE00BYNXPH56,11/11/2015,82.39,82.75,82.39,82.39,30
IE00BYNXPH56,12/11/2015,82.74,82.79,82.61,82.79,480
IE00BYNXPH56,13/11/2015,81.88,81.88,81.07,81.3,2470
IE00BYNXPH56,16/11/2015,81.18,81.18,80.42,80.42,1105
IE00BYNXPH56,17/11/2015,80.22,80.22,80.22,80.22,75
IE00BYNXPH56,18/11/2015,79.22,79.6,79.09,79.6,150
IE00BYNXPH56,19/11/2015,78.22,78.22,78.22,78.22,0
IE00BYNXPH56,20/11/2015,78.26,78.35,78.26,78.26,20
IE00BYNXPH56,23/11/2015,80.1,80.1,79.97,80.1,60
IE00BYNXPH56,24/11/2015,78.87,78.99,78.87,78.92,500
IE00BYNXPH56,25/11/2015,79.21,79.21,77.76,77.88,3660
IE00BYNXPH56,26/11/2015,77.78,77.78,77.55,77.78,200
IE00BYNXPH56,27/11/2015,76.87,77.32,76.77,76.77,245
IE00BYNXPH56,30/11/2015,77.79,77.79,77.63,77.79,625
IE00BYNXPH56,01/12/2015,78.5,78.72,77.26,78.72,60
