ticker,dateTime,open,high,low,close,volume
IE00BZDCKK11,07/06/2017,22.805,22.805,22.805,22.805,0
IE00BZDCKK11,08/06/2017,22.96,22.96,22.96,22.96,0
IE00BZDCKK11,09/06/2017,23.255,23.255,23.255,23.255,0
IE00BZDCKK11,12/06/2017,23.155,23.155,23.155,23.155,0
IE00BZDCKK11,13/06/2017,23.245,23.245,23.175,23.215,520
IE00BZDCKK11,14/06/2017,23.09,23.09,23.09,23.09,0
IE00BZDCKK11,15/06/2017,23.345,23.345,23.345,23.345,0
IE00BZDCKK11,16/06/2017,23.18,23.18,23.18,23.18,0
IE00BZDCKK11,19/06/2017,23.375,23.5,23.375,23.375,5
IE00BZDCKK11,20/06/2017,23.56,23.6,23.56,23.6,225
IE00BZDCKK11,21/06/2017,23.405,23.405,23.405,23.405,0
IE00BZDCKK11,22/06/2017,23.35,23.365,23.35,23.35,75
IE00BZDCKK11,23/06/2017,23.265,23.265,23.25,23.265,50
IE00BZDCKK11,26/06/2017,23.32,23.34,23.245,23.34,625
IE00BZDCKK11,27/06/2017,23.1,23.11,23.1,23.1,7
IE00BZDCKK11,28/06/2017,23.055,23.055,23.055,23.055,0
IE00BZDCKK11,29/06/2017,22.92,22.92,22.835,22.92,57
IE00BZDCKK11,30/06/2017,22.865,22.865,22.865,22.865,0
IE00BZDCKK11,03/07/2017,23.02,23.21,23.02,23.12,740
IE00BZDCKK11,04/07/2017,23.145,23.145,23.145,23.145,0
IE00BZDCKK11,05/07/2017,23.24,23.24,23.23,23.24,22
IE00BZDCKK11,06/07/2017,23.06,23.06,23.06,23.06,0
IE00BZDCKK11,07/07/2017,23.11,23.11,23.11,23.11,0
IE00BZDCKK11,10/07/2017,23.155,23.155,23.155,23.155,0
IE00BZDCKK11,11/07/2017,23.115,23.115,22.985,23.11,20000
IE00BZDCKK11,12/07/2017,23.14,23.14,23.14,23.14,0
IE00BZDCKK11,13/07/2017,23.23,23.23,23.23,23.23,0
IE00BZDCKK11,14/07/2017,23.105,23.105,23.105,23.105,0
IE00BZDCKK11,17/07/2017,23.21,23.21,23.19,23.21,100
IE00BZDCKK11,18/07/2017,22.875,22.875,22.875,22.875,0
