Date,Open,High,Low,Close,Volume,Adj Close
2011-04-07,25.5,25.54,25.5,25.52,900,25.52
2011-04-08,25.735,25.78,25.735,25.77,2700,25.77
2011-04-11,25.74,25.74,25.61,25.665,20100,25.665
2011-04-12,25.23,25.23,25.23,25.23,100,25.23
2011-04-13,25.5,25.595,25.5,25.595,1600,25.595
2011-04-14,25.29,25.29,25.29,25.29,1000,25.29
2011-04-18,25.06,25.06,24.99,24.99,400,24.99
2011-04-20,25.35,25.35,25.35,25.35,200,25.35
2011-04-21,25.35,25.38,25.35,25.38,900,25.38
2011-04-26,25.29,25.29,25.23,25.25,3900,25.25
2011-04-27,25.43,25.43,25.43,25.43,400,25.43
2011-04-29,25.9,25.9,25.83,25.885,900,25.885
2011-05-10,25.94,25.955,25.92,25.905,36900,25.905
2011-05-11,25.865,25.865,25.865,25.765,0,25.765
2011-05-12,25.6,25.6,25.525,25.535,3000,25.535
2011-05-13,25.505,25.505,25.505,25.265,2000,25.265
2011-05-16,25.11,25.11,24.965,25.13,2000,25.13
2011-05-18,25.25,25.295,25.25,25.26,800,25.26
2011-05-19,25.205,25.205,25.205,25.0,200,25.0
2011-05-20,24.755,24.755,24.755,24.745,15000,24.745
2011-05-24,24.74,24.75,24.73,24.755,26800,24.755
2011-05-27,24.88,24.88,24.88,24.875,15000,24.875
2011-06-03,24.71,24.71,24.615,24.55,600,24.55
2011-06-09,24.61,24.61,24.61,24.6,600,24.6
2011-06-17,24.37,24.37,24.37,24.375,1800,24.375
2011-06-29,25.43,25.43,25.43,25.525,2800,25.525
2011-06-30,25.615,25.615,25.59,25.735,8100,25.735
2011-07-01,25.62,25.79,25.62,25.88,1400,25.88
2011-07-04,26.05,26.075,26.05,26.01,100,26.01
2011-07-06,26.24,26.265,26.24,26.19,1000,26.19
2011-07-07,26.545,26.545,26.545,26.5,100,26.5
2011-07-08,26.285,26.285,26.285,26.02,300,26.02
2011-07-11,26.0,26.0,26.0,25.855,3400,25.855
2011-07-15,26.0,26.0,26.0,25.82,0,25.82
2011-07-22,26.15,26.15,26.15,26.08,0,26.08
2011-07-27,25.52,25.52,25.52,25.615,500,25.615
2011-08-02,25.19,25.19,25.19,25.1,400,25.1
2011-08-05,23.825,23.875,23.825,23.845,82000,23.845
2011-08-08,23.9,23.9,23.49,23.285,20200,23.285
2011-08-09,22.915,22.915,22.915,23.205,300,23.205
2011-08-11,22.71,22.71,22.55,23.055,3500,23.055
2011-08-12,23.16,23.16,23.11,23.18,33100,23.18
2011-08-17,23.035,23.335,23.035,23.295,1400,23.295
2011-08-19,22.24,22.24,22.2,22.465,100,22.465
2011-08-22,22.4,22.4,22.4,22.35,100,22.35
2011-08-23,22.71,22.71,22.71,22.375,0,22.375
2011-08-26,22.415,22.415,22.415,22.485,300,22.485
2011-09-01,23.15,23.15,23.15,23.19,600,23.19
2011-09-06,22.3,22.3,22.3,22.2,200,22.2
2011-09-08,22.5,22.5,22.5,22.605,400,22.605
2011-09-12,21.85,21.85,21.85,21.965,15000,21.965
2011-09-13,22.23,22.23,22.23,22.235,100,22.235
2011-09-21,22.615,22.615,22.615,22.485,1100,22.485
2011-09-22,21.8,21.82,21.8,21.76,400,21.76
2011-09-27,22.395,22.415,22.395,22.59,30000,22.59
2011-09-29,22.785,22.785,22.785,22.84,100,22.84
2011-09-30,22.6,22.65,22.5,22.585,3000,22.585
2011-10-04,21.805,21.87,21.805,21.86,4000,21.86
2011-10-06,22.175,22.175,22.175,22.145,1000,22.145
2011-10-07,22.1,22.1,22.1,22.18,100,22.18
2011-10-10,22.475,22.475,22.455,22.555,3500,22.555
2011-10-11,22.525,22.525,22.525,22.5,0,22.5
2011-10-12,22.92,22.92,22.92,22.885,2700,22.885
2011-10-13,22.69,22.69,22.53,22.535,16100,22.535
2011-10-14,22.635,22.735,22.635,22.67,15100,22.67
2011-10-17,22.95,22.95,22.95,22.61,200,22.61
2011-10-18,22.49,22.49,22.49,22.55,15000,22.55
2011-10-19,22.605,22.605,22.605,22.585,3000,22.585
2011-10-21,22.42,22.45,22.42,22.47,20000,22.47
2011-10-24,22.5,22.5,22.5,22.615,100,22.615
2011-10-25,22.575,22.625,22.29,22.34,12700,22.34
2011-10-26,22.385,22.385,22.385,22.285,100,22.285
2011-10-27,22.975,22.975,22.975,23.065,500,23.065
2011-10-31,22.895,22.92,22.895,22.71,30000,22.71
2011-11-01,22.395,22.395,22.335,22.325,9300,22.325
2011-11-02,22.34,22.34,22.34,22.27,15000,22.27
2011-11-03,22.025,22.27,22.025,22.465,17300,22.465
2011-11-08,22.315,22.435,22.315,22.245,30000,22.245
2011-11-09,22.23,22.23,22.23,22.215,800,22.215
2011-11-10,22.15,22.15,22.15,21.97,0,21.97
2011-11-11,21.93,22.06,21.93,22.085,800,22.085
2011-11-17,21.75,21.75,21.75,21.695,0,21.695
2011-11-18,21.755,21.755,21.755,21.625,100,21.625
2011-11-25,20.96,20.975,20.96,21.165,30000,21.165
2011-11-28,21.565,21.565,21.565,21.68,1500,21.68
2011-11-29,21.8,21.8,21.8,21.765,200,21.765
2011-11-30,22.015,22.39,22.015,22.35,30800,22.35
2011-12-02,22.555,22.555,22.545,22.44,900,22.44
2011-12-06,22.12,22.2,22.12,22.215,27700,22.215
2011-12-08,22.15,22.15,22.15,22.14,100,22.14
2011-12-13,22.25,22.25,22.25,22.225,0,22.225
2011-12-20,21.525,21.535,21.52,21.74,1000,21.74
