ticker,dateTime,open,high,low,close,volume
IUSA.MI,11/05/2004,9.258,9.3,9.19,9.29,60589
IUSA.MI,12/05/2004,9.175,9.38,9.12,9.14,124040
IUSA.MI,13/05/2004,9.265,9.29,9.23,9.29,123133
IUSA.MI,14/05/2004,9.263,9.31,9.19,9.234,28694
IUSA.MI,17/05/2004,9.033,9.15,8.99,9.031,537522
IUSA.MI,18/05/2004,9.139,9.17,9.1,9.141,235220
IUSA.MI,19/05/2004,9.19,9.25,9.16,9.2,95240
IUSA.MI,20/05/2004,9.154,9.2,9.14,9.16,51651
IUSA.MI,21/05/2004,9.145,9.17,9.1,9.1,129919
IUSA.MI,24/05/2004,9.216,9.26,9.18,9.206,576301
IUSA.MI,25/05/2004,9.056,9.11,9.02,9.076,235819
IUSA.MI,26/05/2004,9.226,9.26,9.18,9.254,58383
IUSA.MI,27/05/2004,9.191,9.25,9.15,9.159,120638
IUSA.MI,28/05/2004,9.198,9.23,9.16,9.219,122289
IUSA.MI,31/05/2004,9.231,9.25,9.21,9.22,12345
IUSA.MI,01/06/2004,9.188,9.24,9.13,9.234,42783
IUSA.MI,02/06/2004,9.172,9.19,9.14,9.144,166119
IUSA.MI,03/06/2004,9.187,9.21,9.13,9.183,68354
IUSA.MI,04/06/2004,9.203,9.25,9.16,9.2,435192
IUSA.MI,07/06/2004,9.196,9.44,9.17,9.196,195901
IUSA.MI,08/06/2004,9.282,9.3,9.21,9.285,116867
IUSA.MI,09/06/2004,9.381,9.44,9.32,9.403,69932
IUSA.MI,10/06/2004,9.426,9.46,9.39,9.413,229210
IUSA.MI,11/06/2004,9.468,9.49,9.38,9.48,68535
IUSA.MI,14/06/2004,9.386,9.47,9.32,9.37,117882
IUSA.MI,15/06/2004,9.408,9.43,9.36,9.4,120069
IUSA.MI,16/06/2004,9.414,9.5,9.36,9.431,224743
IUSA.MI,17/06/2004,9.431,9.46,9.38,9.413,50545
IUSA.MI,18/06/2004,9.451,9.49,9.38,9.473,81668
IUSA.MI,21/06/2004,9.434,9.49,9.39,9.429,41854
IUSA.MI,22/06/2004,9.35,9.44,9.33,9.35,269757
IUSA.MI,23/06/2004,9.387,9.44,9.31,9.41,80596
IUSA.MI,24/06/2004,9.459,9.5,9.4,9.438,48849
IUSA.MI,25/06/2004,9.444,9.51,9.41,9.42,130753
IUSA.MI,28/06/2004,9.356,9.52,9.34,9.36,975291
IUSA.MI,29/06/2004,9.392,9.52,9.31,9.409,50784
IUSA.MI,30/06/2004,9.398,9.46,9.36,9.38,19518
IUSA.MI,01/07/2004,9.386,9.49,9.27,9.274,288934
IUSA.MI,02/07/2004,9.242,9.35,9.15,9.184,209870
IUSA.MI,05/07/2004,9.194,9.22,9.16,9.176,10623
IUSA.MI,06/07/2004,9.123,9.24,9.08,9.147,125922
IUSA.MI,07/07/2004,9.093,9.3,9.05,9.086,69520
IUSA.MI,08/07/2004,9.031,9.1,9,9.097,110075
IUSA.MI,09/07/2004,9.061,9.1,9,9.089,176763
IUSA.MI,12/07/2004,9.015,9.06,8.94,8.984,93580
IUSA.MI,13/07/2004,9.087,9.13,9,9.066,19927
IUSA.MI,14/07/2004,9.002,9.08,8.96,9.018,33410
IUSA.MI,15/07/2004,9.041,9.06,9,9.011,35979
IUSA.MI,16/07/2004,8.978,9.3,8.93,8.957,40605
IUSA.MI,19/07/2004,8.903,8.96,8.88,8.88,103064
IUSA.MI,20/07/2004,8.922,8.94,8.81,8.93,59204
IUSA.MI,21/07/2004,9.092,9.14,9,9.139,64474
