ticker,dateTime,open,high,low,close,volume
JE00B3QYZH88,10/02/2011,50.82,51,50.82,51,100
JE00B3QYZH88,11/02/2011,51.32,51.32,51.32,51.32,0
JE00B3QYZH88,14/02/2011,52.52,52.52,52.27,52.27,38
JE00B3QYZH88,15/02/2011,51.7,51.7,51.44,51.5,640
JE00B3QYZH88,16/02/2011,51.42,51.42,51.07,51.07,50
JE00B3QYZH88,17/02/2011,51.79,52.25,51.79,52.25,50
JE00B3QYZH88,18/02/2011,52.43,52.71,51.82,51.82,235
JE00B3QYZH88,21/02/2011,51.03,51.03,51.03,51.03,0
JE00B3QYZH88,22/02/2011,50.95,50.95,49.85,49.85,260
JE00B3QYZH88,23/02/2011,49.72,49.72,48.85,48.85,40
JE00B3QYZH88,24/02/2011,49.82,49.82,49.82,49.82,0
JE00B3QYZH88,25/02/2011,49.9,51.13,49.9,51.13,200
JE00B3QYZH88,28/02/2011,51.03,51.03,51.03,51.03,0
JE00B3QYZH88,01/03/2011,50.91,50.91,50.8,50.8,100
JE00B3QYZH88,02/03/2011,50.14,50.14,50.14,50.14,0
JE00B3QYZH88,03/03/2011,49.46,49.46,49.005,49.005,1
JE00B3QYZH88,04/03/2011,48.73,48.73,48.3,48.445,206
JE00B3QYZH88,07/03/2011,48.345,48.345,48.345,48.345,0
JE00B3QYZH88,08/03/2011,48.79,48.79,48.79,48.79,3009
JE00B3QYZH88,09/03/2011,48.855,48.855,48.855,48.855,0
JE00B3QYZH88,10/03/2011,48.68,48.68,48.68,48.68,0
JE00B3QYZH88,11/03/2011,48.95,49.155,48.95,49.155,1
JE00B3QYZH88,14/03/2011,48.16,48.16,47.765,47.765,1
JE00B3QYZH88,15/03/2011,45.665,45.665,45.665,45.665,0
JE00B3QYZH88,16/03/2011,45.82,45.82,45.02,45.02,2
JE00B3QYZH88,17/03/2011,44,44.32,43.625,43.625,88
JE00B3QYZH88,18/03/2011,44.365,44.365,44.365,44.365,0
JE00B3QYZH88,21/03/2011,45.37,45.37,45.17,45.17,223
JE00B3QYZH88,22/03/2011,45.98,46.125,45.98,46.125,2
JE00B3QYZH88,23/03/2011,46.75,47.005,46.75,47.005,87
JE00B3QYZH88,24/03/2011,47.82,47.82,47.61,47.745,74
JE00B3QYZH88,25/03/2011,49.305,49.305,49.305,49.305,0
JE00B3QYZH88,28/03/2011,49.405,49.405,49.405,49.405,0
JE00B3QYZH88,29/03/2011,49.395,49.395,49.395,49.395,0
JE00B3QYZH88,30/03/2011,50.13,50.13,50.13,50.13,0
JE00B3QYZH88,31/03/2011,49.46,49.645,49.46,49.645,20
JE00B3QYZH88,01/04/2011,50.24,50.24,50.24,50.24,0
JE00B3QYZH88,04/04/2011,49.4,49.4,49.4,49.4,0
JE00B3QYZH88,05/04/2011,49.355,49.355,49.355,49.355,0
JE00B3QYZH88,06/04/2011,49.26,49.26,49.26,49.26,0
JE00B3QYZH88,07/04/2011,50.04,50.04,50.04,50.04,0
JE00B3QYZH88,08/04/2011,49.8,49.825,49.8,49.825,78
JE00B3QYZH88,11/04/2011,49.71,49.885,49.71,49.885,40
JE00B3QYZH88,12/04/2011,48.585,48.585,48.585,48.585,0
JE00B3QYZH88,13/04/2011,49.225,49.225,49.225,49.225,0
JE00B3QYZH88,14/04/2011,49.82,49.82,49.54,49.54,200
JE00B3QYZH88,15/04/2011,50.18,50.18,50.18,50.18,0
JE00B3QYZH88,18/04/2011,50.93,51.79,50.93,51.79,90
JE00B3QYZH88,19/04/2011,51.02,51.13,50.61,50.61,960
