ticker,dateTime,open,high,low,close,volume
JE00B8NCRX09,03/11/2015,8.795,8.795,8.795,8.795,0
JE00B8NCRX09,04/11/2015,9.44,9.44,9.44,9.44,0
JE00B8NCRX09,05/11/2015,9.395,9.395,9.395,9.395,0
JE00B8NCRX09,06/11/2015,9.17,9.17,9.095,9.17,200
JE00B8NCRX09,09/11/2015,8.89,8.89,8.89,8.89,0
JE00B8NCRX09,10/11/2015,8.59,8.59,8.59,8.59,0
JE00B8NCRX09,11/11/2015,8.665,8.665,8.665,8.665,0
JE00B8NCRX09,12/11/2015,8.83,8.83,8.83,8.83,0
JE00B8NCRX09,13/11/2015,8.085,8.085,8.085,8.085,0
JE00B8NCRX09,16/11/2015,7.98,7.98,7.98,7.98,0
JE00B8NCRX09,17/11/2015,8.355,8.355,8.355,8.355,0
JE00B8NCRX09,18/11/2015,8.375,8.375,8.375,8.375,0
JE00B8NCRX09,19/11/2015,8.545,8.545,8.545,8.545,0
JE00B8NCRX09,20/11/2015,8.955,8.955,8.955,8.955,0
JE00B8NCRX09,23/11/2015,8.805,8.805,8.805,8.805,0
JE00B8NCRX09,24/11/2015,9.46,9.46,8.305,8.305,20002
JE00B8NCRX09,25/11/2015,8.615,8.615,8.615,8.615,0
JE00B8NCRX09,26/11/2015,9.2,9.2,8.66,8.66,480
JE00B8NCRX09,27/11/2015,8.05,8.05,7.975,8.05,212
JE00B8NCRX09,30/11/2015,7.9,8.02,7.9,7.985,800
JE00B8NCRX09,01/12/2015,8.325,8.325,8.325,8.325,0
JE00B8NCRX09,02/12/2015,8.27,8.27,8.27,8.27,0
JE00B8NCRX09,03/12/2015,8.27,8.27,7.935,8.27,500
JE00B8NCRX09,04/12/2015,7.745,7.745,7.745,7.745,0
JE00B8NCRX09,07/12/2015,7.56,7.56,7.56,7.56,0
JE00B8NCRX09,08/12/2015,7.125,7.125,7.125,7.125,0
JE00B8NCRX09,09/12/2015,7.205,7.205,7.205,7.205,0
JE00B8NCRX09,10/12/2015,6.695,6.695,6.695,6.695,0
JE00B8NCRX09,11/12/2015,6.51,6.51,6.4,6.51,300
JE00B8NCRX09,14/12/2015,6.415,6.415,6.22,6.415,200
JE00B8NCRX09,15/12/2015,6.84,6.84,6.84,6.84,0
JE00B8NCRX09,16/12/2015,7.04,7.04,7.04,7.04,0
JE00B8NCRX09,17/12/2015,7.205,7.205,7.205,7.205,0
JE00B8NCRX09,18/12/2015,7.165,7.165,7.165,7.165,0
JE00B8NCRX09,21/12/2015,7.33,7.33,7.33,7.33,0
JE00B8NCRX09,22/12/2015,7.27,7.27,7.27,7.27,0
JE00B8NCRX09,23/12/2015,7.81,7.81,7.81,7.81,0
JE00B8NCRX09,28/12/2015,7.18,7.18,7.18,7.18,0
JE00B8NCRX09,29/12/2015,7.435,7.435,7.435,7.435,0
JE00B8NCRX09,30/12/2015,7.16,7.16,7.16,7.16,0
JE00B8NCRX09,04/01/2016,6.265,6.265,6.265,6.265,0
JE00B8NCRX09,05/01/2016,6.285,6.285,6.285,6.285,0
JE00B8NCRX09,06/01/2016,5.975,5.99,5.975,5.99,20100
JE00B8NCRX09,07/01/2016,5.165,5.545,5.13,5.485,7940
JE00B8NCRX09,08/01/2016,5.255,5.255,5.255,5.255,0
JE00B8NCRX09,11/01/2016,5.125,5.125,5,5,210
JE00B8NCRX09,12/01/2016,5.05,5.05,5.05,5.05,0
JE00B8NCRX09,13/01/2016,4.98,4.98,4.98,4.98,0
JE00B8NCRX09,14/01/2016,4.785,4.785,4.785,4.785,0
JE00B8NCRX09,15/01/2016,4.5,4.5,4.16,4.5,250
JE00B8NCRX09,18/01/2016,4.225,4.2975,4.225,4.225,950
JE00B8NCRX09,19/01/2016,4.5725,4.5725,4.5725,4.5725,0
JE00B8NCRX09,20/01/2016,3.9,3.9,3.9,3.9,0
JE00B8NCRX09,21/01/2016,4.1225,4.23,4.1225,4.23,740
JE00B8NCRX09,22/01/2016,4.5075,4.5075,4.5075,4.5075,0
JE00B8NCRX09,25/01/2016,4.36,4.3775,4.275,4.275,650
JE00B8NCRX09,26/01/2016,4.3025,4.3625,4.3025,4.3025,1000
JE00B8NCRX09,27/01/2016,4.155,4.155,4.155,4.155,0
JE00B8NCRX09,28/01/2016,4.2275,4.2275,4.2125,4.2275,90
JE00B8NCRX09,29/01/2016,4.6,4.6,4.6,4.6,0
JE00B8NCRX09,01/02/2016,4.415,4.465,4.3225,4.3225,861
JE00B8NCRX09,02/02/2016,4.25,4.25,4.1375,4.25,1000
JE00B8NCRX09,03/02/2016,3.9225,3.9225,3.9225,3.9225,0
JE00B8NCRX09,04/02/2016,4.13,4.13,4.13,4.13,0
JE00B8NCRX09,05/02/2016,4.2375,4.2375,4.0675,4.2375,10
JE00B8NCRX09,08/02/2016,4.0275,4.0275,3.8375,3.9,108
JE00B8NCRX09,09/02/2016,3.72,3.72,3.6275,3.6475,298
JE00B8NCRX09,10/02/2016,3.7725,3.89,3.7725,3.7725,12
JE00B8NCRX09,11/02/2016,3.2625,3.2625,3.2625,3.2625,0
JE00B8NCRX09,12/02/2016,3.495,3.495,3.46,3.495,3000
JE00B8NCRX09,15/02/2016,3.8,3.9775,3.78,3.9675,3974
JE00B8NCRX09,16/02/2016,4.1225,4.1225,3.9575,4.05,3224
JE00B8NCRX09,17/02/2016,3.965,4.1925,3.965,3.965,9
JE00B8NCRX09,18/02/2016,4.2,4.38,4.15,4.15,716
JE00B8NCRX09,19/02/2016,4.315,4.315,4.15,4.315,351
JE00B8NCRX09,22/02/2016,4.4275,4.4975,4.4275,4.4275,100
JE00B8NCRX09,23/02/2016,4.2825,4.3325,4.2825,4.2825,1189
JE00B8NCRX09,24/02/2016,3.98,3.98,3.98,3.98,0
JE00B8NCRX09,25/02/2016,3.9825,3.9825,3.9825,3.9825,0
JE00B8NCRX09,26/02/2016,4.25,4.25,4.25,4.25,0
JE00B8NCRX09,29/02/2016,3.9475,4.22,3.9475,3.9475,100
JE00B8NCRX09,01/03/2016,4.15,4.345,4.15,4.2625,71600
JE00B8NCRX09,02/03/2016,4.7,4.775,4.7,4.7475,397
JE00B8NCRX09,03/03/2016,4.705,4.705,4.705,4.705,0
JE00B8NCRX09,04/03/2016,5,5.23,5,5.23,427
JE00B8NCRX09,07/03/2016,5.4,5.4,5.07,5.11,1490
JE00B8NCRX09,08/03/2016,4.8025,4.8025,4.8025,4.8025,0
JE00B8NCRX09,09/03/2016,4.85,4.85,4.85,4.85,0
JE00B8NCRX09,10/03/2016,4.6075,4.6075,4.6075,4.6075,0
JE00B8NCRX09,11/03/2016,5.02,5.02,5.02,5.02,0
JE00B8NCRX09,14/03/2016,5.11,5.17,5.11,5.11,1000
JE00B8NCRX09,15/03/2016,4.98,4.98,4.98,4.98,0
JE00B8NCRX09,16/03/2016,5.05,5.05,5.005,5.05,100
JE00B8NCRX09,17/03/2016,5.095,5.195,5.095,5.095,1000
JE00B8NCRX09,18/03/2016,5.1,5.57,5.1,5.57,160
JE00B8NCRX09,21/03/2016,5.4,5.495,5.4,5.4,50
JE00B8NCRX09,22/03/2016,5.36,5.36,5.36,5.36,0
JE00B8NCRX09,23/03/2016,5.445,5.445,5.23,5.345,801
JE00B8NCRX09,24/03/2016,5.01,5.03,4.9025,5.03,320
JE00B8NCRX09,29/03/2016,5.065,5.065,5.065,5.065,0
JE00B8NCRX09,30/03/2016,5.35,5.62,5.35,5.495,11156
JE00B8NCRX09,31/03/2016,5.5,5.505,5.5,5.5,3600
JE00B8NCRX09,01/04/2016,5.5,5.5,5.225,5.225,380
JE00B8NCRX09,04/04/2016,5.4,5.4,5.315,5.32,3890
JE00B8NCRX09,05/04/2016,4.9325,4.9325,4.9325,4.9325,0
JE00B8NCRX09,06/04/2016,4.9,4.9,4.9,4.9,0
JE00B8NCRX09,07/04/2016,5.01,5.01,4.91,5.01,3000
JE00B8NCRX09,08/04/2016,5.06,5.06,5.06,5.06,0
JE00B8NCRX09,11/04/2016,5.28,5.28,5.28,5.28,0
JE00B8NCRX09,12/04/2016,5.3,5.3,5.27,5.3,100
JE00B8NCRX09,13/04/2016,5.985,6.1,5.96,5.96,1365
JE00B8NCRX09,14/04/2016,6.14,6.14,5.975,5.975,3000
JE00B8NCRX09,15/04/2016,5.95,5.97,5.91,5.97,2233
JE00B8NCRX09,18/04/2016,5.78,5.95,5.78,5.78,375
JE00B8NCRX09,19/04/2016,6.065,6.065,6.065,6.065,0
JE00B8NCRX09,20/04/2016,5.95,5.95,5.915,5.95,286
JE00B8NCRX09,21/04/2016,6.105,6.105,5.935,6.105,200
JE00B8NCRX09,22/04/2016,5.81,5.81,5.81,5.81,0
JE00B8NCRX09,25/04/2016,5.65,5.65,5.525,5.65,1000
JE00B8NCRX09,26/04/2016,5.65,5.65,5.58,5.64,600
JE00B8NCRX09,27/04/2016,5.605,5.605,5.605,5.605,0
JE00B8NCRX09,28/04/2016,5.67,5.74,5.67,5.67,101
JE00B8NCRX09,29/04/2016,5.255,5.255,5.255,5.255,0
JE00B8NCRX09,02/05/2016,5.23,5.23,5.23,5.23,0
JE00B8NCRX09,03/05/2016,4.8725,4.8725,4.87,4.8725,800
JE00B8NCRX09,04/05/2016,4.9625,4.9625,4.76,4.8675,1000
JE00B8NCRX09,05/05/2016,4.805,4.805,4.805,4.805,0
JE00B8NCRX09,06/05/2016,4.58,4.675,4.58,4.5875,410
JE00B8NCRX09,09/05/2016,4.7525,4.7525,4.46,4.54,2500
JE00B8NCRX09,10/05/2016,4.6225,4.6225,4.6225,4.6225,0
JE00B8NCRX09,11/05/2016,4.6,4.6,4.575,4.6,630
JE00B8NCRX09,12/05/2016,4.5125,4.5125,4.5125,4.5125,0
JE00B8NCRX09,13/05/2016,4.3875,4.4275,4.3875,4.4275,1500
JE00B8NCRX09,16/05/2016,4.5125,4.5125,4.5125,4.5125,0
JE00B8NCRX09,17/05/2016,4.4875,4.4875,4.4875,4.4875,0
JE00B8NCRX09,18/05/2016,4.4875,4.4875,4.44,4.4875,379
JE00B8NCRX09,19/05/2016,4.235,4.235,4.235,4.235,0
JE00B8NCRX09,20/05/2016,4.43,4.43,4.43,4.43,0
JE00B8NCRX09,23/05/2016,4.4725,4.4725,4.4175,4.4725,700
JE00B8NCRX09,24/05/2016,4.4225,4.6075,4.4225,4.5,600
JE00B8NCRX09,25/05/2016,4.865,4.865,4.865,4.865,0
JE00B8NCRX09,26/05/2016,4.7825,4.7825,4.7825,4.7825,0
JE00B8NCRX09,27/05/2016,4.9175,4.98,4.9175,4.9175,240
JE00B8NCRX09,30/05/2016,5.01,5.01,5.01,5.01,0
