ticker,dateTime,open,high,low,close,volume
LBUL.MI,26/05/2009,28.31,28.31,27.88,28.25,12
LBUL.MI,27/05/2009,28.25,28.25,28.25,28.25,0
LBUL.MI,28/05/2009,28.73,28.73,28.73,28.73,7
LBUL.MI,29/05/2009,29.41,29.51,29.41,29.51,50
LBUL.MI,01/06/2009,29.92,29.92,29.29,29.39,547
LBUL.MI,02/06/2009,29.2,29.3,29.2,29.3,1100
LBUL.MI,03/06/2009,29.26,29.26,29.26,29.26,0
LBUL.MI,04/06/2009,28.8,29.3,28.6,29.3,100
LBUL.MI,05/06/2009,29.35,29.45,28.45,28.45,91
LBUL.MI,08/06/2009,28.35,28.35,28.15,28.35,50
LBUL.MI,09/06/2009,28.2,28.35,28.2,28.35,60
LBUL.MI,10/06/2009,28.18,28.18,28.18,28.18,50
LBUL.MI,11/06/2009,28.12,28.12,28.12,28.12,0
LBUL.MI,12/06/2009,28,28,27.29,27.3,7680
LBUL.MI,15/06/2009,27.12,27.12,27.12,27.12,11
LBUL.MI,16/06/2009,27.35,27.35,27.35,27.35,148
LBUL.MI,17/06/2009,27.15,27.15,27.15,27.15,120
LBUL.MI,18/06/2009,27.41,27.41,27.41,27.41,95
LBUL.MI,19/06/2009,27.38,27.38,27.38,27.38,58
LBUL.MI,22/06/2009,27.28,27.28,26.51,26.51,6300
LBUL.MI,23/06/2009,26.49,26.49,26.49,26.49,0
LBUL.MI,24/06/2009,26.49,26.49,26.49,26.49,0
LBUL.MI,25/06/2009,27.3,27.3,27.3,27.3,50
LBUL.MI,26/06/2009,27.47,27.47,27.47,27.47,1000
LBUL.MI,29/06/2009,27.18,27.18,27.18,27.18,0
LBUL.MI,30/06/2009,27.12,27.28,26.86,27.02,497
LBUL.MI,01/07/2009,27,27.1,27,27.05,7556
LBUL.MI,02/07/2009,27.05,27.05,26.65,26.65,39
LBUL.MI,03/07/2009,26.83,26.94,26.83,26.93,90
LBUL.MI,06/07/2009,26.42,26.42,26.42,26.42,200
LBUL.MI,07/07/2009,26.41,26.41,26.35,26.35,190
LBUL.MI,08/07/2009,26.24,26.24,25.86,25.86,12509
LBUL.MI,09/07/2009,25.86,25.86,25.82,25.86,600
LBUL.MI,10/07/2009,25.74,25.74,25.74,25.74,0
LBUL.MI,13/07/2009,25.82,25.82,25.82,25.82,95
LBUL.MI,14/07/2009,26.36,26.39,26.36,26.36,13409
LBUL.MI,15/07/2009,27,27,27,27,210
LBUL.MI,16/07/2009,26.98,26.98,26.98,26.98,0
LBUL.MI,17/07/2009,26.76,26.97,26.76,26.97,837
LBUL.MI,20/07/2009,27.37,27.97,27.34,27.34,8103
LBUL.MI,21/07/2009,27.5,27.5,27.36,27.36,1016
LBUL.MI,22/07/2009,27.34,27.34,27.34,27.34,0
LBUL.MI,23/07/2009,27.43,27.5,27.43,27.5,178
LBUL.MI,24/07/2009,27.4,27.5,27.37,27.37,1100
LBUL.MI,27/07/2009,27.58,27.64,27.58,27.64,60
LBUL.MI,28/07/2009,27.63,27.63,26.86,26.86,10347
LBUL.MI,29/07/2009,26.65,26.65,26.23,26.23,5920
LBUL.MI,30/07/2009,26.56,26.56,26.56,26.56,40
LBUL.MI,31/07/2009,26.79,26.83,26.79,26.83,80
LBUL.MI,03/08/2009,27.38,27.68,27.38,27.65,13269
LBUL.MI,04/08/2009,27.2,27.5,27.2,27.5,510
LBUL.MI,05/08/2009,27.9,27.9,27.72,27.72,118
LBUL.MI,06/08/2009,27.81,27.91,27.81,27.91,615
LBUL.MI,07/08/2009,27.71,27.71,27.56,27.71,90
LBUL.MI,10/08/2009,27.7,27.7,27.2,27.2,653
LBUL.MI,11/08/2009,27.1,27.1,27.08,27.08,603
LBUL.MI,12/08/2009,27.13,27.13,27.1,27.1,175
LBUL.MI,13/08/2009,27.55,27.55,27.41,27.44,245
LBUL.MI,14/08/2009,27.55,27.55,27.42,27.42,129
LBUL.MI,17/08/2009,26.44,26.44,26.44,26.44,0
LBUL.MI,18/08/2009,26.67,26.67,26.67,26.67,0
LBUL.MI,19/08/2009,26.58,26.98,26.44,26.98,7643
LBUL.MI,20/08/2009,26.9,26.9,26.6,26.64,361
LBUL.MI,21/08/2009,27.26,27.26,27.26,27.26,0
LBUL.MI,24/08/2009,27.17,27.17,27.17,27.17,112
LBUL.MI,25/08/2009,26.83,26.83,26.83,26.83,0
LBUL.MI,26/08/2009,26.85,26.85,26.83,26.83,200
LBUL.MI,27/08/2009,26.8,26.8,26.8,26.8,0
LBUL.MI,28/08/2009,27.04,27.56,27.02,27.44,13193
LBUL.MI,31/08/2009,27.31,27.31,26.82,26.82,7879
LBUL.MI,01/09/2009,27.04,27.3,27.04,27.3,773
LBUL.MI,02/09/2009,27.51,28.09,27.51,28.05,7779
LBUL.MI,03/09/2009,28.7,29.15,28.7,29.15,17535
LBUL.MI,04/09/2009,29.42,29.56,29.24,29.35,9827
LBUL.MI,07/09/2009,29.7,29.7,29.35,29.44,2460
LBUL.MI,08/09/2009,29.7,30.13,29.67,29.68,6703
LBUL.MI,09/09/2009,29.64,29.64,29.25,29.3,1140
LBUL.MI,10/09/2009,28.97,29,28.5,29,10286
LBUL.MI,11/09/2009,29.35,29.89,29.26,29.87,1760
LBUL.MI,14/09/2009,29.75,29.75,29.09,29.17,6185
LBUL.MI,15/09/2009,29.2,29.37,28.95,29.3,1498
LBUL.MI,16/09/2009,30.03,30.25,29.95,30.11,13562
LBUL.MI,17/09/2009,30.32,30.32,29.89,30.11,2454
LBUL.MI,18/09/2009,29.78,30.01,29.67,29.67,3362
LBUL.MI,21/09/2009,29.31,29.35,28.68,28.95,7926
LBUL.MI,22/09/2009,29.63,29.94,29.63,29.8,2405
LBUL.MI,23/09/2009,29.9,29.9,29.49,29.49,403
LBUL.MI,24/09/2009,29.42,29.64,28.99,28.99,1330
LBUL.MI,25/09/2009,28.9,28.9,28.35,28.59,1314
LBUL.MI,28/09/2009,28.6,28.75,28.42,28.75,870
LBUL.MI,29/09/2009,28.86,28.91,28.86,28.91,2050
LBUL.MI,30/09/2009,29.02,29.21,28.9,28.9,167
LBUL.MI,01/10/2009,29.76,29.76,29.49,29.53,1065
LBUL.MI,02/10/2009,29.37,29.37,28.7,29.22,13046
LBUL.MI,05/10/2009,29.51,29.56,29.3,29.52,3209
LBUL.MI,06/10/2009,29.7,31.48,29,31.34,52116
LBUL.MI,07/10/2009,31.86,31.86,31.27,31.33,13532
LBUL.MI,08/10/2009,32.16,32.29,31.51,31.93,20562
LBUL.MI,09/10/2009,31.67,31.83,31.46,31.83,840
LBUL.MI,12/10/2009,31.89,32.23,31.77,32.06,5545
LBUL.MI,13/10/2009,32.61,32.67,31.92,32.2,3601
LBUL.MI,14/10/2009,32.66,32.68,31.88,32.12,11902
LBUL.MI,15/10/2009,31.94,31.96,31.38,31.74,10569
LBUL.MI,16/10/2009,30.79,31.55,30.79,31.43,4766
LBUL.MI,19/10/2009,31.66,31.78,31.52,31.58,5122
LBUL.MI,20/10/2009,32.02,32.28,31.95,31.95,2423
LBUL.MI,21/10/2009,31.93,31.93,31.5,31.53,1645
LBUL.MI,22/10/2009,31.6,31.6,31.53,31.53,1350
LBUL.MI,23/10/2009,31.78,32.12,31.34,31.34,14134
LBUL.MI,26/10/2009,31.4,31.61,31.35,31.56,409
LBUL.MI,27/10/2009,30.81,30.97,30.76,30.97,13800
LBUL.MI,28/10/2009,30.7,30.93,30.58,30.58,1385
LBUL.MI,29/10/2009,30.7,31.1,30.66,30.99,2132
LBUL.MI,30/10/2009,31.24,31.24,31.06,31.06,285
LBUL.MI,02/11/2009,31.8,32.24,31.72,32.06,23285
LBUL.MI,03/11/2009,32,33.57,32,33.55,16210
LBUL.MI,04/11/2009,33.58,34.34,33.58,34.13,3736
LBUL.MI,05/11/2009,33.49,34,33.49,33.85,2570
LBUL.MI,06/11/2009,33.92,34.24,33.87,33.97,3030
LBUL.MI,09/11/2009,34.8,34.8,34.4,34.5,1819
LBUL.MI,10/11/2009,34.1,34.69,34,34.69,1824
LBUL.MI,11/11/2009,34.9,35.15,34.88,35.07,6390
LBUL.MI,12/11/2009,35.37,35.37,35,35.34,5359
LBUL.MI,13/11/2009,35,35.23,34.7,35.23,1803
LBUL.MI,16/11/2009,35.3,36.3,35.3,36.28,6764
LBUL.MI,17/11/2009,36.47,36.72,36.14,36.58,4640
LBUL.MI,18/11/2009,36.8,37.4,36.8,37.28,4965
LBUL.MI,19/11/2009,36.99,36.99,36.37,36.37,4760
LBUL.MI,20/11/2009,36.5,37.29,36.5,37.02,4154
LBUL.MI,23/11/2009,38.44,38.69,38.17,38.66,7431
LBUL.MI,24/11/2009,38.32,38.7,38.28,38.38,9072
LBUL.MI,25/11/2009,39.09,39.16,38.86,39.14,7791
LBUL.MI,26/11/2009,40,40,39.1,39.34,12028
LBUL.MI,27/11/2009,39.25,41.5,37.06,39.09,23772
LBUL.MI,30/11/2009,38.69,38.88,38.03,38.67,23314
LBUL.MI,01/12/2009,39.44,40.1,39.44,40.1,4628
LBUL.MI,02/12/2009,40.7,41.25,40.7,41,14564
LBUL.MI,03/12/2009,41.6,41.6,40.59,40.65,21209
LBUL.MI,04/12/2009,40.8,40.84,39.8,40.01,14235
LBUL.MI,07/12/2009,38.5,38.5,36.76,36.98,21510
LBUL.MI,08/12/2009,37.75,38.33,37.35,37.54,15961
LBUL.MI,09/12/2009,36.55,37.24,36.55,36.9,5112
LBUL.MI,10/12/2009,36.42,36.44,35.9,36.25,7626
LBUL.MI,11/12/2009,36.91,37.15,35.51,35.51,7119
