ticker,dateTime,open,high,low,close,volume
LEVMIB.MI,11/02/2008,39.5,39.5,39.5,39.5,1
LEVMIB.MI,12/02/2008,40.5,40.5,40.5,40.5,1
LEVMIB.MI,13/02/2008,40,41.73,40,41.73,56
LEVMIB.MI,14/02/2008,43.5,43.5,42.8,42.99,183
LEVMIB.MI,15/02/2008,43.2,43.2,41.26,41.37,90
LEVMIB.MI,18/02/2008,41.28,42.32,41.28,42.32,37
LEVMIB.MI,19/02/2008,41.35,43.27,41.3,42.63,1733
LEVMIB.MI,20/02/2008,41.6,42.27,41.3,41.73,450
LEVMIB.MI,21/02/2008,42.3,42.82,42.03,42.03,292
LEVMIB.MI,22/02/2008,44,44,41.04,41.35,1636
LEVMIB.MI,25/02/2008,40,42.2,40,41.99,502
LEVMIB.MI,26/02/2008,42.2,43.26,42.2,43.12,560
LEVMIB.MI,27/02/2008,43.3,43.5,42.7,43.5,11341
LEVMIB.MI,28/02/2008,43.2,43.6,42.38,42.38,231
LEVMIB.MI,29/02/2008,42.04,42.04,40.58,40.63,68370
LEVMIB.MI,03/03/2008,40.16,41.8,39.85,40.16,41463
LEVMIB.MI,04/03/2008,40.32,40.32,38.55,38.75,8137
LEVMIB.MI,05/03/2008,39.87,40.6,39.24,40.53,7849
LEVMIB.MI,06/03/2008,40.34,40.34,38.9,38.96,16370
LEVMIB.MI,07/03/2008,38.9,38.9,37.51,37.79,5216
LEVMIB.MI,10/03/2008,37.7,37.87,36.25,36.31,2878
LEVMIB.MI,11/03/2008,37.15,39.8,36.93,37.99,3733
LEVMIB.MI,12/03/2008,39.21,39.22,38.09,38.61,2918
LEVMIB.MI,13/03/2008,38.07,38.07,35.5,36.6,24208
LEVMIB.MI,14/03/2008,36.8,38.05,34.97,36.56,14872
LEVMIB.MI,17/03/2008,34.97,35.01,33.84,34.29,10086
LEVMIB.MI,18/03/2008,34.73,35.75,34.66,35.64,13478
LEVMIB.MI,19/03/2008,35.9,37.03,34.07,34.51,21321
LEVMIB.MI,20/03/2008,33.5,34.5,32.78,33.64,40760
LEVMIB.MI,25/03/2008,34.9,35.74,34.42,35.55,13391
LEVMIB.MI,26/03/2008,35.24,35.45,34.8,34.84,11230
LEVMIB.MI,27/03/2008,35.4,36.76,35.4,35.82,5461
LEVMIB.MI,28/03/2008,36,36.97,36,36.15,3995
LEVMIB.MI,31/03/2008,34.5,36.15,34.5,35.84,11150
LEVMIB.MI,01/04/2008,36,37.88,36,37.66,24621
LEVMIB.MI,02/04/2008,38.87,39.44,37.89,39.09,22549
LEVMIB.MI,03/04/2008,39.29,39.44,38.52,39.05,23967
LEVMIB.MI,04/04/2008,39.42,39.97,39.17,39.34,15182
LEVMIB.MI,07/04/2008,40.49,40.49,39.99,40.15,9331
LEVMIB.MI,08/04/2008,39.5,40.32,38.03,40.22,2891
LEVMIB.MI,09/04/2008,39.87,40.5,39.76,40.32,3225
LEVMIB.MI,10/04/2008,39.81,40.11,39.07,39.75,3283
LEVMIB.MI,11/04/2008,40.92,40.92,38.93,39.21,3964
LEVMIB.MI,14/04/2008,38.41,39,38.27,38.49,3044
LEVMIB.MI,15/04/2008,38.7,39,38,38.47,1413
LEVMIB.MI,16/04/2008,38.95,39.37,38.29,39.26,3324
LEVMIB.MI,17/04/2008,39.75,39.76,39,39.38,3711
LEVMIB.MI,18/04/2008,39.87,40.65,39.68,40.45,5796
LEVMIB.MI,21/04/2008,40.6,40.6,39.97,40.45,1993
