ticker,dateTime,open,high,low,close,volume
LIME.MI,04/01/2012,9.795,9.795,9.795,9.795,0
LIME.MI,05/01/2012,9.78,9.78,9.78,9.78,0
LIME.MI,06/01/2012,10,10,10,10,0
LIME.MI,09/01/2012,10.07,10.07,10.07,10.07,0
LIME.MI,10/01/2012,10.585,10.585,10.585,10.585,0
LIME.MI,11/01/2012,10.71,10.71,10.71,10.71,0
LIME.MI,12/01/2012,11.045,11.045,11.045,11.045,0
LIME.MI,13/01/2012,10.95,10.95,10.95,10.95,0
LIME.MI,16/01/2012,11.16,11.16,11.16,11.16,0
LIME.MI,17/01/2012,11.495,11.495,11.495,11.495,0
LIME.MI,18/01/2012,11.435,11.435,11.435,11.435,0
LIME.MI,19/01/2012,11.625,11.625,11.625,11.625,0
LIME.MI,20/01/2012,11.625,11.625,11.625,11.625,0
LIME.MI,23/01/2012,11.73,11.73,11.73,11.73,0
LIME.MI,24/01/2012,11.79,11.79,11.79,11.79,0
LIME.MI,25/01/2012,12.075,12.075,12.075,12.075,0
LIME.MI,26/01/2012,12.34,12.44,12.34,12.395,1030
LIME.MI,27/01/2012,12.29,12.29,12.29,12.29,0
LIME.MI,30/01/2012,12.015,12.015,12.015,12.015,0
LIME.MI,31/01/2012,11.76,11.76,11.76,11.76,0
LIME.MI,01/02/2012,11.74,11.74,11.74,11.74,0
LIME.MI,02/02/2012,11.715,11.715,11.715,11.715,0
LIME.MI,03/02/2012,12.115,12.115,12.115,12.115,0
LIME.MI,06/02/2012,12.03,12.05,12.03,12.05,5
LIME.MI,07/02/2012,11.91,11.91,11.91,11.91,0
LIME.MI,08/02/2012,12.34,12.34,12.145,12.145,247
LIME.MI,09/02/2012,12.395,12.395,12.395,12.395,0
LIME.MI,10/02/2012,11.775,11.775,11.775,11.775,0
LIME.MI,13/02/2012,11.505,11.505,11.505,11.505,0
LIME.MI,14/02/2012,11.32,11.32,11.32,11.32,0
LIME.MI,15/02/2012,11.28,11.28,11.28,11.28,0
LIME.MI,16/02/2012,11,11,11,11,0
LIME.MI,17/02/2012,10.785,10.785,10.785,10.785,0
LIME.MI,20/02/2012,10.94,10.94,10.765,10.765,167
LIME.MI,21/02/2012,11.425,11.425,11.425,11.425,0
LIME.MI,22/02/2012,11.53,11.53,11.53,11.53,0
LIME.MI,23/02/2012,11.405,11.405,11.405,11.405,0
LIME.MI,24/02/2012,11.545,11.545,11.545,11.545,0
LIME.MI,27/02/2012,11.785,11.785,11.785,11.785,0
LIME.MI,28/02/2012,11.76,11.76,11.76,11.76,0
LIME.MI,29/02/2012,11.69,11.69,11.69,11.69,0
LIME.MI,01/03/2012,11.8,11.85,11.8,11.85,130
LIME.MI,02/03/2012,11.83,11.83,11.83,11.83,0
LIME.MI,05/03/2012,11.42,11.42,11.42,11.42,0
LIME.MI,06/03/2012,11,11,11,11,0
LIME.MI,07/03/2012,10.93,10.93,10.93,10.93,0
LIME.MI,08/03/2012,10.87,10.87,10.87,10.87,0
LIME.MI,09/03/2012,11.36,11.36,11.36,11.36,0
LIME.MI,12/03/2012,11.36,11.36,11.36,11.36,0
LIME.MI,13/03/2012,11.675,11.675,11.675,11.675,0
LIME.MI,14/03/2012,11.375,11.375,11.375,11.375,0
LIME.MI,15/03/2012,11.5,11.5,11.5,11.5,0
LIME.MI,16/03/2012,11.38,11.38,11.38,11.38,0
LIME.MI,19/03/2012,11.4,11.4,11.4,11.4,0
LIME.MI,20/03/2012,11.045,11.045,11.045,11.045,0
LIME.MI,21/03/2012,11.06,11.06,11.06,11.06,0
LIME.MI,22/03/2012,10.495,10.495,10.495,10.495,0
LIME.MI,23/03/2012,10.635,10.635,10.635,10.635,0
LIME.MI,26/03/2012,10.805,10.805,10.805,10.805,0
