ticker,dateTime,open,high,low,close,volume
LQDE.MI,09/03/2006,91.65,91.75,91.5,91.72,431
LQDE.MI,10/03/2006,91.75,91.75,91.62,91.71,120
LQDE.MI,13/03/2006,93,93,91.32,91.33,1303
LQDE.MI,14/03/2006,91.35,91.35,90.9,90.9,542
LQDE.MI,15/03/2006,90.9,91.06,90.75,90.8,667
LQDE.MI,16/03/2006,90.7,90.7,90.12,90.24,1480
LQDE.MI,17/03/2006,90.2,90.25,90.05,90.09,1639
LQDE.MI,20/03/2006,90.09,90.09,89.77,90.07,1618
LQDE.MI,21/03/2006,90.15,90.57,90.15,90.57,395
LQDE.MI,22/03/2006,90.61,90.95,88.72,88.73,10818
LQDE.MI,23/03/2006,88.85,89.34,88.54,89.34,13815
LQDE.MI,24/03/2006,89.5,89.81,89.5,89.7,1415
LQDE.MI,27/03/2006,89.83,90.33,89.83,90.25,3517
LQDE.MI,28/03/2006,91.18,91.99,90.02,90.21,4561
LQDE.MI,29/03/2006,90,90,89.1,89.26,527
LQDE.MI,30/03/2006,89.18,89.18,87.95,87.96,905
LQDE.MI,31/03/2006,88.1,88.1,87.46,87.6,367
LQDE.MI,03/04/2006,87.83,88.1,87.5,87.55,447
LQDE.MI,04/04/2006,87.34,87.34,86.15,86.2,5881
LQDE.MI,05/04/2006,86.1,86.15,85.7,85.89,1672
LQDE.MI,06/04/2006,85.87,86.27,85.59,86.04,1002
LQDE.MI,07/04/2006,86.27,86.68,86.2,86.68,367
LQDE.MI,10/04/2006,86.05,86.2,86.05,86.2,2
LQDE.MI,11/04/2006,86.04,86.3,86.04,86.18,142
LQDE.MI,12/04/2006,86.16,86.16,85.93,85.94,2831
LQDE.MI,13/04/2006,85.76,85.8,85.52,85.52,1166
LQDE.MI,18/04/2006,85,85.55,84.6,84.68,1122
LQDE.MI,19/04/2006,84.5,84.56,84.21,84.25,1304
LQDE.MI,20/04/2006,84.17,84.43,84.09,84.28,1437
LQDE.MI,21/04/2006,84.25,84.5,84.15,84.24,1134
LQDE.MI,24/04/2006,84.08,84.08,84,84,149
LQDE.MI,25/04/2006,84.13,84.13,83.52,83.77,306
LQDE.MI,26/04/2006,83.84,83.84,83.11,83.11,1044
LQDE.MI,27/04/2006,83,83.15,82.41,82.49,1357
LQDE.MI,28/04/2006,83.27,83.27,82.16,82.35,2643
LQDE.MI,02/05/2006,82.28,82.28,81.89,81.89,298
LQDE.MI,03/05/2006,81.89,81.91,81.89,81.9,40
LQDE.MI,04/05/2006,82.5,82.5,81.79,81.87,4816
LQDE.MI,05/05/2006,81.85,81.87,81.5,81.65,2989
LQDE.MI,08/05/2006,81.64,81.64,81.4,81.59,1021
LQDE.MI,09/05/2006,82.11,82.11,81.4,81.41,1665
LQDE.MI,10/05/2006,81.38,81.45,81.05,81.44,643
LQDE.MI,11/05/2006,81.82,81.82,80.99,81.03,1137
LQDE.MI,12/05/2006,80.64,80.64,80.3,80.49,1028
LQDE.MI,15/05/2006,81.97,81.97,80.27,80.77,3973
LQDE.MI,16/05/2006,81.02,81.02,80.79,80.79,191
LQDE.MI,17/05/2006,80.52,80.71,80.33,80.38,181
LQDE.MI,18/05/2006,81.12,81.19,80.74,81,1976
LQDE.MI,19/05/2006,80.97,81.5,80.76,81.47,2923
LQDE.MI,22/05/2006,81.14,81.19,81.01,81.14,4636
LQDE.MI,23/05/2006,80.84,80.84,80.59,80.59,124
LQDE.MI,24/05/2006,80.71,81.18,80.71,80.89,1804
LQDE.MI,25/05/2006,81.97,81.97,81.33,81.46,1099
LQDE.MI,26/05/2006,81.39,81.86,81.32,81.37,297
LQDE.MI,29/05/2006,81.85,82.29,81.23,81.96,320
LQDE.MI,30/05/2006,81.2,81.22,80.72,80.77,2065
LQDE.MI,31/05/2006,80.26,80.39,80.2,80.37,654
LQDE.MI,01/06/2006,80.66,80.87,80.66,80.66,653
LQDE.MI,02/06/2006,80.7,80.7,80,80.13,1034
LQDE.MI,05/06/2006,80,80.17,79.92,80.11,487
LQDE.MI,06/06/2006,80.11,80.56,80.02,80.56,1266
LQDE.MI,07/06/2006,80.72,80.9,80.72,80.74,757
LQDE.MI,08/06/2006,80.93,82,80.93,82,654
LQDE.MI,09/06/2006,81.96,82.16,81.96,82.04,3526
LQDE.MI,12/06/2006,82.3,82.3,81.91,82.15,424
LQDE.MI,13/06/2006,82.24,82.46,82.2,82.4,761
LQDE.MI,14/06/2006,82.3,82.3,81.94,82.01,951
LQDE.MI,15/06/2006,81.83,81.83,81.53,81.6,405
LQDE.MI,16/06/2006,81.85,81.85,81.29,81.49,549
LQDE.MI,19/06/2006,81.65,81.68,81.5,81.6,1722
LQDE.MI,20/06/2006,81.7,81.7,81.66,81.66,14
LQDE.MI,21/06/2006,81.5,81.5,81.26,81.26,120
LQDE.MI,22/06/2006,81.12,81.16,81,81.16,2401
LQDE.MI,23/06/2006,81.16,81.24,81.03,81.05,6318
LQDE.MI,26/06/2006,81.02,81.44,80.97,81.44,5312
LQDE.MI,27/06/2006,80.95,80.95,80.95,80.95,200
