Date,Open,High,Low,Close,Volume,Adj Close
2008-03-18,16.72,16.84,16.72,16.79,6200,16.79
2008-03-19,17.0,17.0,17.0,17.0,0,17.0
2008-03-20,16.13,16.18,16.13,16.13,0,16.13
2008-03-25,16.48,16.71,16.48,16.679,3600,16.679
2008-03-26,16.78,16.96,16.7,16.8,26200,16.8
2008-03-27,16.85,17.1,16.85,17.1,4100,17.1
2008-03-28,16.82,16.82,16.82,16.82,1000,16.82
2008-03-31,16.45,16.6,16.45,16.58,4100,16.58
2008-04-01,17.13,17.14,17.03,17.14,6000,17.14
2008-04-02,17.7,17.77,17.7,17.7,0,17.7
2008-04-03,17.63,17.63,17.63,17.63,1100,17.63
2008-04-04,17.82,17.82,17.82,17.82,300,17.82
2008-04-07,18.15,18.15,18.15,18.15,2500,18.15
2008-04-08,18.15,18.15,17.81,17.81,200,17.81
2008-04-09,18.04,18.12,18.03,18.05,2500,18.05
2008-04-10,17.82,18.16,17.69,17.884,62800,17.884
2008-04-11,18.03,18.03,17.88,17.89,4100,17.89
2008-04-14,17.59,17.64,17.56,17.56,3200,17.56
2008-04-15,17.66,17.84,17.66,17.84,9800,17.84
2008-04-16,17.96,17.96,17.96,17.96,4400,17.96
2008-04-17,18.18,18.18,18.18,18.18,1000,18.18
2008-04-18,18.45,18.94,18.45,18.631,56700,18.631
2008-04-21,18.6,18.6,18.32,18.53,9800,18.53
2008-04-22,18.56,18.67,18.56,18.653,300,18.653
2008-04-23,18.8,18.8,18.65,18.65,100,18.65
2008-04-24,18.55,18.55,18.45,18.536,27900,18.536
2008-04-25,18.63,18.63,18.4,18.4,11700,18.4
2008-04-28,18.57,18.57,18.5,18.5,0,18.5
2008-04-29,18.56,18.75,18.46,18.478,193000,18.478
2008-04-30,17.94,18.07,17.81,18.059,17900,18.059
2008-05-02,19.03,19.44,19.03,19.41,9500,19.41
2008-05-05,19.34,19.53,19.34,19.46,800,19.46
2008-05-06,19.55,19.55,19.3,19.454,2600,19.454
2008-05-07,19.6,19.75,19.6,19.75,1300,19.75
2008-05-08,19.49,19.49,19.28,19.286,43200,19.286
2008-05-09,19.03,19.09,18.86,19.073,17400,19.073
2008-05-12,19.34,19.49,19.23,19.353,9800,19.353
2008-05-13,19.51,19.65,19.47,19.482,35600,19.482
2008-05-14,19.6,19.76,19.6,19.631,8600,19.631
2008-05-15,19.53,19.66,19.53,19.66,200,19.66
2008-05-16,19.9,20.15,19.88,20.14,5000,20.14
2008-05-19,20.36,20.53,20.16,20.47,4200,20.47
2008-05-20,20.21,20.21,20.15,20.15,500,20.15
2008-05-21,20.4,20.4,20.27,20.27,1500,20.27
2008-05-22,19.92,20.0,19.92,20.0,100,20.0
2008-05-23,19.92,19.92,19.66,19.66,900,19.66
2008-05-26,19.49,19.72,19.49,19.68,4600,19.68
2008-05-27,19.61,19.61,19.48,19.608,4400,19.608
2008-05-28,19.73,19.75,19.63,19.63,3000,19.63
2008-05-29,20.37,20.4,20.25,20.32,40200,20.32
2008-05-30,20.26,20.41,20.26,20.35,9000,20.35
2008-06-02,20.65,20.65,20.28,20.51,8900,20.51
2008-06-03,20.22,20.37,20.22,20.25,9300,20.25
