ticker,dateTime,open,high,low,close,volume
LU1291109293,21/06/2017,53.9,53.9,53.9,53.9,0
LU1291109293,22/06/2017,53.84,53.84,53.84,53.84,0
LU1291109293,23/06/2017,53.73,53.73,53.73,53.73,0
LU1291109293,26/06/2017,54.05,54.05,54.05,54.05,0
LU1291109293,27/06/2017,53.87,53.87,53.84,53.84,1034
LU1291109293,28/06/2017,53.41,53.69,53.41,53.65,2735
LU1291109293,29/06/2017,53.29,53.29,53.08,53.29,1191
LU1291109293,30/06/2017,53.05,53.05,53.05,53.05,0
LU1291109293,03/07/2017,53.21,53.21,53.21,53.21,0
LU1291109293,04/07/2017,53.12,53.38,53.12,53.38,4517
LU1291109293,05/07/2017,52.96,52.96,52.88,52.88,531
LU1291109293,06/07/2017,52.56,52.56,52.56,52.56,0
LU1291109293,07/07/2017,52.62,52.62,52.51,52.62,1089
LU1291109293,10/07/2017,52.84,52.84,52.73,52.74,631
LU1291109293,11/07/2017,52.32,52.32,52.32,52.32,0
LU1291109293,12/07/2017,52.4,53.13,52.38,52.38,627
LU1291109293,13/07/2017,53.25,53.25,53.25,53.25,0
LU1291109293,14/07/2017,53.41,53.41,53.41,53.41,0
LU1291109293,17/07/2017,53.56,53.56,53.56,53.56,0
LU1291109293,18/07/2017,53.04,53.04,53.04,53.04,0
LU1291109293,19/07/2017,53.51,53.51,53.51,53.51,0
LU1291109293,20/07/2017,53.55,53.55,53.55,53.55,0
LU1291109293,21/07/2017,53.3,53.3,53.3,53.3,0
LU1291109293,24/07/2017,53.11,53.11,53.11,53.11,0
LU1291109293,25/07/2017,53.13,53.13,53.13,53.13,0
LU1291109293,26/07/2017,53.33,53.48,53.33,53.42,214
LU1291109293,27/07/2017,53.3,53.3,53.07,53.3,100
LU1291109293,28/07/2017,52.71,52.71,52.71,52.71,0
LU1291109293,31/07/2017,52.64,52.64,52.64,52.64,0
LU1291109293,01/08/2017,52.94,52.94,52.94,52.94,0
LU1291109293,02/08/2017,52.86,52.86,52.86,52.86,0
LU1291109293,03/08/2017,52.85,52.85,52.82,52.85,935
LU1291109293,04/08/2017,53.21,53.21,53.21,53.21,0
LU1291109293,07/08/2017,52.98,52.98,52.98,52.98,0
LU1291109293,08/08/2017,52.84,53.13,52.84,52.84,140
LU1291109293,09/08/2017,52.81,52.81,52.81,52.81,0
LU1291109293,10/08/2017,52.64,52.64,52.64,52.64,0
LU1291109293,11/08/2017,52.36,52.36,51.99,52.07,918
LU1291109293,14/08/2017,51.95,52.56,51.95,51.95,489
LU1291109293,16/08/2017,52.73,52.73,52.73,52.73,0
LU1291109293,17/08/2017,52.56,52.56,52.56,52.56,0
LU1291109293,18/08/2017,52.23,52.23,52.23,52.23,0
LU1291109293,21/08/2017,52.4,52.4,52.15,52.15,350
LU1291109293,22/08/2017,52.51,52.51,52.51,52.51,0
LU1291109293,23/08/2017,52.5,52.59,52.5,52.5,200
LU1291109293,24/08/2017,52.99,52.99,52.95,52.99,150
LU1291109293,25/08/2017,52.94,52.94,52.76,52.94,50
LU1291109293,28/08/2017,52.23,52.23,52.23,52.23,0
LU1291109293,29/08/2017,52,52,51.8,51.96,54
LU1291109293,30/08/2017,52.28,52.28,52.28,52.28,0
LU1291109293,31/08/2017,53.02,53.02,53.02,53.02,0
LU1291109293,01/09/2017,53.2,53.2,53.15,53.2,211
LU1291109293,04/09/2017,52.82,52.82,52.82,52.82,0
LU1291109293,05/09/2017,52.96,52.96,52.96,52.96,0
LU1291109293,06/09/2017,52.89,52.89,52.89,52.89,0
LU1291109293,07/09/2017,52.73,52.73,52.73,52.73,0
LU1291109293,08/09/2017,52.57,52.57,52.57,52.57,0
LU1291109293,11/09/2017,53.07,53.07,53.07,53.07,0
LU1291109293,12/09/2017,52.94,52.94,52.94,52.94,0
LU1291109293,13/09/2017,52.97,52.97,52.97,52.97,0
LU1291109293,14/09/2017,52.94,52.94,52.94,52.94,0
LU1291109293,15/09/2017,52.77,52.77,52.67,52.77,493
LU1291109293,18/09/2017,53,53,52.83,53,50
LU1291109293,19/09/2017,52.52,52.52,52.45,52.52,158
LU1291109293,20/09/2017,52.52,52.52,52.52,52.52,0
LU1291109293,21/09/2017,52.18,52.18,52.18,52.18,0
LU1291109293,22/09/2017,52,52,51.85,52,1234
LU1291109293,25/09/2017,52.1,52.1,52.1,52.1,1234
LU1291109293,26/09/2017,52.55,52.55,52.38,52.55,128
LU1291109293,27/09/2017,52.26,52.26,52.26,52.26,0
LU1291109293,28/09/2017,52.03,52.15,52.03,52.11,1859
LU1291109293,29/09/2017,52.18,52.18,52.18,52.18,0
LU1291109293,02/10/2017,52.4,52.4,52.4,52.4,0
LU1291109293,03/10/2017,52.29,52.29,52.29,52.29,0
LU1291109293,04/10/2017,52.24,52.24,52.24,52.24,0
LU1291109293,05/10/2017,52.58,52.58,52.58,52.58,0
