Date,Open,High,Low,Close,Volume,Adj Close
2006-09-14,98.33,98.33,98.33,98.33,0,98.33
2006-09-15,98.33,99.11,98.21,98.33,1000,98.33
2006-09-18,99.01,99.01,99.01,99.01,0,99.01
2006-09-19,98.21,98.7,98.21,98.21,0,98.21
2006-09-20,98.96,98.96,98.79,98.96,200,98.96
2006-09-21,98.57,98.57,98.57,98.57,1000,98.57
2006-09-22,97.38,97.52,97.38,97.38,1100,97.38
2006-09-25,97.48,97.48,97.48,97.48,1000,97.48
2006-09-26,97.48,97.48,97.48,97.48,0,97.48
2006-09-27,97.48,97.48,97.48,97.48,0,97.48
2006-09-28,97.48,97.48,97.48,97.48,0,97.48
2006-09-29,100.23,100.47,100.21,100.23,0,100.23
2006-10-02,99.0,100.2,99.0,99.0,2300,99.0
2006-10-03,98.62,99.09,98.62,98.62,1000,98.62
2006-10-04,99.72,99.83,99.41,99.72,44900,99.72
2006-10-05,100.38,100.7,100.38,100.38,1600,100.38
2006-10-06,101.45,101.49,100.99,101.45,10100,101.45
2006-10-09,101.28,101.5,101.2,101.28,38200,101.28
2006-10-10,102.15,102.36,101.84,102.15,12500,102.15
2006-10-11,101.97,102.04,101.97,101.97,5500,101.97
2006-10-12,101.97,101.97,101.97,101.97,0,101.97
2006-10-13,102.93,103.01,102.92,102.93,15900,102.93
2006-10-16,103.36,103.67,103.36,103.36,5100,103.36
2006-10-17,103.36,103.41,102.89,103.36,2000,103.36
2006-10-18,103.96,103.96,103.14,103.96,11000,103.96
2006-10-19,102.95,103.04,102.95,102.95,100,102.95
2006-10-20,102.95,103.0,102.74,102.95,100,102.95
2006-10-23,103.54,103.54,103.39,103.54,100,103.54
2006-10-24,104.05,104.15,103.98,104.05,200,104.05
2006-10-25,104.13,104.15,104.13,104.13,0,104.13
2006-10-26,103.88,104.06,103.88,103.88,3100,103.88
2006-10-27,103.28,103.28,103.28,103.28,0,103.28
2006-10-30,102.75,103.0,102.75,102.75,100,102.75
2006-10-31,102.86,103.3,102.5,102.86,0,102.86
2006-11-01,102.85,102.85,102.85,102.85,0,102.85
2006-11-02,101.64,101.65,101.56,101.64,200,101.64
2006-11-03,102.23,102.23,102.23,102.23,0,102.23
2006-11-06,102.48,102.5,102.48,102.48,0,102.48
2006-11-07,102.48,102.98,102.48,102.48,6100,102.48
2006-11-08,103.03,103.03,103.03,103.03,0,103.03
2006-11-09,103.03,103.41,102.78,103.03,100,103.03
2006-11-10,102.0,102.13,102.0,102.0,100,102.0
2006-11-13,102.45,102.45,102.17,102.45,100,102.45
2006-11-14,102.57,102.82,102.57,102.57,600,102.57
2006-11-15,103.82,103.82,103.52,103.82,300,103.82
2006-11-16,104.06,104.06,104.06,104.06,0,104.06
2006-11-17,104.06,104.06,104.06,104.06,0,104.06
2006-11-20,104.06,104.18,103.56,104.06,0,104.06
2006-11-21,104.18,104.29,104.15,104.18,100,104.18
2006-11-22,103.23,103.96,103.23,103.23,0,103.23
2006-11-23,103.13,103.13,103.13,103.13,0,103.13
2006-11-24,103.13,103.28,101.79,103.13,7000,103.13
2006-11-27,101.0,101.76,101.0,101.0,10200,101.0
2006-11-28,100.35,100.35,100.05,100.35,1800,100.35
2006-11-29,101.07,101.07,100.83,101.07,0,101.07
2006-11-30,101.07,101.44,100.68,101.07,5000,101.07
2006-12-01,101.21,101.22,100.0,101.21,0,101.21
2006-12-04,100.7,100.7,100.16,100.7,2000,100.7
2006-12-05,101.2,101.26,100.85,101.2,6000,101.2
2006-12-06,101.28,101.28,101.28,101.28,2000,101.28
2006-12-07,101.28,101.6,101.25,101.28,26000,101.28
2006-12-08,100.67,101.2,100.67,100.67,11000,100.67
2006-12-11,102.02,102.11,102.02,102.02,0,102.02
2006-12-12,101.43,101.7,101.43,101.43,3200,101.43
2006-12-13,101.83,101.83,101.83,101.83,500,101.83
2006-12-14,101.9,101.9,101.9,101.9,0,101.9
2006-12-15,104.0,104.0,103.59,104.0,1100,104.0
2006-12-18,104.0,104.1,103.76,104.0,100,104.0
2006-12-19,102.8,103.07,102.56,102.8,200,102.8
2006-12-20,103.08,103.08,102.83,103.08,700,103.08
2006-12-21,103.08,103.08,103.08,103.08,0,103.08
2006-12-22,103.08,103.08,103.08,103.08,0,103.08
2006-12-27,102.96,103.07,102.9,102.96,11200,102.96
2006-12-28,102.97,103.53,102.82,102.97,800,102.97
2006-12-29,102.86,103.0,102.8,102.86,500,102.86
2007-01-02,102.85,106.34,101.7,102.85,6100,102.85
2007-01-03,102.73,102.85,102.37,102.73,0,102.73
2007-01-04,102.66,103.23,102.66,102.66,500,102.66
2007-01-05,103.23,103.29,103.0,103.23,700,103.23
2007-01-08,103.29,103.35,103.0,103.29,0,103.29
2007-01-09,103.54,103.85,103.54,103.54,3500,103.54
2007-01-10,103.41,103.41,103.18,103.41,100,103.41
2007-01-11,103.92,104.13,103.92,103.92,0,103.92
2007-01-12,105.29,105.29,105.11,105.29,1100,105.29
2007-01-15,106.14,106.14,105.7,106.14,1100,106.14
2007-01-16,105.67,105.86,105.43,105.67,300,105.67
2007-01-17,105.95,105.95,105.95,105.95,100,105.95
2007-01-18,105.35,105.88,105.35,105.35,600,105.35
2007-01-19,105.06,105.06,105.05,105.06,0,105.06
2007-01-22,105.22,105.63,105.22,105.22,0,105.22
2007-01-23,104.6,104.98,104.43,104.6,4200,104.6
2007-01-24,105.3,105.3,105.02,105.3,0,105.3
2007-01-25,105.85,106.08,105.85,105.85,15900,105.85
2007-01-26,105.3,105.3,105.3,105.3,100,105.3
2007-01-29,105.3,105.33,104.95,105.3,100,105.3
2007-01-30,104.78,104.78,104.78,104.78,0,104.78
2007-01-31,105.05,105.4,105.0,105.05,1600,105.05
2007-02-01,105.77,105.81,105.65,105.77,100,105.77
2007-02-02,106.68,106.73,106.15,106.68,6700,106.68
2007-02-05,106.94,106.98,106.69,106.94,1400,106.94
2007-02-06,107.18,107.2,107.18,107.18,100,107.18
2007-02-07,106.7,106.91,106.7,106.7,2100,106.7
2007-02-08,106.78,106.88,106.24,106.78,0,106.78
2007-02-09,106.66,106.66,106.6,106.66,1400,106.66
2007-02-12,105.97,106.3,105.79,105.97,2800,105.97
2007-02-13,105.89,105.89,105.55,105.89,4600,105.89
2007-02-14,105.89,105.9,105.74,105.89,300,105.89
2007-02-15,105.88,105.88,105.88,105.88,1000,105.88
2007-02-16,106.13,106.13,106.07,106.13,100,106.13
2007-02-19,106.13,106.33,106.13,106.13,100,106.13
2007-02-20,106.13,106.14,105.98,106.13,100,106.13
2007-02-21,106.13,106.33,106.13,106.13,200,106.13
2007-02-22,106.72,106.72,106.32,106.72,7000,106.72
2007-02-23,106.24,106.42,106.24,106.24,300,106.24
2007-02-26,105.7,106.06,105.7,105.7,0,105.7
2007-02-27,103.83,105.2,103.66,103.83,6200,103.83
2007-02-28,102.39,102.39,102.08,102.39,1200,102.39
2007-03-01,102.3,102.4,101.15,102.3,4300,102.3
2007-03-02,101.26,101.26,101.26,101.26,0,101.26
2007-03-05,101.26,101.37,100.05,101.26,26100,101.26
2007-03-06,101.09,101.54,101.09,101.09,1200,101.09
2007-03-07,101.8,101.8,101.8,101.8,0,101.8
2007-03-08,102.2,102.2,102.07,102.2,0,102.2
2007-03-09,102.2,103.35,102.15,102.2,400,102.2
2007-03-12,102.19,102.92,101.93,102.19,600,102.19
2007-03-13,102.16,102.44,101.48,102.16,4100,102.16
2007-03-14,100.1,100.41,99.87,100.1,300,100.1
2007-03-15,100.99,100.99,100.92,100.99,0,100.99
2007-03-16,100.99,100.99,100.99,100.99,0,100.99
2007-03-19,101.11,101.11,101.11,101.11,200,101.11
2007-03-20,101.68,101.68,101.31,101.68,12800,101.68
2007-03-21,101.68,101.68,101.68,101.68,0,101.68
2007-03-22,103.3,103.3,102.94,103.3,200,103.3
2007-03-23,103.65,103.65,103.47,103.65,0,103.65
2007-03-26,103.83,103.83,103.76,103.83,0,103.83
2007-03-27,102.6,103.16,102.6,102.6,0,102.6
2007-03-28,101.79,101.88,101.79,101.79,4200,101.79
2007-03-29,102.7,102.7,102.32,102.7,8600,102.7
2007-03-30,102.74,102.74,102.74,102.74,2100,102.74
2007-04-02,101.82,102.25,101.29,101.82,11300,101.82
2007-04-03,103.1,103.1,102.15,103.1,43400,103.1
2007-04-04,103.25,103.63,103.25,103.25,3700,103.25
2007-04-05,103.34,103.36,103.3,103.34,500,103.34
2007-04-10,103.34,103.45,103.17,103.34,0,103.34
2007-04-11,103.34,103.56,103.01,103.34,1000,103.34
2007-04-12,102.54,102.6,102.5,102.54,7000,102.54
2007-04-13,102.54,103.17,102.5,102.54,2200,102.54
2007-04-16,103.17,103.5,103.02,103.17,800,103.17
2007-04-17,104.23,104.23,103.88,104.23,1000,104.23
2007-04-18,103.53,103.79,103.53,103.53,200,103.53
2007-04-19,103.53,103.77,103.4,103.53,300,103.53
2007-04-20,104.47,104.47,104.06,104.47,200,104.47
2007-04-23,105.16,105.16,104.83,105.16,0,105.16
2007-04-24,104.77,104.95,104.6,104.77,19300,104.77
2007-04-25,104.6,104.6,104.6,104.6,0,104.6
2007-04-26,105.27,105.52,105.27,105.27,0,105.27
2007-04-27,105.21,105.21,105.21,105.21,0,105.21
2007-04-30,105.21,105.45,105.21,105.21,2300,105.21
2007-05-02,105.22,105.55,105.2,105.22,2300,105.22
2007-05-03,106.13,106.13,105.88,106.13,0,106.13
2007-05-04,106.61,106.63,106.32,106.61,600,106.61
2007-05-07,106.27,106.43,106.15,106.27,100,106.27
2007-05-08,106.37,106.52,106.31,106.37,500,106.37
2007-05-09,106.64,106.83,106.6,106.64,200,106.64
2007-05-10,106.95,106.96,106.75,106.95,2000,106.95
2007-05-11,106.58,106.58,106.4,106.58,2000,106.58
2007-05-14,106.85,106.85,106.85,106.85,0,106.85
2007-05-15,106.85,107.11,106.3,106.85,3300,106.85
2007-05-16,106.55,106.6,106.35,106.55,1100,106.55
2007-05-17,107.47,107.59,107.11,107.47,3500,107.47
2007-05-18,107.99,107.99,107.54,107.99,100,107.99
2007-05-21,108.83,108.83,108.22,108.83,100,108.83
2007-05-22,108.83,108.94,108.0,108.83,400,108.83
2007-05-23,108.89,108.94,108.86,108.89,100,108.89
2007-05-24,108.65,108.65,106.97,108.65,0,108.65
2007-05-25,108.02,108.02,107.75,108.02,2400,108.02
2007-05-28,107.8,107.8,107.8,107.8,0,107.8
2007-05-29,108.12,108.18,107.92,108.12,200,108.12
2007-05-30,108.1,108.1,108.1,108.1,300,108.1
