Date,Open,High,Low,Close,Volume,Adj Close
2014-10-08,90.57,90.57,90.57,90.57,100,90.57
2014-12-04,88.47,88.52,88.47,87.79,100,87.79
2014-12-05,87.82,88.33,87.82,87.99,200,87.99
2014-12-09,81.88,82.13,80.87,81.73,600,81.73
2014-12-10,82.68,82.68,82.68,79.51,0,79.51
2014-12-11,79.29,80.88,79.29,81.45,100,81.45
2014-12-12,78.6,78.6,77.94,77.23,100,77.23
2014-12-15,78.47,78.47,75.69,75.05,200,75.05
2014-12-16,73.93,73.93,72.58,76.11,400,76.11
2014-12-18,80.6,80.6,80.6,80.21,0,80.21
2014-12-22,80.02,80.02,80.02,79.94,200,79.94
2014-12-29,81.48,81.48,81.48,82.57,0,82.57
2014-12-30,82.04,82.35,82.04,81.83,100,81.83
2015-01-02,82.91,82.91,82.75,84.11,100,84.11
2015-01-05,83.0,83.0,83.0,83.15,0,83.15
2015-01-07,81.19,81.22,81.19,80.46,0,80.46
2015-01-12,82.0,82.0,81.03,79.51,100,79.51
2015-01-13,78.83,79.23,78.83,78.07,1200,78.07
2015-01-14,76.8,76.8,76.8,75.95,0,75.95
2015-01-16,78.75,78.75,78.29,80.93,100,80.93
2015-01-21,81.69,81.69,81.69,83.03,100,83.03
2015-01-23,86.16,86.16,86.16,86.44,0,86.44
2015-01-27,86.27,86.27,86.27,85.65,0,85.65
2015-01-29,84.88,84.88,84.85,82.99,1900,82.99
2015-02-02,85.44,85.54,85.44,86.28,100,86.28
2015-02-06,88.63,88.63,88.63,88.51,0,88.51
2015-02-11,88.27,88.27,87.11,87.26,0,87.26
2015-02-13,87.3,87.71,87.3,88.87,0,88.87
2015-02-17,88.33,88.35,88.33,88.01,0,88.01
2015-02-18,88.85,88.85,88.82,88.49,0,88.49
2015-02-19,87.73,87.73,87.73,87.33,0,87.33
2015-02-23,89.28,89.28,88.99,88.14,0,88.14
2015-02-25,88.31,88.97,88.31,88.94,100,88.94
2015-02-27,88.31,88.49,88.31,88.88,0,88.88
2015-03-02,88.49,89.6,88.49,88.97,600,88.97
2015-03-03,88.4,88.4,87.41,88.59,1000,88.59
2015-03-04,88.75,88.75,88.75,88.92,200,88.92
2015-03-05,90.0,90.0,90.0,90.72,0,90.72
2015-03-06,92.0,92.0,90.23,90.4,100,90.4
2015-03-09,90.4,90.4,90.4,90.17,100,90.17
2015-03-11,89.76,89.76,89.76,89.6,0,89.6
2015-03-12,89.45,89.45,89.45,88.94,100,88.94
2015-03-13,88.0,88.46,88.0,88.35,300,88.35
2015-03-16,89.08,89.08,87.46,87.18,1000,87.18
2015-03-17,87.5,87.5,87.5,87.57,100,87.57
2015-03-19,87.92,87.92,87.02,87.24,0,87.24
2015-03-20,87.04,87.09,87.04,86.64,100,86.64
2015-03-24,85.25,85.25,85.25,86.63,0,86.63
2015-03-25,85.52,85.69,85.52,85.71,0,85.71
2015-03-26,85.25,86.44,85.0,85.84,500,85.84
2015-03-31,87.59,87.99,87.52,88.34,400,88.34
2015-04-02,86.66,86.7,86.66,87.34,100,87.34
2015-04-09,88.44,88.44,88.44,89.14,0,89.14
2015-04-10,90.12,90.19,90.0,90.5,0,90.5
2015-04-14,89.73,89.73,89.73,90.41,500,90.41
2015-04-15,91.86,91.86,91.46,92.19,0,92.19
2015-04-16,91.13,91.13,91.13,91.15,0,91.15
2015-04-17,90.52,90.66,90.52,90.7,0,90.7
2015-04-20,91.01,91.25,91.01,91.44,600,91.44
2015-04-21,91.5,91.5,91.5,91.22,0,91.22
2015-04-22,90.96,90.98,90.5,90.9,100,90.9
2015-04-23,90.86,90.86,90.17,90.71,600,90.71
2015-04-24,90.72,91.52,90.5,90.42,1300,90.42
2015-04-27,90.8,91.35,90.7,90.71,400,90.71
2015-04-28,90.5,90.5,89.18,89.31,200,89.31
2015-04-29,89.65,89.65,88.64,88.71,0,88.71
2015-04-30,88.15,89.22,88.15,88.78,0,88.78
2015-05-04,90.42,90.76,89.95,90.07,100,90.07
2015-05-05,89.9,90.21,89.9,89.22,500,89.22
2015-05-06,89.5,89.5,88.74,87.28,500,87.28
2015-05-07,87.0,87.0,86.57,87.07,0,87.07
2015-05-08,86.93,87.41,86.93,87.5,200,87.5
2015-05-11,87.6,87.6,87.6,87.41,200,87.41
2015-05-12,87.0,87.0,87.0,87.19,0,87.19
2015-05-13,87.73,88.69,86.92,87.45,5800,87.45
2015-05-14,88.0,88.0,88.0,87.88,0,87.88
2015-05-15,88.29,88.29,88.29,87.01,0,87.01
2015-05-18,87.62,87.62,87.62,88.22,0,88.22
2015-05-19,89.79,89.79,89.12,89.08,1200,89.08
2015-05-21,88.49,88.49,88.49,88.82,0,88.82
2015-05-22,88.86,88.87,88.86,89.79,0,89.79
2015-05-25,90.25,90.85,90.23,90.65,100,90.65
2015-05-26,91.02,91.18,90.63,90.22,700,90.22
2015-05-27,90.75,90.75,90.75,90.04,0,90.04
2015-05-28,89.99,89.99,89.99,88.86,0,88.86
2015-05-29,88.5,88.57,88.5,88.02,200,88.02
2015-06-01,88.8,88.8,88.8,88.78,200,88.78
2015-06-02,86.74,86.74,86.74,87.01,0,87.01
2015-06-03,85.5,85.5,85.27,85.27,0,85.27
2015-06-04,85.28,85.28,83.77,83.38,100,83.38
2015-06-05,83.07,84.76,83.07,84.61,1200,84.61
2015-06-09,83.05,83.77,83.05,83.23,1200,83.23
2015-06-10,82.93,83.58,82.93,82.93,500,82.93
2015-06-12,83.34,83.34,83.14,82.34,1200,82.34
