ticker,dateTime,open,high,low,close,volume
MSE.MI,17/05/2004,26.7,27,26.55,26.88,73319
MSE.MI,18/05/2004,26.96,27.4,26.88,27.07,106015
MSE.MI,19/05/2004,27.51,27.65,27.25,27.6,61049
MSE.MI,20/05/2004,27.34,27.47,26.3,27.35,330024
MSE.MI,21/05/2004,27.5,27.54,27.24,27.41,134724
MSE.MI,24/05/2004,27.72,27.75,27.41,27.63,68245
MSE.MI,25/05/2004,27.37,27.5,27.33,27.43,26541
MSE.MI,26/05/2004,27.76,27.95,27.67,27.7,66442
MSE.MI,27/05/2004,27.99,28.07,27.92,27.94,53030
MSE.MI,28/05/2004,27.89,28.05,27.83,27.87,52786
MSE.MI,31/05/2004,27.93,27.99,27.85,27.94,52941
MSE.MI,01/06/2004,27.67,27.97,27.58,27.71,21144
MSE.MI,02/06/2004,27.89,27.96,27.87,27.96,900
MSE.MI,03/06/2004,27.69,27.78,27.61,27.75,42561
MSE.MI,04/06/2004,28.09,28.2,27.84,28.16,17523
MSE.MI,07/06/2004,28.45,28.5,28.28,28.47,38881
MSE.MI,08/06/2004,28.49,28.6,28.41,28.5,16152
MSE.MI,09/06/2004,28.52,28.6,28.32,28.41,25981
MSE.MI,10/06/2004,28.41,28.51,28.34,28.43,11536
MSE.MI,11/06/2004,28.43,28.51,28.4,28.46,19479
MSE.MI,14/06/2004,28,28.42,27.98,27.98,150456
MSE.MI,15/06/2004,28.28,28.43,27.99,28.43,13633
MSE.MI,16/06/2004,28.55,28.61,28.44,28.56,36349
MSE.MI,17/06/2004,28.63,28.73,28.5,28.55,36927
MSE.MI,18/06/2004,28.64,28.77,28.5,28.72,65829
MSE.MI,21/06/2004,28.78,28.88,28.6,28.69,33635
MSE.MI,22/06/2004,28.52,28.66,28.35,28.46,26576
MSE.MI,23/06/2004,28.59,28.7,28.46,28.54,17045
MSE.MI,24/06/2004,28.79,28.9,28.6,28.81,47962
MSE.MI,25/06/2004,28.8,28.85,28.69,28.78,58177
MSE.MI,28/06/2004,28.91,29.03,28.68,28.9,35678
MSE.MI,29/06/2004,28.86,29.05,28.77,28.86,12134
MSE.MI,30/06/2004,28.87,28.95,28.74,28.74,37738
MSE.MI,01/07/2004,28.89,29.1,28.6,28.63,95820
MSE.MI,02/07/2004,28.52,28.62,28.37,28.43,53878
MSE.MI,05/07/2004,28.45,28.53,28.41,28.44,16881
MSE.MI,06/07/2004,28.28,28.48,28.15,28.25,22148
MSE.MI,07/07/2004,28.28,28.36,28.2,28.27,58154
