Date,Open,High,Low,Close,Volume,Adj Close
2014-01-31,26.13,26.13,26.13,26.11,0,26.11
2014-03-07,26.9,26.9,26.9,26.625,100,26.625
2014-03-10,26.5,26.5,26.37,26.47,0,26.47
2014-03-20,25.86,25.86,25.86,25.88,1000,25.88
2014-04-07,27.37,27.37,27.37,27.215,500,27.215
2014-04-08,27.17,27.17,27.17,27.215,0,27.215
2014-05-16,28.045,28.045,28.045,28.03,0,28.03
2014-05-23,28.595,28.595,28.595,28.615,0,28.615
2014-06-02,29.0,29.0,29.0,28.935,100,28.935
2014-06-04,28.96,28.96,28.89,28.84,100,28.84
2014-06-10,29.08,29.08,29.08,29.075,100,29.075
2014-06-16,28.75,28.75,28.75,28.835,0,28.835
2014-06-19,29.17,29.17,29.17,29.11,200,29.11
2014-06-26,30.0,30.0,29.14,29.285,100,29.285
2014-06-30,29.45,29.45,29.41,29.26,300,29.26
2014-07-02,29.87,29.87,29.87,29.72,100,29.72
2014-07-03,29.72,29.72,29.72,29.775,0,29.775
2014-07-07,29.9,29.9,29.84,29.73,400,29.73
2014-07-08,29.75,29.75,29.75,29.605,200,29.605
2014-07-09,29.385,29.385,29.385,29.52,0,29.52
2014-07-14,29.71,29.71,29.71,29.625,0,29.625
2014-07-16,29.95,29.95,29.95,29.865,0,29.865
2014-07-18,29.96,29.97,29.96,29.995,1000,29.995
2014-07-22,30.285,30.285,30.285,30.385,0,30.385
2014-07-24,30.565,30.565,30.555,30.5,200,30.5
2014-07-25,30.61,30.61,30.61,30.485,1100,30.485
2014-07-29,30.775,30.845,30.775,30.72,200,30.72
2014-07-31,30.615,30.615,30.54,30.415,300,30.415
2014-08-05,30.235,30.235,30.015,30.085,400,30.085
2014-08-07,29.99,29.99,29.99,29.84,100,29.84
2014-08-18,30.575,30.575,30.575,30.61,0,30.61
2014-08-19,31.0,31.0,31.0,30.835,0,30.835
2014-08-20,30.825,30.835,30.815,30.79,400,30.79
2014-08-29,31.035,31.035,31.035,31.02,0,31.02
2014-09-03,31.46,31.46,31.46,31.355,300,31.355
2014-09-05,31.98,31.98,31.98,31.785,100,31.785
2014-09-09,31.905,31.905,31.675,31.625,900,31.625
2014-09-10,31.12,31.12,31.12,31.325,0,31.325
2014-09-12,31.0,31.0,31.0,30.875,0,30.875
2014-09-15,30.86,30.86,30.835,30.64,700,30.64
2014-09-16,30.585,30.585,30.585,30.625,500,30.625
2014-09-19,30.735,30.735,30.735,30.685,300,30.685
2014-09-22,30.6,30.6,30.6,30.44,100,30.44
2014-09-25,30.45,30.45,30.45,30.365,400,30.365
2014-10-01,30.485,30.485,30.485,30.33,300,30.33
