Date,Open,High,Low,Close,Volume,Adj Close
2014-12-18,8.31,8.31,8.31,8.28,1200,8.28
2014-12-19,8.375,8.375,8.375,8.37,100,8.37
2014-12-22,8.47,8.47,8.395,8.39,9100,8.39
2014-12-23,8.41,8.485,8.41,8.445,9200,8.445
2014-12-29,8.57,8.58,8.52,8.55,8800,8.55
2014-12-30,8.6,8.6,8.49,8.465,3800,8.465
2015-01-02,8.6,8.6,8.475,8.46,13500,8.46
2015-01-05,8.53,8.54,8.53,8.53,5500,8.53
2015-01-06,8.43,8.43,8.34,8.29,14700,8.29
2015-01-07,8.41,8.41,8.395,8.365,1500,8.365
2015-01-08,8.435,8.49,8.435,8.5,3600,8.5
2015-01-09,8.445,8.52,8.445,8.385,200,8.385
2015-01-12,8.415,8.46,8.355,8.38,7800,8.38
2015-01-13,8.365,8.52,8.365,8.485,4600,8.485
2015-01-14,8.385,8.395,8.36,8.335,700,8.335
2015-01-15,8.465,8.465,8.465,8.525,500,8.525
2015-01-16,8.46,8.52,8.425,8.555,1100,8.555
2015-01-21,8.57,8.57,8.57,8.6,1100,8.6
2015-01-22,8.59,8.715,8.59,8.765,6700,8.765
2015-01-23,8.9,9.055,8.9,8.93,8300,8.93
2015-01-26,8.935,9.02,8.935,9.005,14200,9.005
2015-01-27,8.92,8.92,8.82,8.815,9500,8.815
2015-01-28,8.91,8.925,8.82,8.85,3600,8.85
2015-01-30,8.825,8.825,8.78,8.79,6000,8.79
2015-02-02,8.8,8.84,8.75,8.8,4300,8.8
2015-02-03,8.86,8.86,8.78,8.79,9000,8.79
2015-02-04,8.775,8.84,8.775,8.825,2100,8.825
2015-02-05,8.85,8.895,8.815,8.86,10800,8.86
2015-02-06,8.875,8.9,8.86,8.92,14000,8.92
2015-02-09,8.88,8.92,8.835,8.865,4000,8.865
2015-02-10,8.89,8.93,8.89,8.875,2600,8.875
2015-02-11,8.91,8.95,8.91,8.95,800,8.95
2015-02-12,8.94,8.98,8.895,8.955,4200,8.955
2015-02-13,9.02,9.04,9.02,9.015,1000,9.015
2015-02-16,9.02,9.055,9.02,9.04,5600,9.04
2015-02-17,9.085,9.085,9.0,8.98,3100,8.98
2015-02-18,9.05,9.09,9.045,9.07,4800,9.07
2015-02-19,9.07,9.1,9.07,9.06,5500,9.06
2015-02-20,9.13,9.15,9.13,9.115,7300,9.115
2015-02-23,9.155,9.18,9.15,9.125,5700,9.125
2015-02-24,9.16,9.2,9.13,9.18,18900,9.18
2015-02-25,9.215,9.22,9.2,9.195,4100,9.195
2015-02-26,9.235,9.34,9.225,9.36,1800,9.36
2015-02-27,9.31,9.365,9.285,9.34,16400,9.34
2015-03-02,9.37,9.37,9.3,9.345,21800,9.345
2015-03-03,9.35,9.37,9.29,9.28,6900,9.28
2015-03-04,9.31,9.325,9.25,9.285,11700,9.285
2015-03-05,9.355,9.42,9.34,9.39,6500,9.39
2015-03-06,9.46,9.515,9.46,9.5,2400,9.5
2015-03-09,9.455,9.465,9.4,9.43,2300,9.43
2015-03-10,9.48,9.495,9.4,9.435,6500,9.435
2015-03-11,9.57,9.64,9.51,9.605,10600,9.605
2015-03-12,9.665,9.8,9.66,9.66,9300,9.66
2015-03-13,9.775,9.81,9.75,9.77,26600,9.77
2015-03-16,9.835,9.88,9.82,9.855,21600,9.855
2015-03-17,9.86,9.86,9.75,9.77,10700,9.77
2015-03-18,9.85,9.865,9.805,9.805,18800,9.805
2015-03-19,9.885,9.945,9.85,9.88,8200,9.88
2015-03-20,9.955,9.955,9.89,9.92,22700,9.92
2015-03-24,9.8,9.82,9.7,9.835,5100,9.835
2015-03-25,9.805,9.9,9.66,9.695,7100,9.695
2015-03-26,9.67,9.67,9.47,9.635,29700,9.635
2015-03-27,9.665,9.745,9.65,9.62,2200,9.62
2015-03-30,9.75,9.8,9.705,9.785,6100,9.785
2015-03-31,9.85,9.85,9.76,9.815,22700,9.815
2015-04-02,9.755,9.795,9.73,9.72,6300,9.72
2015-04-07,9.75,9.88,9.75,9.875,11300,9.875
2015-04-08,9.86,9.875,9.855,9.885,1600,9.885
2015-04-09,9.945,10.0,9.81,9.985,4600,9.985
2015-04-10,10.09,10.15,10.07,10.115,24900,10.115
2015-04-14,10.24,10.275,10.1,10.09,14100,10.09
2015-04-15,10.075,10.245,10.075,10.23,8200,10.23
2015-04-16,10.245,10.265,10.16,10.145,10400,10.145
2015-04-17,10.015,10.1,9.86,9.92,11900,9.92
2015-04-20,9.9,10.01,9.875,10.18,17100,10.18
2015-04-21,10.04,10.105,10.0,9.97,19700,9.97
2015-04-22,10.025,10.05,9.92,10.005,10500,10.005
2015-04-23,10.03,10.03,9.92,9.92,5900,9.92
2015-04-24,9.955,9.98,9.895,9.89,5700,9.89
2015-04-27,9.895,9.97,9.85,9.905,17800,9.905
2015-04-28,9.935,9.935,9.77,9.825,21600,9.825
2015-04-29,9.81,9.825,9.58,9.605,4800,9.605
2015-04-30,9.615,9.615,9.35,9.455,7400,9.455
2015-05-04,9.37,9.53,9.365,9.485,6000,9.485
2015-05-05,9.555,9.555,9.445,9.35,1600,9.35
2015-05-06,9.33,9.36,9.235,9.22,4700,9.22
2015-05-07,9.23,9.26,9.1,9.245,12800,9.245
2015-05-08,9.35,9.435,9.29,9.4,15700,9.4
2015-05-11,9.425,9.45,9.405,9.425,4300,9.425
2015-05-12,9.32,9.365,9.25,9.34,3000,9.34
2015-05-13,9.395,9.42,9.37,9.275,700,9.275
2015-05-14,9.23,9.315,9.23,9.315,8300,9.315
2015-05-15,9.355,9.395,9.285,9.275,6300,9.275
2015-05-18,9.23,9.325,9.22,9.3,17300,9.3
2015-05-19,9.89,9.89,9.48,9.495,19600,9.495
2015-05-20,9.535,9.54,9.505,9.53,32700,9.53
2015-05-21,9.515,9.6,9.45,9.55,19600,9.55
2015-05-22,9.56,9.65,9.49,9.59,7000,9.59
2015-05-25,9.69,9.795,9.6,9.645,22400,9.645
2015-05-26,9.73,9.73,9.58,9.61,5600,9.61
2015-05-27,9.67,9.755,9.67,9.69,15600,9.69
2015-05-28,9.7,9.745,9.645,9.69,21300,9.69
2015-05-29,9.73,9.735,9.59,9.58,4700,9.58
2015-06-01,9.695,9.71,9.55,9.69,6100,9.69
2015-06-02,9.635,9.635,9.51,9.565,300,9.565
2015-06-03,9.55,9.6,9.525,9.495,5700,9.495
2015-06-04,9.515,9.52,9.35,9.425,4900,9.425
2015-06-05,9.47,9.47,9.42,9.48,3600,9.48
2015-06-08,9.49,9.5,9.39,9.375,3900,9.375
2015-06-09,9.495,9.495,9.265,9.285,2100,9.285
2015-06-10,9.31,9.365,9.265,9.63,900,9.63
2015-06-11,9.42,9.485,9.42,9.405,1700,9.405
2015-06-12,9.405,9.435,9.37,9.33,3600,9.33
2015-06-15,9.4,9.4,9.255,9.305,2600,9.305
2015-06-16,9.2,9.29,9.14,9.275,11200,9.275
2015-06-17,9.29,9.295,9.235,9.26,4300,9.26
2015-06-18,9.13,9.2,9.13,9.21,2300,9.21
2015-06-19,9.305,9.315,9.26,9.26,2500,9.26
2015-06-22,9.365,9.365,9.29,9.29,2200,9.29
2015-06-23,9.445,9.49,9.435,9.46,4600,9.46
2015-06-24,9.47,9.47,9.4,9.385,13500,9.385
