ticker,dateTime,open,high,low,close,volume
RTSE.MI,16/03/2011,19.73,19.73,19.73,19.73,0
RTSE.MI,17/03/2011,20.67,20.67,20.67,20.67,0
RTSE.MI,18/03/2011,21.28,21.28,21.07,21.07,750
RTSE.MI,21/03/2011,20.81,21.1,20.81,21.04,14407
RTSE.MI,22/03/2011,21.75,21.93,21.67,21.74,9214
RTSE.MI,23/03/2011,21.67,21.67,21.575,21.575,40100
RTSE.MI,24/03/2011,21.83,21.83,21.83,21.83,0
RTSE.MI,25/03/2011,21.78,21.78,21.59,21.635,325
RTSE.MI,28/03/2011,21.52,21.61,21.52,21.61,150
RTSE.MI,29/03/2011,21.48,21.48,21.385,21.385,27321
RTSE.MI,30/03/2011,22.11,22.2,22.11,22.145,1245
RTSE.MI,31/03/2011,22.1,22.1,21.995,21.995,1085
RTSE.MI,01/04/2011,21.98,22.275,21.98,22.275,20113
RTSE.MI,04/04/2011,22.2,22.2,21.91,21.91,710
RTSE.MI,05/04/2011,21.65,21.65,21.545,21.545,70
RTSE.MI,06/04/2011,21.65,21.65,21.37,21.5,171
RTSE.MI,07/04/2011,21.48,21.48,21.105,21.105,583
RTSE.MI,08/04/2011,21.72,21.72,21.705,21.705,500
RTSE.MI,11/04/2011,21.61,21.64,21.61,21.635,2500
RTSE.MI,12/04/2011,21.25,21.38,21.23,21.23,1158
RTSE.MI,13/04/2011,21.505,21.505,21.505,21.505,0
RTSE.MI,14/04/2011,21.39,21.39,21.39,21.39,0
RTSE.MI,15/04/2011,21.355,21.355,21.355,21.355,0
RTSE.MI,18/04/2011,20.9,20.9,20.9,20.9,0
RTSE.MI,19/04/2011,21.045,21.045,21.045,21.045,0
RTSE.MI,20/04/2011,21.57,21.57,21.57,21.57,0
RTSE.MI,21/04/2011,21.37,21.37,21.37,21.37,0
RTSE.MI,26/04/2011,21.3,21.3,21.3,21.3,0
RTSE.MI,27/04/2011,21.49,21.49,21.49,21.49,520
RTSE.MI,28/04/2011,21.725,21.725,21.725,21.725,0
RTSE.MI,29/04/2011,21.94,21.94,21.93,21.93,470
RTSE.MI,02/05/2011,22.19,22.19,22.07,22.07,68
RTSE.MI,03/05/2011,21.945,21.945,21.945,21.945,0
RTSE.MI,04/05/2011,22.18,22.18,21.905,21.905,238
RTSE.MI,05/05/2011,21.98,21.98,21.735,21.735,30000
RTSE.MI,06/05/2011,21.68,21.94,21.68,21.9,305
RTSE.MI,09/05/2011,21.77,21.77,21.69,21.69,5000
RTSE.MI,10/05/2011,21.905,21.905,21.905,21.905,0
RTSE.MI,11/05/2011,21.79,21.84,21.71,21.735,211
RTSE.MI,12/05/2011,21.57,21.57,21.52,21.52,50
RTSE.MI,13/05/2011,21.57,21.57,21.435,21.435,150
RTSE.MI,16/05/2011,21.2,21.34,21.2,21.34,22
RTSE.MI,17/05/2011,20.97,20.97,20.97,20.97,0
RTSE.MI,18/05/2011,21.35,21.35,21.3,21.3,500
RTSE.MI,19/05/2011,21.09,21.09,21.09,21.09,0
RTSE.MI,20/05/2011,20.885,20.885,20.885,20.885,0
RTSE.MI,23/05/2011,20.565,20.565,20.565,20.565,0
RTSE.MI,24/05/2011,20.875,20.875,20.875,20.875,0
RTSE.MI,25/05/2011,20.88,20.88,20.88,20.88,0
RTSE.MI,26/05/2011,21.06,21.06,20.88,20.88,300
RTSE.MI,27/05/2011,21.01,21.01,20.945,20.945,160
RTSE.MI,30/05/2011,20.92,20.92,20.92,20.92,0
RTSE.MI,31/05/2011,21.44,21.44,21.325,21.325,170
RTSE.MI,01/06/2011,21.31,21.31,21.095,21.095,70
RTSE.MI,02/06/2011,21.04,21.04,21,21,150
RTSE.MI,03/06/2011,20.745,20.745,20.745,20.745,0
RTSE.MI,06/06/2011,20.545,20.545,20.545,20.545,0
RTSE.MI,07/06/2011,20.78,20.78,20.78,20.78,0
RTSE.MI,08/06/2011,20.685,20.685,20.685,20.685,0
RTSE.MI,09/06/2011,20.75,20.75,20.75,20.75,0
RTSE.MI,10/06/2011,20.59,20.59,20.59,20.59,0
RTSE.MI,13/06/2011,20.665,20.665,20.665,20.665,0
RTSE.MI,14/06/2011,20.74,20.865,20.74,20.865,40000
RTSE.MI,15/06/2011,20.875,20.875,20.875,20.875,0
RTSE.MI,16/06/2011,20.655,20.655,20.655,20.655,0
RTSE.MI,17/06/2011,20.35,20.59,20.35,20.59,8000
RTSE.MI,20/06/2011,20.545,20.545,20.545,20.545,0
RTSE.MI,21/06/2011,20.8,20.8,20.8,20.8,0
RTSE.MI,22/06/2011,21.05,21.05,21.05,21.05,0
RTSE.MI,23/06/2011,20.82,20.82,20.795,20.795,476
RTSE.MI,24/06/2011,21.06,21.06,21.06,21.06,0
RTSE.MI,27/06/2011,21.075,21.075,21.075,21.075,0
RTSE.MI,28/06/2011,21.215,21.215,21.215,21.215,0
RTSE.MI,29/06/2011,21.48,21.48,21.48,21.48,0
RTSE.MI,30/06/2011,21.52,21.67,21.52,21.67,50400
RTSE.MI,01/07/2011,21.78,21.87,21.78,21.87,69
RTSE.MI,04/07/2011,21.94,22.005,21.94,22.005,440
RTSE.MI,05/07/2011,22.03,22.03,22.03,22.03,0
RTSE.MI,06/07/2011,22.135,22.135,22.135,22.135,0
RTSE.MI,07/07/2011,22.355,22.355,22.355,22.355,0
RTSE.MI,08/07/2011,22.22,22.26,22.02,22.02,680
RTSE.MI,11/07/2011,21.855,21.855,21.855,21.855,0
RTSE.MI,12/07/2011,21.75,21.75,21.75,21.75,0
RTSE.MI,13/07/2011,21.88,22.01,21.88,22.01,550
RTSE.MI,14/07/2011,21.87,21.87,21.87,21.87,0
RTSE.MI,15/07/2011,21.91,21.91,21.91,21.91,0
RTSE.MI,18/07/2011,21.91,21.91,21.91,21.91,0
RTSE.MI,19/07/2011,21.74,21.92,21.74,21.875,65
RTSE.MI,20/07/2011,22.03,22.03,21.94,21.94,50
RTSE.MI,21/07/2011,22.12,22.12,22.12,22.12,0
RTSE.MI,22/07/2011,22.14,22.14,22.14,22.14,0
RTSE.MI,25/07/2011,22.01,22.01,21.99,21.99,1363
RTSE.MI,26/07/2011,22.06,22.06,22.06,22.06,0
RTSE.MI,27/07/2011,21.72,21.72,21.72,21.72,0
