ticker,dateTime,open,high,low,close,volume
SCOP.MI,26/05/2009,47.08,47.08,46.1,46.19,6
SCOP.MI,27/05/2009,45.2,46.1,45.2,46.1,6
SCOP.MI,28/05/2009,46.1,46.1,46.1,46.1,0
SCOP.MI,29/05/2009,45.17,45.17,44,44,6
SCOP.MI,01/06/2009,44,44,44,44,0
SCOP.MI,02/06/2009,44,44,44,44,0
SCOP.MI,03/06/2009,44,44,44,44,0
SCOP.MI,04/06/2009,44,44,44,44,0
SCOP.MI,05/06/2009,42.66,42.66,42.66,42.66,3000
SCOP.MI,08/06/2009,42.66,42.66,42.66,42.66,10
SCOP.MI,09/06/2009,42.48,42.48,42.48,42.48,0
SCOP.MI,10/06/2009,40.16,40.16,40.16,40.16,50
SCOP.MI,11/06/2009,40.84,40.84,40.84,40.84,0
SCOP.MI,12/06/2009,40.84,40.84,40.84,40.84,0
SCOP.MI,15/06/2009,41.79,41.99,41.68,41.99,47
SCOP.MI,16/06/2009,42.2,42.2,42.01,42.01,987
SCOP.MI,17/06/2009,43,43,43,43,50
SCOP.MI,18/06/2009,42.48,42.48,42.48,42.48,0
SCOP.MI,19/06/2009,42.2,42.2,42.2,42.2,237
SCOP.MI,22/06/2009,42.05,42.05,42.05,42.05,0
SCOP.MI,23/06/2009,42.05,42.05,42.05,42.05,0
SCOP.MI,24/06/2009,42.05,42.05,42.05,42.05,0
SCOP.MI,25/06/2009,42.05,42.05,42.05,42.05,0
SCOP.MI,26/06/2009,42.05,42.05,42.05,42.05,0
SCOP.MI,29/06/2009,42.05,42.05,42.05,42.05,0
SCOP.MI,30/06/2009,42.05,42.05,42.05,42.05,0
SCOP.MI,01/07/2009,42.05,42.05,42.05,42.05,0
SCOP.MI,02/07/2009,42.2,42.2,42.2,42.2,0
SCOP.MI,03/07/2009,42.2,42.2,42.2,42.2,0
SCOP.MI,06/07/2009,43.32,43.32,43.32,43.32,100
SCOP.MI,07/07/2009,42.64,42.64,42.64,42.64,50
SCOP.MI,08/07/2009,42.81,42.81,42.81,42.81,0
SCOP.MI,09/07/2009,43.67,43.67,43.41,43.41,600
SCOP.MI,10/07/2009,43.41,43.41,43.41,43.41,300
SCOP.MI,13/07/2009,43.13,43.13,43.13,43.13,0
SCOP.MI,14/07/2009,42.23,42.23,41.82,41.82,256
SCOP.MI,15/07/2009,39.8,39.8,39.32,39.32,202
SCOP.MI,16/07/2009,39.27,39.27,39.27,39.27,0
SCOP.MI,17/07/2009,38.8,38.8,38.76,38.76,113
SCOP.MI,20/07/2009,37.51,37.51,37.51,37.51,200
SCOP.MI,21/07/2009,37.8,37.8,37.8,37.8,100
SCOP.MI,22/07/2009,37.51,37.51,37.51,37.51,0
SCOP.MI,23/07/2009,36.75,36.75,36.75,36.75,150
SCOP.MI,24/07/2009,36.58,36.58,36.58,36.58,0
SCOP.MI,27/07/2009,36.3,36.3,35.93,35.93,300
SCOP.MI,28/07/2009,36.26,36.26,36.26,36.26,0
SCOP.MI,29/07/2009,37.85,37.99,37.78,37.78,4435
SCOP.MI,30/07/2009,37.8,37.8,36.97,36.97,3115
SCOP.MI,31/07/2009,36.05,36.05,35.59,35.59,1740
SCOP.MI,03/08/2009,33.75,33.75,33.75,33.75,55
SCOP.MI,04/08/2009,33.82,33.82,33.82,33.82,30
SCOP.MI,05/08/2009,32.93,32.93,32.29,32.29,670
SCOP.MI,06/08/2009,33.38,33.38,33.38,33.38,76
SCOP.MI,07/08/2009,33.36,33.36,33.36,33.36,0
SCOP.MI,10/08/2009,32.86,33.08,32.7,33.08,665
SCOP.MI,11/08/2009,34,34,34,34,375
SCOP.MI,12/08/2009,34.39,34.39,33.66,33.66,296
SCOP.MI,13/08/2009,32,32,31.48,31.48,2765
SCOP.MI,14/08/2009,31.99,32.2,31.99,32.2,500
SCOP.MI,17/08/2009,33.95,33.95,33.68,33.76,2679
SCOP.MI,18/08/2009,33.26,34.03,33.05,34.03,5049
SCOP.MI,19/08/2009,34.46,34.46,34.11,34.11,185
SCOP.MI,20/08/2009,33.14,33.47,33.14,33.47,1130
SCOP.MI,21/08/2009,33.3,33.3,32,32.35,1720
SCOP.MI,24/08/2009,31.46,31.51,31.46,31.51,829
SCOP.MI,25/08/2009,31.85,32.03,31.74,31.74,591
SCOP.MI,26/08/2009,31.39,31.39,31.39,31.39,200
SCOP.MI,27/08/2009,32.24,32.24,32.09,32.09,350
SCOP.MI,28/08/2009,31.07,31.2,30.72,30.79,5020
SCOP.MI,31/08/2009,31.7,32.31,31.59,32.27,9581
SCOP.MI,01/09/2009,31.89,32.3,31.49,32.2,10612
SCOP.MI,02/09/2009,33.18,33.45,32.64,32.66,6387
SCOP.MI,03/09/2009,32.27,32.46,32.11,32.35,620
SCOP.MI,04/09/2009,31.7,32.24,31.7,32.24,4088
SCOP.MI,07/09/2009,31.62,31.62,31.62,31.62,50
SCOP.MI,08/09/2009,30.67,30.67,30.11,30.55,3713
SCOP.MI,09/09/2009,30.6,30.81,30.35,30.81,2900
SCOP.MI,10/09/2009,31,31.44,31,31.38,2565
SCOP.MI,11/09/2009,31.38,31.38,30.84,30.84,532
SCOP.MI,14/09/2009,32.18,32.25,31.86,31.89,2038
SCOP.MI,15/09/2009,31.61,31.78,31.61,31.78,305
SCOP.MI,16/09/2009,30.99,31.03,30.34,30.6,2356
SCOP.MI,17/09/2009,30.39,30.4,29.7,29.7,4430
SCOP.MI,18/09/2009,30.5,31.27,30.5,31.27,1196
SCOP.MI,21/09/2009,31.3,32.2,31.3,31.9,761
SCOP.MI,22/09/2009,30.89,30.89,30.6,30.65,500
SCOP.MI,23/09/2009,31.67,31.67,31.67,31.67,0
SCOP.MI,24/09/2009,31.9,33.14,31.5,32.86,1798
SCOP.MI,25/09/2009,32.24,33,31.93,31.93,653
SCOP.MI,28/09/2009,33,33,32.68,32.68,4827
SCOP.MI,29/09/2009,33.34,33.34,33,33,320
SCOP.MI,30/09/2009,32.24,32.24,31.16,31.91,122
SCOP.MI,01/10/2009,32.03,32.06,32.03,32.06,868
SCOP.MI,02/10/2009,32.72,33.81,32.72,33.81,2820
SCOP.MI,05/10/2009,33.14,33.26,32.56,33.26,915
SCOP.MI,06/10/2009,31.31,31.31,31.31,31.31,0
SCOP.MI,07/10/2009,31.31,31.31,31.31,31.31,7
SCOP.MI,08/10/2009,30.6,31.08,30.35,30.7,1104
SCOP.MI,09/10/2009,30.7,31,30.7,30.7,4244
SCOP.MI,12/10/2009,30.5,30.5,30.05,30.05,1717
SCOP.MI,13/10/2009,29.75,31.1,29.75,31.1,2336
SCOP.MI,14/10/2009,31.03,31.03,31.03,31.03,20
SCOP.MI,15/10/2009,30.39,30.39,30.39,30.39,0
SCOP.MI,16/10/2009,30.5,30.5,30.5,30.5,3600
SCOP.MI,19/10/2009,29.48,29.48,29.48,29.48,0
SCOP.MI,20/10/2009,29,29.7,28.83,29,846
SCOP.MI,21/10/2009,28.88,28.88,28.88,28.88,0
SCOP.MI,22/10/2009,28.4,28.8,28.4,28.4,1330
SCOP.MI,23/10/2009,28.4,28.4,28,28,442
SCOP.MI,26/10/2009,28.06,28.93,28.06,28.93,600
SCOP.MI,27/10/2009,29.2,29.2,28.6,28.75,400
SCOP.MI,28/10/2009,29.4,29.4,29.4,29.4,500
