Date,Open,High,Low,Close,Volume,Adj Close
2015-06-15,1000.16,1000.16,1000.16,1000.15,100,1000.15
2015-06-16,1000.16,1000.16,1000.16,1000.16,500,1000.16
2015-06-17,1000.16,1000.16,1000.16,1000.16,600,1000.16
2015-06-18,1000.17,1000.17,1000.17,1000.16,200,1000.16
2015-06-19,1000.18,1000.18,1000.18,1000.17,100,1000.17
2015-06-22,1000.18,1000.18,1000.18,1000.18,100,1000.18
2015-06-23,1000.18,1000.18,1000.18,1000.18,0,1000.18
2015-06-24,1000.18,1000.18,1000.18,1000.18,0,1000.18
2015-06-25,1000.19,1000.19,1000.19,1000.18,0,1000.18
2015-06-26,1000.19,1000.19,1000.19,1000.18,100,1000.18
2015-06-29,1000.2,1000.2,1000.2,1000.19,0,1000.19
2015-06-30,1000.2,1000.2,1000.2,1000.19,0,1000.19
2015-07-02,1000.21,1000.21,1000.21,1000.2,0,1000.2
2015-07-03,1000.21,1000.21,1000.21,1000.2,0,1000.2
2015-07-06,1000.21,1000.21,1000.2,1000.21,3500,1000.21
2015-07-07,1000.21,1000.21,1000.21,1000.21,4200,1000.21
2015-07-08,1000.22,1000.22,1000.22,1000.21,100,1000.21
2015-07-09,1000.21,1000.22,1000.21,1000.21,3800,1000.21
2015-07-10,1000.22,1000.22,1000.22,1000.22,0,1000.22
2015-07-13,1000.22,1000.22,1000.22,1000.22,100,1000.22
2015-07-14,1000.23,1000.23,1000.23,1000.22,1000,1000.22
2015-07-15,1000.23,1000.23,1000.23,1000.22,0,1000.22
2015-07-16,1000.24,1000.24,1000.24,1000.23,300,1000.23
2015-07-20,1000.25,1000.25,1000.24,1000.24,100,1000.24
2015-07-21,1000.24,1000.25,1000.24,1000.25,600,1000.25
2015-07-22,1000.25,1000.25,1000.25,1000.28,100,1000.28
2015-07-23,1000.26,1000.26,1000.26,1000.32,100,1000.32
2015-07-24,1000.26,1000.26,1000.26,1000.35,0,1000.35
2015-07-27,1001.0,1001.0,1000.26,1000.29,100,1000.29
2015-07-28,1000.26,1000.27,1000.26,1000.26,200,1000.26
2015-07-29,1000.27,1000.27,1000.27,1000.26,100,1000.26
2015-07-30,1000.26,1000.27,1000.26,1000.31,10100,1000.31
2015-07-31,1000.28,1000.28,1000.27,1000.26,2500,1000.26
2015-08-03,1000.28,1000.28,1000.28,1000.28,0,1000.28
2015-08-04,1000.29,1000.29,1000.29,1000.28,0,1000.28
2015-08-05,1000.29,1000.29,1000.29,1000.38,2600,1000.38
2015-08-07,1000.3,1000.3,1000.3,1000.38,100,1000.38
2015-08-10,1000.11,1000.11,1000.11,1000.12,2900,1000.12
2015-08-12,1000.3,1000.3,1000.3,1000.3,400,1000.3
2015-08-13,1000.31,1000.31,1000.31,1000.26,0,1000.26
2015-08-14,1000.32,1000.32,1000.32,1000.3,0,1000.3
2015-08-17,1000.31,1000.31,1000.31,1000.26,400,1000.26
2015-08-19,1000.32,1000.32,1000.32,1000.26,0,1000.26
