Date,Open,High,Low,Close,Volume,Adj Close
2010-01-18,26.98,26.98,26.98,26.98,0,26.98
2010-01-19,27.25,27.25,27.25,27.25,0,27.25
2010-01-20,26.8,26.8,26.8,26.8,0,26.8
2010-01-21,27.0,27.0,27.0,27.0,0,27.0
2010-01-22,27.0,27.0,27.0,27.0,0,27.0
2010-01-25,25.93,26.05,25.93,26.0,45000,26.0
2010-01-26,25.93,26.05,25.93,25.97,45000,25.97
2010-01-27,25.93,26.05,25.93,25.97,45000,25.97
2010-01-28,26.22,26.22,26.14,26.14,15000,26.14
2010-01-29,26.22,26.22,26.14,26.14,15000,26.14
2010-02-01,25.7,25.7,25.7,25.7,0,25.7
2010-02-02,25.7,25.7,25.7,25.7,0,25.7
2010-02-03,25.7,25.7,25.7,25.7,0,25.7
2010-02-04,25.7,25.7,25.7,25.7,0,25.7
2010-02-05,25.7,25.7,25.7,25.7,0,25.7
2010-02-08,25.7,25.7,25.7,25.7,0,25.7
2010-02-09,25.7,25.7,25.7,25.7,0,25.7
2010-02-10,25.37,25.37,25.37,25.37,0,25.37
2010-02-11,25.23,25.4,25.23,25.3,17000,25.3
2010-02-12,25.23,25.4,25.23,25.4,17000,25.4
2010-02-15,25.23,25.4,25.23,25.4,17000,25.4
2010-02-16,25.23,25.4,25.23,25.4,17000,25.4
2010-02-17,25.23,25.4,25.23,25.4,17000,25.4
2010-02-18,26.07,26.07,26.07,26.07,100,26.07
2010-02-19,26.07,26.07,26.07,26.07,100,26.07
2010-02-22,26.13,26.13,26.13,26.13,0,26.13
2010-02-23,25.8,25.8,25.8,25.8,0,25.8
2010-02-24,25.86,25.86,25.86,25.86,0,25.86
2010-02-25,25.43,25.43,25.43,25.43,0,25.43
2010-02-26,25.72,25.72,25.62,25.72,13000,25.72
2010-03-01,26.0,26.0,26.0,26.0,0,26.0
2010-03-02,26.22,26.22,26.22,26.22,0,26.22
2010-03-03,26.19,26.24,26.19,26.24,18000,26.24
2010-03-04,26.5,26.5,26.5,26.5,0,26.5
2010-03-05,26.96,26.96,26.92,26.94,9300,26.94
2010-03-08,26.92,26.92,26.92,26.92,0,26.92
2010-03-09,26.91,26.91,26.91,26.91,0,26.91
2010-03-10,27.05,27.13,27.05,27.06,18000,27.06
2010-03-11,27.0,27.0,27.0,27.0,0,27.0
2010-03-12,27.12,27.12,27.12,27.12,700,27.12
2010-03-15,26.89,27.25,26.89,26.89,0,26.89
2010-03-16,26.89,27.25,26.89,26.89,0,26.89
2010-03-17,27.22,27.58,27.22,27.22,0,27.22
2010-03-18,27.37,27.37,27.36,27.36,9000,27.36
2010-03-19,27.05,27.41,27.05,27.05,0,27.05
2010-03-22,27.03,27.27,27.03,27.22,500,27.22
2010-03-23,27.36,27.72,27.36,27.36,0,27.36
2010-03-24,27.29,27.65,27.29,27.29,0,27.29
2010-03-25,27.66,27.69,27.66,27.69,16000,27.69
2010-03-26,27.61,27.64,27.57,27.62,18000,27.62
2010-03-29,27.64,27.64,27.64,27.64,0,27.64
2010-03-30,27.6,27.6,27.6,27.6,0,27.6
2010-03-31,27.53,27.53,27.53,27.53,0,27.53
2010-04-01,27.97,27.97,27.97,27.97,0,27.97
2010-04-06,28.19,28.19,28.19,28.19,0,28.19
2010-04-07,28.15,28.15,28.15,28.15,0,28.15
2010-04-08,27.9,27.9,27.9,27.9,0,27.9
2010-04-09,28.18,28.18,28.18,28.18,100,28.18
2010-04-12,28.23,28.23,28.23,28.23,0,28.23
2010-04-13,28.14,28.14,28.14,28.14,0,28.14
2010-04-14,28.35,28.35,28.35,28.35,0,28.35
2010-04-15,28.52,28.52,28.52,28.52,0,28.52
