ticker,dateTime,open,high,low,close,volume
SOIL.MI,26/05/2009,57.54,57.54,55.98,56.23,7
SOIL.MI,27/05/2009,54.72,55,54.64,54.91,15081
SOIL.MI,28/05/2009,54.91,54.91,54.91,54.91,0
SOIL.MI,29/05/2009,52.56,52.6,51.4,51.59,1158
SOIL.MI,01/06/2009,49.9,50.08,49.51,50.06,489
SOIL.MI,02/06/2009,49.41,49.41,49,49.25,561
SOIL.MI,03/06/2009,49.39,50.73,49.39,50.73,900
SOIL.MI,04/06/2009,50.69,50.69,49.4,49.4,255
SOIL.MI,05/06/2009,48.15,50.25,48,50,12357
SOIL.MI,08/06/2009,50.63,51.45,50.17,50.17,1866
SOIL.MI,09/06/2009,50.26,50.26,49.13,49.25,3780
SOIL.MI,10/06/2009,47.85,48.4,47.49,48.4,9965
SOIL.MI,11/06/2009,47.83,47.85,47.08,47.1,6654
SOIL.MI,12/06/2009,47.39,48.23,47.39,47.49,4161
SOIL.MI,15/06/2009,48.6,49.7,48.16,49.7,12101
SOIL.MI,16/06/2009,49,49,47.4,47.7,7728
SOIL.MI,17/06/2009,48.37,49.7,48.37,49.41,18136
SOIL.MI,18/06/2009,47.9,48.62,47.77,48.12,21101
SOIL.MI,19/06/2009,47.89,48.14,47.72,48.14,6045
SOIL.MI,22/06/2009,49.76,51.67,49.7,51.55,11676
SOIL.MI,23/06/2009,52.31,52.31,50.5,51.17,20381
SOIL.MI,24/06/2009,49.84,50.12,49.47,49.47,25199
SOIL.MI,25/06/2009,50.11,50.43,49.42,49.86,14360
SOIL.MI,26/06/2009,48.3,49.35,48.08,49.35,9268
SOIL.MI,29/06/2009,49.66,49.81,48.02,48.09,9912
SOIL.MI,30/06/2009,47.5,49.35,46.72,49.35,9941
SOIL.MI,01/07/2009,48.33,48.4,47.25,48.4,5251
SOIL.MI,02/07/2009,49.05,51.09,48.99,51,18517
SOIL.MI,03/07/2009,50.73,51.73,50.73,51.73,3525
SOIL.MI,06/07/2009,53,53.95,53,53.42,4760
SOIL.MI,07/07/2009,53.8,54.35,52.74,54.24,2494
SOIL.MI,08/07/2009,55,56.18,54.55,56.18,1986
SOIL.MI,09/07/2009,56.09,57.25,55.06,57.25,6757
SOIL.MI,10/07/2009,57,58,56.84,57.59,7889
SOIL.MI,13/07/2009,57.63,58.37,56.23,57.94,8766
SOIL.MI,14/07/2009,56.66,57.12,55.56,57.12,8092
SOIL.MI,15/07/2009,55.91,56.15,55.27,55.56,1712
SOIL.MI,16/07/2009,55.95,55.95,54.46,54.46,2083
SOIL.MI,17/07/2009,54.62,54.62,52.91,52.91,580
SOIL.MI,20/07/2009,52.34,52.8,51.6,52.8,1327
SOIL.MI,21/07/2009,51.82,51.82,51,51.5,714
SOIL.MI,22/07/2009,52.6,53.03,51.43,51.43,4161
SOIL.MI,23/07/2009,51.91,52.31,50.78,50.78,501
SOIL.MI,24/07/2009,50.4,50.5,50,50.44,4270
SOIL.MI,27/07/2009,49.35,50.11,49.15,49.79,1449
SOIL.MI,28/07/2009,49.1,50.9,49.1,50.9,2245
SOIL.MI,29/07/2009,53.5,54,51.5,54,3299
SOIL.MI,30/07/2009,53.98,53.98,51.08,51.33,5210
SOIL.MI,31/07/2009,50.55,51.76,50.4,50.41,5785
SOIL.MI,03/08/2009,47.74,47.74,46.09,46.3,19876
SOIL.MI,04/08/2009,46.67,47.2,46.15,46.15,10080
SOIL.MI,05/08/2009,46.61,47.5,46.25,46.53,4403
SOIL.MI,06/08/2009,46.31,47.18,45.51,46.92,7826
SOIL.MI,07/08/2009,46.6,47.1,45.57,46.6,9630
SOIL.MI,10/08/2009,47.46,48,47.16,47.44,16749
SOIL.MI,11/08/2009,47.5,48.95,47.39,48.95,12784
SOIL.MI,12/08/2009,49.1,49.1,47.32,47.8,10543
SOIL.MI,13/08/2009,47.3,47.6,46.44,46.9,8543
SOIL.MI,14/08/2009,47.2,48.71,47.2,48.69,5622
SOIL.MI,17/08/2009,49.29,51.39,49.29,51.3,14823
SOIL.MI,18/08/2009,50.1,51,49.6,50,5978
SOIL.MI,19/08/2009,49.29,49.66,47.1,47.52,10559
SOIL.MI,20/08/2009,46.79,47.3,46.76,47.05,12383
SOIL.MI,21/08/2009,47.53,47.53,45.86,46.8,16830
SOIL.MI,24/08/2009,46.24,46.57,45.9,46.08,8522
SOIL.MI,25/08/2009,46.8,46.86,45.85,46.6,5037
SOIL.MI,26/08/2009,47.13,48.8,47.13,48.8,16932
SOIL.MI,27/08/2009,48.43,49.3,48.11,49.16,5581
SOIL.MI,28/08/2009,47.13,47.23,46.55,46.66,15676
SOIL.MI,31/08/2009,47.4,49.19,47.4,49.05,17746
SOIL.MI,01/09/2009,48.6,49.4,48.26,49.4,11157
SOIL.MI,02/09/2009,49.9,51.34,49.9,50.36,49006
SOIL.MI,03/09/2009,49.96,50.73,49.35,50.4,4792
SOIL.MI,04/09/2009,50.22,51.24,50.07,51.1,1070
SOIL.MI,07/09/2009,50.45,50.45,49.87,50,1235
SOIL.MI,08/09/2009,49.1,49.1,47.14,47.36,6415
SOIL.MI,09/09/2009,47.66,47.88,46.22,46.47,19160
SOIL.MI,10/09/2009,46.69,48.5,46.47,47.09,2565
SOIL.MI,11/09/2009,46.95,46.95,46.15,46.81,821
SOIL.MI,14/09/2009,48.55,49.36,48.39,48.55,19217
SOIL.MI,15/09/2009,48.83,48.83,48.03,48.67,14259
SOIL.MI,16/09/2009,46.92,47.32,46.6,46.95,8120
SOIL.MI,17/09/2009,45.9,46.1,45.41,45.56,8055
SOIL.MI,18/09/2009,46.13,46.98,45.9,46.06,13064
SOIL.MI,21/09/2009,46.69,48.35,46.69,47.54,6994
SOIL.MI,22/09/2009,47,47.28,46.25,46.28,15004
SOIL.MI,23/09/2009,46.84,48.25,46.64,48.2,11812
SOIL.MI,24/09/2009,48.41,50.89,48.21,50.13,27218
