Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,99.57,99.57,99.57,100.01,1300,100.01
2015-01-06,93.59,95.81,93.59,95.3,0,95.3
2015-01-12,96.72,96.72,95.7,95.71,500,95.71
2015-01-14,94.3,94.3,94.3,93.89,100,93.89
2015-01-16,99.45,100.96,99.45,100.75,100,100.75
2015-01-21,101.47,102.04,101.47,102.83,0,102.83
2015-01-22,104.13,104.13,104.08,105.12,100,105.12
2015-01-23,106.5,106.5,105.86,106.2,200,106.2
2015-01-26,104.75,107.0,104.75,107.93,100,107.93
2015-01-27,105.95,105.95,105.95,107.56,0,107.56
2015-01-28,107.7,107.7,106.6,105.7,400,105.7
2015-01-30,102.69,103.41,102.69,102.38,300,102.38
2015-02-02,104.22,104.22,104.12,105.46,0,105.46
2015-02-03,107.73,109.49,107.73,109.44,100,109.44
2015-02-05,109.73,109.98,109.73,110.52,0,110.52
2015-02-09,110.98,110.98,110.98,111.76,0,111.76
2015-02-11,109.29,109.29,108.54,108.76,0,108.76
2015-02-12,109.29,110.34,109.29,109.85,0,109.85
2015-02-13,111.22,111.22,111.01,111.83,0,111.83
2015-02-16,111.29,111.29,111.29,111.53,0,111.53
2015-02-17,112.3,112.3,110.89,111.29,0,111.29
2015-02-18,113.1,113.1,112.32,112.7,0,112.7
2015-02-19,110.89,110.89,110.31,110.36,0,110.36
2015-02-20,110.31,110.31,110.31,110.85,0,110.85
2015-02-23,112.22,112.22,109.77,110.41,0,110.41
2015-02-24,112.06,112.06,112.06,112.2,0,112.2
2015-02-25,111.65,111.65,111.65,112.25,0,112.25
2015-02-26,113.02,113.02,112.62,112.02,0,112.02
2015-02-27,112.96,112.96,112.96,113.25,0,113.25
2015-03-02,112.6,112.6,111.54,111.32,100,111.32
2015-03-03,111.0,111.0,111.0,110.85,0,110.85
2015-03-04,111.95,111.95,111.03,110.72,0,110.72
2015-03-06,111.39,111.39,111.39,111.29,100,111.29
2015-03-11,107.86,107.86,107.26,107.42,0,107.42
2015-03-16,105.0,105.45,104.78,104.72,0,104.72
2015-03-18,106.82,106.82,106.82,107.42,100,107.42
2015-03-23,110.78,110.78,110.78,111.07,0,111.07
2015-03-25,109.29,110.23,109.29,110.43,0,110.43
2015-03-26,110.67,110.68,110.0,109.68,0,109.68
2015-03-30,109.92,109.92,109.92,109.76,3500,109.76
2015-03-31,109.92,109.92,109.92,108.66,0,108.66
2015-04-02,108.17,108.17,108.17,108.19,0,108.19
2015-04-07,112.5,112.5,112.5,112.43,0,112.43
2015-04-08,114.5,116.14,114.5,112.99,0,112.99
2015-04-09,113.93,113.94,112.5,114.05,900,114.05
2015-04-10,114.25,115.27,114.25,115.58,400,115.58
2015-04-14,117.99,117.99,116.4,116.82,0,116.82
2015-04-15,118.0,121.32,118.0,119.31,0,119.31
2015-04-16,119.93,119.95,119.93,119.28,300,119.28
2015-04-17,118.97,118.97,118.97,118.21,0,118.21
2015-04-22,117.33,117.33,117.33,118.1,100,118.1
2015-04-23,118.59,118.59,118.59,118.4,200,118.4
2015-04-24,118.42,118.42,118.38,117.74,0,117.74
2015-04-29,117.21,117.21,115.97,116.94,300,116.94
2015-05-04,116.87,120.42,116.81,116.74,4500,116.74
2015-05-05,117.21,118.0,117.11,116.84,4400,116.84
2015-05-06,115.83,115.83,115.83,115.97,0,115.97
2015-05-08,116.36,116.65,116.36,116.54,100,116.54
2015-05-14,115.95,116.26,115.95,116.65,100,116.65
2015-05-15,115.99,115.99,115.99,114.83,0,114.83
2015-05-18,115.44,115.44,115.05,114.26,100,114.26
2015-05-26,115.44,115.5,115.44,114.26,2200,114.26
2015-05-29,113.97,114.07,113.89,113.64,200,113.64
2015-06-01,112.95,112.95,112.95,112.27,0,112.27
2015-06-04,109.61,109.61,109.61,109.29,0,109.29
2015-06-05,108.32,109.27,108.32,109.97,0,109.97
2015-06-08,108.96,108.96,108.96,108.98,0,108.98
2015-06-23,111.0,111.0,111.0,111.36,0,111.36
2015-06-26,111.3,111.3,111.3,111.65,0,111.65
2015-06-29,109.14,109.14,109.05,108.63,0,108.63
2015-07-01,108.06,108.06,108.06,106.7,0,106.7
2015-07-03,107.09,107.09,107.09,107.25,0,107.25
2015-07-06,106.0,106.0,106.0,105.71,0,105.71
2015-07-10,107.5,107.5,107.5,106.43,0,106.43
2015-07-13,107.82,107.82,107.82,107.54,0,107.54
2015-07-17,109.4,109.4,109.35,108.76,300,108.76
2015-07-20,109.23,109.23,108.25,108.74,100,108.74
2015-07-24,105.13,105.13,105.13,103.71,0,103.71
2015-07-27,102.66,102.66,102.66,101.38,0,101.38
2015-07-28,102.0,102.0,102.0,102.44,0,102.44
2015-07-30,107.61,107.62,107.54,107.31,0,107.31
2015-08-10,105.92,105.92,105.92,107.27,2200,107.27
2015-08-11,107.77,107.77,106.0,105.9,100,105.9
2015-08-14,103.94,103.94,103.94,103.86,0,103.86
