ticker,dateTime,open,high,low,close,volume
STSI.MI,18/02/2011,85.98,85.98,85.98,85.98,0
STSI.MI,21/02/2011,85.78,85.78,85.78,85.78,0
STSI.MI,22/02/2011,85.64,85.64,85.64,85.64,0
STSI.MI,23/02/2011,85.57,85.57,85.24,85.24,120
STSI.MI,24/02/2011,84.52,84.52,84.52,84.52,0
STSI.MI,25/02/2011,85.26,85.26,85.26,85.26,0
STSI.MI,28/02/2011,85.56,85.56,85.56,85.56,0
STSI.MI,01/03/2011,85.53,85.53,85.53,85.53,0
STSI.MI,02/03/2011,85.26,85.26,85.26,85.26,0
STSI.MI,03/03/2011,85.16,85.16,85.16,85.16,0
STSI.MI,04/03/2011,84.58,84.58,84.58,84.58,0
STSI.MI,07/03/2011,84.07,84.07,84.07,84.07,0
STSI.MI,08/03/2011,84.33,84.33,84.33,84.33,0
STSI.MI,09/03/2011,84.07,84.07,84.07,84.07,0
STSI.MI,10/03/2011,84.32,84.32,84.32,84.32,0
STSI.MI,11/03/2011,83.89,83.89,83.89,83.89,0
STSI.MI,14/03/2011,82.82,82.82,82.82,82.82,0
STSI.MI,15/03/2011,80.62,80.62,80.62,80.62,0
STSI.MI,16/03/2011,80.5,80.5,80.5,80.5,0
STSI.MI,17/03/2011,81.38,81.38,81.38,81.38,0
STSI.MI,18/03/2011,80.94,80.94,80.94,80.94,0
STSI.MI,21/03/2011,81.72,81.72,81.72,81.72,0
STSI.MI,22/03/2011,81.36,81.36,81.36,81.36,0
STSI.MI,23/03/2011,82.24,82.24,82.24,82.24,0
STSI.MI,24/03/2011,83.05,83.05,83.05,83.05,0
STSI.MI,25/03/2011,82.91,82.91,82.91,82.91,0
STSI.MI,28/03/2011,83.43,83.43,83.43,83.43,0
STSI.MI,29/03/2011,83.37,83.37,83.37,83.37,0
STSI.MI,30/03/2011,84.48,84.48,84.48,84.48,0
STSI.MI,31/03/2011,84.1,84.1,84.1,84.1,0
STSI.MI,01/04/2011,84.75,84.75,84.75,84.75,0
