Date,Open,High,Low,Close,Volume,Adj Close
2014-12-18,113.74,113.74,113.74,114.69,0,114.69
2014-12-19,113.45,113.5,113.45,113.93,6100,113.93
2014-12-22,113.93,114.37,113.93,114.22,400,114.22
2014-12-23,114.4,114.85,114.2,113.07,0,113.07
2014-12-29,113.68,114.08,113.68,113.81,200,113.81
2014-12-30,114.11,114.11,113.65,113.0,200,113.0
2015-01-02,114.42,114.42,114.42,113.35,0,113.35
2015-01-05,113.59,114.82,113.59,113.4,300,113.4
2015-01-07,113.22,113.22,113.22,113.07,400,113.07
2015-01-08,115.1,116.85,115.1,117.18,100,117.18
2015-01-09,116.96,117.46,116.96,115.8,100,115.8
2015-01-12,117.29,117.47,116.19,117.14,100,117.14
2015-01-13,117.0,118.34,117.0,118.46,0,118.46
2015-01-14,118.11,118.11,117.63,117.88,0,117.88
2015-01-15,118.02,120.61,118.02,121.7,500,121.7
2015-01-16,119.61,120.6,119.25,123.33,0,123.33
2015-01-21,123.27,123.27,122.69,122.71,100,122.71
2015-01-22,122.19,122.68,121.42,122.81,100,122.81
2015-01-23,125.27,126.1,125.27,125.98,0,125.98
2015-01-26,125.12,126.84,125.12,126.12,1600,126.12
2015-01-27,126.55,126.57,125.32,125.33,2400,125.33
2015-01-28,125.41,125.88,125.41,125.92,0,125.92
2015-01-29,126.38,126.38,125.26,125.43,0,125.43
2015-02-02,124.4,125.04,123.6,123.65,100,123.65
2015-02-03,124.42,124.58,124.42,122.5,100,122.5
2015-02-04,123.96,123.96,123.96,124.15,0,124.15
2015-02-05,124.22,124.22,123.4,123.79,0,123.79
2015-02-06,123.68,124.66,123.68,124.53,0,124.53
2015-02-09,123.35,123.75,123.35,124.02,0,124.02
2015-02-10,123.45,123.45,123.45,124.55,0,124.55
2015-02-11,124.0,124.07,123.51,124.19,0,124.19
2015-02-12,125.33,125.33,124.35,124.0,100,124.0
2015-02-13,124.39,125.47,124.39,125.2,300,125.2
2015-02-16,125.46,125.46,125.0,125.04,200,125.04
2015-02-17,124.7,125.29,124.7,125.5,0,125.5
2015-02-18,125.8,126.34,125.8,126.05,1300,126.05
2015-02-19,126.16,126.8,125.83,127.02,200,127.02
2015-02-20,126.55,127.0,126.36,126.97,4100,126.97
2015-02-23,128.64,129.04,128.24,128.54,300,128.54
2015-02-24,130.75,130.75,128.23,128.84,800,128.84
2015-02-25,128.65,128.77,128.44,128.49,600,128.49
2015-02-26,129.38,129.8,129.38,130.41,100,130.41
2015-02-27,132.1,132.1,130.35,130.98,400,130.98
2015-03-02,130.47,130.85,130.35,130.78,1100,130.78
2015-03-03,131.51,132.62,129.99,129.81,1500,129.81
2015-03-04,129.98,130.57,129.69,130.68,2800,130.68
2015-03-05,131.46,131.92,131.42,131.7,100,131.7
2015-03-06,132.1,133.51,132.1,132.07,300,132.07
2015-03-09,134.13,134.13,130.76,131.94,600,131.94
2015-03-10,133.22,133.22,131.36,131.86,1100,131.86
2015-03-11,133.82,133.82,133.59,133.68,400,133.68
2015-03-12,134.4,134.69,134.4,134.81,0,134.81
2015-03-13,134.65,134.65,134.59,136.23,100,136.23
2015-03-16,137.23,138.47,137.23,137.96,200,137.96
2015-03-17,138.0,138.0,136.37,137.09,1700,137.09
2015-03-18,137.63,137.96,137.02,137.91,0,137.91
2015-03-19,135.0,139.17,135.0,139.23,0,139.23
2015-03-20,139.91,140.35,139.89,140.33,100,140.33
2015-03-24,139.27,139.67,139.04,139.31,400,139.31
2015-03-25,138.67,138.67,136.6,136.7,900,136.7
2015-03-26,136.6,136.6,133.66,135.0,200,135.0
2015-03-27,137.1,138.28,137.02,136.93,1000,136.93
2015-03-30,137.42,138.53,137.42,138.83,100,138.83
2015-03-31,139.59,139.59,138.38,138.09,200,138.09
2015-04-02,138.34,138.44,137.46,137.63,200,137.63
2015-04-07,138.87,139.45,138.87,139.75,0,139.75
2015-04-08,141.93,141.94,139.82,140.31,0,140.31
2015-04-09,141.63,141.93,141.41,142.01,1100,142.01
2015-04-10,143.77,144.41,143.77,144.68,1800,144.68
2015-04-14,144.5,144.5,143.6,143.79,500,143.79
2015-04-15,144.6,145.09,144.47,144.31,1600,144.31
2015-04-16,143.6,143.6,143.57,142.89,200,142.89
2015-04-17,142.45,142.45,140.89,139.89,0,139.89
2015-04-20,139.43,142.0,139.43,141.31,100,141.31
2015-04-21,143.37,143.37,142.79,142.79,0,142.79
2015-04-22,142.79,143.3,142.19,142.74,2500,142.74
2015-04-23,143.26,143.26,143.12,141.89,0,141.89
2015-04-24,142.37,142.37,141.66,142.01,600,142.01
2015-04-27,142.96,142.96,142.96,143.09,500,143.09
2015-04-28,141.39,141.39,139.58,139.42,100,139.42
2015-04-29,139.43,139.62,139.16,136.33,4500,136.33
2015-04-30,136.23,136.23,135.91,135.99,4900,135.99
2015-05-04,136.51,137.0,136.31,136.51,300,136.51
2015-05-05,137.26,137.35,134.38,134.21,0,134.21
2015-05-06,133.26,134.07,130.21,132.86,3600,132.86
2015-05-07,130.65,132.56,130.65,132.57,1100,132.57
2015-05-08,134.26,134.99,134.26,135.75,0,135.75
2015-05-11,136.27,136.46,135.51,136.36,700,136.36
2015-05-12,134.31,134.31,134.23,134.92,400,134.92
2015-05-13,135.56,135.78,133.79,134.01,100,134.01
2015-05-14,135.67,135.89,135.67,135.79,0,135.79
2015-05-15,137.0,137.01,135.65,134.91,100,134.91
2015-05-18,135.93,135.98,135.93,136.38,600,136.38
2015-05-19,138.62,138.72,138.05,138.99,200,138.99
2015-05-20,138.54,138.81,138.54,139.23,0,139.23
2015-05-21,138.8,139.7,138.8,140.27,400,140.27
2015-05-25,141.88,141.88,139.0,139.54,100,139.54
2015-05-26,140.06,140.21,140.05,139.0,1000,139.0
2015-05-27,139.98,141.13,139.98,141.4,0,141.4
2015-05-28,141.29,141.48,141.07,141.07,0,141.07
2015-05-29,138.75,138.75,138.75,138.54,0,138.54
2015-06-01,138.75,140.05,138.75,139.53,700,139.53
2015-06-03,137.4,137.4,137.4,136.93,0,136.93
2015-06-04,134.33,134.91,134.33,135.94,0,135.94
2015-06-05,133.77,134.6,132.06,134.67,6100,134.67
2015-06-08,133.98,134.06,133.98,133.32,200,133.32
2015-06-09,132.93,132.93,132.93,132.01,0,132.01
2015-06-10,132.34,133.86,132.34,134.68,0,134.68
