Date,Open,High,Low,Close,Volume,Adj Close
2006-11-22,19.85,19.96,19.85,19.85,300,19.85
2006-11-23,19.75,19.85,19.75,19.75,100,19.75
2006-11-24,19.57,19.57,19.57,19.57,0,19.57
2006-11-27,19.57,19.57,19.55,19.57,200,19.57
2006-11-28,19.26,19.5,19.26,19.26,2100,19.26
2006-11-29,19.52,19.52,19.52,19.52,0,19.52
2006-11-30,19.7,19.7,19.7,19.7,5000,19.7
2006-12-01,19.8,19.94,19.8,19.8,100,19.8
2006-12-04,19.83,19.91,19.82,19.83,400,19.83
2006-12-05,19.99,19.99,19.99,19.99,0,19.99
2006-12-06,19.99,20.02,19.96,19.99,300,19.99
2006-12-07,19.99,19.99,19.99,19.99,0,19.99
2006-12-08,20.03,20.03,20.02,20.03,200,20.03
2006-12-11,20.03,20.03,20.03,20.03,0,20.03
2006-12-12,20.16,20.16,20.16,20.16,200,20.16
2006-12-13,20.35,20.38,20.28,20.35,2700,20.35
2006-12-14,20.57,20.57,20.56,20.57,200,20.57
2006-12-15,20.71,20.71,20.65,20.71,700,20.71
2006-12-18,20.71,20.71,20.71,20.71,0,20.71
2006-12-19,20.71,20.71,20.71,20.71,0,20.71
2006-12-20,20.62,20.62,20.62,20.62,0,20.62
2006-12-21,20.74,20.74,20.74,20.74,800,20.74
2006-12-22,20.74,20.74,20.74,20.74,0,20.74
2006-12-27,20.96,21.05,20.87,20.96,40500,20.96
2006-12-28,21.03,21.05,21.0,21.03,1400,21.03
2006-12-29,21.03,21.05,21.0,21.03,400,21.03
2007-01-02,21.14,21.18,21.14,21.14,900,21.14
2007-01-03,21.19,21.25,21.19,21.19,700,21.19
2007-01-04,21.22,21.24,21.14,21.22,800,21.22
2007-01-05,21.24,21.27,21.18,21.24,500,21.24
2007-01-08,21.4,21.4,21.4,21.4,0,21.4
2007-01-09,21.4,21.47,21.4,21.4,900,21.4
2007-01-10,21.25,21.4,21.25,21.25,1800,21.25
2007-01-11,21.4,21.4,21.4,21.4,300,21.4
2007-01-12,21.74,21.84,21.54,21.74,500,21.74
2007-01-15,21.84,21.93,21.82,21.84,3900,21.84
2007-01-16,21.82,21.84,21.68,21.82,1000,21.82
2007-01-17,21.68,21.68,21.68,21.68,0,21.68
2007-01-18,21.95,21.95,21.9,21.95,200,21.95
2007-01-19,21.95,21.95,21.95,21.95,0,21.95
2007-01-22,22.01,22.12,22.01,22.01,1000,22.01
2007-01-23,21.78,21.99,21.75,21.78,19200,21.78
2007-01-24,21.77,21.8,21.69,21.77,1600,21.77
2007-01-25,21.71,21.73,21.71,21.71,100,21.71
2007-01-26,21.55,21.55,21.55,21.55,0,21.55
2007-01-29,21.58,21.63,21.58,21.58,400,21.58
2007-01-30,21.59,21.64,21.57,21.59,3000,21.59
2007-01-31,21.64,21.65,21.58,21.64,300,21.64
2007-02-01,21.77,21.77,21.73,21.77,800,21.77
2007-02-02,22.05,22.05,21.97,22.05,200,22.05
2007-02-05,22.23,22.25,22.15,22.23,2200,22.23
2007-02-06,22.31,22.41,22.29,22.31,1400,22.31
2007-02-07,22.5,22.5,22.32,22.5,19900,22.5
2007-02-08,22.5,22.56,22.38,22.5,1100,22.5
2007-02-09,22.47,22.47,22.45,22.47,900,22.47
2007-02-12,22.45,22.45,22.28,22.45,20200,22.45
2007-02-13,22.53,22.55,22.53,22.53,600,22.53
2007-02-14,22.69,22.69,22.6,22.69,500,22.69
2007-02-15,22.69,22.72,22.66,22.69,500,22.69
2007-02-16,22.66,22.66,22.65,22.66,500,22.66
2007-02-19,22.66,22.68,22.62,22.66,1000,22.66
2007-02-20,22.49,22.51,22.45,22.49,900,22.49
2007-02-21,22.37,22.46,22.31,22.37,1600,22.37
2007-02-22,22.46,22.47,22.43,22.46,1800,22.46
2007-02-23,22.46,22.48,22.29,22.46,1700,22.46
2007-02-26,22.37,22.37,22.35,22.37,400,22.37
2007-02-27,21.33,22.1,21.3,21.33,2900,21.33
2007-02-28,21.26,21.26,20.81,21.26,5800,21.26
2007-03-01,21.25,21.56,20.9,21.25,900,21.25
2007-03-02,21.05,21.23,21.05,21.05,0,21.05
2007-03-05,20.6,20.6,20.43,20.6,1400,20.6
2007-03-06,20.93,20.93,20.8,20.93,600,20.93
2007-03-07,21.0,21.0,21.0,21.0,0,21.0
2007-03-08,21.46,21.46,21.46,21.46,0,21.46
2007-03-09,21.46,21.5,21.34,21.46,500,21.46
2007-03-12,21.58,21.58,21.58,21.58,0,21.58
2007-03-13,21.28,21.55,21.28,21.28,400,21.28
2007-03-14,20.89,20.9,20.72,20.89,13600,20.89
2007-03-15,21.0,21.01,20.99,21.0,400,21.0
2007-03-16,21.0,21.0,21.0,21.0,2000,21.0
2007-03-19,21.0,21.0,21.0,21.0,0,21.0
2007-03-20,21.0,21.0,21.0,21.0,0,21.0
2007-03-21,22.17,22.25,22.05,22.17,2800,22.17
2007-03-22,22.36,22.52,22.36,22.36,700,22.36
2007-03-23,22.42,22.42,22.41,22.42,0,22.42
2007-03-26,22.42,22.51,22.4,22.42,8700,22.42
2007-03-27,22.28,22.44,22.28,22.28,7200,22.28
2007-03-28,22.0,22.03,22.0,22.0,1000,22.0
2007-03-29,22.0,22.0,22.0,22.0,0,22.0
2007-03-30,22.39,22.39,22.27,22.39,500,22.39
2007-04-02,22.39,22.55,22.39,22.39,2700,22.39
2007-04-03,22.73,22.73,22.63,22.73,3200,22.73
2007-04-04,22.79,22.81,22.78,22.79,200,22.79
2007-04-05,22.7,22.78,22.67,22.7,1500,22.7
2007-04-10,22.9,22.9,22.9,22.9,0,22.9
