Date,Open,High,Low,Close,Volume,Adj Close
2008-06-25,99.56,100.3,99.56,99.56,0,99.56
2008-06-26,95.09,95.8,95.09,95.09,0,95.09
2008-06-27,92.12,92.82,92.12,92.12,0,92.12
2008-06-30,92.0,92.0,91.0,91.1,0,91.1
2008-07-01,85.87,90.2,85.87,90.2,0,90.2
2008-07-02,85.7,85.7,85.7,85.7,0,85.7
2008-07-03,86.22,87.51,86.22,86.22,0,86.22
2008-07-04,88.28,88.28,88.28,88.28,0,88.28
2008-07-07,91.1,92.46,91.1,91.1,0,91.1
2008-07-08,92.0,92.0,92.0,92.0,100,92.0
2008-07-09,92.36,93.75,92.36,92.36,0,92.36
2008-07-10,92.01,93.39,92.01,92.01,0,92.01
2008-07-11,88.57,89.89,88.57,88.57,0,88.57
2008-07-14,92.06,93.44,92.06,92.06,0,92.06
2008-07-15,90.43,91.79,90.43,90.43,0,90.43
2008-07-16,94.3,95.72,94.3,94.3,0,94.3
2008-07-17,92.7,97.97,92.7,97.95,0,97.95
2008-07-18,102.25,103.78,102.25,102.25,0,102.25
2008-07-21,103.39,104.93,103.39,103.39,0,103.39
2008-07-22,102.41,102.41,102.41,102.41,0,102.41
2008-07-23,103.66,105.21,103.66,103.66,0,103.66
2008-07-24,103.96,105.52,103.96,103.96,0,103.96
2008-07-25,101.89,101.89,101.89,101.89,0,101.89
2008-07-28,101.54,103.06,101.54,101.54,0,101.54
2008-07-29,107.43,109.04,107.43,107.43,0,107.43
2008-07-30,116.16,117.9,116.16,116.16,0,116.16
2008-07-31,121.16,122.0,121.16,122.0,1000,122.0
2008-08-01,122.0,123.83,122.0,122.0,0,122.0
2008-08-04,126.04,126.04,126.04,126.04,0,126.04
2008-08-05,124.02,124.02,123.0,123.0,100,123.0
2008-08-06,119.3,121.09,119.3,119.3,0,119.3
2008-08-07,117.69,119.45,117.69,117.69,0,117.69
2008-08-08,117.32,119.08,117.32,117.32,0,117.32
2008-08-11,119.69,121.48,119.69,119.69,0,119.69
2008-08-12,119.51,121.3,119.51,119.51,0,119.51
2008-08-13,120.07,120.07,119.91,119.91,0,119.91
2008-08-14,120.85,122.65,120.85,120.85,0,120.85
2008-08-18,122.46,124.29,122.46,122.46,0,122.46
2008-08-19,117.51,117.97,117.51,117.51,0,117.51
2008-08-20,117.51,117.51,117.51,117.51,0,117.51
2008-08-21,112.68,114.36,112.68,112.68,0,112.68
2008-08-22,118.37,120.15,118.37,118.37,0,118.37
2008-08-25,119.93,119.93,119.93,119.93,0,119.93
2008-08-26,116.96,118.71,116.96,116.96,0,116.96
2008-08-27,114.91,116.63,114.91,114.91,0,114.91
