ticker,dateTime,open,high,low,close,volume
USAEUA.MI,08/06/2010,84,84,84,84,6
USAEUA.MI,06/09/2010,81.89,81.89,81.89,81.89,1
USAEUA.MI,09/09/2010,82.75,82.75,82.75,82.75,20000
USAEUA.MI,12/10/2010,80.38,80.38,80.38,80.38,5
USAEUA.MI,29/11/2010,86.63,86.63,86.63,86.63,25
USAEUA.MI,30/11/2010,87.17,87.17,87.05,87.05,2005
USAEUA.MI,02/12/2010,88.13,88.13,88.13,88.13,5970
USAEUA.MI,08/12/2010,88.92,88.92,88.92,88.92,6
USAEUA.MI,09/12/2010,89.41,89.41,89.41,89.41,25
USAEUA.MI,10/12/2010,89.51,89.51,89.51,89.51,200
USAEUA.MI,15/12/2010,89,89,89,89,6
USAEUA.MI,21/12/2010,91.56,91.56,91.56,91.56,6175
USAEUA.MI,29/12/2010,92.34,92.34,92.34,92.34,50
USAEUA.MI,07/01/2011,94.1,94.1,94.1,94.1,106
USAEUA.MI,18/01/2011,92.9,92.9,92.9,92.9,110
USAEUA.MI,20/01/2011,91.5,91.5,91.5,91.5,20
USAEUA.MI,28/01/2011,90.54,90.54,90.54,90.54,50
USAEUA.MI,03/02/2011,91.09,91.09,91.09,91.09,5
USAEUA.MI,15/02/2011,94.3,94.3,94.3,94.3,33
USAEUA.MI,18/02/2011,94.09,94.09,94.09,94.09,0
USAEUA.MI,21/02/2011,93.21,93.21,93.21,93.21,0
USAEUA.MI,22/02/2011,92.98,92.98,92.98,92.98,0
USAEUA.MI,23/02/2011,91.24,91.24,91.24,91.24,0
USAEUA.MI,24/02/2011,90.62,90.62,90.62,90.62,0
USAEUA.MI,25/02/2011,91.71,91.71,91.71,91.71,0
USAEUA.MI,28/02/2011,92.04,92.04,92.04,92.04,0
USAEUA.MI,01/03/2011,91.65,91.65,91.65,91.65,0
USAEUA.MI,02/03/2011,90.48,90.48,90.48,90.48,0
USAEUA.MI,03/03/2011,91.17,91.17,91.17,91.17,0
USAEUA.MI,04/03/2011,91.16,91.16,90.61,90.61,20000
USAEUA.MI,07/03/2011,92.23,92.23,89.92,89.92,17
USAEUA.MI,08/03/2011,90.93,90.93,90.93,90.93,0
USAEUA.MI,09/03/2011,90.57,90.57,90.57,90.57,0
USAEUA.MI,10/03/2011,90.19,90.19,90.19,90.19,0
USAEUA.MI,11/03/2011,89.66,89.66,89.66,89.66,0
USAEUA.MI,14/03/2011,88.21,88.21,88.21,88.21,0
USAEUA.MI,15/03/2011,86.79,87.53,86.79,87.53,20000
USAEUA.MI,16/03/2011,87.29,87.29,86.96,86.96,20000
USAEUA.MI,17/03/2011,86.4,87.05,86.4,87.05,50
USAEUA.MI,18/03/2011,86.87,86.87,86.87,86.87,0
USAEUA.MI,21/03/2011,87.54,87.54,87.54,87.54,0
USAEUA.MI,22/03/2011,87.41,87.41,87.41,87.41,0
USAEUA.MI,23/03/2011,87.42,87.42,87.42,87.42,0
USAEUA.MI,24/03/2011,88.23,88.25,88.23,88.25,20000
USAEUA.MI,25/03/2011,89.49,89.49,89.49,89.49,0
USAEUA.MI,28/03/2011,89.31,89.31,89.31,89.31,0
USAEUA.MI,29/03/2011,89.39,89.39,89.39,89.39,0
USAEUA.MI,30/03/2011,90.35,90.35,90.15,90.15,20000
USAEUA.MI,31/03/2011,89.55,89.55,89.55,89.55,0
USAEUA.MI,01/04/2011,90.3,90.3,90.3,90.3,0
USAEUA.MI,04/04/2011,90.3,90.3,90.3,90.3,0
USAEUA.MI,05/04/2011,89.89,90.13,89.89,90.13,20000
USAEUA.MI,06/04/2011,89.19,89.19,89.19,89.19,0
USAEUA.MI,07/04/2011,89.4,89.4,89.4,89.4,0
USAEUA.MI,08/04/2011,88.54,88.54,88.54,88.54,0
USAEUA.MI,11/04/2011,88.25,88.44,88.25,88.44,106
USAEUA.MI,12/04/2011,86.99,86.99,86.99,86.99,0
USAEUA.MI,13/04/2011,87.27,87.27,87.27,87.27,0
USAEUA.MI,14/04/2011,86.86,86.86,86.86,86.86,0
USAEUA.MI,15/04/2011,87.63,87.63,87.63,87.63,0
USAEUA.MI,18/04/2011,87.79,87.79,87.79,87.79,0
USAEUA.MI,19/04/2011,87.45,87.45,87.45,87.45,0
USAEUA.MI,20/04/2011,87.98,87.98,87.98,87.98,0
USAEUA.MI,21/04/2011,87.95,87.95,87.95,87.95,0
USAEUA.MI,26/04/2011,88.37,88.37,88.37,88.37,0
USAEUA.MI,27/04/2011,88.37,88.37,88.37,88.37,0
USAEUA.MI,28/04/2011,87.95,87.95,87.95,87.95,0
USAEUA.MI,29/04/2011,88.13,88.13,88.13,88.13,0
USAEUA.MI,02/05/2011,88.15,88.15,88.15,88.15,0
USAEUA.MI,03/05/2011,87.72,87.72,87.72,87.72,0
USAEUA.MI,04/05/2011,86.67,86.67,86.67,86.67,0
USAEUA.MI,05/05/2011,87,87.94,87,87.94,33
USAEUA.MI,06/05/2011,89.46,89.46,89.46,89.46,0
USAEUA.MI,09/05/2011,90.15,90.15,90.15,90.15,0
USAEUA.MI,10/05/2011,90.37,90.37,90.37,90.37,0
USAEUA.MI,11/05/2011,90.66,90.66,90.66,90.66,0
USAEUA.MI,12/05/2011,90.39,90.39,90.39,90.39,0
USAEUA.MI,13/05/2011,90.81,90.81,90.81,90.81,0
USAEUA.MI,16/05/2011,90.5,90.5,90.5,90.5,0
USAEUA.MI,17/05/2011,89.67,89.67,89.67,89.67,0
USAEUA.MI,18/05/2011,89.94,89.94,89.94,89.94,0
