ticker,dateTime,open,high,low,close,volume
WBPM13.MI,10/07/2009,2.02,3,2,3,1811
WBPM13.MI,13/07/2009,3.25,4.5,3.25,4.5,4736
WBPM13.MI,14/07/2009,5.09,6.55,5.09,6.51,49619
WBPM13.MI,15/07/2009,6,6.1,4.7,4.9525,40479
WBPM13.MI,16/07/2009,4.85,5.39,4.125,4.2,21393
WBPM13.MI,17/07/2009,3.76,3.76,3.76,3.76,0
WBPM13.MI,20/07/2009,4.135,4.135,3.71,3.77,12470
WBPM13.MI,21/07/2009,3.72,4,3.7,3.75,6476
WBPM13.MI,22/07/2009,3.79,3.9,3.72,3.87,6323
WBPM13.MI,23/07/2009,3.73,3.87,3.72,3.735,3724
WBPM13.MI,24/07/2009,3.84,4,3.76,3.99,14254
WBPM13.MI,27/07/2009,3.8,4.15,3.8,4.05,8347
WBPM13.MI,28/07/2009,4,4.1,3.82,4.09,8263
WBPM13.MI,29/07/2009,3.82,4.12,3.82,4.0725,17531
WBPM13.MI,30/07/2009,4,4.275,4,4.12,1856
WBPM13.MI,31/07/2009,4.12,4.35,4.12,4.31,8077
WBPM13.MI,03/08/2009,4.2,5.5,4.2,5.25,13144
WBPM13.MI,04/08/2009,5.05,5.1,4.65,4.8,6583
WBPM13.MI,05/08/2009,4.7025,5.2,4.7025,4.8,8684
WBPM13.MI,06/08/2009,4.9,4.905,4.9,4.905,2075
WBPM13.MI,07/08/2009,4.81,5,4.7,4.99,12387
WBPM13.MI,10/08/2009,5,5.5,4.91,5.21,11102
WBPM13.MI,11/08/2009,5.15,5.5,5.1,5.31,9128
WBPM13.MI,12/08/2009,5.26,6.5,5.26,6.45,19171
WBPM13.MI,13/08/2009,6.5,7,6.3,7,17665
WBPM13.MI,14/08/2009,6.95,7.3,6.71,6.95,10701
WBPM13.MI,17/08/2009,7.195,7.25,6.56,7.17,18044
WBPM13.MI,18/08/2009,7.1,7.32,7,7.18,6849
WBPM13.MI,19/08/2009,7.1,7.5,7.1,7.35,7485
WBPM13.MI,20/08/2009,7.4,8.15,7.4,7.95,16468
WBPM13.MI,21/08/2009,7.95,8.58,7.95,8.21,12840
WBPM13.MI,24/08/2009,8.05,9.5,8.05,9.4,16941
WBPM13.MI,25/08/2009,9,9.97,8.7,9.1,25558
WBPM13.MI,26/08/2009,9.15,10.49,8.955,9.465,35520
WBPM13.MI,27/08/2009,9.32,9.5,8.8,8.805,34756
WBPM13.MI,28/08/2009,9,9.05,8.82,8.86,15736
WBPM13.MI,31/08/2009,8.81,9.05,8.66,8.795,11797
WBPM13.MI,01/09/2009,8.85,8.85,7.59,8.25,26001
WBPM13.MI,02/09/2009,7.575,7.75,6,6.3,47053
WBPM13.MI,03/09/2009,6.83,7.385,6.305,7.23,26154
WBPM13.MI,04/09/2009,7.465,8.24,7,7.45,48652
WBPM13.MI,07/09/2009,7.6,7.7,7.315,7.39,19646
WBPM13.MI,08/09/2009,7.335,7.48,7.11,7.11,17192
WBPM13.MI,09/09/2009,7.07,7.3,7.06,7.3,13730
WBPM13.MI,10/09/2009,7.4,7.4,7,7.055,14025
WBPM13.MI,11/09/2009,7.05,7.09,6.9,6.91,13337
WBPM13.MI,14/09/2009,6.91,6.91,6.65,6.68,10317
WBPM13.MI,15/09/2009,6.73,6.99,6.6,6.745,13577
WBPM13.MI,16/09/2009,6.76,7.32,6.76,7.32,16032
WBPM13.MI,17/09/2009,7.25,7.3,6.83,7.2,12680
WBPM13.MI,18/09/2009,7.005,7.2,6.9,7.005,8798
WBPM13.MI,21/09/2009,6.85,6.97,6.66,6.86,8697
WBPM13.MI,22/09/2009,6.86,6.96,6.65,6.66,5354
WBPM13.MI,23/09/2009,6.66,6.86,6.62,6.68,12615
WBPM13.MI,24/09/2009,6.665,6.76,6.35,6.4,22998
WBPM13.MI,25/09/2009,6.6,6.6,6.335,6.4,14586
WBPM13.MI,28/09/2009,6.31,6.47,6.31,6.34,3174
WBPM13.MI,29/09/2009,6.4,6.4,6.05,6.255,11685
WBPM13.MI,30/09/2009,6.35,6.41,6.23,6.41,16450
WBPM13.MI,01/10/2009,6.48,6.5,6.38,6.38,13738
WBPM13.MI,02/10/2009,6.21,6.28,5.9,6,33853
WBPM13.MI,05/10/2009,5.755,6,5.58,5.85,17391
WBPM13.MI,06/10/2009,5.63,6.3,5.63,6.295,21276
WBPM13.MI,07/10/2009,6.09,6.295,5.86,6.005,21547
WBPM13.MI,08/10/2009,6.05,6.35,5.81,6.02,51172
WBPM13.MI,09/10/2009,5.96,5.97,5.8,5.885,12737
WBPM13.MI,12/10/2009,5.905,6.09,5.9,5.93,12792
WBPM13.MI,13/10/2009,5.925,6.07,5.905,5.98,6857
WBPM13.MI,14/10/2009,6.2,6.29,5.9,6.11,40728
WBPM13.MI,15/10/2009,6.15,6.15,5.9,6.045,9493
WBPM13.MI,16/10/2009,5.92,6.08,5.88,5.95,8878
WBPM13.MI,19/10/2009,6,6.07,5.88,5.95,21577
WBPM13.MI,20/10/2009,6.015,6.25,6.01,6.01,19330
WBPM13.MI,21/10/2009,6.15,6.15,6,6.03,20368
WBPM13.MI,22/10/2009,6.14,6.14,5.85,5.88,7424
WBPM13.MI,23/10/2009,5.92,6,5.8,5.8,12005
WBPM13.MI,26/10/2009,5.71,5.76,5.42,5.59,18557
WBPM13.MI,27/10/2009,5.355,5.41,5.13,5.2,10995
WBPM13.MI,28/10/2009,5.25,5.25,5,5.025,14494
WBPM13.MI,29/10/2009,5,5.645,5,5.64,11960
WBPM13.MI,30/10/2009,5.53,5.8,5.35,5.35,13552
