ticker,dateTime,open,high,low,close,volume
WFIC13.MI,22/12/2010,0.07,0.0751,0.065,0.066,241425
WFIC13.MI,23/12/2010,0.06,0.0681,0.06,0.06,486874
WFIC13.MI,27/12/2010,0.06,0.0675,0.06,0.0602,121111
WFIC13.MI,28/12/2010,0.065,0.065,0.059,0.0619,289218
WFIC13.MI,29/12/2010,0.0614,0.0614,0.0614,0.0614,3000
WFIC13.MI,30/12/2010,0.059,0.059,0.059,0.059,19979
WFIC13.MI,03/01/2011,0.0521,0.0521,0.0521,0.0521,24000
WFIC13.MI,04/01/2011,0.0524,0.0524,0.05,0.05,56300
WFIC13.MI,05/01/2011,0.05,0.05,0.05,0.05,0
WFIC13.MI,06/01/2011,0.0595,0.0595,0.058,0.0594,24000
WFIC13.MI,07/01/2011,0.0587,0.0587,0.0587,0.0587,800
WFIC13.MI,10/01/2011,0.051,0.0511,0.051,0.051,26000
WFIC13.MI,11/01/2011,0.0481,0.0483,0.048,0.048,21501
WFIC13.MI,12/01/2011,0.0534,0.0534,0.0495,0.0534,54999
WFIC13.MI,13/01/2011,0.0553,0.0553,0.0553,0.0553,1000
WFIC13.MI,14/01/2011,0.0554,0.0554,0.0485,0.052,13600
WFIC13.MI,17/01/2011,0.056,0.056,0.0538,0.0538,9521
WFIC13.MI,18/01/2011,0.053,0.053,0.053,0.053,1000
WFIC13.MI,19/01/2011,0.049,0.049,0.049,0.049,9000
WFIC13.MI,20/01/2011,0.049,0.049,0.049,0.049,0
WFIC13.MI,21/01/2011,0.056,0.057,0.0549,0.057,39200
WFIC13.MI,24/01/2011,0.057,0.057,0.057,0.057,5000
WFIC13.MI,25/01/2011,0.057,0.057,0.057,0.057,0
WFIC13.MI,26/01/2011,0.057,0.0599,0.057,0.0599,14800
WFIC13.MI,27/01/2011,0.048,0.0579,0.048,0.05,121030
WFIC13.MI,28/01/2011,0.055,0.057,0.055,0.057,103190
WFIC13.MI,31/01/2011,0.059,0.059,0.0585,0.0585,2010
WFIC13.MI,01/02/2011,0.0585,0.0585,0.0585,0.0585,0
WFIC13.MI,02/02/2011,0.0584,0.059,0.0584,0.059,153410
WFIC13.MI,03/02/2011,0.06,0.06,0.06,0.06,14500
WFIC13.MI,04/02/2011,0.06,0.06,0.06,0.06,0
WFIC13.MI,07/02/2011,0.06,0.06,0.06,0.06,0
WFIC13.MI,08/02/2011,0.06,0.06,0.06,0.06,0
WFIC13.MI,09/02/2011,0.06,0.06,0.06,0.06,0
WFIC13.MI,10/02/2011,0.06,0.06,0.06,0.06,0
WFIC13.MI,11/02/2011,0.06,0.06,0.06,0.06,0
WFIC13.MI,14/02/2011,0.059,0.059,0.0434,0.0434,4000
WFIC13.MI,15/02/2011,0.05,0.059,0.05,0.05,95874
WFIC13.MI,16/02/2011,0.05,0.056,0.05,0.0511,112400
WFIC13.MI,17/02/2011,0.0511,0.0511,0.0511,0.0511,0
WFIC13.MI,18/02/2011,0.05,0.05,0.05,0.05,12100
WFIC13.MI,21/02/2011,0.05,0.05,0.05,0.05,67400
WFIC13.MI,22/02/2011,0.05,0.05,0.05,0.05,0
WFIC13.MI,23/02/2011,0.05,0.05,0.05,0.05,0
WFIC13.MI,24/02/2011,0.05,0.05,0.05,0.05,0
WFIC13.MI,25/02/2011,0.05,0.05,0.05,0.05,0
WFIC13.MI,28/02/2011,0.05,0.05,0.05,0.05,17000
WFIC13.MI,01/03/2011,0.05,0.05,0.05,0.05,0
WFIC13.MI,02/03/2011,0.05,0.05,0.05,0.05,0
WFIC13.MI,03/03/2011,0.05,0.05,0.05,0.05,0
WFIC13.MI,04/03/2011,0.05,0.05,0.05,0.05,0
WFIC13.MI,07/03/2011,0.05,0.05,0.05,0.05,0
WFIC13.MI,08/03/2011,0.05,0.05,0.05,0.05,0
WFIC13.MI,09/03/2011,0.057,0.057,0.056,0.056,2000
WFIC13.MI,10/03/2011,0.056,0.056,0.056,0.056,0
WFIC13.MI,11/03/2011,0.056,0.056,0.056,0.056,0
