ticker,dateTime,open,high,low,close,volume
WNSP21.MI,20/02/2019,0.2806,0.779,0.2806,0.779,117868
WNSP21.MI,21/02/2019,1.0104,1.24,0.715,1.0014,470538
WNSP21.MI,22/02/2019,1.2,1.66,1.14,1.251,496051
WNSP21.MI,25/02/2019,1.4,1.72,1.35,1.4498,256256
WNSP21.MI,26/02/2019,1.4998,1.5442,1.281,1.281,99724
WNSP21.MI,27/02/2019,1.3004,1.4198,1.298,1.3996,56686
WNSP21.MI,28/02/2019,1.4,1.4994,1.365,1.468,28140
WNSP21.MI,01/03/2019,1.468,1.4684,1.3,1.4464,24475
WNSP21.MI,04/03/2019,1.47,1.564,1.39,1.395,23941
WNSP21.MI,05/03/2019,1.395,1.395,1.3,1.302,32600
WNSP21.MI,06/03/2019,1.2666,1.27,1.15,1.2194,33286
WNSP21.MI,07/03/2019,1.142,1.142,1.031,1.036,34193
WNSP21.MI,08/03/2019,1.179,1.2744,1.051,1.16,119488
WNSP21.MI,11/03/2019,1.23,1.48,1.1112,1.4,53190
WNSP21.MI,12/03/2019,1.4498,1.4498,1.241,1.2652,25600
WNSP21.MI,13/03/2019,1.28,1.28,1.1902,1.1902,6350
WNSP21.MI,14/03/2019,1.1922,1.235,1.1612,1.1998,24045
WNSP21.MI,15/03/2019,1.17,1.1998,1.05,1.0764,34483
WNSP21.MI,18/03/2019,1.085,1.154,1.085,1.15,13720
WNSP21.MI,19/03/2019,1.1882,1.1882,1.07,1.11,54360
WNSP21.MI,20/03/2019,1.1888,1.1888,1.09,1.1296,27649
WNSP21.MI,21/03/2019,1.1,1.145,1.08,1.145,10349
WNSP21.MI,22/03/2019,1.145,1.1498,1.115,1.115,4599
WNSP21.MI,25/03/2019,1.1494,1.1498,1.13,1.149,7040
WNSP21.MI,26/03/2019,1.1302,1.144,1.1,1.144,10025
WNSP21.MI,27/03/2019,1.15,1.28,1.15,1.2368,21658
WNSP21.MI,28/03/2019,1.2598,1.3296,1.2366,1.26,34892
WNSP21.MI,29/03/2019,1.3298,1.3298,1.21,1.2598,19675
WNSP21.MI,01/04/2019,1.27,1.27,1.1902,1.1902,40864
WNSP21.MI,02/04/2019,1.1902,1.1902,1.15,1.1822,3586
WNSP21.MI,03/04/2019,1.22,1.22,1.1902,1.1902,5350
WNSP21.MI,04/04/2019,1.1704,1.27,1.11,1.11,41382
WNSP21.MI,05/04/2019,1.1534,1.3,1.1222,1.195,81505
WNSP21.MI,08/04/2019,1.195,1.195,1.1544,1.17,12950
WNSP21.MI,09/04/2019,1.1702,1.31,1.1702,1.2402,120311
WNSP21.MI,10/04/2019,1.2998,1.4498,1.2998,1.3402,172330
WNSP21.MI,11/04/2019,1.34,1.34,1.2532,1.3018,41265
WNSP21.MI,12/04/2019,1.2894,1.3,1.254,1.2988,24745
WNSP21.MI,15/04/2019,1.2556,1.278,1.195,1.25,40138
WNSP21.MI,16/04/2019,1.249,1.2894,1.17,1.2868,81785
WNSP21.MI,17/04/2019,1.212,1.279,1.212,1.279,5536
WNSP21.MI,18/04/2019,1.24,1.3168,1.2258,1.24,43819
WNSP21.MI,23/04/2019,1.2402,1.31,1.2402,1.28,19944
WNSP21.MI,24/04/2019,1.294,1.68,1.294,1.6,114695
WNSP21.MI,25/04/2019,1.6,3,1.6,2.71,145065
WNSP21.MI,26/04/2019,2.8295,3.499,2.625,2.85,229521
WNSP21.MI,29/04/2019,2.795,2.9395,2.704,2.704,53677
WNSP21.MI,30/04/2019,2.794,3.3,2.75,2.91,71907
WNSP21.MI,02/05/2019,2.962,2.98,2.72,2.9,55464
WNSP21.MI,03/05/2019,2.972,3.07,2.855,2.9575,140495
WNSP21.MI,06/05/2019,2.9575,3.6,2.86,3.6,128310
WNSP21.MI,07/05/2019,3.81,4.6695,3.78,3.961,228031
WNSP21.MI,08/05/2019,4,4.449,3.67,4.152,67362
WNSP21.MI,09/05/2019,4.24,5.1,4.24,4.74,106662
