ticker,dateTime,open,high,low,close,volume
WPRM15.MI,31/07/2012,0.71,0.71,0.71,0.71,236
WPRM15.MI,01/08/2012,0.71,0.71,0.71,0.71,0
WPRM15.MI,02/08/2012,0.94,0.94,0.9,0.94,3000
WPRM15.MI,03/08/2012,0.94,0.94,0.94,0.94,1783
WPRM15.MI,06/08/2012,0.95,0.95,0.95,0.95,200
WPRM15.MI,07/08/2012,0.95,0.95,0.95,0.95,0
WPRM15.MI,08/08/2012,1.29,1.29,1.05,1.29,7482
WPRM15.MI,09/08/2012,1.0504,1.0504,1.0504,1.0504,0
WPRM15.MI,10/08/2012,1.541,2,1.541,2,28
WPRM15.MI,13/08/2012,2.25,2.3,2.25,2.3,151
WPRM15.MI,14/08/2012,2.75,2.75,2.75,2.75,1
WPRM15.MI,16/08/2012,3.22,3.89,3.22,3.89,121
WPRM15.MI,17/08/2012,4,4,4,4,5
WPRM15.MI,20/08/2012,3,3,3,3,55
WPRM15.MI,21/08/2012,1.5,1.5,1.5,1.5,0
WPRM15.MI,22/08/2012,3.6,5.03,2,2,1155
WPRM15.MI,23/08/2012,1.8,1.8,1.8,1.8,60
WPRM15.MI,24/08/2012,1.5,1.5,1.5,1.5,201
WPRM15.MI,27/08/2012,1.5,2,1.5,2,2487
WPRM15.MI,28/08/2012,1.5223,1.5223,1.5223,1.5223,0
WPRM15.MI,29/08/2012,2,2,2,2,10
WPRM15.MI,03/09/2012,2.15,2.15,1.5,1.5,4271
WPRM15.MI,04/09/2012,1.7,1.7,1.5,1.6,1662
WPRM15.MI,05/09/2012,1.62,1.62,1.2,1.62,3012
WPRM15.MI,06/09/2012,1.2,1.55,0.972,0.972,7147
WPRM15.MI,07/09/2012,0.92,1.299,0.7,0.92,13963
WPRM15.MI,10/09/2012,0.98,0.98,0.7,0.8,13564
WPRM15.MI,11/09/2012,0.8,0.8,0.7,0.799,5000
WPRM15.MI,12/09/2012,0.7496,0.7496,0.7496,0.7496,0
WPRM15.MI,13/09/2012,0.65,0.799,0.65,0.799,6685
WPRM15.MI,14/09/2012,0.675,0.798,0.675,0.798,3346
WPRM15.MI,17/09/2012,0.6815,0.848,0.6815,0.848,508
WPRM15.MI,18/09/2012,0.75,0.75,0.6,0.61,17555
WPRM15.MI,19/09/2012,0.748,0.748,0.7475,0.748,4020
WPRM15.MI,20/09/2012,0.659,0.659,0.6,0.6495,8047
WPRM15.MI,21/09/2012,0.649,0.649,0.6,0.649,711
WPRM15.MI,24/09/2012,0.669,0.669,0.6,0.669,401
WPRM15.MI,25/09/2012,0.63,0.63,0.5,0.5,22580
WPRM15.MI,26/09/2012,0.594,0.594,0.49,0.5325,7947
WPRM15.MI,27/09/2012,0.609,0.609,0.45,0.45,2125
WPRM15.MI,28/09/2012,0.495,0.5,0.494,0.5,1055
WPRM15.MI,01/10/2012,0.4975,0.4975,0.4975,0.4975,0
WPRM15.MI,02/10/2012,0.5,0.5,0.4,0.5,3337
WPRM15.MI,03/10/2012,0.5,0.5,0.4,0.5,1920
WPRM15.MI,04/10/2012,0.38,0.5,0.38,0.5,5410
WPRM15.MI,05/10/2012,0.48,0.48,0.38,0.38,6016
WPRM15.MI,08/10/2012,0.47,0.47,0.47,0.47,811
WPRM15.MI,11/10/2012,0.4995,0.4995,0.489,0.49,2025
WPRM15.MI,12/10/2012,0.4895,0.4895,0.4895,0.4895,0
WPRM15.MI,15/10/2012,0.4895,0.4895,0.4895,0.4895,0
WPRM15.MI,16/10/2012,0.35,0.35,0.35,0.35,10958
WPRM15.MI,17/10/2012,0.41,0.41,0.35,0.3875,23053
WPRM15.MI,18/10/2012,0.38,0.38,0.31,0.32,28338
WPRM15.MI,19/10/2012,0.3694,0.3694,0.3645,0.3645,1101
WPRM15.MI,22/10/2012,0.398,0.398,0.34,0.37,6423
WPRM15.MI,23/10/2012,0.347,0.347,0.347,0.347,0
WPRM15.MI,24/10/2012,0.347,0.347,0.347,0.347,0
WPRM15.MI,25/10/2012,0.347,0.347,0.347,0.347,0
WPRM15.MI,26/10/2012,0.347,0.347,0.347,0.347,0
WPRM15.MI,29/10/2012,0.3649,0.3649,0.3265,0.3614,4442
WPRM15.MI,30/10/2012,0.311,0.311,0.271,0.271,26816
WPRM15.MI,31/10/2012,0.279,0.28,0.279,0.279,1931
WPRM15.MI,01/11/2012,0.279,0.279,0.279,0.279,0
WPRM15.MI,02/11/2012,0.3535,0.3535,0.279,0.324,987
WPRM15.MI,05/11/2012,0.3158,0.3158,0.3158,0.3158,0
WPRM15.MI,06/11/2012,0.3242,0.3242,0.3225,0.3242,1000
WPRM15.MI,07/11/2012,0.24,0.24,0.24,0.24,1500
WPRM15.MI,08/11/2012,0.3,0.3095,0.25,0.25,22071
WPRM15.MI,09/11/2012,0.31,0.31,0.25,0.25,20520
