ticker,dateTime,open,high,low,close,volume
WRST20.MI,30/06/2015,0.0032,0.005,0.0028,0.004,3.27473e+008
WRST20.MI,01/07/2015,0.0041,0.0048,0.0037,0.0037,2.34004e+008
WRST20.MI,02/07/2015,0.0038,0.0041,0.0037,0.0038,3.66573e+007
WRST20.MI,03/07/2015,0.004,0.0042,0.0038,0.004,2.33113e+007
WRST20.MI,06/07/2015,0.0039,0.004,0.0038,0.004,1.60234e+007
WRST20.MI,07/07/2015,0.004,0.0042,0.0039,0.004,9.39284e+006
WRST20.MI,08/07/2015,0.0039,0.004,0.0039,0.004,7.37544e+006
WRST20.MI,09/07/2015,0.0039,0.0041,0.0039,0.004,1.73911e+007
WRST20.MI,10/07/2015,0.004,0.004,0.0039,0.0039,9.43286e+006
WRST20.MI,13/07/2015,0.0038,0.0039,0.0038,0.0039,1.06422e+007
WRST20.MI,14/07/2015,0.0039,0.0039,0.0034,0.0036,1.72528e+007
WRST20.MI,15/07/2015,0.0034,0.0039,0.0034,0.0036,2.92968e+007
WRST20.MI,16/07/2015,0.0037,0.004,0.0037,0.0038,1.60489e+007
WRST20.MI,17/07/2015,0.0038,0.0039,0.0038,0.0039,4.65484e+006
WRST20.MI,20/07/2015,0.004,0.0048,0.004,0.0044,6.69324e+007
WRST20.MI,21/07/2015,0.0045,0.0046,0.0042,0.0043,1.12499e+007
WRST20.MI,22/07/2015,0.0043,0.0047,0.0043,0.0045,7.9141e+006
WRST20.MI,23/07/2015,0.0044,0.0047,0.0044,0.0046,1.9073e+007
WRST20.MI,24/07/2015,0.0047,0.0047,0.0044,0.0045,7.75976e+006
WRST20.MI,27/07/2015,0.0045,0.0046,0.0044,0.0046,5.11308e+006
WRST20.MI,28/07/2015,0.0046,0.0046,0.0044,0.0046,1.82612e+006
WRST20.MI,29/07/2015,0.0045,0.0046,0.0043,0.0044,6.17993e+006
WRST20.MI,30/07/2015,0.0044,0.0046,0.0043,0.0045,1.38358e+006
WRST20.MI,31/07/2015,0.0043,0.0046,0.0043,0.0045,7.11039e+006
WRST20.MI,03/08/2015,0.0044,0.0046,0.0044,0.0046,3.85197e+006
WRST20.MI,04/08/2015,0.0046,0.0046,0.0044,0.0045,6.12508e+006
WRST20.MI,05/08/2015,0.0044,0.0047,0.0044,0.0046,1.2185e+007
WRST20.MI,06/08/2015,0.0048,0.005,0.0044,0.0047,1.55365e+007
WRST20.MI,07/08/2015,0.0046,0.0047,0.0045,0.0046,4.79315e+006
WRST20.MI,10/08/2015,0.0045,0.005,0.0045,0.005,8.95834e+006
WRST20.MI,11/08/2015,0.0049,0.0051,0.0049,0.0051,8.68424e+006
WRST20.MI,12/08/2015,0.0051,0.0051,0.0049,0.005,3.84154e+006
WRST20.MI,13/08/2015,0.0049,0.0053,0.0049,0.0052,4.06437e+006
WRST20.MI,14/08/2015,0.0053,0.0059,0.0053,0.0059,2.94202e+006
WRST20.MI,17/08/2015,0.0059,0.0063,0.0059,0.006,9.87359e+006
WRST20.MI,18/08/2015,0.0059,0.0066,0.0056,0.0064,1.43473e+007
WRST20.MI,19/08/2015,0.0065,0.0065,0.0057,0.0063,7.52494e+006
WRST20.MI,20/08/2015,0.0062,0.0062,0.0057,0.0059,1.23824e+007
WRST20.MI,21/08/2015,0.0057,0.0057,0.0055,0.0057,5.51815e+006
WRST20.MI,24/08/2015,0.0053,0.0053,0.0047,0.0049,2.01578e+007
WRST20.MI,25/08/2015,0.0054,0.0054,0.005,0.0051,3.71315e+006
WRST20.MI,26/08/2015,0.0054,0.0054,0.0051,0.0053,2.38551e+006
WRST20.MI,27/08/2015,0.0054,0.0055,0.0052,0.0053,2.64874e+006
WRST20.MI,28/08/2015,0.0054,0.0054,0.0049,0.005,3.63763e+006
WRST20.MI,31/08/2015,0.0051,0.0051,0.0048,0.0049,7.03442e+006
WRST20.MI,01/09/2015,0.0048,0.0049,0.0047,0.0048,2.51124e+006
WRST20.MI,02/09/2015,0.0048,0.0048,0.0046,0.0048,4.5881e+006
WRST20.MI,03/09/2015,0.0048,0.0049,0.0047,0.0049,3.83213e+006
WRST20.MI,04/09/2015,0.0047,0.0049,0.0047,0.0049,2.77631e+006
WRST20.MI,07/09/2015,0.0049,0.0049,0.0046,0.0048,615879
WRST20.MI,08/09/2015,0.0046,0.0049,0.0046,0.0047,1.95718e+006
WRST20.MI,09/09/2015,0.0049,0.0049,0.0048,0.0049,2.63437e+006
WRST20.MI,10/09/2015,0.0049,0.0049,0.0048,0.0049,2.02075e+006
WRST20.MI,11/09/2015,0.0049,0.0049,0.0047,0.0048,624353
WRST20.MI,14/09/2015,0.0047,0.0048,0.0047,0.0048,2.42467e+006
WRST20.MI,15/09/2015,0.0048,0.0048,0.0045,0.0046,5.59152e+006
WRST20.MI,16/09/2015,0.0046,0.0048,0.0045,0.0047,938423
WRST20.MI,17/09/2015,0.0047,0.0047,0.0047,0.0047,0
WRST20.MI,18/09/2015,0.0045,0.0047,0.0045,0.0047,427159
WRST20.MI,21/09/2015,0.0048,0.0048,0.0045,0.0048,2.06963e+006
WRST20.MI,22/09/2015,0.0044,0.0047,0.0044,0.0047,1.11973e+006
WRST20.MI,23/09/2015,0.0047,0.0047,0.0047,0.0047,214886
WRST20.MI,24/09/2015,0.0046,0.0046,0.0042,0.0043,3.43855e+006
WRST20.MI,25/09/2015,0.0044,0.0045,0.0044,0.0045,1.92623e+006
WRST20.MI,28/09/2015,0.0045,0.0045,0.0041,0.0042,4.46069e+006
WRST20.MI,29/09/2015,0.0041,0.0043,0.004,0.0041,1.11452e+007
WRST20.MI,30/09/2015,0.0041,0.0043,0.004,0.0043,5.37335e+006
