ticker,dateTime,open,high,low,close,volume
WSN10.MI,04/07/2005,0.023,0.0294,0.021,0.0291,3.50681e+007
WSN10.MI,05/07/2005,0.03,0.031,0.0253,0.0267,3.18491e+007
WSN10.MI,06/07/2005,0.0259,0.0277,0.0251,0.0261,1.38082e+007
WSN10.MI,07/07/2005,0.0266,0.0267,0.0223,0.025,1.67207e+007
WSN10.MI,08/07/2005,0.026,0.0302,0.0258,0.0301,2.1796e+007
WSN10.MI,11/07/2005,0.0302,0.0347,0.0302,0.0323,2.87445e+007
WSN10.MI,12/07/2005,0.032,0.0328,0.0313,0.0322,9.52664e+006
WSN10.MI,13/07/2005,0.0327,0.0342,0.0325,0.0331,1.07209e+007
WSN10.MI,14/07/2005,0.0332,0.0339,0.0324,0.0331,9.23993e+006
WSN10.MI,15/07/2005,0.0335,0.0343,0.0326,0.0327,1.01051e+007
WSN10.MI,18/07/2005,0.033,0.0332,0.032,0.0322,7.25965e+006
WSN10.MI,19/07/2005,0.0314,0.0327,0.0314,0.0318,3.71135e+006
WSN10.MI,20/07/2005,0.032,0.032,0.031,0.0314,3.6623e+006
WSN10.MI,21/07/2005,0.031,0.031,0.0293,0.0299,1.07948e+007
WSN10.MI,22/07/2005,0.03,0.03,0.0293,0.0298,3.55686e+006
WSN10.MI,25/07/2005,0.0291,0.0295,0.029,0.0291,2.17502e+006
WSN10.MI,26/07/2005,0.029,0.0308,0.0288,0.0293,3.45082e+006
WSN10.MI,27/07/2005,0.029,0.03,0.029,0.0292,4.18879e+006
WSN10.MI,28/07/2005,0.0288,0.0293,0.0287,0.0291,1.66781e+006
WSN10.MI,29/07/2005,0.0298,0.0298,0.029,0.029,3.14632e+006
WSN10.MI,01/08/2005,0.0295,0.0304,0.0295,0.03,6.7613e+006
WSN10.MI,02/08/2005,0.031,0.0312,0.0291,0.0296,1.1785e+007
WSN10.MI,03/08/2005,0.03,0.03,0.0289,0.0292,3.72092e+006
WSN10.MI,04/08/2005,0.0291,0.0299,0.029,0.0292,3.82463e+006
WSN10.MI,05/08/2005,0.0292,0.03,0.0292,0.0296,1.46202e+006
WSN10.MI,08/08/2005,0.0295,0.0303,0.0295,0.0296,5.78484e+006
WSN10.MI,09/08/2005,0.0297,0.0299,0.0291,0.0291,2.7975e+006
WSN10.MI,10/08/2005,0.0295,0.0297,0.0292,0.0292,1.8001e+006
WSN10.MI,11/08/2005,0.0293,0.0297,0.0293,0.0296,809892
WSN10.MI,12/08/2005,0.0293,0.03,0.0292,0.0299,2.32216e+006
WSN10.MI,16/08/2005,0.0297,0.0299,0.029,0.0296,3.14391e+006
WSN10.MI,17/08/2005,0.0294,0.0299,0.0294,0.0298,973338
WSN10.MI,18/08/2005,0.0295,0.0298,0.0295,0.0297,552023
WSN10.MI,19/08/2005,0.0298,0.0298,0.0293,0.0294,993028
WSN10.MI,22/08/2005,0.0295,0.0301,0.0294,0.0299,5.79021e+006
WSN10.MI,23/08/2005,0.0297,0.0302,0.0296,0.0297,2.82709e+006
WSN10.MI,24/08/2005,0.0298,0.03,0.0297,0.03,1.24e+006
WSN10.MI,25/08/2005,0.0298,0.0299,0.0295,0.0298,935000
WSN10.MI,26/08/2005,0.0299,0.0299,0.0294,0.0295,1.31279e+006
WSN10.MI,29/08/2005,0.0295,0.0296,0.0287,0.0289,2.41182e+006
WSN10.MI,30/08/2005,0.029,0.0299,0.0288,0.0294,2.99909e+006
WSN10.MI,31/08/2005,0.0298,0.0299,0.0289,0.0293,2.8938e+006
WSN10.MI,01/09/2005,0.0294,0.0294,0.0291,0.0293,766373
WSN10.MI,02/09/2005,0.0299,0.033,0.0297,0.031,5.57322e+007
WSN10.MI,05/09/2005,0.0318,0.0318,0.0295,0.0298,1.84591e+007
WSN10.MI,06/09/2005,0.0302,0.0302,0.0295,0.0297,3.10163e+006
WSN10.MI,07/09/2005,0.0296,0.0305,0.0295,0.0305,2.929e+006
WSN10.MI,08/09/2005,0.03,0.03,0.0294,0.0295,3.65674e+006
WSN10.MI,09/09/2005,0.0296,0.0299,0.0296,0.0297,1.63557e+006
WSN10.MI,12/09/2005,0.03,0.0303,0.0295,0.0298,5.78116e+006
