ticker,dateTime,open,high,low,close,volume
WTAI.MI,11/12/2018,21.1,21.42,21.1,21.195,241
WTAI.MI,12/12/2018,21.42,21.515,21.42,21.42,450
WTAI.MI,13/12/2018,21.42,21.445,21.26,21.3,759
WTAI.MI,14/12/2018,21.2,21.24,20.975,21.225,475
WTAI.MI,17/12/2018,21.3,21.3,20.84,20.93,476
WTAI.MI,18/12/2018,20.505,20.535,20.505,20.505,1
WTAI.MI,19/12/2018,20.55,20.55,20.5,20.55,225
WTAI.MI,20/12/2018,20,20,19.642,20,300
WTAI.MI,21/12/2018,21,21,19.65,19.708,560
WTAI.MI,27/12/2018,19.728,19.802,19.728,19.728,100
WTAI.MI,28/12/2018,20.17,20.17,20.05,20.17,10
WTAI.MI,02/01/2019,19.8,20.365,19.8,20,126
WTAI.MI,03/01/2019,19.972,19.972,19.792,19.9,960
WTAI.MI,04/01/2019,20.19,20.19,20.19,20.19,0
WTAI.MI,07/01/2019,20.43,20.56,20.42,20.42,90
WTAI.MI,08/01/2019,20.995,21.165,20.88,20.895,1105
WTAI.MI,09/01/2019,21.49,21.515,21.345,21.43,1325
WTAI.MI,10/01/2019,21.365,21.365,21.365,21.365,140
WTAI.MI,11/01/2019,21.65,21.65,21.565,21.65,93
WTAI.MI,14/01/2019,21.4,21.4,21.36,21.4,15
WTAI.MI,15/01/2019,21.52,21.575,21.455,21.54,14495
WTAI.MI,16/01/2019,21.84,21.87,21.75,21.84,265
WTAI.MI,17/01/2019,21.795,21.795,21.66,21.68,2017
WTAI.MI,18/01/2019,21.98,22.24,21.98,21.98,2280
WTAI.MI,21/01/2019,22.07,22.155,22.07,22.135,2182
WTAI.MI,22/01/2019,21.93,21.935,21.755,21.935,200
WTAI.MI,23/01/2019,21.705,21.705,21.585,21.705,230
WTAI.MI,24/01/2019,22.435,22.435,22.435,22.435,0
WTAI.MI,25/01/2019,22.82,22.82,22.82,22.82,0
WTAI.MI,28/01/2019,22.9,22.9,22.58,22.58,704
WTAI.MI,29/01/2019,22.745,22.745,22.56,22.62,1110
WTAI.MI,30/01/2019,22.55,22.705,22.515,22.515,1293
WTAI.MI,31/01/2019,23.055,23.055,23.055,23.055,0
WTAI.MI,01/02/2019,23.03,23.235,23.03,23.085,3877
WTAI.MI,04/02/2019,23.265,23.265,23.14,23.225,5081
WTAI.MI,05/02/2019,23.46,23.6,23.425,23.6,1205
WTAI.MI,06/02/2019,23.65,23.9,23.56,23.86,1959
WTAI.MI,07/02/2019,24.39,24.39,23.54,23.735,2938
WTAI.MI,08/02/2019,23.51,24.015,23.285,23.55,2461
WTAI.MI,11/02/2019,23.74,23.88,23.74,23.78,10507
WTAI.MI,12/02/2019,23.98,24.55,23.98,24.305,5946
WTAI.MI,13/02/2019,24.565,24.565,24.32,24.37,18197
WTAI.MI,14/02/2019,24.915,24.915,24.16,24.46,2721
WTAI.MI,15/02/2019,24.325,24.585,24.2,24.54,3426
WTAI.MI,18/02/2019,24.745,24.745,24.55,24.6,2850
WTAI.MI,19/02/2019,24.7,24.71,24.55,24.55,2007
WTAI.MI,20/02/2019,24.65,24.99,24.64,24.825,2763
WTAI.MI,21/02/2019,24.83,25.33,24.63,24.65,2115
WTAI.MI,22/02/2019,25.245,25.39,24.86,25,1732
WTAI.MI,25/02/2019,25.125,25.435,25.125,25.4,10386
WTAI.MI,26/02/2019,25.4,25.4,25.015,25.2,8218
WTAI.MI,27/02/2019,24.97,25.045,24.905,24.98,5235
WTAI.MI,28/02/2019,25.45,25.45,24.9,25.02,4341
WTAI.MI,01/03/2019,25.475,25.475,25.02,25.02,6251
WTAI.MI,04/03/2019,25.455,25.69,25.04,25.04,9162
WTAI.MI,05/03/2019,25.26,25.26,25,25.18,4862
WTAI.MI,06/03/2019,25.24,25.24,24.78,24.8,5520
WTAI.MI,07/03/2019,24.82,24.92,24.615,24.7,9565
WTAI.MI,08/03/2019,24.7,24.7,24.245,24.46,10562
WTAI.MI,11/03/2019,24.495,25.055,24.495,25.055,744
WTAI.MI,12/03/2019,25.105,25.13,25.015,25.075,1286
WTAI.MI,13/03/2019,25.07,25.07,24.97,25.03,1394
WTAI.MI,14/03/2019,24.945,25.06,24.9,24.915,388
WTAI.MI,15/03/2019,24.93,25.175,24.93,25.15,1582
WTAI.MI,18/03/2019,25.255,25.255,24.965,25.02,5862
WTAI.MI,19/03/2019,25,25.275,25,25.275,3749
WTAI.MI,20/03/2019,25.195,25.23,24.965,25.045,966
WTAI.MI,21/03/2019,25.055,25.315,24.9,25.23,1298
WTAI.MI,22/03/2019,25.48,25.565,24.965,25.155,3129
