ticker,dateTime,open,high,low,close,volume
XBRMIB.MI,11/02/2008,40,41.17,40,40.94,126
XBRMIB.MI,12/02/2008,39.5,40.06,38.2,38.36,14322
XBRMIB.MI,13/02/2008,38.25,39.18,37.97,38.03,1916
XBRMIB.MI,14/02/2008,37.46,37.71,37.4,37.5,1860
XBRMIB.MI,15/02/2008,37.92,39.19,37.5,39.12,2639
XBRMIB.MI,18/02/2008,41.14,41.14,38.1,38.17,3418
XBRMIB.MI,19/02/2008,38.35,38.88,37.4,37.76,3019
XBRMIB.MI,20/02/2008,38.49,38.85,38,38.45,3569
XBRMIB.MI,21/02/2008,38,38.99,37.45,38.31,2291
XBRMIB.MI,22/02/2008,38.89,39.45,38.16,39.3,9425
XBRMIB.MI,25/02/2008,38,39,37.15,38.13,4689
XBRMIB.MI,26/02/2008,38,38,37.31,37.42,11136
XBRMIB.MI,27/02/2008,36.92,37.85,36.86,37.1,5212
XBRMIB.MI,28/02/2008,37.99,37.99,37.01,37.83,5536
XBRMIB.MI,29/02/2008,37.99,39.2,37.9,39,47094
XBRMIB.MI,03/03/2008,39.66,40.48,39.46,39.66,35718
XBRMIB.MI,04/03/2008,40.6,41.34,39.32,41.18,31391
XBRMIB.MI,05/03/2008,40.88,40.88,39.17,39.24,10900
XBRMIB.MI,06/03/2008,40.99,40.99,39.5,40.45,34865
XBRMIB.MI,07/03/2008,41.23,42.44,40.58,41.68,17526
XBRMIB.MI,10/03/2008,41.67,43.23,41.64,42.77,46799
XBRMIB.MI,11/03/2008,42.68,42.68,40.62,41.4,34779
XBRMIB.MI,12/03/2008,39.85,41.44,39.85,40.89,19199
XBRMIB.MI,13/03/2008,41.89,43.88,41.89,42.51,32928
XBRMIB.MI,14/03/2008,42.5,44,41.27,43.31,59554
XBRMIB.MI,17/03/2008,44.02,46,44.02,45.45,74782
XBRMIB.MI,18/03/2008,44.5,46.14,43.43,45.28,31051
XBRMIB.MI,19/03/2008,46.06,46.06,43.91,44.68,73937
XBRMIB.MI,20/03/2008,46.75,46.85,45,45.91,69737
XBRMIB.MI,25/03/2008,44.8,46,43.09,43.67,45740
XBRMIB.MI,26/03/2008,44.34,44.34,43.2,43.94,59114
XBRMIB.MI,27/03/2008,43.51,44,42.25,43.02,24530
XBRMIB.MI,28/03/2008,44,44,42.5,42.84,14708
XBRMIB.MI,31/03/2008,42.5,43.72,41.95,42.99,10669
XBRMIB.MI,01/04/2008,42.74,42.88,40.62,40.71,17143
XBRMIB.MI,02/04/2008,41.78,41.78,38.81,39.22,28250
XBRMIB.MI,03/04/2008,39.85,40.72,39,39.53,28876
XBRMIB.MI,04/04/2008,39.1,39.5,38.5,39.12,24600
XBRMIB.MI,07/04/2008,39.85,39.85,38.04,38.31,85981
XBRMIB.MI,08/04/2008,39.4,39.4,38.45,38.78,19336
XBRMIB.MI,09/04/2008,39.1,39.2,38.25,38.51,11301
XBRMIB.MI,10/04/2008,38.66,39.5,38.42,38.87,10137
XBRMIB.MI,11/04/2008,38.5,39.6,38.07,39.46,16639
XBRMIB.MI,14/04/2008,39.98,40.49,39.45,39.97,30027
XBRMIB.MI,15/04/2008,39.37,40.52,39.3,40.13,17464
XBRMIB.MI,16/04/2008,40.45,40.45,38.75,39.03,26169
XBRMIB.MI,17/04/2008,39,39.83,38.3,39.19,8050
XBRMIB.MI,18/04/2008,38.8,38.83,37.51,37.89,15666
XBRMIB.MI,21/04/2008,38.8,38.8,37.56,37.86,143208
XBRMIB.MI,22/04/2008,38.4,38.47,37.79,38.13,53719
XBRMIB.MI,23/04/2008,38.48,39.48,38.01,38.73,24083
XBRMIB.MI,24/04/2008,38.35,39.07,38.02,38.31,45879
XBRMIB.MI,25/04/2008,38.03,38.03,36.81,36.95,10591
XBRMIB.MI,28/04/2008,37,37.4,36.85,37.24,4316
XBRMIB.MI,29/04/2008,37.4,37.83,37.2,37.58,1729
XBRMIB.MI,30/04/2008,37.55,37.87,37.05,37.05,10341
XBRMIB.MI,02/05/2008,37,37,35.5,36.15,11848
XBRMIB.MI,05/05/2008,35,36.47,35,36.14,7546
XBRMIB.MI,06/05/2008,36.15,36.85,36.1,36.64,5355
XBRMIB.MI,07/05/2008,36.3,36.58,35.92,36.09,5293
XBRMIB.MI,08/05/2008,36.99,37.23,36.4,37.07,5524
XBRMIB.MI,09/05/2008,37.3,38,37.3,37.61,10297
XBRMIB.MI,12/05/2008,37.63,37.88,37.01,37.79,7915
XBRMIB.MI,13/05/2008,36.99,38.3,36.9,37.54,8399
XBRMIB.MI,14/05/2008,37.2,37.2,36.43,36.47,12419
XBRMIB.MI,15/05/2008,36.84,37.1,36.46,36.63,9431
XBRMIB.MI,16/05/2008,36.4,36.63,35.8,36.56,20391
XBRMIB.MI,19/05/2008,36.19,36.2,35.8,35.9,19447
XBRMIB.MI,20/05/2008,35.85,36.69,35.85,36.58,10685
XBRMIB.MI,21/05/2008,36.68,37.05,36.21,36.9,21394
XBRMIB.MI,22/05/2008,37.44,37.44,36.11,36.32,20468
XBRMIB.MI,23/05/2008,36,37.24,36,37.17,12287
XBRMIB.MI,26/05/2008,37.29,37.63,37.15,37.5,14954
XBRMIB.MI,27/05/2008,37.6,38.07,37.03,37.42,28939
XBRMIB.MI,28/05/2008,37.6,37.73,36.9,37.56,43973
XBRMIB.MI,29/05/2008,37.4,37.85,37.17,37.51,6377
XBRMIB.MI,30/05/2008,37.3,37.3,36.6,36.69,12142
XBRMIB.MI,02/06/2008,36.9,37.91,36.9,37.69,11051
XBRMIB.MI,03/06/2008,37.76,37.77,37.39,37.5,29591
XBRMIB.MI,04/06/2008,37.6,38.7,37.6,38.25,44979
XBRMIB.MI,05/06/2008,38.25,38.5,37.82,38.19,25361
XBRMIB.MI,06/06/2008,37.84,39.96,37.72,39.83,67602
XBRMIB.MI,09/06/2008,40.2,40.34,39.59,39.83,49051
XBRMIB.MI,10/06/2008,39.9,41.03,39.9,40.67,33590
XBRMIB.MI,11/06/2008,40.3,42.31,40.3,42.04,21910
XBRMIB.MI,12/06/2008,42.16,42.5,41.06,42.07,33146
XBRMIB.MI,13/06/2008,42.4,43,41.72,41.82,22901
XBRMIB.MI,16/06/2008,41.1,42.69,41.06,42.42,19409
XBRMIB.MI,17/06/2008,42.2,42.2,41.26,41.63,6079
XBRMIB.MI,18/06/2008,41.94,43.14,41.94,43,19937
XBRMIB.MI,19/06/2008,42.4,43.46,42.4,43.06,19247
XBRMIB.MI,20/06/2008,43.2,45.35,42.94,44.64,39706
XBRMIB.MI,23/06/2008,44.54,45.25,44.23,44.76,11617
XBRMIB.MI,24/06/2008,44.86,46.2,44.54,45.78,79557
XBRMIB.MI,25/06/2008,43.87,45.18,43.56,43.69,20741
XBRMIB.MI,26/06/2008,44.3,45.56,43.11,45.48,36825
XBRMIB.MI,27/06/2008,45.75,46.77,45.52,46.21,31715
XBRMIB.MI,30/06/2008,46.08,46.82,45.54,45.85,16155
XBRMIB.MI,01/07/2008,46.75,48.02,46.25,47.14,95416
XBRMIB.MI,02/07/2008,48.15,48.15,45.59,46.61,63307
XBRMIB.MI,03/07/2008,47.02,48,46.1,46.49,43697
XBRMIB.MI,04/07/2008,46.8,47.84,46.51,47.64,33502
XBRMIB.MI,07/07/2008,47.25,47.85,46.55,47.02,40853
XBRMIB.MI,08/07/2008,47.8,49.27,47.69,48.64,50424
XBRMIB.MI,09/07/2008,48.01,48.21,46.1,47.52,60801
XBRMIB.MI,10/07/2008,47.99,48.7,47.19,48.13,34297
XBRMIB.MI,11/07/2008,47.88,50.66,47.88,50.37,58844
XBRMIB.MI,14/07/2008,52,52,49.16,50.51,32413
XBRMIB.MI,15/07/2008,50.42,53.84,50.42,52.71,44845
XBRMIB.MI,16/07/2008,53.98,54.99,52.25,52.49,58174
XBRMIB.MI,17/07/2008,49.25,52,49.25,50.57,91654
