Date,Open,High,Low,Close,Volume,Adj Close
2011-02-10,168.95,168.95,168.95,168.95,100,168.95
2011-02-24,170.63,170.63,170.63,170.63,0,170.63
2011-03-08,168.62,168.62,168.62,168.62,0,168.62
2011-03-14,169.79,169.79,169.79,169.79,0,169.79
2011-04-11,167.0,167.0,167.0,167.0,0,167.0
2011-04-18,168.61,168.61,168.61,168.61,0,168.61
2011-04-27,169.42,169.42,169.42,169.42,0,169.42
2011-04-29,169.5,169.5,169.5,169.5,0,169.5
2011-05-13,170.99,170.99,170.99,171.31,400,171.31
2011-05-24,171.96,171.96,171.81,171.73,0,171.73
2011-05-25,172.29,172.29,172.29,171.99,100,171.99
2011-05-30,172.83,172.83,172.83,172.77,100,172.77
2011-06-10,172.66,172.66,172.66,173.11,0,173.11
2011-06-17,173.0,173.0,173.0,173.03,300,173.03
2011-07-05,172.58,172.62,172.45,172.55,500,172.55
2011-07-06,173.5,173.5,173.5,173.51,0,173.51
2011-07-11,175.61,176.36,175.61,176.52,600,176.52
2011-07-25,172.42,172.48,172.42,172.82,100,172.82
2011-07-26,173.0,173.0,173.0,173.22,3000,173.22
2011-08-03,176.53,176.53,176.53,176.61,0,176.61
2011-08-09,177.81,177.81,177.81,177.59,0,177.59
2011-08-16,178.03,178.03,178.03,177.73,0,177.73
2011-08-18,179.1,179.1,179.1,180.29,0,180.29
2011-08-25,179.1,179.1,179.1,179.55,0,179.55
2011-08-29,180.01,180.01,180.01,179.08,600,179.08
2011-08-30,179.29,179.29,179.29,179.94,0,179.94
2011-08-31,179.87,179.87,179.87,179.14,0,179.14
2011-09-02,181.03,181.03,181.03,181.05,300,181.05
2011-09-05,181.98,182.67,181.98,182.53,100,182.53
2011-09-06,182.51,182.51,182.51,182.91,0,182.91
2011-09-21,183.86,183.86,183.86,184.19,0,184.19
2011-09-22,185.25,185.25,185.25,185.1,0,185.1
2011-09-26,185.0,185.0,185.0,184.27,0,184.27
2011-09-29,182.23,182.23,182.23,182.09,200,182.09
2011-10-04,184.87,184.87,184.87,184.93,0,184.93
2011-10-12,181.42,181.42,180.79,179.95,11700,179.95
2011-10-17,179.69,179.69,179.69,181.28,0,181.28
2011-10-18,182.0,182.0,182.0,181.95,0,181.95
2011-10-21,181.62,181.62,181.21,181.0,100,181.0
2011-10-26,182.33,182.33,182.33,182.16,0,182.16
2011-10-28,180.0,180.27,180.0,180.18,0,180.18
2011-11-03,183.66,183.66,183.15,183.21,100,183.21
2011-11-07,184.34,184.34,184.34,184.35,500,184.35
2011-11-15,185.43,185.43,185.43,185.8,0,185.8
2011-11-18,184.0,184.0,184.0,183.37,0,183.37
2011-11-25,181.27,181.27,181.27,181.09,200,181.09
2011-11-28,180.49,180.49,180.49,180.46,200,180.46
2011-11-29,180.31,180.31,180.2,180.06,600,180.06
2011-12-02,182.14,182.14,182.14,182.47,0,182.47
2011-12-12,183.45,183.45,183.45,184.19,100,184.19
2011-12-14,184.55,184.57,184.55,185.57,500,185.57
2011-12-15,185.64,185.64,185.38,185.19,300,185.19
2012-01-02,185.71,185.71,185.71,185.73,0,185.73
2012-01-03,185.55,185.55,185.55,185.78,0,185.78
2012-01-05,186.3,186.3,186.26,186.29,200,186.29
2012-01-13,186.91,186.91,186.88,187.24,24800,187.24
2012-01-16,187.17,187.2,187.17,187.12,200,187.12
2012-01-17,186.8,186.8,186.8,186.77,900,186.77
2012-01-25,184.46,184.46,184.46,184.78,100,184.78
2012-01-26,185.27,185.27,185.27,185.62,0,185.62
2012-02-02,186.51,186.65,186.51,185.96,11000,185.96
2012-02-03,185.4,185.4,185.4,185.29,200,185.29
2012-02-07,186.08,186.08,186.08,184.98,0,184.98
2012-02-08,184.74,184.83,184.63,184.69,1600,184.69
2012-02-10,185.17,185.17,185.12,185.21,900,185.21
2012-02-13,184.91,184.91,184.87,185.14,600,185.14
2012-02-14,185.25,185.55,185.25,185.52,200,185.52
2012-02-15,185.29,185.63,185.29,186.14,200,186.14
2012-02-21,185.27,185.27,185.27,184.98,200,184.98
2012-02-24,185.95,185.95,185.95,186.15,0,186.15
2012-02-28,186.74,187.08,186.74,186.97,900,186.97
2012-02-29,186.62,186.8,186.62,186.78,0,186.78
2012-03-01,186.59,186.59,186.59,186.15,0,186.15
2012-03-05,186.9,186.9,186.9,186.65,800,186.65
2012-03-12,187.33,187.33,187.33,187.21,200,187.21
2012-03-21,184.5,184.79,184.5,184.83,200,184.83
2012-03-30,186.67,186.67,186.67,186.9,0,186.9
2012-04-11,188.25,188.25,188.25,188.02,0,188.02
2012-04-12,187.76,187.76,187.76,187.76,100,187.76
2012-04-18,188.49,188.49,188.49,188.33,200,188.33
2012-04-23,188.56,188.56,188.56,188.95,0,188.95
2012-04-24,188.27,188.27,188.27,188.36,0,188.36
2012-04-27,188.82,188.82,188.82,188.39,100,188.39
2012-05-02,188.96,188.96,188.96,189.39,200,189.39
2012-05-04,189.26,189.26,189.26,189.66,0,189.66
2012-05-16,191.31,191.31,191.31,191.23,0,191.23
2012-05-17,191.47,191.47,191.47,191.86,0,191.86
2012-05-21,191.55,191.55,191.55,192.0,0,192.0
2012-05-30,194.05,194.31,194.0,194.41,5800,194.41
2012-06-01,195.57,195.57,195.57,195.64,0,195.64
2012-06-04,195.6,195.6,195.44,195.17,100,195.17
2012-06-05,195.44,195.44,195.44,195.22,0,195.22
2012-06-06,194.35,194.7,194.35,193.57,100,193.57
2012-06-07,193.05,193.05,193.05,192.79,0,192.79
2012-06-14,190.43,191.16,190.43,191.03,300,191.03
2012-06-27,190.54,190.54,190.54,191.03,200,191.03
2012-06-29,189.79,189.79,189.79,191.03,800,191.03
2012-07-09,193.04,193.04,193.04,191.03,0,191.03
2012-07-13,193.697,193.697,193.697,193.697,0,193.697
2012-07-16,193.8,193.8,193.8,191.03,900,191.03
2012-07-24,193.53,193.53,193.53,194.617,200,194.617
