ticker,dateTime,open,high,low,close,volume
XC4S.MI,16/02/2009,87.49,87.49,87.49,87.49,0
XC4S.MI,17/02/2009,90.74,90.74,90.71,90.71,40
XC4S.MI,18/02/2009,90.71,90.71,90.71,90.71,0
XC4S.MI,19/02/2009,90.64,91.06,90.64,91.06,37
XC4S.MI,20/02/2009,94.14,94.14,94.14,94.14,22
XC4S.MI,23/02/2009,95.94,95.94,95.94,95.94,166
XC4S.MI,24/02/2009,97.6,98.2,97.6,98.06,94
XC4S.MI,25/02/2009,96.28,98.06,95.57,98.06,8825
XC4S.MI,26/02/2009,95.77,95.77,95.11,95.11,2219
XC4S.MI,27/02/2009,96.86,97.41,96.86,97.25,4401
XC4S.MI,02/03/2009,99.29,99.9,99.29,99.45,3321
XC4S.MI,03/03/2009,100.36,101.43,100,100.99,3624
XC4S.MI,04/03/2009,99,99.05,97.88,98.35,5265
XC4S.MI,05/03/2009,98.74,98.74,98.7,98.7,102
XC4S.MI,06/03/2009,101.22,103,100.47,101.91,17319
XC4S.MI,09/03/2009,102.87,105.07,102.87,104.24,7886
XC4S.MI,10/03/2009,103.56,103.56,102.09,102.09,0
XC4S.MI,11/03/2009,96.6,96.6,94.79,94.79,5787
XC4S.MI,12/03/2009,99.04,99.58,96.3,96.68,1947
XC4S.MI,13/03/2009,94.75,96,93.73,95.97,2472
XC4S.MI,16/03/2009,93.47,94,93.24,94,1400
XC4S.MI,17/03/2009,93.89,94.41,93.8,93.8,2720
XC4S.MI,18/03/2009,95.18,95.18,95.18,95.18,1100
XC4S.MI,19/03/2009,92.09,92.85,92.09,92.85,2200
XC4S.MI,20/03/2009,94.53,94.53,93.05,93.05,1992
XC4S.MI,23/03/2009,91.46,92.01,91.46,92.01,1110
XC4S.MI,24/03/2009,89.87,89.87,89.87,89.87,50
XC4S.MI,25/03/2009,90.58,90.75,88.83,88.83,3321
XC4S.MI,26/03/2009,89.77,89.84,89.47,89.72,4412
XC4S.MI,27/03/2009,89.44,90.37,89.44,90.37,241
XC4S.MI,30/03/2009,94.22,94.22,93.32,93.68,1172
XC4S.MI,31/03/2009,93.32,93.54,92.87,92.87,76
XC4S.MI,01/04/2009,93.56,93.56,93.01,93.01,46
XC4S.MI,02/04/2009,88.62,88.62,87.13,87.56,5768
XC4S.MI,03/04/2009,85,87.1,85,86.98,17331
XC4S.MI,06/04/2009,88.06,88.22,88.06,88.22,30
XC4S.MI,07/04/2009,88.86,89.2,88.8,89.05,1318
XC4S.MI,08/04/2009,89.67,89.67,88,88,935
XC4S.MI,09/04/2009,87.66,87.66,85.99,86.12,132
XC4S.MI,14/04/2009,86.2,86.5,85.53,86.29,4148
XC4S.MI,15/04/2009,86.7,86.7,85.79,85.99,1121
XC4S.MI,16/04/2009,86.19,86.19,84.82,84.82,150
XC4S.MI,17/04/2009,84.82,84.82,83.6,83.6,290
XC4S.MI,20/04/2009,84.45,86.52,84.45,86.22,2500
XC4S.MI,21/04/2009,86.59,88.11,85.8,87.77,5870
