Date,Open,High,Low,Close,Volume,Adj Close
2009-06-17,15.17,15.17,15.17,15.17,0,15.17
2009-06-18,15.17,15.32,15.17,15.17,0,15.17
2009-06-19,15.2,15.35,15.2,15.2,0,15.2
2009-06-22,14.99,14.99,14.81,14.81,500,14.81
2009-06-23,14.68,14.83,14.68,14.68,0,14.68
2009-06-24,15.03,15.03,15.03,15.03,0,15.03
2009-06-25,15.0,15.0,15.0,15.0,200,15.0
2009-06-26,15.2,15.2,15.2,15.2,0,15.2
2009-06-29,15.06,15.06,15.06,15.06,0,15.06
2009-06-30,15.0,15.0,15.0,15.0,400,15.0
2009-07-01,14.94,14.94,14.94,14.94,0,14.94
2009-07-02,14.65,14.65,14.65,14.65,0,14.65
2009-07-03,14.68,14.68,14.68,14.68,1000,14.68
2009-07-06,14.36,14.36,14.36,14.36,0,14.36
2009-07-07,14.21,14.21,14.21,14.21,0,14.21
2009-07-08,13.88,13.88,13.88,13.88,0,13.88
2009-07-09,13.9,13.9,13.9,13.9,0,13.9
2009-07-10,13.82,13.82,13.82,13.82,0,13.82
2009-07-13,13.82,13.82,13.82,13.82,0,13.82
2009-07-14,14.06,14.06,14.06,14.06,0,14.06
2009-07-15,14.25,14.25,14.25,14.25,0,14.25
2009-07-16,14.33,14.33,14.33,14.33,0,14.33
2009-07-17,14.44,14.44,14.44,14.44,0,14.44
2009-07-20,14.81,14.81,14.81,14.81,300,14.81
2009-07-21,14.75,14.75,14.75,14.75,0,14.75
2009-07-22,14.65,14.65,14.65,14.65,300,14.65
2009-07-23,14.84,14.84,14.84,14.84,0,14.84
2009-07-24,14.98,14.98,14.98,14.98,0,14.98
2009-07-27,14.97,14.97,14.97,14.97,0,14.97
2009-07-28,14.9,14.9,14.9,14.9,200,14.9
2009-07-29,14.76,14.76,14.76,14.76,200,14.76
2009-07-30,14.69,14.7,14.69,14.7,400,14.7
2009-07-31,15.22,15.22,15.15,15.15,600,15.15
2009-08-03,15.67,15.67,15.67,15.67,0,15.67
2009-08-04,15.68,15.68,15.68,15.68,0,15.68
2009-08-05,15.81,15.81,15.81,15.81,500,15.81
2009-08-06,15.7,15.7,15.7,15.7,0,15.7
2009-08-07,15.51,15.51,15.51,15.51,100,15.51
2009-08-10,15.56,15.56,15.38,15.56,1900,15.56
2009-08-11,15.31,15.31,15.31,15.31,0,15.31
2009-08-12,15.34,15.34,15.34,15.34,0,15.34
2009-08-13,15.65,15.65,15.65,15.65,600,15.65
2009-08-14,15.2,15.2,15.2,15.2,0,15.2
2009-08-17,14.75,14.75,14.75,14.75,0,14.75
2009-08-18,14.89,14.89,14.89,14.89,0,14.89
2009-08-19,15.08,15.08,15.08,15.08,0,15.08
2009-08-20,15.09,15.09,15.09,15.09,0,15.09
2009-08-21,15.2,15.2,15.2,15.2,0,15.2
2009-08-24,15.65,15.65,15.35,15.35,800,15.35
2009-08-25,15.37,15.37,15.37,15.37,0,15.37
2009-08-26,15.02,15.02,15.02,15.02,0,15.02
2009-08-27,14.95,14.95,14.95,14.95,0,14.95
2009-08-28,15.29,15.29,15.29,15.29,0,15.29
2009-08-31,15.28,15.28,15.13,15.13,1700,15.13
2009-09-01,14.96,14.96,14.96,14.96,0,14.96
2009-09-02,14.78,14.78,14.78,14.78,0,14.78
2009-09-03,14.72,14.72,14.72,14.72,0,14.72
2009-09-04,14.55,14.55,14.55,14.55,0,14.55
2009-09-07,14.63,14.63,14.63,14.63,0,14.63
2009-09-08,14.9,14.9,14.9,14.9,200,14.9
2009-09-09,14.88,15.03,14.88,14.88,0,14.88
2009-09-10,14.87,14.87,14.87,14.87,0,14.87
2009-09-11,14.84,14.84,14.84,14.84,0,14.84
2009-09-14,14.68,14.68,14.68,14.68,0,14.68
2009-09-15,14.8,14.8,14.8,14.8,0,14.8
2009-09-16,15.0,15.0,15.0,15.0,0,15.0
2009-09-17,15.24,15.24,15.24,15.24,700,15.24
2009-09-18,15.18,15.18,15.18,15.18,0,15.18
2009-09-21,14.75,14.75,14.75,14.75,0,14.75
2009-09-22,14.89,14.89,14.89,14.89,0,14.89
2009-09-23,14.84,14.84,14.84,14.84,100,14.84
2009-09-24,14.54,14.54,14.54,14.54,0,14.54
2009-09-25,14.59,14.59,14.59,14.59,0,14.59
2009-09-28,14.63,14.63,14.63,14.63,0,14.63
2009-09-29,14.64,14.64,14.64,14.64,0,14.64
2009-09-30,14.74,14.74,14.74,14.74,0,14.74
2009-10-01,14.8,14.8,14.8,14.8,0,14.8
