Date,Open,High,Low,Close,Volume,Adj Close
2012-08-13,6.18,6.2,6.13,6.126,53700,6.126
2012-08-14,6.14,6.15,6.1,6.126,2200,6.126
2012-08-16,6.055,6.06,6.055,6.004,1800,6.004
2012-08-17,6.025,6.025,6.015,6.004,12300,6.004
2012-08-20,6.0,6.025,6.0,5.9652,4000,5.9652
2012-08-21,6.025,6.025,6.01,5.9547,2300,5.9547
2012-08-22,5.93,5.93,5.9,5.9025,26200,5.9025
2012-08-23,5.905,5.905,5.855,5.8075,200,5.8075
2012-08-27,5.735,5.745,5.735,5.7167,200,5.7167
2012-08-30,5.595,5.635,5.595,5.628,2900,5.628
2012-08-31,5.645,5.645,5.63,5.628,300,5.628
2012-09-03,5.64,5.64,5.62,5.6585,1100,5.6585
2012-09-04,5.6,5.63,5.6,5.5582,800,5.5582
2012-09-06,5.65,5.65,5.65,5.7012,0,5.7012
2012-09-07,5.87,5.87,5.85,5.7012,1100,5.7012
2012-09-10,5.895,5.895,5.895,5.8262,0,5.8262
2012-09-11,5.8,5.825,5.8,5.78,3500,5.78
2012-09-13,5.755,5.755,5.755,5.7225,1000,5.7225
2012-09-14,5.74,5.74,5.74,5.7225,1500,5.7225
2012-09-17,5.62,5.62,5.53,5.5322,2200,5.5322
2012-09-18,5.515,5.515,5.515,5.5052,900,5.5052
2012-09-19,5.525,5.525,5.525,5.5122,0,5.5122
2012-09-21,5.435,5.435,5.435,5.4437,0,5.4437
2012-09-24,5.47,5.54,5.47,5.5037,13000,5.5037
2012-09-25,5.52,5.55,5.515,5.4672,10400,5.4672
2012-09-26,5.4,5.4,5.4,5.428,900,5.428
2012-09-27,5.62,5.62,5.605,5.5927,1600,5.5927
2012-09-28,5.73,5.735,5.715,5.5927,3000,5.5927
2012-10-01,5.75,5.79,5.75,5.75,2300,5.75
2012-10-02,5.75,5.78,5.74,5.7322,61600,5.7322
2012-10-03,5.75,5.75,5.745,5.7587,3500,5.7587
2012-10-04,5.775,5.78,5.77,5.7357,1000,5.7357
2012-10-05,5.8,5.8,5.75,5.7357,4400,5.7357
2012-10-08,5.71,5.71,5.65,5.646,18300,5.646
2012-10-09,5.78,5.8,5.78,5.7742,16700,5.7742
2012-10-10,5.85,5.85,5.82,5.8295,4100,5.8295
2012-10-11,5.825,5.825,5.77,5.7917,14900,5.7917
2012-10-12,5.75,5.765,5.75,5.7917,178100,5.7917
2012-10-15,5.765,5.775,5.75,5.7475,4900,5.7475
2012-10-16,5.765,5.765,5.765,5.7487,2300,5.7487
2012-10-17,5.73,5.73,5.715,5.7037,12700,5.7037
2012-10-18,5.82,5.84,5.82,5.805,53500,5.805
2012-10-19,5.82,5.83,5.82,5.805,3900,5.805
2012-10-22,5.805,5.81,5.805,5.7992,2300,5.7992
2012-10-23,5.725,5.725,5.69,5.7992,3300,5.7992
2012-10-24,5.79,5.79,5.79,5.7757,800,5.7757
2012-10-25,5.75,5.75,5.74,5.741,94500,5.741
2012-10-26,5.67,5.67,5.67,5.741,900,5.741
2012-10-29,5.67,5.67,5.66,5.645,31700,5.645
2012-10-30,5.665,5.665,5.61,5.635,9600,5.635
2012-10-31,5.6,5.7,5.595,5.665,4300,5.665
2012-11-01,5.79,5.79,5.79,5.815,200,5.815
2012-11-02,5.815,5.83,5.8,5.815,5800,5.815
2012-11-05,5.77,5.84,5.77,5.81,10000,5.81
2012-11-07,5.78,5.79,5.775,5.76,28100,5.76
2012-11-08,5.695,5.735,5.62,5.695,9100,5.695
2012-11-09,5.69,5.76,5.69,5.695,2100,5.695
2012-11-12,5.76,5.76,5.74,5.75,300,5.75
2012-11-13,5.68,5.68,5.65,5.67,2300,5.67
2012-11-14,5.64,5.64,5.64,5.635,1000,5.635
2012-11-15,5.6,5.6,5.54,5.535,21000,5.535
2012-11-16,5.525,5.55,5.48,5.535,29700,5.535
2012-11-19,5.495,5.53,5.495,5.505,6500,5.505
2012-11-20,5.48,5.49,5.475,5.45,39600,5.45
2012-11-21,5.55,5.55,5.55,5.505,900,5.505
2012-11-22,5.505,5.505,5.505,5.5,100,5.5
2012-11-23,5.475,5.525,5.475,5.5,41400,5.5
2012-11-26,5.455,5.455,5.44,5.42,2700,5.42
2012-11-27,5.395,5.395,5.34,5.385,24200,5.385
2012-11-28,5.35,5.35,5.29,5.345,48000,5.345
2012-11-29,5.335,5.34,5.335,5.315,26100,5.315
2012-11-30,5.35,5.38,5.335,5.315,304400,5.315
2012-12-03,5.315,5.32,5.3,5.305,68600,5.305
2012-12-04,5.335,5.42,5.335,5.365,30900,5.365
2012-12-05,5.6,5.685,5.575,5.65,155400,5.65
2012-12-06,5.63,5.635,5.575,5.59,39700,5.59
2012-12-07,5.705,5.855,5.7,5.59,351900,5.59
2012-12-10,5.795,5.82,5.745,5.78,94800,5.78
2012-12-11,5.675,5.78,5.675,5.765,49400,5.765
2012-12-12,5.79,5.8,5.775,5.765,168700,5.765
2012-12-13,5.82,5.82,5.66,5.68,123300,5.68
2012-12-14,5.89,6.045,5.89,5.68,470400,5.68
2012-12-17,6.045,6.045,5.96,5.96,31500,5.96
2012-12-18,5.95,5.96,5.905,5.93,5300,5.93
2012-12-19,5.88,5.925,5.88,5.92,6900,5.92
2012-12-20,5.965,5.965,5.915,5.95,10000,5.95
2012-12-21,5.93,5.93,5.865,5.95,4800,5.95
2012-12-27,5.95,6.115,5.95,6.09,6100,6.09
2012-12-28,6.155,6.22,6.155,6.09,135100,6.09
2013-01-02,6.18,6.505,6.18,6.5,51500,6.5
