Date,Open,High,Low,Close,Volume,Adj Close
2013-11-04,113.9,114.08,113.9,113.63,100,113.63
2013-11-05,113.84,113.95,113.83,113.63,300,113.63
2013-11-06,113.58,113.62,113.58,113.52,200,113.52
2013-11-07,113.88,113.88,113.88,114.31,200,114.31
2013-11-12,114.0,114.0,114.0,113.51,0,113.51
2013-11-14,113.65,113.65,113.65,113.08,0,113.08
2013-11-21,113.41,113.41,113.41,113.02,0,113.02
2013-11-22,112.33,112.33,112.33,112.32,0,112.32
2013-11-25,112.01,112.01,112.01,112.36,0,112.36
2013-12-03,110.85,110.85,110.85,110.45,0,110.45
2013-12-11,109.23,109.23,109.23,109.42,0,109.42
2013-12-13,109.1,109.1,109.1,109.94,0,109.94
2013-12-16,109.59,109.59,109.59,110.02,0,110.02
2013-12-27,109.08,109.08,109.08,108.69,0,108.69
2014-01-06,110.82,110.82,110.82,110.07,0,110.07
2014-01-08,109.01,109.01,109.0,109.05,0,109.05
2014-02-05,107.51,107.51,107.51,106.73,200,106.73
2014-02-07,107.07,107.07,107.07,106.89,0,106.89
2014-02-18,106.51,106.51,106.51,106.48,0,106.48
2014-02-27,105.81,105.81,104.99,104.99,1600,104.99
2014-04-04,106.86,106.86,106.86,106.78,0,106.78
2014-04-25,105.29,105.29,105.29,105.15,0,105.15
2014-05-08,105.73,105.73,105.73,106.66,0,106.66
2014-05-09,107.26,107.26,107.23,107.1,300,107.1
2014-05-21,107.54,107.54,107.54,107.54,300,107.54
2014-05-26,108.67,108.67,108.23,108.44,300,108.44
2014-05-30,109.29,109.29,109.29,108.54,0,108.54
2014-06-03,108.3,108.3,108.3,108.04,0,108.04
2014-06-05,108.12,108.12,108.12,107.83,0,107.83
2014-06-25,109.78,109.78,109.78,109.96,0,109.96
2014-06-27,110.26,110.26,110.26,110.56,0,110.56
2014-07-07,111.2,111.2,111.2,110.84,0,110.84
2014-07-11,111.36,111.36,111.36,110.39,0,110.39
2014-07-16,110.45,110.6,110.45,110.47,0,110.47
2014-07-29,110.85,110.85,110.85,110.61,0,110.61
2014-07-30,110.7,110.7,110.65,110.4,0,110.4
2014-08-01,110.33,110.33,110.33,109.84,0,109.84
2014-08-08,109.49,109.49,109.49,109.49,0,109.49
2014-08-29,112.34,112.79,112.34,112.77,100,112.77
2014-09-03,112.94,112.94,112.48,112.64,200,112.64
2014-09-04,112.76,114.0,112.76,114.56,100,114.56
2014-09-05,114.54,114.54,114.54,114.18,0,114.18
2014-09-09,113.55,113.55,113.55,113.26,300,113.26
2014-09-11,113.5,113.5,112.9,112.98,200,112.98
2014-09-12,112.64,112.64,112.64,112.4,0,112.4
2014-09-15,112.43,112.43,112.43,112.49,0,112.49
2014-09-23,113.92,113.92,113.92,113.38,200,113.38
2014-09-26,113.52,113.61,113.52,113.81,0,113.81
2014-10-01,114.4,114.4,114.4,114.37,0,114.37
2014-10-03,114.3,114.3,114.3,114.36,0,114.36
2014-10-06,114.64,114.64,114.63,114.58,100,114.58
2014-10-07,114.8,114.8,114.8,114.15,0,114.15
2014-10-09,113.85,113.85,113.85,114.07,400,114.07
2014-10-10,113.72,113.72,113.7,114.07,200,114.07
2014-10-13,113.66,113.67,113.66,113.5,900,113.5
2014-10-16,111.7,111.7,111.7,111.8,200,111.8
2014-10-17,112.31,112.38,112.31,112.39,300,112.39
2014-10-20,112.32,112.32,112.32,111.88,100,111.88
2014-10-22,113.29,113.6,113.29,113.66,0,113.66
2014-10-24,113.87,113.89,113.87,113.4,300,113.4
2014-10-27,113.43,113.43,113.43,112.77,0,112.77
2014-10-29,113.74,113.74,113.74,113.49,0,113.49
2014-11-03,114.25,114.25,114.25,114.17,100,114.17
2014-11-12,114.5,114.5,114.5,114.52,0,114.52
2014-11-13,114.58,114.58,114.58,114.04,200,114.04
2014-11-17,114.35,114.35,114.35,114.45,0,114.45
2014-11-18,113.96,113.96,113.96,113.76,0,113.76
2014-11-26,114.51,114.51,114.51,114.81,0,114.81
2014-11-28,113.35,113.35,113.35,113.65,0,113.65
2014-12-09,114.0,114.0,114.0,113.78,0,113.78
2014-12-11,113.08,113.08,113.08,112.96,200,112.96
2014-12-15,112.31,112.31,112.31,111.72,100,111.72
2014-12-23,113.37,113.4,113.37,114.04,200,114.04
2014-12-29,113.78,114.25,113.78,113.97,100,113.97
2015-01-07,115.57,115.72,115.57,115.33,100,115.33
2015-01-09,115.84,115.84,115.84,115.0,100,115.0
2015-01-12,115.28,115.28,115.28,114.53,400,114.53
2015-01-21,115.84,115.84,113.15,112.88,400,112.88
2015-01-22,112.75,112.75,112.75,114.56,0,114.56
2015-01-26,115.65,115.73,115.65,115.32,100,115.32
2015-01-27,114.81,114.81,114.81,114.52,0,114.52
2015-01-29,113.94,114.19,113.4,113.1,0,113.1
2015-02-02,112.03,112.03,112.03,113.04,0,113.04
2015-02-04,113.63,113.63,113.63,112.73,100,112.73
2015-02-05,113.03,113.03,112.99,113.82,400,113.82
2015-02-06,113.74,113.74,113.74,114.03,0,114.03
2015-02-10,114.35,114.35,114.22,114.09,200,114.09
2015-02-11,113.85,113.85,113.85,113.14,200,113.14
2015-02-13,113.2,113.92,113.2,113.67,0,113.67
2015-02-16,114.05,114.05,114.05,113.7,100,113.7
2015-02-17,114.32,114.32,114.32,114.29,0,114.29
2015-02-19,113.46,113.46,113.44,113.34,100,113.34
2015-02-20,114.5,114.5,114.5,113.63,0,113.63
2015-02-26,114.52,114.52,114.52,115.57,0,115.57
2015-02-27,115.6,115.6,115.6,115.28,1500,115.28
2015-03-02,115.59,115.59,114.96,115.27,200,115.27
2015-03-03,115.82,116.2,115.81,115.9,0,115.9
2015-03-05,117.54,117.54,117.54,117.46,0,117.46
2015-03-06,117.67,118.38,117.67,118.06,300,118.06
2015-03-11,120.26,120.26,120.26,119.71,0,119.71
2015-03-12,120.27,120.27,120.27,119.96,100,119.96
2015-03-13,120.27,120.27,120.27,120.18,0,120.18
2015-03-16,120.36,120.36,119.75,119.7,400,119.7
2015-03-17,119.49,119.49,119.49,119.5,200,119.5
2015-03-18,119.2,119.33,119.2,119.04,100,119.04
2015-03-19,119.82,119.82,119.82,119.34,0,119.34
2015-03-23,118.8,118.8,118.58,118.13,100,118.13
2015-03-26,118.31,118.31,118.31,118.79,0,118.79
2015-03-30,117.9,118.0,117.9,117.68,2500,117.68
2015-04-02,118.7,118.72,118.7,118.13,0,118.13
2015-04-09,120.18,120.18,120.18,120.36,2000,120.36
2015-04-10,121.17,121.17,121.17,121.11,100,121.11
2015-04-14,121.51,121.51,121.51,121.51,100,121.51
2015-04-15,123.51,123.51,123.51,123.51,0,123.51
2015-04-16,122.0,123.16,122.0,123.49,0,123.49
2015-04-17,124.17,124.17,124.17,122.75,0,122.75
2015-04-20,122.96,122.96,122.96,123.2,0,123.2
2015-04-21,123.99,123.99,123.99,122.65,1000,122.65
2015-04-23,123.2,123.2,123.2,123.24,0,123.24
2015-04-28,122.5,122.76,122.5,122.76,100,122.76
2015-04-29,122.2,122.2,122.2,121.3,0,121.3
2015-04-30,120.29,120.62,119.75,119.32,200,119.32
2015-05-06,119.84,119.84,119.84,119.18,0,119.18
2015-05-07,117.92,118.37,117.92,118.21,100,118.21
2015-05-13,119.72,119.72,119.72,119.06,0,119.06
2015-05-14,118.9,118.9,118.9,119.07,0,119.07
2015-05-15,119.15,119.15,118.91,117.77,100,117.77
2015-05-18,118.17,118.17,117.54,117.54,200,117.54
2015-05-19,118.54,118.54,118.54,118.7,0,118.7
2015-05-21,118.84,118.84,118.84,119.25,0,119.25
2015-05-27,119.87,119.87,119.51,119.51,400,119.51
2015-05-28,119.7,119.7,119.7,118.78,0,118.78
2015-06-01,118.96,118.96,118.96,118.34,0,118.34
2015-06-03,117.14,117.14,117.14,115.61,0,115.61
2015-06-09,115.98,115.98,115.98,116.65,0,116.65
2015-06-10,117.28,117.28,117.28,116.72,100,116.72
2015-06-15,117.06,117.06,117.06,116.77,0,116.77
2015-06-16,116.8,117.02,116.8,116.89,0,116.89
2015-06-18,117.07,117.07,117.07,116.42,0,116.42
2015-06-19,116.77,116.77,116.77,116.3,0,116.3
2015-06-24,117.71,117.71,116.91,116.67,400,116.67
2015-06-25,117.25,117.25,117.25,117.12,0,117.12
2015-06-29,117.48,117.48,117.48,117.14,300,117.14
2015-06-30,116.5,116.5,116.29,116.29,0,116.29
2015-07-07,116.5,116.5,116.0,116.1,500,116.1
2015-07-09,115.5,115.5,115.5,115.28,500,115.28
2015-07-20,115.3,115.34,115.3,115.01,0,115.01
2015-07-23,113.73,113.73,113.73,113.73,0,113.73
2015-07-27,112.82,112.82,112.82,112.02,0,112.02
2015-07-28,113.42,113.42,113.42,113.42,200,113.42
